time,coupling.w_ref,coupling.w_sim,coupling.w_relerr,coupling.tau_ref,coupling.tau_sim,coupling.tau_relerr,multiSensor.i_ref,multiSensor.i_sim,multiSensor.i_relerr
0.0077999998,7.6865563e-06,1.733741381,0.0200311,-0.00016268226,-68.71505186,1.07949,0.00024999966,107.6475428,2.90469
0.0078999996,7.7902778e-06,1.779076142,0.0205549,-0.0001627749,-69.54560209,1.09254,0.00024999969,108.9317609,2.93934
0.0080000004,7.8939356e-06,1.824934651,0.0210847,-0.00016286863,-70.37339619,1.10555,0.00024999972,110.2109062,2.97386
0.0081000002,7.9975316e-06,1.871313424,0.0216205,-0.00016296344,-71.1984268,1.11851,0.00024999972,111.4849573,3.00823
0.0082,8.1010639e-06,1.918210351,0.0221624,-0.00016305933,-72.02071137,1.13143,0.00024999975,112.7539317,3.04248
0.0082999999,8.2045317e-06,1.96562291,0.0227102,-0.00016315631,-72.84025987,1.1443,0.00024999978,114.0178348,3.07658
0.0083999997,8.3079349e-06,2.013548439,0.0232639,-0.00016325434,-73.65707977,1.15713,0.00024999981,115.2766688,3.11055
0.0085000005,8.4112717e-06,2.061984901,0.0238235,-0.00016335346,-74.47118908,1.16992,0.00024999981,116.5304519,3.14438
0.0086000003,8.514543e-06,2.110928759,0.024389,-0.00016345363,-75.28258057,1.18267,0.00024999981,117.7791636,3.17807
0.0087000001,8.617747e-06,2.160377924,0.0249603,-0.00016355485,-76.09127142,1.19537,0.00024999984,119.0228211,3.21163
0.0088,8.7208828e-06,2.210329874,0.0255374,-0.00016365714,-76.89727141,1.20804,0.00024999984,120.2614303,3.24505
0.0088999998,8.8239494e-06,2.260781938,0.0261203,-0.00016376047,-77.7005879,1.22066,0.00024999984,121.4949934,3.27834
0.0089999996,8.9269479e-06,2.311731594,0.026709,-0.00016386485,-78.50123062,1.23323,0.00024999984,122.7235165,3.31149
0.0091000004,9.0298763e-06,2.363176786,0.0273034,-0.00016397027,-79.29921644,1.24577,0.00024999984,123.9470164,3.3445
0.0092000002,9.1327338e-06,2.415113913,0.0279034,-0.00016407672,-80.09453826,1.25826,0.00024999984,125.1654737,3.37738
