time,dcpm1.inertiaRotor.wˍt,dcdcInverter1.idealDcDc.powerMot.currentSensor.p.v,dcdcInverter1.gain.y,dcdcInverter1.iDCSensor.i,dcdcInverter2.iDCFilter.u,dcdcInverter2.iDCFilter.y,dcdcInverter2.vMotFilter.y,dcdcInverter2.idealDcDc.deadTime.y,dcdcInverter2.iMotFilter.y,dcdcInverter2.vDCFilter.y,dcdcInverter1.iDCFilter.y,dcdcInverter1.vMotFilter.y,dcdcInverter1.iMotFilter.y,coupling.flange_a.phi,dcpm1.inertiaRotor.w,switch.s,dcpm2.pin_an.i,dcdcInverter1.iMotFilter.u,coupling.w,multiSensor.i,multiSensor.v,coupling.tau
0.007454610407,432.4081386,0,-99.61947179,0,103.1728013,76.10564244,48.39616695,49.99998325,151.664823,99.61947179,0,0,-0.7664671158,0.003781785925,1.581220425,-205.2814696,205.2814696,-1.51393489,1.581220425,103.1728013,99.48413599,-65.82502168
0.008415264038,482.591636,1.138282203e-10,-99.55511848,-2.316192278e-12,115.4683763,88.97630317,49.00789636,49.99999755,177.1539524,99.55511848,-1.373626271e-13,4.737638552e-12,-1.185322761,0.0055081259,2.020908937,-229.6037203,229.6037203,-2.187769588,2.020908937,115.4683763,99.42265812,-73.78152277
0.009488006943,535.8279839,3.57211811e-11,-99.4851363,-1.12584926e-12,128.6466564,102.9727409,49.41975128,49.99999971,204.8529763,99.4851363,-5.875392357e-13,2.185225378e-11,-1.808299974,0.007964071843,2.567424772,-255.6385584,255.6385584,-3.135569738,2.567424772,128.6466564,99.35676672,-82.37036328
0.01068878385,591.9057158,1.111716038e-11,-99.4096016,-5.985376841e-13,142.7140846,118.0796795,49.68167634,49.99999997,234.7190713,99.4096016,-5.881768929e-13,1.879669779e-11,-2.725818716,0.01144697109,3.244874351,-283.3916668,283.3916668,-4.462669484,3.244874351,142.7140846,99.28642958,-91.62688101
0.0120390348,650.5363315,1.136618652e-10,-99.32853416,-6.559580922e-12,157.6809646,134.2931685,49.83794375,50,266.7314038,99.32853416,-7.504127096e-13,1.520644767e-11,-4.068494666,0.01638611171,4.084205346,-312.8758156,312.8758156,-6.317791592,4.084205346,157.6809646,99.21159518,-101.6024808
0.01356583407,711.2095257,1.738631722e-11,-99.24202012,-1.386919824e-12,173.5360143,151.5959768,49.92446891,50,300.8427255,99.24202012,-1.567678054e-12,2.356367701e-11,-6.025097227,0.02340426205,5.124518666,-344.0607542,344.0607542,-8.911160983,5.124518666,173.5360143,99.13231993,-112.3544501
0.01529978057,772.9365886,-6.625427014e-12,-99.15048913,7.656820865e-13,190.1942253,169.902175,49.96826017,50,336.8707417,99.15048913,-8.064152618e-13,1.157978589e-11,-8.863035718,0.03339093657,6.412330555,-376.7712502,376.7712502,-12.53346397,6.412330555,190.1942253,99.04902887,-123.9195393
0.01726216779,833.7161623,-1.058117993e-12,-99.05546155,1.765728235e-13,207.3618783,188.9076896,49.98810188,50,374.2061706,99.05546155,-1.637789459e-13,3.447321987e-12,-12.92535447,0.04750323175,7.990330595,-410.4240277,410.4240277,-17.5445421,7.990330595,207.3618783,98.96319061,-136.2266267
0.01944943607,890.3421234,-9.020445926e-12,-98.9600287,1.953446218e-12,224.4560811,207.9942605,49.99601415,50,411.6290013,98.9600287,1.665675694e-13,3.275348883e-13,-18.58043398,0.0670219963,9.877928064,-443.8742556,443.8742556,-24.3104145,9.877928064,224.4560811,98.87771959,-149.0278091
0.02185252435,939.4549868,-1.428392455e-12,-98.86750114,4.909518498e-13,240.856467,226.4997716,49.99880133,50,447.8432246,98.86750114,3.900329871e-13,-9.734871408e-13,-26.21776471,0.09338083237,12.07920656,-475.9118767,475.9118767,-33.20414393,12.07920656,240.856467,98.79571767,-162.0566626
0.0244777503,978.0840247,-4.215167463e-12,-98.78052073,1.742883797e-12,256.0657365,243.8958539,49.99967742,50,481.823835,98.78052073,3.814596994e-13,-8.330916462e-13,-36.29563781,0.128377525,14.59954061,-505.5746125,505.5746125,-44.66337445,14.59954061,256.0657365,98.71967132,-175.146191
0.02734177578,1003.320186,1.35370686e-12,-98.70149593,-7.262570093e-13,269.6309522,259.7008135,49.99992296,50,512.6437585,98.70149593,1.611270843e-13,-3.527706118e-13,-49.34257668,0.1742427673,17.44101106,-531.9919035,531.9919035,-59.1884047,17.44101106,269.6309522,98.65184524,-188.1785366
0.03047240767,1012.169648,1.676571e-12,-98.63276162,-1.238339438e-12,281.1149575,273.4476758,49.9999839,50,539.4095041,98.63276162,-2.473054474e-13,2.471409819e-13,-65.97085592,0.2337829858,20.60077977,-554.327416,554.327416,-77.35370643,20.60077977,281.1149575,98.59442521,-201.0703462
0.03391369714,1001.408438,3.534102365e-13,-98.57667135,-3.480615746e-13,290.0792973,284.6657307,49.99999712,50,561.2233344,98.57667135,-2.168414065e-13,2.005003303e-13,-86.9119701,0.3106583378,24.07124838,-571.7440365,571.7440365,-99.84142759,24.07124838,290.0792973,98.54960351,-213.7722926
0.03773839933,967.2931138,4.827045481e-13,-98.53572162,-5.789421782e-13,296.0596226,292.8556758,49.99999957,50,577.1328878,98.53572162,-1.763293498e-13,1.313341737e-13,-113.1062133,0.4099782569,27.84299342,-583.3541365,583.3541365,-127.5279955,27.84299342,296.0596226,98.51970189,-226.2808105
