time,dcse.ie,dcse.airGapDC.psi_eˍt,dcse.phiMechanical,dcse.inertiaRotor.w,dcse.inertiaRotor.a,loadInertia.w,dcse.la.i,loadInertia.phi
0.2885366908,87.98687967,0.007322640925,6.656377487,44.87535808,144.6833475,44.87535808,87.98687967,6.656377487
0.3043003668,88.222799,0.007646006171,7.381707247,47.14707294,143.530831,47.14707294,88.222799,7.381707247
0.3200640428,88.46915787,0.007984761025,8.142702631,49.4002891,142.3372059,49.4002891,88.46915787,8.142702631
0.3358277187,88.72642897,0.008338113783,8.939067138,51.6343992,141.1076241,51.6343992,88.72642897,8.939067138
0.3515913947,88.9950602,0.008705284249,9.770495331,53.84887667,139.8471796,53.84887667,88.9950602,9.770495331
0.3673550706,89.27547508,0.00908550558,10.6366741,56.04327467,138.5608921,56.04327467,89.27547508,10.6366741
0.3831187466,89.56807317,0.009478025674,11.53728392,58.2172248,137.2536917,58.2172248,89.56807317,11.53728392
0.3988824226,89.87323057,0.009882108214,12.47200005,60.3704356,135.9304055,60.3704356,89.87323057,12.47200005
0.4146460985,90.19130043,0.0102970334,13.44049376,62.50269079,134.5957442,62.50269079,90.19130043,13.44049376
0.4304097745,90.52261345,0.01072209841,14.4424335,64.61384733,133.2542906,64.61384733,90.52261345,14.4424335
0.4461734504,90.86747848,0.01115661757,15.47748601,66.70383339,131.9104889,66.70383339,90.86747848,15.47748601
0.4619371264,91.22618299,0.0115999224,16.54531746,68.772646,130.5686351,68.772646,91.22618299,16.54531746
0.4777008023,91.59899367,0.0120513613,17.64559449,70.82034871,129.2328683,70.82034871,91.59899367,17.64559449
0.4934644783,91.9861569,0.01251029928,18.77798525,72.84706902,127.9071638,72.84706902,91.9861569,18.77798525
0.5092281543,92.38789932,0.01297611735,19.9421604,74.85299576,126.595326,74.85299576,92.38789932,19.9421604
0.5249918302,92.80442828,0.01344821192,21.13779402,76.83837637,125.3009829,76.83837637,92.80442828,21.13779402
0.5407555062,93.23593235,0.01392599412,22.36456455,78.80351402,124.0275822,78.80351402,93.23593235,22.36456455
0.5565191821,93.68258175,0.01440888894,23.62215563,80.74876481,122.7783866,80.74876481,93.68258175,23.62215563
0.5722828581,94.14452878,0.01489633445,24.91025691,82.6745348,121.5564718,82.6745348,94.14452878,24.91025691
0.5880465341,94.62190821,0.01538778095,26.2285648,84.58127701,120.3647235,84.58127701,94.62190821,26.2285648
0.60381021,95.11483766,0.01588269011,27.57678322,86.46948849,119.2058369,86.46948849,95.11483766,27.57678322
0.619573886,95.62341797,0.01638053411,28.95462424,88.33970723,118.0823152,88.33970723,95.62341797,28.95462424
0.6353375619,96.14773348,0.01688079491,30.36180873,90.19250919,116.9964699,90.19250919,96.14773348,30.36180873
0.6511012379,96.68785232,0.01738296344,31.7980669,92.02850525,115.9504214,92.02850525,96.68785232,31.7980669
0.6668649139,97.24382674,0.01788653895,33.26313887,93.84833821,114.9460997,93.84833821,97.24382674,33.26313887
0.6826285898,97.8156933,0.01839102843,34.75677509,95.65267981,113.9852458,95.65267981,97.8156933,34.75677509
0.6983922658,98.40347315,0.01889594606,36.27873683,97.44222776,113.0694142,97.44222776,98.40347315,36.27873683
