time,source.port_p.reference.gamma
0.479,150.4822881
0.48,150.7964474
0.481,151.1106066
0.482,151.4247659
0.483,151.7389252
0.484,152.0530844
0.485,152.3672437
0.486,152.681403
0.487,152.9955622
0.488,153.3097215
0.489,153.6238808
0.49,153.93804
0.491,154.2521993
0.492,154.5663586
0.493,154.8805178
0.494,155.1946771
0.495,155.5088364
0.496,155.8229956
0.497,156.1371549
0.498,156.4513141
0.499,156.7654734
0.5,157.0796327
0.501,157.3937919
0.502,157.7079512
0.503,158.0221105
0.504,158.3362697
0.505,158.650429
0.506,158.9645883
0.507,159.2787475
0.508,159.5929068
0.509,159.9070661
0.51,160.2212253
0.511,160.5353846
0.512,160.8495439
0.513,161.1637031
0.514,161.4778624
0.515,161.7920217
0.516,162.1061809
0.517,162.4203402
0.518,162.7344995
0.519,163.0486587
0.52,163.362818
0.521,163.6769773
0.522,163.9911365
0.523,164.3052958
0.524,164.619455
0.525,164.9336143
0.526,165.2477736
0.527,165.5619328
0.528,165.8760921
0.529,166.1902514
0.53,166.5044106
0.531,166.8185699
0.532,167.1327292
0.533,167.4468884
0.534,167.7610477
0.535,168.075207
0.536,168.3893662
0.537,168.7035255
0.538,169.0176848
0.539,169.331844
0.54,169.6460033
0.541,169.9601626
0.542,170.2743218
0.543,170.5884811
0.544,170.9026404
0.545,171.2167996
0.546,171.5309589
0.547,171.8451182
0.548,172.1592774
0.549,172.4734367
0.55,172.7875959
0.551,173.1017552
0.552,173.4159145
0.553,173.7300737
0.554,174.044233
0.555,174.3583923
0.556,174.6725515
0.557,174.9867108
0.558,175.3008701
0.559,175.6150293
0.56,175.9291886
0.561,176.2433479
0.562,176.5575071
0.563,176.8716664
0.564,177.1858257
0.565,177.4999849
0.566,177.8141442
0.567,178.1283035
0.568,178.4424627
0.569,178.756622
0.57,179.0707813
0.571,179.3849405
0.572,179.6990998
0.573,180.0132591
0.574,180.3274183
0.575,180.6415776
0.576,180.9557368
0.577,181.2698961
0.578,181.5840554
0.579,181.8982146
0.58,182.2123739
0.581,182.5265332
0.582,182.8406924
0.583,183.1548517
0.584,183.469011
0.585,183.7831702
0.586,184.0973295
0.587,184.4114888
0.588,184.725648
0.589,185.0398073
0.59,185.3539666
0.591,185.6681258
0.592,185.9822851
0.593,186.2964444
0.594,186.6106036
0.595,186.9247629
0.596,187.2389222
0.597,187.5530814
0.598,187.8672407
0.599,188.1814
0.6,188.4955592
0.601,188.8097185
0.602,189.1238777
0.603,189.438037
0.604,189.7521963
0.605,190.0663555
0.606,190.3805148
0.607,190.6946741
0.608,191.0088333
0.609,191.3229926
0.61,191.6371519
0.611,191.9513111
0.612,192.2654704
0.613,192.5796297
0.614,192.8937889
0.615,193.2079482
0.616,193.5221075
0.617,193.8362667
0.618,194.150426
0.619,194.4645853
0.62,194.7787445
0.621,195.0929038
0.622,195.4070631
0.623,195.7212223
0.624,196.0353816
0.625,196.3495408
0.626,196.6637001
0.627,196.9778594
0.628,197.2920186
0.629,197.6061779
0.63,197.9203372
0.631,198.2344964
0.632,198.5486557
0.633,198.862815
0.634,199.1769742
0.635,199.4911335
0.636,199.8052928
0.637,200.119452
0.638,200.4336113
0.639,200.7477706
0.64,201.0619298
0.641,201.3760891
0.642,201.6902484
0.643,202.0044076
0.644,202.3185669
0.645,202.6327262
0.646,202.9468854
0.647,203.2610447
0.648,203.575204
0.649,203.8893632
0.65,204.2035225
0.651,204.5176817
0.652,204.831841
0.653,205.1460003
0.654,205.4601595
0.655,205.7743188
0.656,206.0884781
0.657,206.4026373
0.658,206.7167966
0.659,207.0309559
0.66,207.3451151
0.661,207.6592744
0.662,207.9734337
0.663,208.2875929
0.664,208.6017522
0.665,208.9159115
0.666,209.2300707
0.667,209.54423
0.668,209.8583893
0.669,210.1725485
0.67,210.4867078
0.671,210.8008671
0.672,211.1150263
0.673,211.4291856
0.674,211.7433449
0.675,212.0575041
0.676,212.3716634
0.677,212.6858226
0.678,212.9999819
0.679,213.3141412
0.68,213.6283004
0.681,213.9424597
0.682,214.256619
0.683,214.5707782
0.684,214.8849375
0.685,215.1990968
0.686,215.513256
0.687,215.8274153
0.688,216.1415746
0.689,216.4557338
0.69,216.7698931
0.691,217.0840524
0.692,217.3982116
0.693,217.7123709
0.694,218.0265302
0.695,218.3406894
0.696,218.6548487
0.697,218.969008
0.698,219.2831672
0.699,219.5973265
0.7,219.9114858
0.701,220.225645
0.702,220.5398043
0.703,220.8539635
0.704,221.1681228
0.705,221.4822821
0.706,221.7964413
0.707,222.1106006
0.708,222.4247599
0.709,222.7389191
0.71,223.0530784
0.711,223.3672377
0.712,223.6813969
0.713,223.9955562
0.714,224.3097155
0.715,224.6238747
0.716,224.938034
0.717,225.2521933
0.718,225.5663525
0.719,225.8805118
0.72,226.1946711
0.721,226.5088303
0.722,226.8229896
0.723,227.1371489
0.724,227.4513081
0.725,227.7654674
0.726,228.0796267
0.727,228.3937859
0.728,228.7079452
0.729,229.0221044
0.73,229.3362637
0.731,229.650423
0.732,229.9645822
0.733,230.2787415
0.734,230.5929008
0.735,230.90706
0.736,231.2212193
0.737,231.5353786
0.738,231.8495378
0.739,232.1636971
0.74,232.4778564
0.741,232.7920156
0.742,233.1061749
0.743,233.4203342
0.744,233.7344934
0.745,234.0486527
0.746,234.362812
0.747,234.6769712
0.748,234.9911305
0.749,235.3052898
0.75,235.619449
0.751,235.9336083
0.752,236.2477675
0.753,236.5619268
0.754,236.8760861
0.755,237.1902453
0.756,237.5044046
0.757,237.8185639
0.758,238.1327231
0.759,238.4468824
0.76,238.7610417
0.761,239.0752009
0.762,239.3893602
0.763,239.7035195
0.764,240.0176787
0.765,240.331838
0.766,240.6459973
0.767,240.9601565
0.768,241.2743158
0.769,241.5884751
0.77,241.9026343
0.771,242.2167936
0.772,242.5309529
0.773,242.8451121
0.774,243.1592714
0.775,243.4734307
0.776,243.7875899
0.777,244.1017492
0.778,244.4159084
0.779,244.7300677
0.78,245.044227
0.781,245.3583862
0.782,245.6725455
0.783,245.9867048
0.784,246.300864
0.785,246.6150233
0.786,246.9291826
0.787,247.2433418
0.788,247.5575011
0.789,247.8716604
0.79,248.1858196
0.791,248.4999789
0.792,248.8141382
0.793,249.1282974
0.794,249.4424567
0.795,249.756616
0.796,250.0707752
0.797,250.3849345
0.798,250.6990938
0.799,251.013253
0.8,251.3274123
0.801,251.6415716
0.802,251.9557308
0.803,252.2698901
0.804,252.5840493
0.805,252.8982086
0.806,253.2123679
0.807,253.5265271
0.808,253.8406864
0.809,254.1548457
0.81,254.4690049
0.811,254.7831642
0.812,255.0973235
0.813,255.4114827
0.814,255.725642
0.815,256.0398013
0.816,256.3539605
0.817,256.6681198
0.818,256.9822791
0.819,257.2964383
0.82,257.6105976
0.821,257.9247569
0.822,258.2389161
0.823,258.5530754
0.824,258.8672347
0.825,259.1813939
0.826,259.4955532
0.827,259.8097125
0.828,260.1238717
0.829,260.438031
0.83,260.7521902
0.831,261.0663495
0.832,261.3805088
0.833,261.694668
0.834,262.0088273
0.835,262.3229866
0.836,262.6371458
0.837,262.9513051
0.838,263.2654644
0.839,263.5796236
0.84,263.8937829
0.841,264.2079422
0.842,264.5221014
0.843,264.8362607
0.844,265.15042
0.845,265.4645792
0.846,265.7787385
0.847,266.0928978
0.848,266.407057
0.849,266.7212163
0.85,267.0353756
0.851,267.3495348
0.852,267.6636941
0.853,267.9778534
0.854,268.2920126
0.855,268.6061719
0.856,268.9203311
0.857,269.2344904
0.858,269.5486497
0.859,269.8628089
0.86,270.1769682
0.861,270.4911275
0.862,270.8052867
0.863,271.119446
0.864,271.4336053
0.865,271.7477645
0.866,272.0619238
0.867,272.3760831
0.868,272.6902423
0.869,273.0044016
0.87,273.3185609
0.871,273.6327201
0.872,273.9468794
0.873,274.2610387
0.874,274.5751979
0.875,274.8893572
0.876,275.2035165
0.877,275.5176757
0.878,275.831835
0.879,276.1459943
0.88,276.4601535
0.881,276.7743128
0.882,277.088472
0.883,277.4026313
0.884,277.7167906
0.885,278.0309498
0.886,278.3451091
0.887,278.6592684
0.888,278.9734276
0.889,279.2875869
0.89,279.6017462
0.891,279.9159054
0.892,280.2300647
0.893,280.544224
0.894,280.8583832
0.895,281.1725425
0.896,281.4867018
0.897,281.800861
0.898,282.1150203
0.899,282.4291796
0.9,282.7433388
0.901,283.0574981
0.902,283.3716574
0.903,283.6858166
0.904,283.9999759
0.905,284.3141351
0.906,284.6282944
0.907,284.9424537
0.908,285.2566129
0.909,285.5707722
0.91,285.8849315
0.911,286.1990907
0.912,286.51325
0.913,286.8274093
0.914,287.1415685
0.915,287.4557278
0.916,287.7698871
0.917,288.0840463
0.918,288.3982056
0.919,288.7123649
0.92,289.0265241
0.921,289.3406834
0.922,289.6548427
0.923,289.9690019
0.924,290.2831612
0.925,290.5973205
0.926,290.9114797
0.927,291.225639
0.928,291.5397983
0.929,291.8539575
0.93,292.1681168
0.931,292.482276
0.932,292.7964353
0.933,293.1105946
0.934,293.4247538
0.935,293.7389131
0.936,294.0530724
0.937,294.3672316
0.938,294.6813909
0.939,294.9955502
0.94,295.3097094
0.941,295.6238687
0.942,295.938028
0.943,296.2521872
0.944,296.5663465
0.945,296.8805058
0.946,297.194665
0.947,297.5088243
0.948,297.8229836
0.949,298.1371428
0.95,298.4513021
0.951,298.7654614
0.952,299.0796206
0.953,299.3937799
0.954,299.7079392
0.955,300.0220984
0.956,300.3362577
0.957,300.6504169
0.958,300.9645762
0.959,301.2787355
0.96,301.5928947
0.961,301.907054
0.962,302.2212133
0.963,302.5353725
0.964,302.8495318
0.965,303.1636911
0.966,303.4778503
0.967,303.7920096
0.968,304.1061689
0.969,304.4203281
0.97,304.7344874
0.971,305.0486467
0.972,305.3628059
0.973,305.6769652
0.974,305.9911245
0.975,306.3052837
0.976,306.619443
0.977,306.9336023
0.978,307.2477615
0.979,307.5619208
0.98,307.8760801
0.981,308.1902393
0.982,308.5043986
0.983,308.8185578
0.984,309.1327171
0.985,309.4468764
0.986,309.7610356
0.987,310.0751949
0.988,310.3893542
0.989,310.7035134
0.99,311.0176727
0.991,311.331832
0.992,311.6459912
0.993,311.9601505
0.994,312.2743098
0.995,312.588469
0.996,312.9026283
0.997,313.2167876
0.998,313.5309468
0.999,313.8451061
1,314.1592654
