time,opAmp.outp.v,resistor.i,resistor1.i,opAmp.x,opAmp.v_source,opAmp.v_in,opAmp.q_fr3,opAmp.q_fr1,opAmp.q_fr2,opAmp.q_fp1
3.780475139e-05,-5.577787941,0.0002801035227,0.0002800217384,-5.640622981,-5.640622981,-0.0236468274,-0.02364888769,-0.02364968863,-0.02364883043,-5.818607746
4.152287427e-05,-6.121555653,0.0003072848283,0.0003072031188,-6.190507555,-6.190507555,-0.02350672303,-0.02350897651,-0.02350985257,-0.02350891389,-6.367450261
4.649947139e-05,-6.844093569,0.0003434012339,0.0003433196348,-6.921173244,-6.921173244,-0.02329912635,-0.02330164339,-0.02330262195,-0.02330157344,-7.096570586
5.228185285e-05,-7.675171354,0.0003849414912,0.0003848600345,-7.761599642,-7.761599642,-0.02302933579,-0.02303215594,-0.02303325239,-0.02303207758,-7.934986147
5.911426793e-05,-8.644027652,0.000433366222,0.0004332849531,-8.741354231,-8.741354231,-0.02267140989,-0.02267458293,-0.02267581662,-0.02267449476,-8.912069999
6.66561958e-05,-9.694932686,0.0004858890638,0.0004858080262,-9.804080283,-9.804080283,-0.02222783834,-0.02223139398,-0.02223277648,-0.02223129519,-9.971482917
7.483780526e-05,-10.81028784,0.0005416296629,0.0005415489043,-10.93198117,-10.93198117,-0.02169024766,-0.02169420929,-0.02169574969,-0.02169409923,-11.09536491
8.356216843e-05,-11.96810169,0.000599488209,0.0005994077792,-12.10281803,-12.10281803,-0.02105389684,-0.02105827987,-0.02105998416,-0.0210581581,-12.26144099
9.276069213e-05,-13.14984225,0.0006585378866,0.0006584578374,-13.2978504,-13.2978504,-0.02031450293,-0.02031931597,-0.0203211875,-0.02031918226,-13.45093805
0.0001023584049,-14.33600025,0.0007178031663,0.0007177235499,-14.49734952,-14.49734952,-0.01947074293,-0.01947598747,-0.01947802683,-0.01947584177,-14.64411697
0.0001048601501,-14.63679304,0.0007328311021,0.0007327516044,-14.80152536,-14.80152536,-0.01923904702,-0.01924440588,-0.01924648965,-0.019244257,-14.94655693
0.0001051790427,-14.67487622,0.0007347337519,0.0007346542695,-14.84003687,-14.84003687,-0.01920916607,-0.01921453839,-0.01921662739,-0.01921438914,-14.98484454
0.0001053021962,-14.68956786,0.0007354677498,0.0007353882733,-14.85489374,-14.85489374,-0.01919760607,-0.01920298363,-0.01920507467,-0.01920283423,-14.99961479
0.0001053049484,-14.68989608,0.0007354841479,0.0007354046716,-14.85522566,-14.85522566,-0.0191973476,-0.01920272528,-0.01920481636,-0.01920257587,-14.99994477
0.0001053062394,-14.69005004,0.0007354918397,0.0007354123635,-14.85538135,-14.85538135,-0.01919722621,-0.01920260408,-0.01920469519,-0.01920245467,-15.00009214
0.000105306868,-14.69012499,0.000735495585,0.0007354161076,-14.85545713,-14.85545713,-0.01919716735,-0.01920254507,-0.01920463619,-0.01920239566,-15.00009214
0.0001053131539,-14.69087224,0.0007355330199,0.000735453449,-14.85621279,-14.85621279,-0.01919674376,-0.01920196159,-0.01920404991,-0.01920181867,-15.00009214
0.0001053256374,-14.69234466,0.0007356071343,0.000735527141,-14.85770178,-14.85770178,-0.01919815616,-0.01920117448,-0.01920304837,-0.01920114135,-15.00009214
0.000105344046,-14.69448819,0.0007357156109,0.0007356348252,-14.85986946,-14.85986946,-0.01920831683,-0.0192028032,-0.01920294895,-0.01920315145,-15.00009214
0.0001053709438,-14.69756159,0.0007358721834,0.0007357901929,-14.86297757,-14.86297757,-0.01924226789,-0.01921518689,-0.01920908628,-0.01921633812,-15.00009214
0.0001054116734,-14.70208609,0.0007361049331,0.0007360211371,-14.86755332,-14.86755332,-0.01933665195,-0.01926320916,-0.01924118968,-0.01926585133,-15.00009214
0.0001054713141,-14.70843999,0.0007364366359,0.0007363502563,-14.87397956,-14.87397956,-0.01956513567,-0.01940783962,-0.01935466285,-0.01941295154,-15.00009214
0.0001055466982,-14.71603165,0.0007368411339,0.0007367515873,-14.88165825,-14.88165825,-0.02000009844,-0.01972709987,-0.01962940166,-0.01973547267,-15.00009214
0.0001056467556,-14.72539789,0.0007373541604,0.0007372605694,-14.89113291,-14.89113291,-0.02081350177,-0.0203875111,-0.02023006479,-0.02040011141,-15.00009214
0.0001057776933,-14.73653064,0.0007379877333,0.0007378891021,-14.9023963,-14.9023963,-0.02225140113,-0.02163847455,-0.02140761097,-0.02165620063,-15.00009214
0.0001059574725,-14.7499626,0.0007387953055,0.0007386901701,-14.91598908,-14.91598908,-0.02484080657,-0.02400062267,-0.02368035781,-0.02402456592,-15.00009214
0.0001062240979,-14.76651408,0.000739879605,0.0007397655809,-14.93274535,-14.93274535,-0.02979753897,-0.02867725344,-0.02824676117,-0.02870885593,-15.00009214
0.0001065589821,-14.78270274,0.0007410864819,0.0007409623296,-14.94914518,-14.94914518,-0.03754385414,-0.0361502156,-0.03561214444,-0.03618929212,-15.00009214
0.000106947023,-14.79658314,0.0007423202219,0.0007421854357,-14.96322142,-14.96322142,-0.04812557241,-0.04649844687,-0.04586848074,-0.04654390687,-15.00009214
0.0001074057546,-14.80811411,0.0007436134659,0.0007434672162,-14.97493501,-14.97493501,-0.06223021273,-0.06041033096,-0.05970449324,-0.0604610602,-15.00009213
0.0001079301976,-14.81685683,0.0007449407396,0.0007447824008,-14.98384193,-14.98384193,-0.07979118872,-0.07782673591,-0.07706398346,-0.0778814163,-15.00009213
0.000108531075,-14.82310773,0.0007463319888,0.0007461606731,-14.99024309,-14.99024309,-0.1011057289,-0.09903993716,-0.09823727723,-0.09909738601,-15.00009213
0.0001092132899,-14.82723798,0.0007478078426,0.0007476224996,-14.99451396,-14.99451396,-0.126212008,-0.1240818335,-0.1232538034,-0.1241410397,-15.00009213
0.0001099900878,-14.82975844,0.0007494095285,0.0007492087581,-14.99717228,-14.99717228,-0.1554167229,-0.1532505402,-0.1524082999,-0.1533107273,-15.00009213
0.0001108766739,-14.83114166,0.0007511801093,0.0007509621402,-14.99869739,-14.99869739,-0.1891011413,-0.1869194216,-0.1860710202,-0.1869800292,-15.00009212
0.0001118968767,-14.8317873,0.0007531759315,0.0007529384834,-14.99949609,-14.99949609,-0.2279823674,-0.2257990108,-0.2249499103,-0.225859658,-15.00009212
0.0001130839752,-14.83199006,0.0007554664135,0.0007552065588,-14.99987048,-14.99987048,-0.2731411106,-0.2709653401,-0.27011916,-0.2710257738,-15.00009212
0.0001144883134,-14.83194415,0.0007581476075,0.0007578615009,-15.00002335,-15.00002335,-0.3262858651,-0.324124126,-0.3232833901,-0.3241841688,-15.00009211
0.0001161875423,-14.83175906,0.0007613598344,0.0007610422725,-15.00007542,-15.00007542,-0.3900863896,-0.3879440988,-0.3871109212,-0.3880036008,-15.00009211
0.0001183094024,-14.83148041,0.0007653263887,0.0007649699944,-15.00008926,-15.00008926,-0.4689194815,-0.4668026836,-0.4659794179,-0.4668614773,-15.0000921
0.0001210794034,-14.83110665,0.0007704312222,0.0007700248753,-15.00009181,-15.00009181,-0.570390857,-0.5683081666,-0.5674981634,-0.5683660128,-15.00009209
0.0001249278395,-14.83059441,0.0007773838119,0.0007769094791,-15.00009208,-15.00009208,-0.7085951754,-0.7065609718,-0.705769823,-0.706617471,-15.00009208
0.0001305486311,-14.82986794,0.0007872389422,0.0007866683429,-15.00009207,-15.00009207,-0.9044989238,-0.9025376726,-0.9017748917,-0.9025921451,-15.00009207
0.0001377407879,-14.82897785,0.0007993132308,0.00079862487,-15.00009205,-15.00009205,-1.14451955,-1.1426552,-1.1419301,-1.14270698,-15.00009205
0.0001463728334,-14.82797048,0.0008129781906,0.0008121568359,-15.00009202,-15.00009202,-1.416166235,-1.414423195,-1.413745267,-1.414471605,-15.00009202
0.0001565269895,-14.82687434,0.0008278470115,0.0008268813633,-15.000092,-15.000092,-1.711752931,-1.710159125,-1.709539229,-1.710203389,-15.00009199
