time,heatCapacitor.T_ref,heatCapacitor.T_sim,heatCapacitor.T_relerr,onOffController.y_ref,onOffController.y_sim,onOffController.y_relerr
0.118,294.3203807,294.3203666,4.36435e-08,1,NaN,NaN
0.1185,294.3252993,294.325285,4.39135e-08,1,NaN,NaN
0.119,294.3302175,294.3302032,4.41787e-08,1,NaN,NaN
0.1195,294.3351353,294.3351209,4.44393e-08,1,NaN,NaN
0.12,294.3400529,294.3400384,4.46949e-08,1,NaN,NaN
0.1205,294.34497,294.3449555,4.49457e-08,1,NaN,NaN
0.121,294.3498869,294.3498722,4.51915e-08,1,NaN,NaN
0.1215,294.3548033,294.3547886,4.54322e-08,1,NaN,NaN
0.122,294.3597195,294.3597047,4.56677e-08,1,NaN,NaN
0.1225,294.3646353,294.3646204,4.5898e-08,1,NaN,NaN
0.123,294.3695507,294.3695358,4.61229e-08,1,NaN,NaN
0.1235,294.3744659,294.3744508,4.63424e-08,1,NaN,NaN
0.124,294.3793806,294.3793655,4.65564e-08,1,NaN,NaN
0.1245,294.3842951,294.3842799,4.67648e-08,1,NaN,NaN
0.125,294.3892092,294.3891939,4.69676e-08,1,NaN,NaN
0.1255,294.3941229,294.3941076,4.71646e-08,1,NaN,NaN
0.126,294.3990363,294.3990209,4.73557e-08,1,NaN,NaN
0.1265,294.4039494,294.4039339,4.75409e-08,1,NaN,NaN
0.127,294.4088621,294.4088466,4.77201e-08,1,NaN,NaN
0.1275,294.4137744,294.4137589,4.78932e-08,1,NaN,NaN
0.128,294.4186865,294.4186709,4.80601e-08,1,NaN,NaN
0.1285,294.4235982,294.4235825,4.82207e-08,1,NaN,NaN
0.129,294.4285095,294.4284938,4.8375e-08,1,NaN,NaN
0.1295,294.4334205,294.4334048,4.85229e-08,1,NaN,NaN
0.13,294.4383311,294.4383154,4.86642e-08,1,NaN,NaN
0.1305,294.4432415,294.4432256,4.8799e-08,1,NaN,NaN
0.131,294.4481514,294.4481356,4.8927e-08,1,NaN,NaN
0.1315,294.4530613,294.4530452,4.99101e-08,1,NaN,NaN
0.132,294.457971,294.4579544,5.10443e-08,1,NaN,NaN
0.1325,294.4628802,294.4628633,5.21868e-08,1,NaN,NaN
0.133,294.4677892,294.4677719,5.33375e-08,1,NaN,NaN
0.1335,294.4726978,294.4726801,5.44964e-08,1,NaN,NaN
0.134,294.477606,294.477588,5.56633e-08,1,NaN,NaN
0.1345,294.482514,294.4824955,5.68381e-08,1,NaN,NaN
0.135,294.4874215,294.4874027,5.80209e-08,1,NaN,NaN
0.1355,294.4923288,294.4923096,5.92114e-08,1,NaN,NaN
0.136,294.4972357,294.4972161,6.04097e-08,1,NaN,NaN
0.1365,294.5021423,294.5021223,6.16156e-08,1,NaN,NaN
0.137,294.5070485,294.5070281,6.2829e-08,1,NaN,NaN
0.1375,294.5119544,294.5119336,6.40499e-08,1,NaN,NaN
0.138,294.51686,294.5168388,6.52782e-08,1,NaN,NaN
0.1385,294.5217652,294.5217436,6.65138e-08,1,NaN,NaN
0.139,294.5266701,294.5266481,6.77566e-08,1,NaN,NaN
0.1395,294.5315746,294.5315522,6.90065e-08,1,NaN,NaN
0.14,294.5364788,294.536456,7.02635e-08,1,NaN,NaN
0.1405,294.5413827,294.5413595,7.15274e-08,1,NaN,NaN
0.141,294.5462862,294.5462626,7.27982e-08,1,NaN,NaN
0.1415,294.5511894,294.5511654,7.40757e-08,1,NaN,NaN
0.142,294.5560923,294.5560678,7.536e-08,1,NaN,NaN
0.1425,294.5609948,294.5609699,7.66509e-08,1,NaN,NaN
0.143,294.565897,294.5658717,7.79484e-08,1,NaN,NaN
0.1435,294.5707988,294.5707731,7.92523e-08,1,NaN,NaN
0.144,294.5757003,294.5756742,8.05626e-08,1,NaN,NaN
0.1445,294.5806015,294.5805749,8.18791e-08,1,NaN,NaN
0.145,294.5855023,294.5854753,8.32019e-08,1,NaN,NaN
0.1455,294.5904028,294.5903754,8.45308e-08,1,NaN,NaN
0.146,294.5953029,294.5952751,8.58657e-08,1,NaN,NaN
0.1465,294.6002027,294.6001745,8.72065e-08,1,NaN,NaN
0.147,294.6051022,294.6050735,8.85533e-08,1,NaN,NaN
0.1475,294.6100014,294.6099722,8.99058e-08,1,NaN,NaN
0.148,294.6149002,294.6148706,9.1264e-08,1,NaN,NaN
0.1485,294.6197986,294.6197686,9.26278e-08,1,NaN,NaN
0.149,294.6246967,294.6246663,9.39972e-08,1,NaN,NaN
0.1495,294.6295945,294.6295636,9.5372e-08,1,NaN,NaN
0.15,294.634492,294.6344606,9.67521e-08,1,NaN,NaN
0.1505,294.6393891,294.6393573,9.81376e-08,1,NaN,NaN
0.151,294.6442858,294.6442536,9.95282e-08,1,NaN,NaN
0.1515,294.6491823,294.6491496,1.00924e-07,1,NaN,NaN
0.152,294.6540784,294.6540452,1.02325e-07,1,NaN,NaN
0.1525,294.6589741,294.6589405,1.0373e-07,1,NaN,NaN
0.153,294.6638695,294.6638355,1.05141e-07,1,NaN,NaN
0.1535,294.6687646,294.6687301,1.06556e-07,1,NaN,NaN
0.154,294.6736594,294.6736244,1.07976e-07,1,NaN,NaN
0.1545,294.6785538,294.6785183,1.09401e-07,1,NaN,NaN
0.155,294.6834478,294.6834119,1.1083e-07,1,NaN,NaN
0.1555,294.6883416,294.6883052,1.12264e-07,1,NaN,NaN
0.156,294.6932349,294.6931981,1.13702e-07,1,NaN,NaN
0.1565,294.698128,294.6980907,1.15144e-07,1,NaN,NaN
0.157,294.7030207,294.7029829,1.16591e-07,1,NaN,NaN
0.1575,294.7079131,294.7078748,1.18041e-07,1,NaN,NaN
0.158,294.7128051,294.7127664,1.19496e-07,1,NaN,NaN
0.1585,294.7176968,294.7176576,1.20954e-07,1,NaN,NaN
0.159,294.7225882,294.7225485,1.22416e-07,1,NaN,NaN
0.1595,294.7274792,294.7274391,1.23883e-07,1,NaN,NaN
0.16,294.7323699,294.7323293,1.25352e-07,1,NaN,NaN
0.1605,294.7372602,294.7372191,1.26826e-07,1,NaN,NaN
0.161,294.7421502,294.7421087,1.28303e-07,1,NaN,NaN
0.1615,294.7470399,294.7469979,1.29783e-07,1,NaN,NaN
0.162,294.7519293,294.7518867,1.31267e-07,1,NaN,NaN
0.1625,294.7568182,294.7567752,1.32754e-07,1,NaN,NaN
0.163,294.7617069,294.7616634,1.34244e-07,1,NaN,NaN
0.1635,294.7665952,294.7665512,1.35737e-07,1,NaN,NaN
0.164,294.7714832,294.7714387,1.37234e-07,1,NaN,NaN
0.1645,294.7763708,294.7763259,1.38733e-07,1,NaN,NaN
0.165,294.7812582,294.7812127,1.40235e-07,1,NaN,NaN
0.1655,294.7861451,294.7860992,1.4174e-07,1,NaN,NaN
0.166,294.7910317,294.7909853,1.43247e-07,1,NaN,NaN
0.1665,294.795918,294.7958711,1.44757e-07,1,NaN,NaN
0.167,294.800804,294.8007566,1.4627e-07,1,NaN,NaN
0.1675,294.8056896,294.8056417,1.47785e-07,1,NaN,NaN
0.168,294.8105749,294.8105265,1.49302e-07,1,NaN,NaN
0.1685,294.8154598,294.8154109,1.50822e-07,1,NaN,NaN
0.169,294.8203444,294.820295,1.52344e-07,1,NaN,NaN
0.1695,294.8252287,294.8251788,1.53868e-07,1,NaN,NaN
0.17,294.8301126,294.8300622,1.55394e-07,1,NaN,NaN
0.1705,294.8349962,294.8349453,1.56922e-07,1,NaN,NaN
0.171,294.8398794,294.8398281,1.58451e-07,1,NaN,NaN
0.1715,294.8447623,294.8447105,1.59983e-07,1,NaN,NaN
0.172,294.8496449,294.8495926,1.61516e-07,1,NaN,NaN
0.1725,294.8545272,294.8544743,1.63051e-07,1,NaN,NaN
0.173,294.8594091,294.8593557,1.64587e-07,1,NaN,NaN
0.1735,294.8642906,294.8642368,1.66125e-07,1,NaN,NaN
0.174,294.8691718,294.8691175,1.67664e-07,1,NaN,NaN
0.1745,294.8740527,294.8739979,1.69204e-07,1,NaN,NaN
0.175,294.8789333,294.8788779,1.70746e-07,1,NaN,NaN
0.1755,294.8838135,294.8837576,1.72288e-07,1,NaN,NaN
0.176,294.8886933,294.888637,1.73832e-07,1,NaN,NaN
0.1765,294.8935729,294.893516,1.75377e-07,1,NaN,NaN
0.177,294.8984521,294.8983947,1.76922e-07,1,NaN,NaN
0.1775,294.9033309,294.9032731,1.78468e-07,1,NaN,NaN
0.178,294.9082094,294.9081511,1.80015e-07,1,NaN,NaN
0.1785,294.9130876,294.9130287,1.81562e-07,1,NaN,NaN
0.179,294.9179654,294.9179061,1.8311e-07,1,NaN,NaN
0.1795,294.9228429,294.9227831,1.84659e-07,1,NaN,NaN
0.18,294.9277201,294.9276597,1.86207e-07,1,NaN,NaN
0.1805,294.9325969,294.9325361,1.87756e-07,1,NaN,NaN
0.181,294.9374734,294.9374121,1.89305e-07,1,NaN,NaN
0.1815,294.9423496,294.9422877,1.90855e-07,1,NaN,NaN
0.182,294.9472254,294.947163,1.92404e-07,1,NaN,NaN
0.1825,294.9521008,294.952038,1.93953e-07,1,NaN,NaN
0.183,294.956976,294.9569126,1.95502e-07,1,NaN,NaN
0.1835,294.9618508,294.9617869,1.97051e-07,1,NaN,NaN
0.184,294.9667252,294.9666609,1.98599e-07,1,NaN,NaN
0.1845,294.9715994,294.9715345,2.00147e-07,1,NaN,NaN
0.185,294.9764731,294.9764078,2.01695e-07,1,NaN,NaN
0.1855,294.9813466,294.9812807,2.03242e-07,1,NaN,NaN
0.186,294.9862197,294.9861533,2.04788e-07,1,NaN,NaN
0.1865,294.9910925,294.9910256,2.06334e-07,1,NaN,NaN
0.187,294.9959649,294.9958975,2.07879e-07,1,NaN,NaN
0.1875,295.000837,295.0007691,2.09422e-07,1,NaN,NaN
0.188,295.0057087,295.0056404,2.10965e-07,1,NaN,NaN
0.1885,295.0105802,295.0105113,2.12507e-07,1,NaN,NaN
0.189,295.0154512,295.0153819,2.14048e-07,1,NaN,NaN
0.1895,295.020322,295.0202521,2.15587e-07,1,NaN,NaN
0.19,295.0251924,295.025122,2.17125e-07,1,NaN,NaN
0.1905,295.0300624,295.0299916,2.18662e-07,1,NaN,NaN
0.191,295.0349322,295.0348608,2.20197e-07,1,NaN,NaN
0.1915,295.0398016,295.0397297,2.21731e-07,1,NaN,NaN
0.192,295.0446706,295.0445982,2.23263e-07,1,NaN,NaN
0.1925,295.0495393,295.0494665,2.24793e-07,1,NaN,NaN
0.193,295.0544077,295.0543343,2.26321e-07,1,NaN,NaN
0.1935,295.0592757,295.0592019,2.27848e-07,1,NaN,NaN
0.194,295.0641434,295.0640691,2.29372e-07,1,NaN,NaN
0.1945,295.0690108,295.068936,2.30895e-07,1,NaN,NaN
0.195,295.0738778,295.0738025,2.32415e-07,1,NaN,NaN
0.1955,295.0787445,295.0786687,2.33933e-07,1,NaN,NaN
0.196,295.0836108,295.0835345,2.35449e-07,1,NaN,NaN
0.1965,295.0884769,295.0884,2.36962e-07,1,NaN,NaN
0.197,295.0933425,295.0932652,2.38473e-07,1,NaN,NaN
0.1975,295.0982079,295.0981301,2.39982e-07,1,NaN,NaN
0.198,295.1030729,295.1029946,2.41487e-07,1,NaN,NaN
0.1985,295.1079375,295.1078587,2.4299e-07,1,NaN,NaN
0.199,295.1128018,295.1127226,2.4449e-07,1,NaN,NaN
0.1995,295.1176658,295.1175861,2.45987e-07,1,NaN,NaN
0.2,295.1225294,295.1224492,2.47482e-07,1,NaN,NaN
0.2005,295.1273928,295.127312,2.48973e-07,1,NaN,NaN
0.201,295.1322557,295.1321745,2.50461e-07,1,NaN,NaN
0.2015,295.1371183,295.1370367,2.51946e-07,1,NaN,NaN
