time,dcpm.airGapDC.ia,armatureInverter.idealDcDc.powerMot.product.u1,armatureInverter.iMot,armatureInverter.iDCFilter.u,armatureInverter.gain.u,speedController.integrator.y,slewRateLimiter.y,preFilter.y,dcpm.inertiaRotor.w,dcpm.friction.phi,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.iDCFilter.y,dcpm.inertiaRotor.a,dcpm.la.i,armatureInverter.iMotFilter.y,armatureInverter.vDCFilter.y,armatureInverter.idealDcDc.deadTime.y,loadInertia.w,loadInertia.phi,armatureInverter.idealDcDc.powerController.y
0.2001983091,2.161412921,39.31790117,0.1137649032,0.7083338071,119.9983,0.02289907493,0.06312371952,2.930129584,0.0002515824929,1.051386195e-08,0.7246987198,3.077166744,0.02833340634,4.586660673,2.161412921,0.1137649032,119.9983,39.31790117,0.0002515824929,1.051386195e-08,0.7083338071
0.2002322643,3.123530956,45.80467973,0.1978718634,1.192845168,119.9964727,0.02821642768,0.073931999,3.426036712,0.0004411114333,2.207791474e-08,0.8943012285,4.398395738,0.05878795854,6.628338555,3.123530956,0.1978718634,119.9964727,45.80467973,0.0004411114333,2.207791474e-08,1.192845168
0.2002751168,4.529926874,52.83582628,0.3496085825,1.996336643,119.9926441,0.03490136418,0.08757236787,4.049487481,0.0007875918834,4.794751526e-08,1.10817903,6.28798696,0.1225988891,9.612803386,4.529926874,0.3496085825,119.9926441,52.83582628,0.0007875918834,4.794751526e-08,1.996336643
0.2003319598,6.672037728,60.48751161,0.6390327037,3.368573955,119.9842266,0.04372471873,0.1056660588,4.872371465,0.001460336843,1.106124183e-07,1.39147408,9.081525551,0.2628897394,14.1585038,6.672037728,0.6390327037,119.9842266,60.48751161,0.001460336843,1.106124183e-07,3.368573955
0.2004085335,9.950556711,68.38071322,1.203719764,5.686107555,119.9654774,0.05553172078,0.1300402214,5.973516482,0.002805542105,2.70537795e-07,1.772034999,13.18060131,0.5753763117,21.11573716,9.950556711,1.203719764,119.9654774,68.38071322,0.002805542105,2.70537795e-07,5.686107555
0.200487032,13.66054296,74.26720072,2.004081527,8.49014542,119.9360299,0.06754203697,0.1550270884,7.093622989,0.004767966352,5.637479844e-07,2.160380825,17.5852242,1.066169056,28.9885725,13.66054296,2.004081527,119.9360299,74.26720072,0.004767966352,5.637479844e-07,8.49014542
0.2005821348,18.48532698,79.19993547,3.281643202,12.27530346,119.8853038,0.08196706506,0.1852992348,8.438930435,0.008006726964,1.163481858e-06,2.627605644,22.97027173,1.911603461,39.22708217,18.48532698,3.281643202,119.8853038,79.19993547,0.008006726964,1.163481858e-06,12.27530346
0.2006903027,24.25704001,82.71480034,5.139596464,16.86193883,119.8072873,0.09820791221,0.2197301615,9.95358486,0.01290782809,2.282677378e-06,3.153390836,28.93441918,3.211878003,51.47503762,24.25704001,5.139596464,119.8072873,82.71480034,0.01290782809,2.282677378e-06,16.86193883
0.2008174418,31.25375937,84.88698629,7.846999436,22.35823164,119.6893979,0.1170739368,0.2601997928,11.71306867,0.02039272587,4.379571501e-06,3.761760585,35.50487138,5.17670122,66.32253724,31.25375937,7.846999436,119.6893979,84.88698629,0.02039272587,4.379571501e-06,22.35823164
0.20096528,39.49398808,85.64113581,11.64358434,28.59439291,119.5211762,0.1387119736,0.3072581471,13.73107598,0.03148946671,8.182797621e-06,4.453197117,42.36210176,7.980397423,83.80884567,39.49398808,11.64358434,119.5211762,85.64113581,0.03148946671,8.182797621e-06,28.59439291
0.2011387219,49.11070948,84.95318928,16.86792185,35.39363809,119.2902658,0.1636929983,0.3624664182,16.06085713,0.04779939238,1.500763104e-05,5.238355483,49.21521987,11.8289027,104.2161623,49.11070948,16.86792185,119.2902658,84.95318928,0.04779939238,1.500763104e-05,35.39363809
0.2013421408,60.12088321,82.76618136,23.85601296,42.3635372,118.9891259,0.192444879,0.4272166818,18.74231598,0.07138877952,2.704961176e-05,6.117845388,55.60332527,16.8479015,127.5804766,60.12088321,23.85601296,118.9891259,82.76618136,0.07138877952,2.704961176e-05,42.3635372
