time,Inductor3.i,Inductor2.i,Capacitor2.v,Capacitor1.v,IdealDiode3.i,IdealDiode2.i,IdealDiode1.i,Inductor3.v
0.001492871418,0.521325088,-0.9641370452,258.662544,258.662544,0.002,-0.5193255308,-0.03725656535,-8.36936013
0.001493034287,0.5059669975,-0.9459021374,258.6598265,258.6598265,-0.005676327692,-0.5193200775,-0.03869225655,-3.74254913
0.001493197155,0.4985428138,-0.9343090318,258.6571089,258.6571089,-0.00938570199,-0.5193146308,-0.04077399995,-1.975727109
0.001493361276,0.4943942431,-0.9268960345,258.6543704,258.6543704,-0.01145724892,-0.5193091465,-0.04240347474,-1.150129288
0.001493533839,0.4918154551,-0.9220149431,258.6514911,258.6514911,-0.01274376356,-0.5193033829,-0.04355174707,-0.6881184142
0.001493719847,0.4901584637,-0.9188197596,258.6483874,258.6483874,-0.01356915554,-0.5192971723,-0.04431773942,-0.4071030068
0.001493924553,0.4890963492,-0.9167798203,258.6449717,258.6449717,-0.01409679708,-0.5192903388,-0.0448032361,-0.232489346
0.001494150128,0.4884402028,-0.9155497743,258.6412077,258.6412077,-0.01442110634,-0.5192828097,-0.04508642198,-0.1275560779
0.001494394478,0.4880546725,-0.9148657784,258.6371305,258.6371305,-0.01460979425,-0.5192746546,-0.04523157759,-0.0684329029
0.001494654265,0.487834102,-0.9145168839,258.6327957,258.6327957,-0.0147157447,-0.5192659847,-0.04529140479,-0.03718157801
0.001494928877,0.4877045374,-0.9143552229,258.6282136,258.6282136,-0.01477594488,-0.5192568202,-0.04530287081,-0.02142077189
0.001495220495,0.4876214865,-0.9142926208,258.6233476,258.6233476,-0.0148126044,-0.5192470883,-0.04528778046,-0.01377576109
0.001495534509,0.4875600559,-0.9142812083,258.618108,258.618108,-0.01483808002,-0.519236609,-0.04525753179,-0.01021175166
0.001495879668,0.487506563,-0.9142967251,258.6123487,258.6123487,-0.01485906719,-0.5192250904,-0.04521726762,-0.008634543041
0.001496268379,0.4874530873,-0.9143277349,258.6058627,258.6058627,-0.01487931902,-0.5192121184,-0.04516853883,-0.007988543313
0.001496717933,0.4873942943,-0.9143697057,258.5983614,258.5983614,-0.01490121425,-0.519197116,-0.04511065572,-0.007753391956
0.001497253881,0.4873254331,-0.9144222048,258.5894186,258.5894186,-0.01492670202,-0.5191792304,-0.04504103273,-0.007682511804
0.001497917143,0.4872406156,-0.9144879803,258.5783514,258.5783514,-0.01495804361,-0.5191570962,-0.04495466908,-0.007668304826
0.001498779917,0.4871303422,-0.9145736605,258.5639552,258.5639552,-0.01499878409,-0.5191283039,-0.04484229607,-0.007670347768
0.001499986186,0.4869760658,-0.9146932601,258.5438274,258.5438274,-0.01505579453,-0.5190880485,-0.04468523028,-0.007677249584
0.001501876656,0.4867339948,-0.9148801371,258.5122831,258.5122831,-0.01514528572,-0.5190249601,-0.04443921201,-0.007688523356
0.001505507539,0.4862680704,-0.9152371218,258.4516984,258.4516984,-0.01531766319,-0.5189037912,-0.04396717276,-0.007710186978
0.001521372212,0.4842169107,-0.9167670451,258.1869819,258.1869819,-0.01607852656,-0.5183743602,-0.04191191471,-0.007804694647
0.001555181591,0.4797624783,-0.9198652208,257.6228449,257.6228449,-0.01774160573,-0.5172460904,-0.03757147365,-0.008005284856
0.001606726522,0.4727546667,-0.9241633846,256.7627838,256.7627838,-0.02038545042,-0.5155259742,-0.03105842484,-0.008308918344
0.001673343926,0.4633133112,-0.9289572716,255.6512424,255.6512424,-0.02399458681,-0.5133028984,-0.02282926217,-0.008697320257
0.001759168673,0.4505186847,-0.9338681551,254.2192394,254.2192394,-0.02895989707,-0.5104389002,-0.01254450417,-0.009190772859
0.001865135758,0.4337567503,-0.9379672287,252.4511882,252.4511882,-0.035572813,-0.5069028054,-0.0003459489587,-0.009788766922
0.001886089654,0.4303178061,-0.9385209621,252.101578,252.101578,-0.03694267492,-0.5062035863,0.002,-0.009905497546
0.001886089654,0.4303178061,-0.9385209621,252.101578,252.101578,-0.03694267492,-0.5062035863,0.002,-0.009905497546
0.001886089654,0.4303178061,-0.9385209621,252.101578,252.101578,-0.03694267492,-0.5062035863,0.002,-0.009905497546
0.001886089654,0.4303178061,-0.9385209621,252.101578,252.101578,-0.03694267492,-0.5062035863,0.002,-0.009905497546
0.001886386254,0.4302519832,-0.9385606089,252.0966293,252.0966293,-0.03697063773,-0.506193689,0.002115366947,-0.01530573922
0.001886682853,0.4301730758,-0.9386753797,252.0916806,252.0916806,-0.03700514273,-0.5061837918,0.002318942276,-0.01634576838
0.001887027816,0.4300783048,-0.9389100782,252.085925,252.085925,-0.03704677263,-0.5061722808,0.002659922587,-0.01655791972
0.001887435181,0.4299657334,-0.9393291123,252.0791283,252.0791283,-0.0370962616,-0.5061586878,0.003205121091,-0.01659161054
0.001887965531,0.4298190486,-0.9401053114,252.0702796,252.0702796,-0.03716075529,-0.5061409911,0.004145701457,-0.0165965517
0.001888719709,0.4296104221,-0.9416583942,252.0576964,252.0576964,-0.03725248535,-0.5061158264,0.005932575269,-0.01659866598
0.001889979677,0.4292618252,-0.9454295851,252.0366745,252.0366745,-0.03740576184,-0.5060737863,0.01009440284,-0.01660187268
0.001892816025,0.4284768435,-0.9593014098,251.9893522,251.9893522,-0.03775093046,-0.5059791557,0.02484583912,-0.01660907601
0.001901764639,0.4259980165,-1.051821093,251.8400661,251.8400661,-0.03884105783,-0.5056806763,0.1201428264,-0.01663171601
0.001930984456,0.417880587,-1.866141112,251.3529921,251.3529921,-0.04241269865,-0.5047073437,0.9435535988,-0.01670472584
0.001987015913,0.4022168169,-5.587207859,250.4229241,250.4229241,-0.04931451564,-0.5028509305,4.682140514,-0.01684078535
0.002068704148,0.3791586573,-15.9474942,249.085525,249.085525,-0.05950619637,-0.5001864954,15.06814943,-0.01702978586
0.002175149077,0.348740065,-37.81066019,247.3990339,247.3990339,-0.07302900141,-0.4968353797,36.9650851,-0.01725921884
0.002311918592,0.3090880441,-78.77426454,245.3736593,245.3736593,-0.09082963726,-0.4928255981,77.97235121,-0.0175256513
0.002481948358,0.2590060858,-147.6452694,243.164985,243.164985,-0.113661942,-0.4884771247,146.8977864,-0.01781171739
0.002689443639,0.196902127,-254.029571,241.0741223,241.0741223,-0.1426230588,-0.4844017878,253.3482673,-0.01809190999
0.002939531482,0.1209627976,-405.9067817,239.6317931,239.6317931,-0.1791503943,-0.4816690093,405.30415,-0.01832740207
0.003241295226,0.02838183711,-606.6548192,239.6749066,239.6749066,-0.225483988,-0.481955984,606.1444814,-0.01846094088
0.003618754667,-0.08768314424,-851.6356687,242.5704462,242.5704462,-0.2864120183,-0.487992038,851.2353597,-0.01839460032
0.004108272439,-0.2361321549,-1092.275533,250.4227397,250.4227397,-0.3684888172,-0.503937249,1092.007728,-0.01792439817
0.00459779021,-0.3790075669,-1169.327082,260.9675563,260.9675563,-0.4504713398,-0.5251039127,1169.180985,-0.01703111564
0.005087307982,-0.512936988,-1023.150044,271.0090611,271.0090611,-0.5274775551,-0.5450407252,1023.11794,-0.0157358353
0.005233295732,-0.5506709772,-931.4271297,273.3354886,273.3354886,-0.5486709772,-0.5496018528,931.4281982,-0.01529557371
0.005233295732,-0.5506709772,-931.4271297,273.3354886,273.3354886,-0.5486709772,-0.5496018528,931.4281982,-0.01529557371
0.005722813503,-149.892899,-385.6824057,277.2603362,277.2603362,-0.5566700066,-0.5569057959,535.0182491,-36.46101959
0.005949273519,-318.8973083,-0.5574254882,276.7127441,276.7127441,-0.5557438278,-0.5554254882,318.8989894,-53.06974037
0.005949273519,-318.8973083,-0.5574254882,276.7127441,276.7127441,-0.5557438278,-0.5554254882,318.8989894,-53.06974037
0.005949273519,-318.8973083,-0.5574254882,276.7127441,276.7127441,-0.5557438278,-0.5554254882,318.8989894,-53.06974037
0.005949273519,-318.8973083,-0.5574254882,276.7127441,276.7127441,-0.5557438278,-0.5554254882,318.8989894,-53.06974037
0.005949483552,-319.0021766,-0.3243123363,276.7114684,276.7114684,-0.5557413812,-0.4388676365,318.7707473,-14.23346976
0.005949693585,-319.0268187,-0.2516899917,276.7101926,276.7101926,-0.5557388542,-0.4025551884,318.7227696,-2.145692791
0.005949869783,-319.0273101,-0.2311582233,276.7091222,276.7091222,-0.555736714,-0.3922882339,318.7027314,1.262884517
0.005950045981,-319.0214227,-0.2234107566,276.7080518,276.7080518,-0.5557345673,-0.3884134301,318.6890987,2.540743428
0.005950235169,-319.0124915,-0.22034173,276.7069024,276.7069024,-0.5557322596,-0.3868777674,318.6771008,3.037875437
0.005950443672,-319.0015618,-0.2191685727,276.7056356,276.7056356,-0.5557297151,-0.386289922,318.6650004,3.217562327
0.005950680123,-318.9887459,-0.2187259384,276.7041989,276.7041989,-0.5557268289,-0.3860671681,318.6517448,3.27337336
0.005950957793,-318.9735623,-0.2185351744,276.7025116,276.7025116,-0.5557234391,-0.3859700988,318.6363738,3.284076482
0.005951297408,-318.9549833,-0.2184084737,276.7004477,276.7004477,-0.5557192927,-0.3859046846,318.6176723,3.279399469
0.005951735545,-318.9310744,-0.2182729602,276.6977848,276.6977848,-0.555713943,-0.3858342649,318.5936332,3.268712327
0.005952344526,-318.8979776,-0.2180898405,276.6940829,276.6940829,-0.5557065061,-0.3857390031,318.5603607,3.252992531
0.005953295071,-318.8466373,-0.2178045692,276.6883034,276.6883034,-0.5556948957,-0.385590588,318.5087468,3.228379579
0.005955116267,-318.7493604,-0.2172579746,276.6772256,276.6772256,-0.5556726428,-0.3853062129,318.4109455,3.181283572
0.005961898303,-318.3996481,-0.2152218613,276.6359214,276.6359214,-0.5555896849,-0.3842468521,318.05928,3.00665638
0.005998435993,-316.850643,-0.2042358817,276.4121842,276.4121842,-0.5551406618,-0.378530125,316.499738,2.086555399
0.006178453549,-316.8200061,-0.149743935,275.2993091,275.2993091,-0.5529148832,-0.3501712766,316.416835,-1.915852902
