time,armatureInverter.iMot,armatureInverter.gain.u,armatureInverter.idealDcDc.pin_nBat.i,dcpm.friction.phi,dcpm.inertiaRotor.w,dcpm.flange.tau,armatureInverter.idealDcDc.powerMot.currentSensor.i,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.idealDcDc.deadTime.y,armatureInverter.iDCFilter.y,armatureInverter.vDCFilter.y,armatureInverter.iMotFilter.y,loadInertia.w,dcpm.la.i,armatureInverter.idealDcDc.powerController.y,loadInertia.phi
0.2001231549,0.04287344351,119.9996068,-0.2019703385,2.958326774e-09,9.386609525e-05,-0.3298903448,1.036381084,0.4104710156,1.49240697,23.38744574,0.006552645833,119.9996068,0.04287344351,9.386609525e-05,1.036381084,0.2019703385,2.958326774e-09
0.2001529899,0.07934913193,119.9991345,-0.3538891749,6.89044265e-09,0.0001750650497,-0.4909364485,1.54232234,0.5098614285,2.198431522,27.53320508,0.01442521855,119.9991345,0.07934913193,0.0001750650497,1.54232234,0.3538891749,6.89044265e-09
0.2001898,0.1451603446,119.9981359,-0.6062948247,1.588853486e-08,0.0003233302447,-0.7232012562,2.272003753,0.6324266393,3.197532864,32.01629604,0.0310679689,119.9981359,0.1451603446,0.0003233302447,2.272003753,0.6062948247,1.588853486e-08
0.2002364222,0.2659919717,119.996011,-1.025481732,3.699509914e-08,0.0005997174018,-1.063114847,3.339873793,0.7875198964,4.624144781,36.82918425,0.0664839974,119.996011,0.2659919717,0.0005997174018,3.339873793,1.025481732,3.699509914e-08
0.2002995723,0.5042273409,119.9911919,-1.753174694,9.125901452e-08,0.001155875487,-1.590469964,4.99660875,0.9972253342,6.763838148,42.07040393,0.146801185,119.9911919,0.5042273409,0.001155875487,4.99660875,1.753174694,9.125901452e-08
0.200375817,0.9162272692,119.9817783,-2.833333044,2.147120811e-07,0.002143187082,-2.306868394,7.24724078,1.249599054,9.542458248,46.85005381,0.3036952318,119.9817783,0.9162272692,0.002143187082,7.24724078,2.833333044,2.147120811e-07
0.2004592017,1.530527661,119.9663732,-4.200044327,4.533790805e-07,0.003660691906,-3.163450255,9.938272022,1.524187761,12.68840573,50.60880988,0.5604471666,119.9663732,1.530527661,0.003660691906,9.938272022,4.200044327,4.533790805e-07
0.2005578406,2.480910359,119.9408378,-5.974429427,9.285859131e-07,0.00609309113,-4.244275247,13.33378377,1.846455744,16.40388303,53.60881975,0.9860367262,119.9408378,2.480910359,0.00609309113,13.33378377,5.974429427,9.285859131e-07
0.2006714762,3.869212277,119.9016763,-8.118740113,1.822176696e-06,0.009798629771,-5.545924102,17.42303399,2.213311178,20.52520407,55.69139105,1.638728214,119.9016763,3.869212277,0.009798629771,17.42303399,8.118740113,1.822176696e-06
0.2008046776,5.87207211,119.8435116,-10.6415675,3.486085592e-06,0.01541643086,-7.110939201,22.33967329,2.635833565,24.99688691,56.85903416,2.608140537,119.8435116,5.87207211,0.01541643086,22.33967329,10.6415675,3.486085592e-06
0.2009603747,8.674700742,119.7613306,-13.46966118,6.510630054e-06,0.02375411049,-8.953781929,28.129133,3.117276972,29.61878668,57.07573784,3.977822588,119.7613306,8.674700742,0.02375411049,28.129133,13.46966118,6.510630054e-06
0.2011435317,12.51349348,119.6500352,-16.49735108,1.194291048e-05,0.03600070967,-11.09818471,34.86596972,3.663390818,34.16040272,56.31187033,5.832746444,119.6500352,12.51349348,0.03600070967,34.86596972,16.49735108,1.194291048e-05
