time,dcse.flange.phi,dcse.airGapDC.pin_ep.i,loadInertia.a,loadInertia.w,dcse.airGapDC.pin_ep.iˍt,dcse.la.i,loadInertia.phi
1.630301752,139.0635434,63.23813349,-85.58211824,132.3326367,-35228.01504,63.23813349,139.0635434
1.630877938,139.1397745,42.02356831,-132.8056434,132.2689854,-38210.23054,42.02356831,139.1397745
1.631457972,139.2164708,19.28987842,-162.1619543,132.182442,-39962.24946,19.28987842,139.2164708
1.632051581,139.2949061,-4.630262377,-169.3470303,132.0828516,-40398.58174,-4.630262377,139.2949061
1.63264519,139.3732825,-28.39684997,-152.4415785,131.986179,-39445.70856,-28.39684997,139.3732825
1.633251432,139.4532721,-51.65981263,-112.7120828,131.9047729,-37067.38689,-51.65981263,139.4532721
1.633884608,139.5367722,-73.96442943,-53.11505825,131.8515154,-33152.17762,-73.96442943,139.5367722
1.634517784,139.6202513,-93.36360626,15.79862523,131.8394876,-27919.11896,-93.36360626,139.6202513
1.635028216,139.687551,-106.3558057,70.80471131,131.8617534,-22876.6101,-106.3558057,139.687551
1.635561543,139.757889,-117.0074418,121.1599777,131.9133971,-16972.32967,-117.0074418,139.757889
1.63609487,139.8282611,-124.3733058,158.696411,131.9887016,-10584.29439,-124.3733058,139.8282611
1.636628197,139.8986779,-128.2438091,179.2113096,132.0796336,-3896.155253,-128.2438091,139.8986779
1.637161523,139.9691453,-128.5100997,180.4132737,132.1764115,2899.081311,-128.5100997,139.9691453
1.63769485,140.0396635,-125.1672446,162.1807219,132.268604,9605.87048,-125.1672446,140.0396635
1.638246065,140.1125949,-118.0250998,125.1163301,132.3485522,16241.45483,-118.0250998,140.1125949
1.638806818,140.1868269,-107.1398942,72.96067647,132.4046326,22479.59611,-107.1398942,140.1868269
1.639367571,140.2610815,-92.94624466,12.63260301,132.4288443,28011.59899,-92.94624466,140.2610815
1.639928324,140.3353401,-75.887926,-48.45720836,132.4186573,32671.40968,-75.887926,140.3353401
1.640489076,140.4095837,-56.49403231,-102.8286033,132.3757603,36321.28688,-56.49403231,140.4095837
1.641058542,140.4849479,-35.02370717,-144.3420505,132.3045868,38884.40441,-35.02370717,140.4849479
1.641633438,140.5609839,-12.22256861,-166.9693856,132.2140799,40224.70892,-12.22256861,140.5609839
1.642225214,140.6391954,11.6573693,-166.9984971,132.11407,40250.81504,11.6573693,140.6391954
1.64281699,140.7173492,35.14446155,-143.43292,132.0211041,38900.00104,35.14446155,140.7173492
1.643456801,140.8017914,59.16648671,-95.1577419,131.9436797,35937.90777,59.16648671,140.8017914
1.644099733,140.8866068,80.91965076,-30.38645418,131.9027077,31498.90191,80.91965076,140.8866068
1.644652618,140.9595323,97.03251224,30.45995979,131.902693,26639.03327,97.03251224,140.9595323
1.645205504,141.032467,110.2261756,88.40272847,131.9358522,20965.45859,110.2261756,141.032467
1.645758389,141.1054286,120.0970203,136.4863189,131.9986217,14649.75887,120.0970203,141.1054286
1.646311274,141.1784314,126.3427495,168.9299282,132.0838806,7885.849715,126.3427495,141.1784314
1.64686416,141.2514854,128.7729034,181.8342344,132.1818037,883.1317708,128.7729034,141.2514854
1.647417045,141.3245944,127.3152821,173.657538,132.2810465,-6141.364829,127.3152821,141.3245944
1.64796993,141.397756,122.0178946,145.3995582,132.3701132,-12971.1869,122.0178946,141.397756
1.648540023,141.4732405,112.7109986,98.85965746,132.4404554,-19589.7395,112.7109986,141.4732405
1.649113335,141.5491834,99.72114906,40.19825285,132.480715,-25600.95764,99.72114906,141.5491834
1.649686648,141.6251395,83.51630052,-22.82587741,132.4857106,-30775.8781,83.51630052,141.6251395
1.650259961,141.7010881,64.62352344,-82.13913879,132.4552547,-34953.6104,64.62352344,141.7010881
1.650833273,141.77701,43.65290984,-130.1645671,132.3936943,-38005.87237,43.65290984,141.77701
1.65141124,141.8535054,21.09277807,-160.941731,132.3085981,-39848.90771,21.09277807,141.8535054
1.652002035,141.9316437,-2.677807289,-169.9760499,132.2096713,-40392.00225,-2.677807289,141.9316437
1.65259283,142.0097234,-26.36284935,-155.1298193,132.1124804,-39559.52654,-26.36284935,142.0097234
1.653188948,142.0884524,-49.35322709,-117.9782782,132.0300726,-37349.06895,-49.35322709,142.0884524
1.653818066,142.1714951,-71.74438164,-60.29200554,131.9732046,-33600.82294,-71.74438164,142.1714951
1.654452097,142.2551626,-91.4943486,8.16569378,131.9564061,-28490.51557,-91.4943486,142.2551626
1.654974162,142.3240561,-105.0743802,64.76303542,131.9755875,-23415.27981,-105.0743802,142.3240561
1.655498652,142.3932873,-115.874486,115.2789207,132.0232075,-17673.12489,-115.874486,142.3932873
1.656023141,142.4625498,-123.5278313,153.9769055,132.0944389,-11443.68138,-123.5278313,142.4625498
1.65654763,142.5318544,-127.823672,176.6652381,132.1819168,-4900.003366,-127.823672,142.5318544
1.65707212,142.6012071,-128.6448021,180.8906783,132.2765173,1775.290146,-128.6448021,142.6012071
1.657596609,142.6706091,-125.9709482,166.2069972,132.3683493,8396.248693,-125.9709482,142.6706091
1.658122632,142.7402596,-119.8561837,134.1032449,132.4480343,14798.00184,-119.8561837,142.7402596
1.658670365,142.8128236,-110.021725,85.97227187,132.5088757,21021.03612,-110.021725,142.8128236
1.659220271,142.8857013,-96.88592978,28.21499074,132.5405549,26633.24361,-96.88592978,142.8857013
1.659770178,142.9585874,-80.87680893,-32.17237351,132.5394231,31446.17145,-80.87680893,142.9585874
1.660320084,143.0314639,-62.47288295,-88.070425,132.5059976,35322.48341,-62.47288295,143.0314639
1.66088692,143.1065562,-41.57412773,-134.049586,132.4423383,38222.37005,-41.57412773,143.1065562
1.661453967,143.1816339,-19.3594473,-162.5551492,132.3573119,39924.54396,-19.3594473,143.1816339
1.66203946,143.2590995,4.212068613,-169.8783114,132.2588468,40369.02893,4.212068613,143.2590995
1.662624953,143.3365076,27.64827336,-153.7864172,132.1629771,39462.98692,27.64827336,143.3365076
1.663223534,143.4155924,50.65062765,-115.3570032,132.0814225,37167.02337,50.65062765,143.4155924
1.663850657,143.4984046,72.8361443,-57.07956379,132.0265951,33356.29605,72.8361443,143.4984046
1.664482368,143.5818004,92.34491392,11.34131714,132.0119067,28203.44737,92.34491392,143.5818004
1.664997288,143.6497799,105.5989418,66.96263374,132.0322188,23162.44742,105.5989418,143.6497799
1.665524139,143.7193529,116.3008725,117.2307163,132.0811619,17369.12161,116.3008725,143.7193529
1.666050989,143.7889581,123.8158655,155.3365762,132.1536012,11092.60721,123.8158655,143.7889581
1.66657784,143.8586061,127.9351668,177.1158248,132.2419624,4508.90136,127.9351668,143.8586061
1.667104691,143.9283028,128.5454958,180.1930917,132.3369319,-2196.599133,128.5454958,143.9283028
1.667631542,143.9980491,125.6323269,164.2440646,132.4284784,-8835.484661,125.6323269,143.9980491
1.668166043,144.0688544,119.1629749,130.4326707,132.5079524,-15312.738,119.1629749,144.0688544
1.668717841,144.1419895,108.9710289,80.9399862,132.5668297,-21533.5682,108.9710289,144.1419895
1.669270818,144.2153054,95.48745197,22.36381954,132.5956505,-27109.49181,95.48745197,144.2153054
1.669823795,144.2886281,79.1408509,-38.20073175,132.5911953,-31863.40146,79.1408509,144.2886281
1.670376772,144.3619392,60.42493304,-93.53621601,132.5543701,-35658.30549,60.42493304,144.3619392
1.670943216,144.4370062,39.38402781,-137.9300995,132.488082,-38438.35694,39.38402781,144.4370062
1.671512148,144.5123589,17.00637667,-164.4838616,132.4010977,-40019.64697,17.00637667,144.5123589
1.672099293,144.5900686,-6.647840984,-169.4278657,132.3019108,-40327.62195,-6.647840984,144.5900686
1.672686438,144.6677205,-30.0840516,-150.9149394,132.2067519,-39278.43958,-30.0840516,144.6677205
1.673297028,144.7484187,-53.37581403,-109.4563563,132.1262321,-36780.43136,-53.37581403,144.7484187
1.673928496,144.8318341,-75.41004071,-49.10798239,132.0754541,-32776.69579,-75.41004071,144.8318341
1.674559963,144.9152302,-94.49737083,19.73656779,132.0660099,-27476.43954,-94.49737083,144.9152302
1.675062273,144.981573,-107.0676898,73.44350948,132.089586,-22468.05524,-107.0676898,144.981573
1.67559917,145.0525046,-117.5513043,123.2772709,132.1428756,-16490.23165,-117.5513043,145.0525046
1.676136067,145.1234715,-124.6894786,159.7737948,132.2195643,-10036.16612,-124.6894786,145.1234715
1.676672964,145.1944839,-128.2764627,178.7929052,132.3112999,-3293.978385,-128.2764627,145.1944839
1.677209861,145.2655474,-128.2102424,178.1832639,132.4080247,3539.176486,-128.2102424,145.2655474
1.677746758,145.3366619,-124.495506,158.0278031,132.4991206,10264.16118,-124.495506,145.3366619
1.678309553,145.4112548,-116.8067976,118.4542797,132.577712,16985.7571,-116.8067976,145.4112548
1.678875557,145.4863106,-105.4039678,64.54967499,132.6300224,23198.41827,-105.4039678,145.4863106
1.679441561,145.5613869,-90.68604468,3.256064176,132.649383,28669.64795,-90.68604468,145.5613869
1.680007565,145.6364642,-73.12125843,-57.76053205,132.6337609,33232.49338,-73.12125843,145.6364642
1.680573569,145.7115232,-53.26405439,-110.8925433,132.5854915,36749.76471,-53.26405439,145.7115232
1.681145795,145.7873715,-31.49407522,-149.8538654,132.5100446,39135.83338,-31.49407522,145.7873715
1.681725682,145.8641857,-8.404939027,-169.1617917,132.4164812,40279.32748,-8.404939027,145.8641857
1.682319881,145.9428375,15.53913451,-165.2777175,132.3159164,40081.30779,15.53913451,145.9428375
1.682914079,146.0214316,38.95334026,-137.967525,132.2247269,38500.0944,38.95334026,146.0214316
1.6835526,146.1058348,62.59904035,-86.82352946,132.1519365,35315.10333,62.59904035,146.1058348
1.684195916,146.1908366,83.89611648,-20.52663269,132.1168807,30667.90476,83.89611648,146.1908366
1.684757251,146.2649985,99.72300289,41.1281676,132.1226922,25574.00026,99.72300289,146.2649985
1.685318586,146.3391732,112.4563478,98.35945791,132.162223,19674.36991,112.4563478,146.3391732
1.685879921,146.4133786,121.6944643,144.0852551,132.2309556,13153.56089,121.6944643,146.4133786
1.686441256,146.4876289,127.1458411,172.6403207,132.3207568,6218.411809,127.1458411,146.4876289
1.687002592,146.5619331,128.6395657,180.4901571,132.4208833,-909.6085027,128.6395657,146.5619331
1.687563927,146.6362936,126.1311473,166.6748054,132.5193169,-8003.011876,126.1311473,146.6362936
1.688125262,146.7107061,119.7034142,132.9235997,132.6042583,-14837.10001,119.7034142,146.7107061
1.688701244,146.7871032,109.2509361,81.97810678,132.6667996,-21356.04881,109.2509361,146.7871032
1.689277227,146.8635273,95.23825259,21.09410492,132.6967779,-27166.17837,95.23825259,146.8635273
1.689853209,146.9399583,78.12816824,-41.83734563,132.6907047,-32082.94294,78.12816824,146.9399583
1.690429192,147.0163756,58.48106071,-98.6873324,132.6497556,-35952.70055,58.48106071,147.0163756
1.691012373,147.093715,36.65778577,-142.5627986,132.5785809,-38681.75463,36.65778577,147.093715
1.69159741,147.1712522,13.53924328,-166.9526666,132.4869789,-40130.63584,13.53924328,147.1712522
1.69219812,147.2508079,-10.66728236,-168.1652306,132.3850806,-40225.33342,-10.66728236,147.2508079
1.692798829,147.3303035,-34.50407312,-145.0707236,132.2898322,-38902.43336,-34.50407312,147.3303035
1.693439049,147.4149713,-58.55527746,-97.37221518,132.2111168,-35978.33887,-58.55527746,147.4149713
1.694086188,147.5005141,-80.4795968,-32.57661234,132.1684336,-31544.20362,-80.4795968,147.5005141
1.694636753,147.5732796,-96.562137,27.84800483,132.1670902,-26730.10947,-96.562137,147.5732796
1.695187318,147.6460534,-109.764198,85.57057691,132.1986001,-21106.44196,-109.764198,147.6460534
1.695737884,147.718853,-119.6853131,133.7202922,132.2595507,-14841.76646,-119.6853131,147.718853
1.696288449,147.7916926,-126.0241795,166.5569124,132.3430219,-8126.743625,-126.0241795,147.7916926
1.696839014,147.8645823,-128.589048,180.1666465,132.4394087,-1167.470684,-128.589048,147.8645823
1.69738958,147.9375261,-127.3041466,172.9361851,132.5375688,5822.173466,-127.3041466,147.9375261
1.697940145,148.0105217,-122.2117586,145.7439078,132.6261559,12628.54868,-122.2117586,148.0105217
1.69850843,148.0859125,-113.1306953,100.2096282,132.6967639,19243.84444,-113.1306953,148.0859125
1.69908026,148.1618058,-100.3686034,42.28342831,132.7379171,25270.22228,-100.3686034,148.1618058
1.69965209,148.2377128,-84.38694371,-20.39108495,132.744213,30475.05196,-84.38694371,148.2377128
1.70022392,148.3136132,-65.7030344,-79.82457029,132.7152173,34697.19283,-65.7030344,148.3136132
1.700795749,148.3894878,-44.91729747,-128.462196,132.6549876,37807.57994,-44.91729747,148.3894878
1.701372424,148.4659632,-22.50181394,-160.3141321,132.5707722,39722.23689,-22.50181394,148.4659632
1.701961492,148.5440276,1.148684357,-170.7762699,132.4720976,40348.77631,1.148684357,148.5440276
1.70255056,148.6220335,24.76603649,-157.5362082,132.3742498,39609.44015,24.76603649,148.6220335
1.703139627,148.6999853,47.54944667,-122.3582907,132.2908259,37524.37706,47.54944667,148.6999853
1.703766309,148.7828689,70.00287496,-66.19315058,132.2309296,33901.35011,70.00287496,148.7828689
1.70439997,148.8666497,89.96623386,1.62893078,132.2101567,28897.87677,89.96623386,148.8666497
1.705033631,148.9504311,106.3812368,69.96499316,132.2331033,22738.25721,106.3812368,148.9504311
1.705667293,149.0342402,118.5897026,128.0849644,132.2966556,15665.19214,118.5897026,149.0342402
1.706300954,149.1181002,126.1009595,166.8432712,132.3913167,7962.814879,126.1009595,149.1181002
1.706934615,149.2020263,128.614192,180.1406939,132.502693,-56.16116772,128.614192,149.2020263
1.707568276,149.2860237,126.0317951,165.8994344,132.613765,-8065.734655,126.0317951,149.2860237
1.708201937,149.370087,118.4626891,126.3861246,132.7075746,-15742.71183,118.4626891,149.370087
1.708835598,149.4542003,106.2156537,67.83340191,132.7698943,-22781.83588,106.2156537,149.4542003
1.709469259,149.5383406,89.78377207,-0.5664049982,132.7914508,-28908.52788,89.78377207,149.5383406
1.710102921,149.6224806,69.82177153,-68.1192879,132.7693566,-33888.51236,69.82177153,149.6224806
1.710736582,149.7065937,47.11825494,-124.2993294,132.7075368,-37534.38956,47.11825494,149.7065937
1.711370243,149.7906576,22.56456614,-160.3711094,132.616099,-39709.83278,22.56456614,149.7906576
1.712003904,149.8746579,-2.878498424,-170.7255591,132.5097555,-40332.34416,-2.878498424,149.8746579
1.712637565,149.9585906,-28.21548401,-153.7386175,132.4055402,-39375.35024,-28.21548401,149.9585906
1.713271226,150.0424624,-52.4522875,-112.0295232,132.3201686,-36869.94438,-52.4522875,150.0424624
1.713932053,150.1298829,-75.52429262,-49.23243917,132.2660608,-32705.47615,-75.52429262,150.1298829
1.714516931,150.2072376,-93.27810173,14.39004694,132.2557234,-27831.11865,-93.27810173,150.2072376
1.715101809,150.2845971,-107.8944352,76.71807119,132.2826402,-22006.70835,-107.8944352,150.2845971
1.715686686,150.3619825,-118.8734174,129.3937808,132.3435744,-15428.5127,-118.8734174,150.3619825
1.716271564,150.4394118,-125.8388926,165.3406006,132.4307229,-8322.029993,-125.8388926,150.4394118
1.716856442,150.516897,-128.5530479,179.7294517,132.5327603,-933.2145072,-128.5530479,150.516897
1.717441319,150.594443,-126.9254256,170.6380295,132.6363638,6481.791905,-126.9254256,150.594443
1.718026197,150.6720467,-121.0157197,139.3075552,132.7280096,13667.47859,-121.0157197,150.6720467
1.718620877,150.7509994,-110.8300372,89.01737007,132.7966689,20486.44277,-110.8300372,150.7509994
1.719215558,150.8299832,-96.79398002,27.08542625,132.8315651,26579.78748,-96.79398002,150.8299832
1.719810238,150.9089764,-79.40213031,-37.93413197,132.8282686,31740.76769,-79.40213031,150.9089764
1.720305329,150.9747317,-62.79758712,-87.95825402,132.7968329,35201.11389,-62.79758712,150.9747317
1.720863554,151.048846,-42.29019525,-133.5289031,132.7343475,38085.47774,-42.29019525,151.048846
1.721421778,151.122919,-20.49274392,-162.3539539,132.6508833,39811.843,-20.49274392,151.122919
1.722000299,151.1996323,2.750982586,-170.8533943,132.5533997,40324.80749,2.750982586,151.1996323
1.722578819,151.276289,25.91046009,-156.5204098,132.4576213,39520.79845,25.91046009,151.276289
1.723166144,151.3540595,48.55738019,-120.5202676,132.3753002,37379.60691,48.55738019,151.3540595
1.723786914,151.4362142,70.7018237,-64.32820751,132.3171514,33738.40844,70.7018237,151.4362142
1.724417424,151.5196332,90.45825827,3.287601559,132.2976137,28722.48429,90.45825827,151.5196332
1.725047935,151.6030534,106.6819678,71.09750139,132.3213383,22568.62058,106.6819678,151.6030534
1.725678445,151.6865016,118.7288044,128.5576858,132.3850825,15517.03995,118.7288044,151.6865016
1.726308956,151.7700002,126.1193774,166.7148373,132.4793737,7848.298411,126.1193774,151.7700002
1.726939466,151.8535643,128.5606709,179.6233949,132.5899786,-129.3110851,128.5606709,151.8535643
1.727569977,151.9371989,125.958907,165.2866609,132.700126,-8094.695428,125.958907,151.9371989
1.728200487,152.0208983,118.4226646,125.9638416,132.7931295,-15729.65273,118.4226646,152.0208983
1.728830998,152.1046472,106.2563176,67.7967509,132.8549879,-22733.6114,106.2563176,152.1046472
1.729461508,152.1884227,89.94485709,-0.1720848204,132.8765521,-28836.04773,89.94485709,152.1884227
1.730092019,152.2721982,70.13181948,-67.4196937,132.8549236,-33805.88143,70.13181948,152.2721982
1.730722529,152.3559473,47.59224631,-123.5698138,132.7938792,-37457.90728,47.59224631,152.3559473
1.73135304,152.4396478,23.2023628,-159.9767883,132.7032706,-39656.91385,23.2023628,152.4396478
1.73198355,152.5232857,-2.092848238,-171.034851,132.5975004,-40320.38999,-2.092848238,152.5232857
1.732614061,152.6068564,-27.31354282,-155.0277269,132.49331,-39420.57886,-27.31354282,152.6068564
1.733244571,152.6903663,-51.48009796,-114.3979712,132.4072093,-36986.18879,-51.48009796,152.6903663
1.733903299,152.777566,-74.5803021,-52.45917703,132.3514126,-32897.93693,-74.5803021,152.777566
1.734496031,152.8560094,-92.68234579,11.82410055,132.3391978,-28003.47264,-92.68234579,152.8560094
1.735088763,152.934457,-107.5832376,75.08236833,132.3652263,-22127.47221,-107.5832376,152.934457
1.735681495,153.0129306,-118.7596926,128.6071812,132.4262732,-15473.16261,-118.7596926,153.0129306
1.736274227,153.091449,-125.8184739,165.016067,132.5142879,-8274.747258,-125.8184739,153.091449
1.73686696,153.1700246,-128.5120857,179.2873111,132.6174994,-788.0630308,-128.5120857,153.1700246
1.737459692,153.2486625,-126.7484032,169.4638058,132.7220437,6720.383212,-126.7484032,153.2486625
1.738052424,153.3273593,-120.5935749,136.9212294,132.8138829,13984.96633,-120.5935749,153.3273593
1.738652995,153.4071454,-110.1051716,85.39977247,132.8814159,20837.04837,-110.1051716,153.4071454
1.739253566,153.4869618,-95.71610374,22.46844791,132.9141654,26936.91541,-95.71610374,153.4869618
1.739854138,153.5667864,-77.94313708,-43.0116056,132.9078913,32073.72236,-77.94313708,153.5667864
