time,cuboidLeft.Phi.re,cuboidLeft.Phi.im,source.port_p.reference.gamma
0.149,7.132911324e-12,0,46.80973054
0.15,7.180783212e-12,0,47.1238898
0.151,7.2286551e-12,0,47.43804907
0.152,7.276526988e-12,0,47.75220833
0.153,7.324398876e-12,0,48.0663676
0.154,7.372270764e-12,0,48.38052687
0.155,7.420142653e-12,0,48.69468613
0.156,7.468014541e-12,0,49.0088454
0.157,7.515886429e-12,0,49.32300466
0.158,7.563758317e-12,0,49.63716393
0.159,7.611630205e-12,0,49.95132319
0.16,7.659502093e-12,0,50.26548246
0.161,7.707373981e-12,0,50.57964172
0.162,7.755245869e-12,0,50.89380099
0.163,7.803117757e-12,0,51.20796025
0.164,7.850989645e-12,0,51.52211952
0.165,7.898861533e-12,0,51.83627878
0.166,7.946733421e-12,0,52.15043805
0.167,7.994605309e-12,0,52.46459731
0.168,8.042477198e-12,0,52.77875658
0.169,8.090349086e-12,0,53.09291585
0.17,8.138220974e-12,0,53.40707511
0.171,8.186092862e-12,0,53.72123438
0.172,8.23396475e-12,0,54.03539364
0.173,8.281836638e-12,0,54.34955291
0.174,8.329708526e-12,0,54.66371217
0.175,8.377580414e-12,0,54.97787144
0.176,8.425452302e-12,0,55.2920307
0.177,8.47332419e-12,0,55.60618997
0.178,8.521196078e-12,0,55.92034923
0.179,8.569067966e-12,0,56.2345085
0.18,8.616939855e-12,0,56.54866776
0.181,8.664811743e-12,0,56.86282703
0.182,8.712683631e-12,0,57.1769863
0.183,8.760555519e-12,0,57.49114556
0.184,8.808427407e-12,0,57.80530483
0.185,8.856299295e-12,0,58.11946409
0.186,8.904171183e-12,0,58.43362336
0.187,8.952043071e-12,0,58.74778262
0.188,8.999914959e-12,0,59.06194189
0.189,9.047786847e-12,0,59.37610115
0.19,9.095658735e-12,0,59.69026042
0.191,9.143530623e-12,0,60.00441968
0.192,9.191402512e-12,0,60.31857895
0.193,9.2392744e-12,0,60.63273821
0.194,9.287146288e-12,0,60.94689748
0.195,9.335018176e-12,0,61.26105675
0.196,9.382890064e-12,0,61.57521601
0.197,9.430761952e-12,0,61.88937528
0.198,9.47863384e-12,0,62.20353454
0.199,9.526505728e-12,0,62.51769381
0.2,9.574377616e-12,0,62.83185307
0.201,9.622249504e-12,0,63.14601234
0.202,9.670121392e-12,0,63.4601716
0.203,9.71799328e-12,0,63.77433087
0.204,9.765865168e-12,0,64.08849013
0.205,9.813737057e-12,0,64.4026494
0.206,9.861608945e-12,0,64.71680866
0.207,9.909480833e-12,0,65.03096793
0.208,9.957352721e-12,0,65.34512719
0.209,1.000522461e-11,0,65.65928646
0.21,1.00530965e-11,0,65.97344573
0.211,1.010096839e-11,0,66.28760499
0.212,1.014884027e-11,0,66.60176426
0.213,1.019671216e-11,0,66.91592352
0.214,1.024458405e-11,0,67.23008279
0.215,1.029245594e-11,0,67.54424205
0.216,1.034032783e-11,0,67.85840132
0.217,1.038819971e-11,0,68.17256058
0.218,1.04360716e-11,0,68.48671985
0.219,1.048394349e-11,0,68.80087911
0.22,1.053181538e-11,0,69.11503838
0.221,1.057968727e-11,0,69.42919764
0.222,1.062755915e-11,0,69.74335691
0.223,1.067543104e-11,0,70.05751618
0.224,1.072330293e-11,0,70.37167544
0.225,1.077117482e-11,0,70.68583471
0.226,1.081904671e-11,0,70.99999397
0.227,1.086691859e-11,0,71.31415324
0.228,1.091479048e-11,0,71.6283125
0.229,1.096266237e-11,0,71.94247177
0.23,1.101053426e-11,0,72.25663103
0.231,1.105840615e-11,0,72.5707903
0.232,1.110627803e-11,0,72.88494956
0.233,1.115414992e-11,0,73.19910883
0.234,1.120202181e-11,0,73.51326809
0.235,1.12498937e-11,0,73.82742736
0.236,1.129776559e-11,0,74.14158662
0.237,1.134563748e-11,0,74.45574589
0.238,1.139350936e-11,0,74.76990516
0.239,1.144138125e-11,0,75.08406442
0.24,1.148925314e-11,0,75.39822369
0.241,1.153712503e-11,0,75.71238295
0.242,1.158499692e-11,0,76.02654222
0.243,1.16328688e-11,0,76.34070148
0.244,1.168074069e-11,0,76.65486075
0.245,1.172861258e-11,0,76.96902001
0.246,1.177648447e-11,0,77.28317928
0.247,1.182435636e-11,0,77.59733854
0.248,1.187222824e-11,0,77.91149781
0.249,1.192010013e-11,0,78.22565707
0.25,1.196797202e-11,0,78.53981634
0.251,1.201584391e-11,0,78.85397561
0.252,1.20637158e-11,0,79.16813487
0.253,1.211158768e-11,0,79.48229414
0.254,1.215945957e-11,0,79.7964534
0.255,1.220733146e-11,0,80.11061267
0.256,1.225520335e-11,0,80.42477193
0.257,1.230307524e-11,0,80.7389312
0.258,1.235094712e-11,0,81.05309046
0.259,1.239881901e-11,0,81.36724973
0.26,1.24466909e-11,0,81.68140899
0.261,1.249456279e-11,0,81.99556826
0.262,1.254243468e-11,0,82.30972752
0.263,1.259030657e-11,0,82.62388679
0.264,1.263817845e-11,0,82.93804605
0.265,1.268605034e-11,0,83.25220532
0.266,1.273392223e-11,0,83.56636459
0.267,1.278179412e-11,0,83.88052385
0.268,1.282966601e-11,0,84.19468312
0.269,1.287753789e-11,0,84.50884238
0.27,1.292540978e-11,0,84.82300165
0.271,1.297328167e-11,0,85.13716091
0.272,1.302115356e-11,0,85.45132018
0.273,1.306902545e-11,0,85.76547944
0.274,1.311689733e-11,0,86.07963871
0.275,1.316476922e-11,0,86.39379797
0.276,1.321264111e-11,0,86.70795724
0.277,1.3260513e-11,0,87.0221165
0.278,1.330838489e-11,0,87.33627577
0.279,1.335625677e-11,0,87.65043504
0.28,1.340412866e-11,0,87.9645943
0.281,1.345200055e-11,0,88.27875357
0.282,1.349987244e-11,0,88.59291283
0.283,1.354774433e-11,0,88.9070721
0.284,1.359561621e-11,0,89.22123136
0.285,1.36434881e-11,0,89.53539063
0.286,1.369135999e-11,0,89.84954989
0.287,1.373923188e-11,0,90.16370916
0.288,1.378710377e-11,0,90.47786842
0.289,1.383497566e-11,0,90.79202769
0.29,1.388284754e-11,0,91.10618695
0.291,1.393071943e-11,0,91.42034622
0.292,1.397859132e-11,0,91.73450548
0.293,1.402646321e-11,0,92.04866475
0.294,1.40743351e-11,0,92.36282402
0.295,1.412220698e-11,0,92.67698328
0.296,1.417007887e-11,0,92.99114255
0.297,1.421795076e-11,0,93.30530181
0.298,1.426582265e-11,0,93.61946108
0.299,1.431369454e-11,0,93.93362034
0.3,1.436156642e-11,0,94.24777961
0.301,1.440943831e-11,0,94.56193887
0.302,1.44573102e-11,0,94.87609814
0.303,1.450518209e-11,0,95.1902574
0.304,1.455305398e-11,0,95.50441667
0.305,1.460092586e-11,0,95.81857593
0.306,1.464879775e-11,0,96.1327352
0.307,1.469666964e-11,0,96.44689447
0.308,1.474454153e-11,0,96.76105373
0.309,1.479241342e-11,0,97.075213
0.31,1.484028531e-11,0,97.38937226
0.311,1.488815719e-11,0,97.70353153
0.312,1.493602908e-11,0,98.01769079
0.313,1.498390097e-11,0,98.33185006
0.314,1.503177286e-11,0,98.64600932
0.315,1.507964475e-11,0,98.96016859
0.316,1.512751663e-11,0,99.27432785
0.317,1.517538852e-11,0,99.58848712
0.318,1.522326041e-11,0,99.90264638
0.319,1.52711323e-11,0,100.2168056
0.32,1.531900419e-11,0,100.5309649
0.321,1.536687607e-11,0,100.8451242
0.322,1.541474796e-11,0,101.1592834
0.323,1.546261985e-11,0,101.4734427
0.324,1.551049174e-11,0,101.787602
0.325,1.555836363e-11,0,102.1017612
0.326,1.560623551e-11,0,102.4159205
0.327,1.56541074e-11,0,102.7300798
0.328,1.570197929e-11,0,103.044239
0.329,1.574985118e-11,0,103.3583983
0.33,1.579772307e-11,0,103.6725576
0.331,1.584559495e-11,0,103.9867168
0.332,1.589346684e-11,0,104.3008761
0.333,1.594133873e-11,0,104.6150354
0.334,1.598921062e-11,0,104.9291946
0.335,1.603708251e-11,0,105.2433539
0.336,1.60849544e-11,0,105.5575132
0.337,1.613282628e-11,0,105.8716724
0.338,1.618069817e-11,0,106.1858317
0.339,1.622857006e-11,0,106.499991
0.34,1.627644195e-11,0,106.8141502
0.341,1.632431384e-11,0,107.1283095
0.342,1.637218572e-11,0,107.4424688
0.343,1.642005761e-11,0,107.756628
0.344,1.64679295e-11,0,108.0707873
0.345,1.651580139e-11,0,108.3849465
0.346,1.656367328e-11,0,108.6991058
0.347,1.661154516e-11,0,109.0132651
0.348,1.665941705e-11,0,109.3274243
0.349,1.670728894e-11,0,109.6415836
0.35,1.675516083e-11,0,109.9557429
0.351,1.680303272e-11,0,110.2699021
0.352,1.68509046e-11,0,110.5840614
0.353,1.689877649e-11,0,110.8982207
0.354,1.694664838e-11,0,111.2123799
0.355,1.699452027e-11,0,111.5265392
0.356,1.704239216e-11,0,111.8406985
0.357,1.709026404e-11,0,112.1548577
0.358,1.713813593e-11,0,112.469017
0.359,1.718600782e-11,0,112.7831763
0.36,1.723387971e-11,0,113.0973355
0.361,1.72817516e-11,0,113.4114948
0.362,1.732962349e-11,0,113.7256541
0.363,1.737749537e-11,0,114.0398133
0.364,1.742536726e-11,0,114.3539726
0.365,1.747323915e-11,0,114.6681319
0.366,1.752111104e-11,0,114.9822911
0.367,1.756898293e-11,0,115.2964504
0.368,1.761685481e-11,0,115.6106097
0.369,1.76647267e-11,0,115.9247689
0.37,1.771259859e-11,0,116.2389282
0.371,1.776047048e-11,0,116.5530874
0.372,1.780834237e-11,0,116.8672467
0.373,1.785621425e-11,0,117.181406
0.374,1.790408614e-11,0,117.4955652
0.375,1.795195803e-11,0,117.8097245
0.376,1.799982992e-11,0,118.1238838
0.377,1.804770181e-11,0,118.438043
0.378,1.809557369e-11,0,118.7522023
0.379,1.814344558e-11,0,119.0663616
0.38,1.819131747e-11,0,119.3805208
0.381,1.823918936e-11,0,119.6946801
0.382,1.828706125e-11,0,120.0088394
0.383,1.833493313e-11,0,120.3229986
0.384,1.838280502e-11,0,120.6371579
0.385,1.843067691e-11,0,120.9513172
0.386,1.84785488e-11,0,121.2654764
0.387,1.852642069e-11,0,121.5796357
0.388,1.857429258e-11,0,121.893795
0.389,1.862216446e-11,0,122.2079542
0.39,1.867003635e-11,0,122.5221135
0.391,1.871790824e-11,0,122.8362728
0.392,1.876578013e-11,0,123.150432
0.393,1.881365202e-11,0,123.4645913
0.394,1.88615239e-11,0,123.7787506
0.395,1.890939579e-11,0,124.0929098
0.396,1.895726768e-11,0,124.4070691
0.397,1.900513957e-11,0,124.7212283
0.398,1.905301146e-11,0,125.0353876
0.399,1.910088334e-11,0,125.3495469
0.4,1.914875523e-11,0,125.6637061
0.401,1.919662712e-11,0,125.9778654
0.402,1.924449901e-11,0,126.2920247
0.403,1.92923709e-11,0,126.6061839
0.404,1.934024278e-11,0,126.9203432
0.405,1.938811467e-11,0,127.2345025
0.406,1.943598656e-11,0,127.5486617
0.407,1.948385845e-11,0,127.862821
0.408,1.953173034e-11,0,128.1769803
0.409,1.957960223e-11,0,128.4911395
0.41,1.962747411e-11,0,128.8052988
0.411,1.9675346e-11,0,129.1194581
0.412,1.972321789e-11,0,129.4336173
0.413,1.977108978e-11,0,129.7477766
0.414,1.981896167e-11,0,130.0619359
0.415,1.986683355e-11,0,130.3760951
0.416,1.991470544e-11,0,130.6902544
0.417,1.996257733e-11,0,131.0044137
0.418,2.001044922e-11,0,131.3185729
0.419,2.005832111e-11,0,131.6327322
0.42,2.010619299e-11,0,131.9468915
0.421,2.015406488e-11,0,132.2610507
0.422,2.020193677e-11,0,132.57521
0.423,2.024980866e-11,0,132.8893692
0.424,2.029768055e-11,0,133.2035285
0.425,2.034555243e-11,0,133.5176878
0.426,2.039342432e-11,0,133.831847
0.427,2.044129621e-11,0,134.1460063
0.428,2.04891681e-11,0,134.4601656
0.429,2.053703999e-11,0,134.7743248
0.43,2.058491187e-11,0,135.0884841
0.431,2.063278376e-11,0,135.4026434
0.432,2.068065565e-11,0,135.7168026
0.433,2.072852754e-11,0,136.0309619
