time,C2.v,C1.v,L.i
18420,0.5671904688,-0.3529229716,0.2470316713
18421,0.559458753,-0.3276477503,0.2781456768
18422,0.5516051232,-0.3023256164,0.30880528
18423,0.5436350728,-0.2769624492,0.3390041793
18424,0.5355540984,-0.2515639391,0.3687363827
18425,0.5273677001,-0.2261355879,0.3979962086
18426,0.5190814158,-0.2006827848,0.4267783198
18427,0.5107007108,-0.1752105743,0.4550776409
18428,0.5022309341,-0.1497235564,0.4828893023
18429,0.4936775837,-0.1242264617,0.5102088924
18430,0.485046132,-0.09872377334,0.5370322946
18431,0.4763420254,-0.07321972729,0.5633556874
18432,0.4675706849,-0.04771831242,0.5891755447
18433,0.4587375059,-0.0222232704,0.6144886353
18434,0.4498478578,0.003261904313,0.6392920235
18435,0.4409070846,0.02873396441,0.6635830685
18436,0.4319205044,0.05418990978,0.6873594249
18437,0.42289341,0.07962698749,0.7106190423
18438,0.4138310682,0.1050426918,0.7333601657
18439,0.4047387201,0.1304347641,0.755581335
18440,0.3956215814,0.1558011931,0.7772813855
18441,0.3864848419,0.1811402144,0.7984594477
18442,0.3773336658,0.2064503112,0.819114947
18443,0.3681731916,0.2317302136,0.8392476043
18444,0.3590085323,0.2569788988,0.8588574355
18445,0.349844806,0.2821954056,0.8779448973
18446,0.340686916,0.3073798331,0.8965101453
18447,0.3315398696,0.3325319286,0.914554086
18448,0.3224086315,0.3576517392,0.9320778868
18449,0.3132981226,0.382739621,0.9490829691
18450,0.3042132196,0.4077962387,0.965571008
18451,0.2951587549,0.4328225662,0.9815439328
18452,0.2861395172,0.4578198863,0.9970039266
18453,0.2771602507,0.4827897905,1.011953426
18454,0.2682256557,0.5077341793,1.026395123
18455,0.2593403884,0.5326552622,1.040331962
18456,0.2505090607,0.5575555574,1.053767142
18457,0.2417362406,0.5824378922,1.066704115
18458,0.2330264519,0.6073054025,1.079146589
18459,0.2243841744,0.6321615336,1.091098524
18460,0.2158138436,0.6570100391,1.102564135
18461,0.207319851,0.681854982,1.113547891
18462,0.198906544,0.7067007338,1.124054514
18463,0.1905782259,0.7315519753,1.13408898
18464,0.1823391594,0.7564137597,1.143656466
18465,0.1741935321,0.781291593,1.152762311
18466,0.1661454986,0.8061912211,1.161412149
18467,0.1581991672,0.8311187476,1.169611835
18468,0.1503585987,0.856080635,1.17736744
18469,0.1426278073,0.8810837053,1.184685256
18470,0.1350107599,0.9061351395,1.191571788
18471,0.1275113763,0.9312424779,1.198033764
18472,0.1201331396,0.9564079222,1.204078055
18473,0.1128817575,0.9817380508,1.209712073
18474,0.1057596186,1.006986433,1.214943137
18475,0.09876729122,1.031804411,1.219778495
18476,0.09190570178,1.055870698,1.224225622
18477,0.08517422504,1.079074382,1.228292296
18478,0.07857060651,1.1015482,1.231985889
18479,0.07209381032,1.123307606,1.23531368
18480,0.06574271601,1.144370938,1.238282987
18481,0.05951628918,1.16475595,1.240901001
18482,0.0534135374,1.184480027,1.243174847
18483,0.04743349358,1.20356026,1.245111594
18484,0.04157521605,1.222013445,1.24671826
18485,0.03583778852,1.239856089,1.248001813
18486,0.03022032008,1.257104402,1.248969167
18487,0.0247219452,1.273774303,1.249627186
18488,0.01934182376,1.289881415,1.24998268
18489,0.01407914102,1.305441072,1.25004241
