time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0.0285,295.6611856,295.6611837,5.93778e-09,293.4723102,293.4888066,5.30981e-05,293.1729357,293.1646263,2.71748e-05
0.029,295.7001763,295.7002512,2.3399e-07,293.4824996,293.4997387,5.54884e-05,293.1740461,293.165337,2.84819e-05
0.0295,295.7390213,295.7391787,4.91957e-07,293.4928097,293.5108107,5.79407e-05,293.1751887,293.1660681,2.98276e-05
0.03,295.7777218,295.7779676,7.68214e-07,293.5032388,293.5220212,6.04558e-05,293.1763636,293.1668196,3.12125e-05
0.0305,295.8162793,295.8166195,1.06296e-06,293.5137854,293.5333688,6.30344e-05,293.1775713,293.1675917,3.2637e-05
0.031,295.8546951,295.8551355,1.37636e-06,293.5244476,293.5448522,6.56773e-05,293.1788121,293.1683845,3.41019e-05
0.0315,295.8929704,295.8935171,1.7085e-06,293.5352241,293.5564701,6.83855e-05,293.1800862,293.1691982,3.56077e-05
0.032,295.9311066,295.9317656,2.05947e-06,293.5461131,293.5682209,7.11597e-05,293.1813941,293.1700329,3.71552e-05
0.0325,295.9691069,295.9698824,2.42345e-06,293.5571108,293.5801036,7.40081e-05,293.1827358,293.1708887,3.87444e-05
0.033,296.0069738,296.0078686,2.79654e-06,293.5682142,293.5921167,7.69362e-05,293.1841116,293.1717656,4.03758e-05
0.0335,296.0447065,296.0457257,3.18513e-06,293.5794241,293.604259,7.99374e-05,293.185522,293.1726639,4.20505e-05
0.034,296.0823065,296.0834549,3.58885e-06,293.5907387,293.6165292,8.30131e-05,293.1869673,293.1735837,4.37693e-05
0.0345,296.1197752,296.1210574,4.00729e-06,293.6021564,293.6289259,8.61646e-05,293.1884478,293.1745249,4.5533e-05
0.035,296.1571138,296.1585346,4.43999e-06,293.6136754,293.6414481,8.93934e-05,293.1899638,293.1754877,4.73421e-05
0.0355,296.1943239,296.1958875,4.88645e-06,293.6252941,293.6540944,9.27012e-05,293.1915157,293.1764722,4.91975e-05
0.036,296.2314069,296.2331175,5.34612e-06,293.6370107,293.6668637,9.60895e-05,293.1931037,293.1774785,5.11e-05
0.0365,296.268364,296.2702258,5.81839e-06,293.6488235,293.6797547,9.95598e-05,293.1947281,293.1785065,5.30503e-05
0.037,296.3051967,296.3072126,6.29986e-06,293.6607309,293.6927671,0.000103117,293.1963893,293.1795561,5.50507e-05
0.0375,296.3419065,296.3440792,6.79015e-06,293.672731,293.7058997,0.000106762,293.1980876,293.1806272,5.71017e-05
0.038,296.3784946,296.3808282,7.29287e-06,293.6848222,293.7191499,0.000110492,293.1998233,293.1817207,5.92021e-05
0.0385,296.4149625,296.4174607,7.80717e-06,293.6970029,293.7325166,0.00011431,293.2015967,293.1828365,6.13526e-05
0.039,296.4513091,296.4539778,8.34007e-06,293.7092744,293.7459987,0.000118207,293.2034069,293.1839747,6.35501e-05
0.0395,296.487527,296.4903805,8.91757e-06,293.7216461,293.7595951,0.000122148,293.2052497,293.1851354,6.57812e-05
0.04,296.5236261,296.5266701,9.51285e-06,293.7341057,293.7733046,0.000126172,293.2071298,293.1863185,6.80605e-05
0.0405,296.5596075,296.5628475,1.01255e-05,293.7466517,293.7871263,0.000130278,293.2090473,293.1875241,7.03886e-05
0.041,296.5954724,296.5989139,1.07553e-05,293.7592827,293.801059,0.000134467,293.2110025,293.1887523,7.27661e-05
0.0415,296.631222,296.6348704,1.14017e-05,293.7719972,293.8151016,0.000138742,293.2129955,293.190003,7.51936e-05
0.042,296.6668575,296.6707179,1.20642e-05,293.7847938,293.8292531,0.000143104,293.2150266,293.1912764,7.76717e-05
0.0425,296.7023801,296.7064576,1.27426e-05,293.7976709,293.8435125,0.000147553,293.217096,293.1925723,8.0201e-05
0.043,296.7377911,296.7420904,1.34361e-05,293.8106271,293.8578786,0.000152091,293.2192039,293.193891,8.27822e-05
0.0435,296.7730915,296.7776175,1.41445e-05,293.823661,293.8723504,0.000156719,293.2213505,293.1952323,8.54159e-05
