time,m4.v,m4.s,m3.v,m3.s,m2.v,m2.s,m1.v,m1.s,sd2.s_rel,sd1.s_rel,sd2.v_rel,sd1.v_rel
1.273033142,0,12.5,0,4.5,1.241606705,2.680342464,-6.547255401,0.4238067174,4,0.7565357465,0,7.788862105
1.302290122,0,12.5,0,4.5,1.523582215,2.721956909,-2.241635287,0.2839356983,4,0.9380212103,0,3.765217502
1.327906702,0,12.5,0,4.5,1.605454229,2.761880666,3.328787125,0.2988405274,4,0.9630401387,0,-1.723332896
1.353523282,0,12.5,0,4.5,1.913327029,2.806219727,6.618512094,0.4344878476,4,0.8717318798,0,-4.705185065
1.380546845,0,12.5,0,4.5,2.591972265,2.866444088,5.300327472,0.6068078026,4,0.7596362852,0,-2.708355207
1.408593808,0,12.5,0,4.5,3.374196844,2.950535583,0.05213094656,0.686746643,4,0.7637889402,0,3.322065898
1.436640771,0,12.5,0,4.5,3.702778453,3.051403696,-4.810452652,0.6135059336,4,0.9378977621,0,8.513231105
1.464687735,0,12.5,0,4.5,3.245904453,3.150731064,-5.396955208,0.4581328648,4,1.192598199,0,8.642859661
1.495354943,0,12.5,0,4.5,2.030529914,3.232841735,-0.9080776751,0.351761421,4,1.381080314,0,2.938607589
1.520225981,0,12.5,0,4.5,0.9448719469,3.269547778,3.650843033,0.3880578702,4,1.381489908,0,-2.705971086
1.54509702,0,12.5,0,4.5,0.1415301108,3.282253467,5.798070574,0.512874445,4,1.269379022,0,-5.656540463
1.571565147,0,12.5,0,4.5,-0.2926333349,3.279411714,3.95496305,0.6509558176,4,1.128455897,0,-4.247596384
1.598033274,0,12.5,0,4.5,-0.501615913,3.268796126,-0.7126911291,0.6966699453,4,1.072126181,0,0.2110752161
1.6245014,0,12.5,0,4.5,-0.8393540301,3.251673674,-4.788561636,0.6186233849,4,1.133050289,0,3.949207606
1.650969527,0,12.5,0,4.5,-1.511087556,3.22131263,-5.387114552,0.4747017786,4,1.246610851,0,3.876026996
1.680635049,0,12.5,0,4.5,-2.504817784,3.161849106,-1.683989024,0.3612700128,4,1.300579094,0,-0.8208287601
1.705141832,0,12.5,0,4.5,-3.158881688,3.09175684,2.449085852,0.3718816698,4,1.219875171,0,-5.60796754
1.729648616,0,12.5,0,4.5,-3.357866297,3.010797713,4.751199758,0.4659856558,4,1.044812057,0,-8.109066055
1.75601036,0,12.5,0,4.5,-2.977979877,2.926053044,3.636965594,0.5847555728,4,0.8412974713,0,-6.614945471
1.783865375,0,12.5,0,4.5,-2.147119139,2.854134953,-0.4873934131,0.6322793116,4,0.7218556416,0,-1.659725726
1.806311587,0,12.5,0,4.5,-1.456715261,2.813901318,-3.727417974,0.5826604477,4,0.7312408705,0,2.270702713
1.830590138,0,12.5,0,4.5,-0.9185983718,2.785617787,-4.977595167,0.4708859152,4,0.8147318717,0,4.058996795
1.856328591,0,12.5,0,4.5,-0.6184180653,2.766304546,-3.010746449,0.3615036263,4,0.9048009198,0,2.392328384
1.882067043,0,12.5,0,4.5,-0.406010361,2.753005873,0.9257109487,0.3332079479,4,0.9197979254,0,-1.33172131
1.907805495,0,12.5,0,4.5,-0.01135052254,2.74701071,4.110000584,0.4025142298,4,0.8444964803,0,-4.121351107
1.933543948,0,12.5,0,4.5,0.6995156219,2.755212842,4.420165268,0.5194822483,4,0.7357305939,0,-3.720649646
1.963047319,0,12.5,0,4.5,1.742810737,2.79110401,1.236143392,0.6097024193,4,0.6814015907,0,0.5066673452
1.98703134,0,12.5,0,4.5,2.466266231,2.842114504,-2.138752808,0.5977595972,4,0.7443549063,0,4.605019039
2.011015362,0,12.5,0,4.5,2.826410941,2.90645614,-3.995383399,0.5195320578,4,0.8869240819,0,6.82179434
2.037029175,0,12.5,0,4.5,2.726562095,2.979709389,-3.068869827,0.4209889448,4,1.058720444,0,5.795431922
2.064694971,0,12.5,0,4.5,2.240290548,3.048940843,0.3839443642,0.3807145799,4,1.168226264,0,1.856346184
2.086904308,0,12.5,0,4.5,1.802149073,3.093714807,3.131699347,0.4215648426,4,1.172149964,0,-1.329550274
2.111012242,0,12.5,0,4.5,1.462854895,3.132694898,4.280891994,0.5159103524,4,1.116784546,0,-2.818037099
2.136541074,0,12.5,0,4.5,1.286417993,3.167490797,2.750688647,0.6111967762,4,1.056294021,0,-1.464270655
2.16218302,0,12.5,0,4.5,1.142395736,3.198810756,-0.5233421811,0.6412352398,4,1.057575516,0,1.665737917
2.187824967,0,12.5,0,4.5,0.8045590608,3.224386879,-3.288591227,0.5888380962,4,1.135548783,0,4.093150288
2.213466913,0,12.5,0,4.5,0.1540559273,3.237333951,-3.712161216,0.4931140263,4,1.244219925,0,3.866217143
2.242795922,0,12.5,0,4.5,-0.8478450582,3.227453072,-1.1837323,0.4153663123,4,1.31208676,0,0.3358872422
2.266366718,0,12.5,0,4.5,-1.60190771,3.198233837,1.627732719,0.4212241669,4,1.27700967,0,-3.22964043
2.289937514,0,12.5,0,4.5,-2.093055619,3.154035273,3.325270849,0.4831495168,4,1.170885757,0,-5.418326468
2.315518621,0,12.5,0,4.5,-2.237101615,3.09781627,2.799397448,0.5669512701,4,1.030865,0,-5.036499063
2.344547816,0,12.5,0,4.5,-2.038572215,3.035161054,-0.1617711898,0.6088213604,4,0.9263396937,0,-1.876801025
2.366524418,0,12.5,0,4.5,-1.821697966,2.992797939,-2.527195099,0.5779670053,4,0.9148309333,0,0.7054971329
2.390686611,0,12.5,0,4.5,-1.672828615,2.950847757,-3.662229017,0.4990440294,4,0.9518037276,0,1.989400402
2.416088352,0,12.5,0,4.5,-1.643882593,2.908917644,-2.544567506,0.415472326,4,0.9934453175,0,0.9006849135
2.442425772,0,12.5,0,4.5,-1.615245851,2.865767958,0.2376234804,0.3834544633,4,0.9823134952,0,-1.852869331
2.468763192,0,12.5,0,4.5,-1.377430068,2.825702527,2.667214301,0.4247887196,4,0.9009138071,0,-4.044644369
2.495100612,0,12.5,0,4.5,-0.8152019367,2.796123653,3.045677727,0.5054509033,4,0.7906727492,0,-3.860879664
2.525088924,0,12.5,0,4.5,0.106513999,2.785106203,0.8401414837,0.5689434791,4,0.7161627236,0,-0.7336274847
2.549021309,0,12.5,0,4.5,0.8293416647,2.796564049,-1.539044262,0.5598816611,4,0.7366823877,0,2.368385927
2.572953694,0,12.5,0,4.5,1.346208774,2.823128846,-2.881951295,0.5037363532,4,0.8193924926,0,4.228160069
2.598890908,0,12.5,0,4.5,1.594755577,2.861940971,-2.265278468,0.4322510191,4,0.9296899515,0,3.860034045
2.627510083,0,12.5,0,4.5,1.599247538,2.908056402,0.2876123755,0.4014005583,4,1.006655844,0,1.311635162
2.649543899,0,12.5,0,4.5,1.561663518,2.942821427,2.255577225,0.4306715911,4,1.012149835,0,-0.693913707
2.673945207,0,12.5,0,4.5,1.596798902,2.98114138,3.111206194,0.4998338416,4,0.9813075384,0,-1.514407292
2.699668462,0,12.5,0,4.5,1.724397612,3.02375197,2.025815454,0.5699187357,4,0.9538332338,0,-0.3014178415
2.725764843,0,12.5,0,4.5,1.816686819,3.070243428,-0.328952404,0.5931002411,4,0.9771431874,0,2.145639223
2.751861224,0,12.5,0,4.5,1.69122912,3.116646937,-2.266718968,0.5564906265,4,1.06015631,0,3.957948089
2.777957605,0,12.5,0,4.5,1.257827881,3.1557822,-2.456072238,0.4904101377,4,1.165372062,0,3.713900119
2.808612863,0,12.5,0,4.5,0.4654641679,3.182642286,-0.4587694541,0.4413784278,4,1.241263858,0,0.924233622
2.832078152,0,12.5,0,4.5,-0.1548234059,3.18612056,1.477743393,0.4540904486,4,1.232030111,0,-1.632566799
2.85565015,0,12.5,0,4.5,-0.6329202134,3.176458384,2.501351068,0.5036876318,4,1.172770752,0,-3.134271281
2.881267244,0,12.5,0,4.5,-0.9270503661,3.15600038,1.89713942,0.5638340664,4,1.092166314,0,-2.824189787
2.909312056,0,12.5,0,4.5,-1.063133016,3.127837434,-0.2505646154,0.5888429512,4,1.038994483,0,-0.8125684008
2.931143883,0,12.5,0,4.5,-1.151593996,3.103727111,-1.900093562,0.5643185885,4,1.039408522,0,0.7484995665
2.955313005,0,12.5,0,4.5,-1.319871223,3.074042835,-2.62466945,0.506618045,4,1.06742479,0,1.304798227
2.980959602,0,12.5,0,4.5,-1.572704946,3.037026284,-1.732441125,0.4473860242,4,1.08964026,0,0.1597361793
3.006964277,0,12.5,0,4.5,-1.787777555,2.993061557,0.2286191945,0.4269413896,4,1.066120167,0,-2.016396749
3.032968951,0,12.5,0,4.5,-1.801911041,2.945810963,1.853944666,0.4562746844,4,0.9895362791,0,-3.655855707
