time,inertia4.w,inertia4.phi,inertia3.w,inertia3.phi,inertia2.w,inertia2.phi,inertia1.w,inertia1.phi
0.4998880724,1.61006037,33.33394583,66.67164106,40.53904824,60.6598551,39.3401449,50.01119276,37.49440299
0.4999240631,1.368388358,33.33399955,66.67004128,40.54144777,60.65767195,39.34232805,50.00759369,37.49620287
0.4999612202,1.062732761,33.33404495,66.66838972,40.54392501,60.65541813,39.34458187,50.00387798,37.49806094
0.4999668431,1.00843588,33.33405078,66.6681398,40.54429988,60.65507707,39.34492293,50.00331569,37.4983421
0.4999675502,1.001400357,33.33405149,66.66810838,40.54434701,60.65503419,39.34496581,50.00324498,37.49837746
0.499967967,0.997421284,33.3340519,66.66808985,40.5443748,60.6550089,39.3449911,50.0032033,37.4983983
0.499968162,0.997401833,33.3340521,66.66808118,40.5443878,60.65499708,39.34500292,50.0031838,37.49840805
0.4999701121,0.9972073441,33.33405404,66.66799451,40.54451781,60.65487879,39.34512121,50.00298879,37.49850556
0.4999896136,0.995264539,33.33407347,66.66712775,40.54581793,60.65369594,39.34630406,50.00103864,37.49948067
0.5001846282,0.9760434548,33.33426568,66.65846144,40.55881815,60.64186874,39.35813126,49.98153718,37.50922971
0.5016692083,0.8413847911,33.33561227,66.59256156,40.65772904,60.55190782,39.44809218,49.83307917,37.5833211
0.5043892227,0.6410116692,33.337616,66.47215873,40.83869792,60.38742955,39.61257045,49.56107773,37.71849787
0.5076549718,0.4624196228,33.33940192,66.32817261,41.05554403,60.19054103,39.80945897,49.23450282,37.87981866
0.5116751347,0.309344789,33.34093267,66.15177885,41.32183921,59.94905099,40.05094901,48.83248653,38.07694129
0.5162896831,0.1950004085,33.34207611,65.95045809,41.62663482,59.67305049,40.32694951,48.37103169,38.30121647
0.5215268848,0.1155012721,33.34287111,65.72345202,41.97143555,59.36134763,40.63865237,47.84731152,38.5531739
0.5272946025,0.06487808384,33.34337734,65.47525215,42.34979319,59.01995361,40.98004639,47.27053975,38.82748036
0.5335671331,0.03464858844,33.34367963,65.20744808,42.75964766,58.65090778,41.34909222,46.64328669,39.12201903
0.5403006022,0.01767074303,33.34384941,64.92239182,43.19775889,58.25731033,41.74268967,45.96993978,39.43382318
0.5474980704,0.008603455331,33.34394008,64.62043549,43.66394739,57.83951055,42.16048945,45.25019296,39.76210018
0.5552035894,0.003981316619,33.3439863,64.30026262,44.16064579,57.39553981,42.60446019,44.47964106,40.10780766
0.5635380897,0.001730072718,33.34400882,63.95750758,44.69512546,56.9191646,43.0808354,43.64619103,40.47505004
0.5727072127,0.0006916001232,33.3440192,63.58462556,45.27984688,56.39965116,43.60034884,42.72927873,40.87104369
0.583014292,0.0002467320016,33.34402365,63.17062312,45.93308044,55.82132104,44.17867896,41.6985708,41.30614597
0.5948869383,7.526710421e-05,33.34402537,62.70036881,46.68028437,55.162493,44.837507,40.51130617,41.79417036
0.6089514144,1.844148899e-05,33.34402593,62.15228027,47.55826663,54.39209178,45.60790822,39.10485856,42.35405018
0.6261928729,3.288529345e-06,33.34402608,61.49332034,48.6241617,53.46233104,46.53766896,37.38071271,43.01341159
0.6483044934,3.601758297e-07,33.34402611,60.66840178,49.97471746,52.29316596,47.70683404,35.16955066,43.81551353
0.6785447388,1.735905096e-08,33.34402612,59.57541492,51.79271857,50.73547891,49.26452109,32.14552612,44.83332575
0.7242183117,1.22332091e-10,33.34402612,57.99729571,54.47737896,48.47033078,51.52966922,27.57816883,46.19722302
0.8060002021,-3.040921739e-12,33.34402612,55.37097901,59.11145608,44.66409718,55.33590282,19.39997979,48.11820392
0.9324955218,1.887766127e-13,33.34402612,51.74656173,65.88121759,39.35703205,60.64296795,6.750447821,49.77215727
0.9887306946,-7.74740018e-16,33.34402612,50.28332851,68.74965847,37.20486348,62.79513652,1.126930543,49.99365014
0.9908232341,-6.284607391e-16,33.34402612,50.23047608,68.854823,37.12709223,62.87290777,0.921456436,49.99579052
0.9921644926,-5.495763513e-16,33.34402612,50.19665756,68.92217237,37.07732858,62.92267142,0.8057952302,49.99694713
0.9965580167,-3.541764798e-16,33.34402612,50.08619735,69.14246976,36.91478578,63.08521422,0.5192976689,49.9998121
1.000951541,-2.282503215e-16,33.34402612,49.97622222,69.36228291,36.75295554,63.24704446,0.3346632727,50.00165845
1.006282906,-1.339285582e-16,33.34402612,49.84341868,69.62837006,36.55753352,63.44246648,0.1963676078,50.0030414
1.01196441,-7.588023253e-17,33.34402612,49.70266789,69.91115542,36.35042066,63.64957934,0.1112564784,50.00389252
1.018229381,-4.055500647e-17,33.34402612,49.54838127,70.22205741,36.1233982,63.8766018,0.05946222159,50.00441046
1.024885892,-2.084279673e-17,33.34402612,49.38549835,70.55133403,35.88374094,64.11625906,0.03055995068,50.00469948
