time,cActuator.x_ref,cActuator.x_sim,cActuator.x_relerr,pmActuator.x_ref,pmActuator.x_sim,pmActuator.x_relerr
0.00198,-0.00394771716,-0.003947717158,6.19838e-10,-0.003930310339,-0.003930310331,1.87466e-09
0.00199,-0.003946988403,-0.003946988401,6.08069e-10,-0.003929362965,-0.003929362957,1.85805e-09
0.002,-0.003946253527,-0.003946253525,5.93019e-10,-0.003928408085,-0.003928408077,1.8384e-09
0.00201,-0.003945512517,-0.003945512515,5.76494e-10,-0.003927445686,-0.003927445679,1.81933e-09
0.00202,-0.003944765359,-0.003944765356,5.60284e-10,-0.003926475757,-0.00392647575,1.80425e-09
0.00203,-0.003944012036,-0.003944012034,5.46019e-10,-0.003925498286,-0.003925498278,1.79607e-09
0.00204,-0.003943252536,-0.003943252534,5.3502e-10,-0.003924513261,-0.003924513253,1.79688e-09
0.00205,-0.003942486844,-0.003942486842,5.28149e-10,-0.00392352067,-0.003923520663,1.80769e-09
0.00206,-0.003941714946,-0.003941714943,5.25663e-10,-0.003922520502,-0.003922520495,1.82806e-09
0.00207,-0.003940936826,-0.003940936824,5.29192e-10,-0.003921512747,-0.003921512739,1.86082e-09
0.00208,-0.003940152473,-0.003940152471,5.46534e-10,-0.003920497393,-0.003920497385,1.92317e-09
0.00209,-0.003939361871,-0.003939361869,5.69647e-10,-0.003919474428,-0.00391947442,1.99569e-09
0.0021,-0.003938565007,-0.003938565004,5.96086e-10,-0.003918443843,-0.003918443835,2.07209e-09
0.00211,-0.003937761867,-0.003937761864,6.22198e-10,-0.003917405627,-0.003917405618,2.14352e-09
0.00212,-0.003936952437,-0.003936952434,6.42975e-10,-0.003916359769,-0.00391635976,2.19822e-09
0.00213,-0.003936136704,-0.003936136702,6.22423e-10,-0.003915306259,-0.00391530625,2.17292e-09
0.00214,-0.003935314655,-0.003935314653,5.89951e-10,-0.003914245087,-0.003914245078,2.12917e-09
0.00215,-0.003934486277,-0.003934486275,5.84849e-10,-0.003913176242,-0.003913176233,2.13452e-09
0.00216,-0.003933651556,-0.003933651553,5.96718e-10,-0.003912099715,-0.003912099706,2.16901e-09
0.00217,-0.003932810478,-0.003932810476,6.25896e-10,-0.003911015497,-0.003911015488,2.23715e-09
0.00218,-0.003931963032,-0.00393196303,6.6286e-10,-0.003909923577,-0.003909923567,2.31973e-09
0.00219,-0.003931109205,-0.003931109202,7.00367e-10,-0.003908823946,-0.003908823936,2.40226e-09
0.0022,-0.003930248983,-0.00393024898,7.34421e-10,-0.003907716595,-0.003907716585,2.47735e-09
0.00221,-0.003929382354,-0.003929382351,7.62088e-10,-0.003906601514,-0.003906601504,2.53958e-09
0.00222,-0.003928509305,-0.003928509302,7.81365e-10,-0.003905478696,-0.003905478685,2.58529e-09
0.00223,-0.003927629824,-0.003927629821,7.91044e-10,-0.00390434813,-0.003904348119,2.61226e-09
0.00224,-0.003926743899,-0.003926743896,7.90572e-10,-0.003903209807,-0.003903209797,2.61947e-09
0.00225,-0.003925851517,-0.003925851514,7.79924e-10,-0.003902063721,-0.00390206371,2.60679e-09
0.00226,-0.003924952666,-0.003924952663,7.63132e-10,-0.003900909861,-0.00390090985,2.58355e-09
0.00227,-0.003924047335,-0.003924047332,7.46691e-10,-0.003899748219,-0.003899748209,2.56468e-09
0.00228,-0.00392313551,-0.003923135508,7.27248e-10,-0.003898578788,-0.003898578777,2.54144e-09
0.00229,-0.003922217181,-0.003922217179,7.06647e-10,-0.003897401559,-0.003897401548,2.5174e-09
0.0023,-0.003921292336,-0.003921292333,6.86706e-10,-0.003896216524,-0.003896216514,2.49595e-09
0.00231,-0.003920360962,-0.00392036096,6.69085e-10,-0.003895023675,-0.003895023665,2.48011e-09
0.00232,-0.003919423049,-0.003919423047,6.55157e-10,-0.003893823005,-0.003893822995,2.47224e-09
