time,feedbackA.i1_2,firstOrder2B.y,firstOrder2A.c.v,firstOrder2A.r2.i,firstOrder2A.c.n.v,feedbackA.i1,firstOrder1B.y,firstOrder1A.c.v,firstOrder1A.r2.i,firstOrder1A.c.n.v,addA.i1,addA.i1_2,addA.i2,PIB.x,PIA.c.v,PIA.c.n.i,PIA.i2,addB.y,addA.opAmp.v_out
0.2729428007,0.005,10.00001931,10.00000355,0.01000000355,-0.0006666224621,0.004999336975,10.0012515,10.00457529,0.01000457529,-0.0006669272239,0.01000324156,-6.667938651e-07,0.01000124135,20.00250299,-10.00590915,-4.035521223e-09,0.01000457319,10.0012515,-10.00190798
0.2904407261,0.005,10.00079986,10.00079406,0.01000079406,-0.000666675159,0.005000127377,10.00072873,10.00406151,0.01000406151,-0.0006668929742,0.01000272785,-6.667596223e-07,0.01000072766,20.00145747,-10.00539539,-7.943240303e-07,0.01000366438,10.00072873,-10.00139433
0.3116693706,0.005,10.00033354,10.00033366,0.01000033366,-0.0006666444674,0.004999667033,10.00010144,10.00343629,0.01000343629,-0.0006668512962,0.01000210272,-6.667179526e-07,0.01000010264,20.00020287,-10.0047701,-3.33984351e-07,0.01000326933,10.00010144,-10.00076929
0.3339187316,0.005,10.00000998,10.00001053,0.01000001053,-0.0006666229271,0.00499934395,9.999946325,10.00328016,0.01000328016,-0.0006668408877,0.01000194661,-6.667075462e-07,0.00999994657,19.99989265,-10.00461393,-1.092358999e-08,0.0100032747,9.999946325,-10.00061319
0.3624228306,0.005,9.999972445,9.999972154,0.009999972154,-0.0006666203689,0.004999305579,9.999982994,10.00331613,0.01000331613,-0.0006668432855,0.01000198257,-6.667099435e-07,0.009999982532,19.99996599,-10.0046499,2.744113612e-08,0.01000332984,9.999982994,-10.00064915
0.3980600671,0.005,9.999999913,9.999999464,0.009999999464,-0.0006666221895,0.004999332886,10.00000233,10.0033355,0.0100033355,-0.0006668445771,0.01000200194,-6.667112348e-07,0.0100000019,20.00000466,-10.00466928,1.355737222e-10,0.01000333557,10.00000233,-10.00066852
0.4425392366,0.005,10.00000041,10.00000001,0.01000000001,-0.0006666222258,0.004999333432,10.00000005,10.00333326,0.01000333326,-0.0006668444275,0.0100019997,-6.667110853e-07,0.009999999657,20.00000011,-10.00466703,-4.096627962e-10,0.01000333305,10.00000005,-10.00066628
0.4613529435,0.005,9.999999998,9.999999601,0.009999999601,-0.0006666221986,0.004999333023,9.9999999,10.0033331,0.0100033331,-0.0006668444171,0.01000199955,-6.667110749e-07,0.009999999502,19.9999998,-10.00466688,-9.393101278e-13,0.0100033331,9.9999999,-10.00066612
0.4779155288,0.005,9.999999936,9.999999537,0.009999999537,-0.0006666221943,0.004999332959,9.999999939,10.00333314,0.01000333314,-0.0006668444196,0.01000199958,-6.667110774e-07,0.009999999539,19.99999988,-10.00466692,6.317530913e-11,0.01000333317,9.999999939,-10.00066616
0.4892282282,0.005,9.999999952,9.999999552,0.009999999552,-0.0006666221953,0.004999332974,9.999999972,10.00333317,0.01000333317,-0.0006668444218,0.01000199962,-6.667110796e-07,0.009999999571,19.99999994,-10.00466695,4.813020136e-11,0.0100033332,9.999999972,-10.00066619
0.4919882117,0.005,9.999999957,9.999999557,0.009999999557,-0.0006666221957,0.00499933298,9.999999978,10.00333318,0.01000333318,-0.0006668444222,0.01000199962,-6.6671108e-07,0.009999999578,19.99999996,-10.00466696,4.259209993e-11,0.0100033332,9.999999978,-10.0006662
0.4987870206,0.005,9.999999971,9.999999571,0.009999999571,-0.0006666221966,0.004999332993,9.99999999,10.00333319,0.01000333319,-0.000666844423,0.01000199963,-6.667110808e-07,0.00999999959,19.99999998,-10.00466697,2.9036207e-11,0.0100033332,9.99999999,-10.00066621
