time,feedback.opAmp.v_in,feedback.r3.i,feedback.r4.i
0.155,0.0004331067946,0.003997035026,0.0025
0.156,0.0004520388849,0.004281035313,0.0025
0.157,0.0004705262713,0.004558364595,0.0025
0.158,0.0004885091408,0.004828125622,0.0025
0.159,0.0005059289311,0.005089439896,0.0025
0.16,0.0005227283297,0.005341447674,0.0025
0.161,0.0005388512746,0.005583307971,0.0025
0.162,0.000554242954,0.005814198553,0.0025
0.163,0.0005688498061,0.006033315942,0.0025
0.164,0.0005826195197,0.006239875415,0.0025
0.165,0.0005955010335,0.006433111003,0.0025
0.166,0.0006074445366,0.006612275493,0.0025
0.167,0.0006184014683,0.006776640426,0.0025
0.168,0.0006283245181,0.006925496097,0.0025
0.169,0.0006371676259,0.007058151556,0.0025
0.17,0.0006448859816,0.007173934609,0.0025
0.171,0.0006514360253,0.007272191816,0.0025
0.172,0.0006567754477,0.007352288491,0.0025
0.173,0.0006608631893,0.007413608703,0.0025
0.174,0.0006636594411,0.007455555276,0.0025
0.175,0.0006651256442,0.007477549789,0.0025
0.176,0.0006652244901,0.007479032575,0.0025
0.177,0.0006639199202,0.007459462723,0.0025
0.178,0.0006611771265,0.007418318075,0.0025
0.179,0.0006569625511,0.007355095229,0.0025
0.18,0.0006512438862,0.007269309537,0.0025
0.181,0.0006439900744,0.007160495106,0.0025
0.182,0.0006351713085,0.007028204798,0.0025
0.183,0.0006252190947,0.006857753684,0.0025
0.184,0.0006161891272,0.006660823533,0.0025
0.185,0.0006080994248,0.006449978623,0.0025
0.186,0.0006006946745,0.006226460008,0.0025
0.187,0.0005937327068,0.005991482568,0.0025
0.188,0.0005869844949,0.005746235002,0.0025
0.189,0.0005802341555,0.005491879834,0.0025
0.19,0.0005732789481,0.005229553409,0.0025
0.191,0.0005659292756,0.004960365893,0.0025
0.192,0.0005580086839,0.004685401278,0.0025
0.193,0.0005493538619,0.004405717374,0.0025
0.194,0.0005398146419,0.004122345818,0.0025
0.195,0.0005292539991,0.003836292065,0.0025
0.196,0.0005175480519,0.003548535396,0.0025
0.197,0.0005045860618,0.003260028911,0.0025
