time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.109,-2.320556618,-15,1.26811
0.1095,-2.189291205,-15,1.28124
0.11,-2.060798965,-15,1.29409
0.1105,-1.935206704,-15,1.30665
0.111,-1.812638366,-15,1.31891
0.1115,-1.693214911,-15,1.33086
0.112,-1.577054196,-15,1.34247
0.1125,-1.464270858,-15,1.35375
0.113,-1.354976199,-15,1.36468
0.1135,-1.249278081,-15,1.37526
0.114,-1.147280815,-15,1.38546
0.1145,-1.04908506,-15,1.39528
0.115,-0.9547877231,-15,1.40471
0.1155,-0.8644818644,-15,1.41374
0.116,-0.7782566049,-15,1.42236
0.1165,-0.6961970387,-15,1.43057
0.117,-0.6183841486,-15,1.43835
0.1175,-0.5448947264,-15,1.4457
0.118,-0.4758012975,-15,1.45261
0.1185,-0.4111720486,-15,1.45908
0.119,-0.3510707611,-15,1.46509
0.1195,-0.2955567477,-15,1.47064
0.12,-0.2446847939,-15,1.47573
0.1205,-0.1985051043,-15,1.48035
0.121,-0.1570632526,-15,1.48449
0.1215,-0.120400137,-15,1.48816
0.122,-0.08855193943,-15,1.49134
0.1225,-0.06155009034,-15,1.49404
0.123,-0.03942123726,-15,1.49626
0.1235,-0.02218721869,-15,1.49798
0.124,-0.009865042523,-15,1.49921
0.1245,-0.002466869256,-15,1.49995
0.125,0,-15,1.5002
0.1255,-0.002466869256,-15,1.49995
0.126,-0.009865042523,-15,1.49921
0.1265,-0.02218721869,-15,1.49798
0.127,-0.03942123726,-15,1.49626
0.1275,-0.06155009034,-15,1.49404
0.128,-0.08855193943,-15,1.49134
0.1285,-0.120400137,-15,1.48816
0.129,-0.1570632526,-15,1.48449
0.1295,-0.1985051043,-15,1.48035
0.13,-0.2446847939,-15,1.47573
0.1305,-0.2955567477,-15,1.47064
0.131,-0.3510707611,-15,1.46509
0.1315,-0.4111720486,-15,1.45908
0.132,-0.4758012975,-15,1.45261
0.1325,-0.5448947264,-15,1.4457
0.133,-0.6183841486,-15,1.43835
0.1335,-0.6961970387,-15,1.43057
0.134,-0.7782566049,-15,1.42236
0.1345,-0.8644818644,-15,1.41374
0.135,-0.9547877231,-15,1.40471
0.1355,-1.04908506,-15,1.39528
0.136,-1.147280815,-15,1.38546
0.1365,-1.249278081,-15,1.37526
0.137,-1.354976199,-15,1.36468
0.1375,-1.464270858,-15,1.35375
0.138,-1.577054196,-15,1.34247
0.1385,-1.693214911,-15,1.33086
0.139,-1.812638366,-15,1.31891
0.1395,-1.935206704,-15,1.30665
0.14,-2.060798965,-15,1.29409
0.1405,-2.189291205,-15,1.28124
0.141,-2.320556618,-15,1.26811
0.1415,-2.454465659,-15,1.25472
0.142,-2.590886178,-15,1.24108
0.1425,-2.729683543,-15,1.2272
0.143,-2.870720779,-15,1.21309
0.1435,-3.013858699,-15,1.19877
0.144,-3.158956042,-15,1.18426
0.1445,-3.305869616,-15,1.16957
0.145,-3.454454434,-15,1.15471
0.1455,-3.604563861,-15,1.1397
0.146,-3.756049758,-15,1.12454
0.1465,-3.908762625,-15,1.10927
0.147,-4.062551754,-15,1.09389
0.1475,-4.217265373,-15,1.07842
0.148,-4.372750799,-15,1.06287
0.1485,-4.528854586,-15,1.04725
0.149,-4.685422679,-15,1.0316
0.1495,-4.842300565,-15,1.01591
0.15,-4.999333422,-15,1.0002
0.1505,-5.15636628,-15,0.984495
0.151,-5.313244165,-15,0.968805
0.1515,-5.469812258,-15,0.953146
0.152,-5.625916046,-15,0.937533
0.1525,-5.781401472,-15,0.921983
0.153,-5.936115091,-15,0.906509
0.1535,-6.08990422,-15,0.891128
0.154,-6.242617087,-15,0.875855
0.1545,-6.394102983,-15,0.860704
0.155,-6.54421241,-15,0.845692
0.1555,-6.692797228,-15,0.830831
0.156,-6.839710802,-15,0.816138
0.1565,-6.984808145,-15,0.801626
0.157,-7.127946065,-15,0.78731
0.1575,-7.268983301,-15,0.773205
0.158,-7.407780666,-15,0.759323
0.1585,-7.544201185,-15,0.745679
0.159,-7.678110227,-15,0.732287
0.1595,-7.809375639,-15,0.719158
0.16,-7.937867879,-15,0.706307
0.1605,-8.06346014,-15,0.693746
0.161,-8.186028478,-15,0.681488
0.1615,-8.305451933,-15,0.669544
0.162,-8.421612648,-15,0.657926
0.1625,-8.534395986,-15,0.646647
0.163,-8.643690645,-15,0.635716
0.1635,-8.749388763,-15,0.625144
0.164,-8.851386029,-15,0.614943
0.1645,-8.949581784,-15,0.605122
0.165,-9.043879121,-15,0.595692
0.1655,-9.13418498,-15,0.58666
0.166,-9.220410239,-15,0.578036
0.1665,-9.302469806,-15,0.569829
0.167,-9.380282696,-15,0.562047
0.1675,-9.453772118,-15,0.554697
0.168,-9.522865547,-15,0.547786
0.1685,-9.587494796,-15,0.541323
0.169,-9.647596083,-15,0.535312
0.1695,-9.703110097,-15,0.52976
0.17,-9.753982051,-15,0.524672
0.1705,-9.80016174,-15,0.520053
0.171,-9.841603592,-15,0.515908
0.1715,-9.878266707,-15,0.512242
0.172,-9.910114905,-15,0.509056
0.1725,-9.937116754,-15,0.506356
0.173,-9.959245607,-15,0.504143
0.1735,-9.976479626,-15,0.502419
0.174,-9.988801802,-15,0.501187
0.1745,-9.996199975,-15,0.500447
0.175,-9.998666844,-15,0.5002
0.1755,-9.996199975,-15,0.500447
0.176,-9.988801802,-15,0.501187
0.1765,-9.976479626,-15,0.502419
0.177,-9.959245607,-15,0.504143
0.1775,-9.937116754,-15,0.506356
0.178,-9.910114905,-15,0.509056
0.1785,-9.878266707,-15,0.512242
0.179,-9.841603592,-15,0.515908
0.1795,-9.80016174,-15,0.520053
0.18,-9.753982051,-15,0.524672
0.1805,-9.703110097,-15,0.52976
0.181,-9.647596083,-15,0.535312
0.1815,-9.587494796,-15,0.541323
0.182,-9.522865547,-15,0.547786
0.1825,-9.453772118,-15,0.554697
0.183,-9.380282696,-15,0.562047
0.1835,-9.302469806,-15,0.569829
0.184,-9.220410239,-15,0.578036
0.1845,-9.13418498,-15,0.58666
0.185,-9.043879121,-15,0.595692
0.1855,-8.949581784,-15,0.605122
0.186,-8.851386029,-15,0.614943
0.1865,-8.749388763,-15,0.625144
0.187,-8.643690645,-15,0.635716
0.1875,-8.534395986,-15,0.646647
0.188,-8.421612648,-15,0.657926
0.1885,-8.305451933,-15,0.669544
0.189,-8.186028478,-15,0.681488
0.1895,-8.06346014,-15,0.693746
0.19,-7.937867879,-15,0.706307
0.1905,-7.809375639,-15,0.719158
0.191,-7.678110227,-15,0.732287
0.1915,-7.544201185,-15,0.745679
0.192,-7.407780666,-15,0.759323
0.1925,-7.268983301,-15,0.773205
0.193,-7.127946065,-15,0.78731
0.1935,-6.984808145,-15,0.801626
0.194,-6.839710802,-15,0.816138
0.1945,-6.692797228,-15,0.830831
0.195,-6.54421241,-15,0.845692
0.1955,-6.394102983,-15,0.860704
0.196,-6.242617087,-15,0.875855
0.1965,-6.08990422,-15,0.891128
0.197,-5.936115091,-15,0.906509
0.1975,-5.781401472,-15,0.921983
0.198,-5.625916046,-15,0.937533
0.1985,-5.469812258,-15,0.953146
0.199,-5.313244165,-15,0.968805
0.1995,-5.15636628,-15,0.984495
0.2,-4.999333422,-15,1.0002
0.2005,-4.842300565,-15,1.01591
0.201,-4.685422679,-15,1.0316
0.2015,-4.528854586,-15,1.04725
0.202,-4.372750799,-15,1.06287
0.2025,-4.217265373,-15,1.07842
0.203,-4.062551754,-15,1.09389
0.2035,-3.908762625,-15,1.10927
0.204,-3.756049758,-15,1.12454
0.2045,-3.604563861,-15,1.1397
0.205,-3.454454434,-15,1.15471
0.2055,-3.305869616,-15,1.16957
0.206,-3.158956042,-15,1.18426
0.2065,-3.013858699,-15,1.19877
0.207,-2.870720779,-15,1.21309
0.2075,-2.729683543,-15,1.2272
0.208,-2.590886178,-15,1.24108
0.2085,-2.454465659,-15,1.25472
0.209,-2.320556618,-15,1.26811
0.2095,-2.189291205,-15,1.28124
0.21,-2.060798965,-15,1.29409
0.2105,-1.935206704,-15,1.30665
0.211,-1.812638366,-15,1.31891
0.2115,-1.693214911,-15,1.33086
0.212,-1.577054196,-15,1.34247
0.2125,-1.464270858,-15,1.35375
0.213,-1.354976199,-15,1.36468
0.2135,-1.249278081,-15,1.37526
0.214,-1.147280815,-15,1.38546
0.2145,-1.04908506,-15,1.39528
0.215,-0.9547877231,-15,1.40471
0.2155,-0.8644818644,-15,1.41374
0.216,-0.7782566049,-15,1.42236
0.2165,-0.6961970387,-15,1.43057
0.217,-0.6183841486,-15,1.43835
0.2175,-0.5448947264,-15,1.4457
0.218,-0.4758012975,-15,1.45261
0.2185,-0.4111720486,-15,1.45908
0.219,-0.3510707611,-15,1.46509
0.2195,-0.2955567477,-15,1.47064
0.22,-0.2446847939,-15,1.47573
0.2205,-0.1985051043,-15,1.48035
0.221,-0.1570632526,-15,1.48449
0.2215,-0.120400137,-15,1.48816
0.222,-0.08855193943,-15,1.49134
0.2225,-0.06155009034,-15,1.49404
0.223,-0.03942123726,-15,1.49626
0.2235,-0.02218721869,-15,1.49798
0.224,-0.009865042523,-15,1.49921
0.2245,-0.002466869256,-15,1.49995
0.225,0,-15,1.5002
0.2255,-0.002466869256,-15,1.49995
0.226,-0.009865042523,-15,1.49921
0.2265,-0.02218721869,-15,1.49798
0.227,-0.03942123726,-15,1.49626
0.2275,-0.06155009034,-15,1.49404
0.228,-0.08855193943,-15,1.49134
0.2285,-0.120400137,-15,1.48816
0.229,-0.1570632526,-15,1.48449
0.2295,-0.1985051043,-15,1.48035
0.23,-0.2446847939,-15,1.47573
0.2305,-0.2955567477,-15,1.47064
0.231,-0.3510707611,-15,1.46509
0.2315,-0.4111720486,-15,1.45908
0.232,-0.4758012975,-15,1.45261
0.2325,-0.5448947264,-15,1.4457
0.233,-0.6183841486,-15,1.43835
0.2335,-0.6961970387,-15,1.43057
0.234,-0.7782566049,-15,1.42236
0.2345,-0.8644818644,-15,1.41374
0.235,-0.9547877231,-15,1.40471
0.2355,-1.04908506,-15,1.39528
0.236,-1.147280815,-15,1.38546
0.2365,-1.249278081,-15,1.37526
0.237,-1.354976199,-15,1.36468
0.2375,-1.464270858,-15,1.35375
0.238,-1.577054196,-15,1.34247
0.2385,-1.693214911,-15,1.33086
0.239,-1.812638366,-15,1.31891
0.2395,-1.935206704,-15,1.30665
0.24,-2.060798965,-15,1.29409
0.2405,-2.189291205,-15,1.28124
0.241,-2.320556618,-15,1.26811
0.2415,-2.454465659,-15,1.25472
0.242,-2.590886178,-15,1.24108
0.2425,-2.729683543,-15,1.2272
0.243,-2.870720779,-15,1.21309
0.2435,-3.013858699,-15,1.19877
0.244,-3.158956042,-15,1.18426
0.2445,-3.305869616,-15,1.16957
0.245,-3.454454434,-15,1.15471
0.2455,-3.604563861,-15,1.1397
0.246,-3.756049758,-15,1.12454
0.2465,-3.908762625,-15,1.10927
0.247,-4.062551754,-15,1.09389
0.2475,-4.217265373,-15,1.07842
0.248,-4.372750799,-15,1.06287
0.2485,-4.528854586,-15,1.04725
0.249,-4.685422679,-15,1.0316
0.2495,-4.842300565,-15,1.01591
0.25,-4.999333422,-15,1.0002
0.2505,-5.15636628,-15,0.984495
0.251,-5.313244165,-15,0.968805
0.2515,-5.469812258,-15,0.953146
0.252,-5.625916046,-15,0.937533
0.2525,-5.781401472,-15,0.921983
0.253,-5.936115091,-15,0.906509
0.2535,-6.08990422,-15,0.891128
0.254,-6.242617087,-15,0.875855
0.2545,-6.394102983,-15,0.860704
0.255,-6.54421241,-15,0.845692
0.2555,-6.692797228,-15,0.830831
0.256,-6.839710802,-15,0.816138
0.2565,-6.984808145,-15,0.801626
0.257,-7.127946065,-15,0.78731
0.2575,-7.268983301,-15,0.773205
0.258,-7.407780666,-15,0.759323
0.2585,-7.544201185,-15,0.745679
0.259,-7.678110227,-15,0.732287
0.2595,-7.809375639,-15,0.719158
0.26,-7.937867879,-15,0.706307
0.2605,-8.06346014,-15,0.693746
0.261,-8.186028478,-15,0.681488
0.2615,-8.305451933,-15,0.669544
0.262,-8.421612648,-15,0.657926
0.2625,-8.534395986,-15,0.646647
0.263,-8.643690645,-15,0.635716
0.2635,-8.749388763,-15,0.625144
0.264,-8.851386029,-15,0.614943
0.2645,-8.949581784,-15,0.605122
0.265,-9.043879121,-15,0.595692
0.2655,-9.13418498,-15,0.58666
0.266,-9.220410239,-15,0.578036
0.2665,-9.302469806,-15,0.569829
0.267,-9.380282696,-15,0.562047
0.2675,-9.453772118,-15,0.554697
0.268,-9.522865547,-15,0.547786
0.2685,-9.587494796,-15,0.541323
0.269,-9.647596083,-15,0.535312
0.2695,-9.703110097,-15,0.52976
0.27,-9.753982051,-15,0.524672
0.2705,-9.80016174,-15,0.520053
0.271,-9.841603592,-15,0.515908
0.2715,-9.878266707,-15,0.512242
0.272,-9.910114905,-15,0.509056
0.2725,-9.937116754,-15,0.506356
0.273,-9.959245607,-15,0.504143
0.2735,-9.976479626,-15,0.502419
0.274,-9.988801802,-15,0.501187
0.2745,-9.996199975,-15,0.500447
0.275,-9.998666844,-15,0.5002
0.2755,-9.996199975,-15,0.500447
0.276,-9.988801802,-15,0.501187
0.2765,-9.976479626,-15,0.502419
0.277,-9.959245607,-15,0.504143
0.2775,-9.937116754,-15,0.506356
0.278,-9.910114905,-15,0.509056
0.2785,-9.878266707,-15,0.512242
0.279,-9.841603592,-15,0.515908
0.2795,-9.80016174,-15,0.520053
0.28,-9.753982051,-15,0.524672
0.2805,-9.703110097,-15,0.52976
0.281,-9.647596083,-15,0.535312
0.2815,-9.587494796,-15,0.541323
0.282,-9.522865547,-15,0.547786
0.2825,-9.453772118,-15,0.554697
0.283,-9.380282696,-15,0.562047
0.2835,-9.302469806,-15,0.569829
0.284,-9.220410239,-15,0.578036
0.2845,-9.13418498,-15,0.58666
0.285,-9.043879121,-15,0.595692
0.2855,-8.949581784,-15,0.605122
0.286,-8.851386029,-15,0.614943
