time,mass2.v,mass2.s,mass1.v,mass1.s,damper1.s_rel,damper1.v_rel
0.8423253726,0.05471944527,-0.4991802576,0.2344368896,-0.4964738762,0.9991802576,-0.05471944527
0.8499397514,-0.01692205523,-0.4990289222,-0.07232116521,-0.4958212532,0.9990289222,0.01692205523
0.8575541302,-0.07929200993,-0.499413969,-0.344311692,-0.4974855402,0.999413969,0.07929200993
0.8651685091,-0.09791472611,-0.5001232163,-0.4292649079,-0.5005807777,1.000123216,0.09791472611
0.8737186587,-0.05503943528,-0.5008201175,-0.2439934635,-0.5036510795,1.000820117,0.05503943528
0.8813353763,0.0167427686,-0.5009734952,0.07411199461,-0.5043350168,1.000973495,-0.0167427686
0.8889520939,0.07933627956,-0.5005888518,0.3564415434,-0.5026144353,1.000588852,-0.07933627956
0.8965688116,0.0981260166,-0.4998783387,0.4449285524,-0.4994068749,0.9998783387,-0.0981260166
0.9051156302,0.0553106328,-0.4991795531,0.2534705031,-0.4962234463,0.9991795531,-0.0553106328
0.9127341421,-0.01658999898,-0.4990244443,-0.07598135939,-0.4955088634,0.9990244443,0.01658999898
0.920352654,-0.07937303096,-0.4994087289,-0.3686090943,-0.4972861036,0.9994087289,0.07937303096
0.9279711658,-0.0983067253,-0.5001202995,-0.4605865649,-0.50060593,1.000120299,0.0983067253
0.9365147797,-0.05554789832,-0.5008206865,-0.262912028,-0.5039022534,1.000820687,0.05554789832
0.9441348037,0.01645249068,-0.5009773248,0.0778858777,-0.5046471841,1.000977325,-0.01645249068
0.9517548278,0.07939997369,-0.5005933939,0.3807935741,-0.5028131217,1.000593394,-0.07939997369
0.9593748519,0.09846182227,-0.4998809366,0.4762418148,-0.4993810543,0.9998809366,-0.09846182227
0.9679154481,0.05575882782,-0.4991791679,0.2723359394,-0.4959719402,0.9991791679,-0.05575882782
0.9755368152,-0.01632557691,-0.4990211505,-0.07980807885,-0.4951968088,0.9990211505,0.01632557691
0.9831581824,-0.07941748356,-0.4994047221,-0.3929867534,-0.4970877781,0.9994047221,0.07941748356
0.9907795496,-0.09859518646,-0.5001179239,-0.4918954178,-0.5006320774,1.000117924,0.09859518646
0.9993173216,-0.05594789801,-0.5008208932,-0.2817493046,-0.5041539265,1.000820893,0.05594789801
1,-0.05022081052,-0.5008571469,-0.2531222658,-0.5043365724,1.000857147,0.05022081052
