time,cosFM.phi,sinFM.phi,cosAM.phi,sinAM.phi,sine.phi
0.0108,7.01572508,7.01572508,6.785840132,6.785840132,6.785840132
0.0109,7.082827082,7.082827082,6.848671985,6.848671985,6.848671985
0.011,7.149968193,7.149968193,6.911503838,6.911503838,6.911503838
0.0111,7.217148406,7.217148406,6.974335691,6.974335691,6.974335691
0.0112,7.284367704,7.284367704,7.037167544,7.037167544,7.037167544
0.0113,7.351626092,7.351626092,7.099999397,7.099999397,7.099999397
0.0114,7.418923562,7.418923562,7.16283125,7.16283125,7.16283125
0.0115,7.486260108,7.486260108,7.225663103,7.225663103,7.225663103
0.0116,7.553635721,7.553635721,7.288494956,7.288494956,7.288494956
0.0117,7.621050395,7.621050395,7.351326809,7.351326809,7.351326809
0.0118,7.688504123,7.688504123,7.414158662,7.414158662,7.414158662
0.0119,7.755996897,7.755996897,7.476990516,7.476990516,7.476990516
0.012,7.823528709,7.823528709,7.539822369,7.539822369,7.539822369
0.0121,7.891099553,7.891099553,7.602654222,7.602654222,7.602654222
0.0122,7.95870942,7.95870942,7.665486075,7.665486075,7.665486075
0.0123,8.026358304,8.026358304,7.728317928,7.728317928,7.728317928
0.0124,8.094046196,8.094046196,7.791149781,7.791149781,7.791149781
0.0125,8.161773088,8.161773088,7.853981634,7.853981634,7.853981634
0.0126,8.229538974,8.229538974,7.916813487,7.916813487,7.916813487
0.0127,8.297343844,8.297343844,7.97964534,7.97964534,7.97964534
0.0128,8.365187692,8.365187692,8.042477193,8.042477193,8.042477193
0.0129,8.433070508,8.433070508,8.105309046,8.105309046,8.105309046
0.013,8.500992286,8.500992286,8.168140899,8.168140899,8.168140899
0.0131,8.568953017,8.568953017,8.230972752,8.230972752,8.230972752
0.0132,8.636952693,8.636952693,8.293804605,8.293804605,8.293804605
0.0133,8.704991306,8.704991306,8.356636459,8.356636459,8.356636459
0.0134,8.773068847,8.773068847,8.419468312,8.419468312,8.419468312
0.0135,8.841185309,8.841185309,8.482300165,8.482300165,8.482300165
0.0136,8.909340682,8.909340682,8.545132018,8.545132018,8.545132018
0.0137,8.977534958,8.977534958,8.607963871,8.607963871,8.607963871
0.0138,9.045768129,9.045768129,8.670795724,8.670795724,8.670795724
0.0139,9.114040187,9.114040187,8.733627577,8.733627577,8.733627577
0.014,9.182351122,9.182351122,8.79645943,8.79645943,8.79645943
0.0141,9.250700926,9.250700926,8.859291283,8.859291283,8.859291283
0.0142,9.31908959,9.31908959,8.922123136,8.922123136,8.922123136
0.0143,9.387517105,9.387517105,8.984954989,8.984954989,8.984954989
0.0144,9.455983463,9.455983463,9.047786842,9.047786842,9.047786842
0.0145,9.524488655,9.524488655,9.110618695,9.110618695,9.110618695
0.0146,9.593032671,9.593032671,9.173450548,9.173450548,9.173450548
0.0147,9.661615503,9.661615503,9.236282402,9.236282402,9.236282402
