time,dcee.airGapDC.ie,dcse.inertiaRotor.w,dcse.friction.phi,dcpm.inertiaRotor.w,dcpm.friction.phi,dcee.inertiaRotor.w,dcee.friction.phi,dcse.airGapDC.psi_e,dcse.flange.tau,dcpm.brush.n.i,dcpm.flange.tau,dcee.brush.n.i,dcee.flange.tau,loadInertia1.w,loadInertia3.w,loadInertia2.w,dcpm.ia,loadInertia3.phi,dcee.ia,loadInertia2.phi,loadInertia1.phi,dcse.ia,dcpm.tauElectrical,dcee.tauElectrical,dcse.tauElectrical
5.494058968,1,284.2270961,1064.378097,157.0121659,839.1554394,157.0121659,839.1554394,0.02674589311,-12.29102738,-0.8590142898,-0.3112533505,-0.8590142898,-0.3112533505,157.0121659,284.2270961,157.0121659,0.8590142898,1064.378097,0.8590142898,839.1554394,839.1554394,53.49178621,0.5468654816,0.5468654816,18.21605477
5.500759351,1,284.4913964,1066.283413,157.0226821,840.2075164,157.0226821,840.2075164,0.0267218422,-12.2746542,-0.7251174044,-0.2308120385,-0.7251174044,-0.2308120385,157.0226821,284.4913964,157.0226821,0.7251174044,1066.283413,0.7251174044,840.2075164,840.2075164,53.44368441,0.4616240769,0.4616240769,18.18330839
5.503742568,1,284.6088362,1067.132288,157.0270924,840.6759558,157.0270924,840.6759558,0.02671116925,-12.26739307,-0.6689638983,-0.2129378223,-0.6689638982,-0.2129378223,157.0270924,284.6088362,157.0270924,0.6689638983,1067.132288,0.6689638982,840.6759558,840.6759558,53.42233851,0.4258756446,0.4258756446,18.16878613
5.519934889,1,285.2437692,1071.745912,157.0457101,843.2187506,157.0457101,843.2187506,0.02665361373,-12.2282863,-0.431915546,-0.1374829883,-0.431915546,-0.1374829883,157.0457101,285.2437692,157.0457101,0.431915546,1071.745912,0.431915546,843.2187506,843.2187506,53.30722746,0.2749659766,0.2749659766,18.09057261
5.533128662,1,285.7580197,1075.512749,157.0558823,845.2908471,157.0558823,845.2908471,0.02660717934,-12.1967974,-0.3023991304,-0.09625663276,-0.3023991304,-0.09625663276,157.0558823,285.7580197,157.0558823,0.3023991304,1075.512749,0.3023991304,845.2908471,845.2908471,53.21435868,0.1925132655,0.1925132655,18.0275948
5.551120519,1,286.4548495,1080.660343,157.065026,848.1166629,157.065026,848.1166629,0.02654451644,-12.15439038,-0.1859775824,-0.05919850308,-0.1859775824,-0.05919850308,157.065026,286.4548495,157.065026,0.1859775824,1080.660343,0.1859775824,848.1166629,848.1166629,53.08903288,0.1183970062,0.1183970062,17.94278077
5.56947217,1,287.1604119,1085.923744,157.0707364,850.9991222,157.0707364,850.9991222,0.02648136826,-12.11175611,-0.1132710078,-0.03605528159,-0.1132710078,-0.03605528159,157.0707364,287.1604119,157.0707364,0.1132710078,1085.923744,0.1132710078,850.9991222,850.9991222,52.96273652,0.07211056317,0.07211056317,17.85751222
5.590393446,1,287.9584556,1091.939866,157.0745778,854.2852863,157.0745778,854.2852863,0.0264103041,-12.06389883,-0.06436125091,-0.02048682245,-0.06436125091,-0.02048682245,157.0745778,287.9584556,157.0745778,0.06436125091,1091.939866,0.06436125091,854.2852863,854.2852863,52.8206082,0.0409736449,0.0409736449,17.76179765
5.612512765,1,288.795001,1098.318576,157.0768519,857.7596967,157.0768519,857.7596967,0.02633621976,-12.01414455,-0.03540561376,-0.01126995689,-0.03540561376,-0.01126995689,157.0768519,288.795001,157.0768519,0.03540561376,1098.318576,0.03540561376,857.7596967,857.7596967,52.67243951,0.02253991377,0.02253991377,17.6622891
5.636423914,1,289.6911343,1105.234727,157.0781753,861.5156022,157.0781753,861.5156022,0.02625731802,-11.96130866,-0.01855641732,-0.005906691086,-0.01855641732,-0.005906691086,157.0781753,289.6911343,157.0781753,0.01855641732,1105.234727,0.01855641732,861.5156022,861.5156022,52.51463604,0.01181338217,0.01181338217,17.55661731
5.661834543,1,290.634321,1112.607964,157.0788992,865.5070676,157.0788992,865.5070676,0.02617478244,-11.90620904,-0.00933944323,-0.002972837112,-0.009339443229,-0.002972837111,157.0788992,290.634321,157.0788992,0.00933944323,1112.607964,0.009339443229,865.5070676,865.5070676,52.34956488,0.005945674223,0.005945674223,17.44641808
5.689104602,1,291.6362462,1120.547265,157.0792816,869.7906244,157.0792816,869.7906244,0.02608767328,-11.84824431,-0.004470220899,-0.001422915506,-0.004470220899,-0.001422915506,157.0792816,291.6362462,157.0792816,0.004470220899,1120.547265,0.004470220899,869.7906244,869.7906244,52.17534655,0.002845831011,0.002845831011,17.33048863
5.718529388,1,292.7056441,1129.144362,157.0794741,874.4126518,157.0794741,874.4126518,0.02599533533,-11.78701119,-0.002018613232,-0.0006425445481,-0.002018613232,-0.000642544548,157.0794741,292.7056441,157.0794741,0.002018613232,1129.144362,0.002018613232,874.4126518,874.4126518,51.99067065,0.001285089096,0.001285089096,17.20802238
5.750806376,1,293.865045,1138.610767,157.0795664,879.4827058,157.0795664,879.4827058,0.02589596168,-11.72135497,-0.000843935293,-0.0002686329471,-0.0008439352933,-0.0002686329472,157.0795664,293.865045,157.0795664,0.000843935293,1138.610767,0.0008439352933,879.4827058,879.4827058,51.79192336,0.0005372658941,0.0005372658943,17.07670994
5.786872573,1,295.1440531,1149.232478,157.0796077,885.1479692,157.0796077,885.1479692,0.02578721403,-11.64979351,-0.0003184947392,-0.0001013800242,-0.000318494739,-0.0001013800241,157.0796077,295.1440531,157.0796077,0.0003184947392,1149.232478,0.000318494739,885.1479692,885.1479692,51.57442807,0.0002027600484,0.0002027600482,16.93358703
5.82810012,1,296.5853174,1161.430328,157.0796245,891.6239765,157.0796245,891.6239765,0.0256657599,-11.57022653,-0.0001045518905,-3.327990036e-05,-0.0001045518911,-3.327990056e-05,157.0796245,296.5853174,157.0796245,0.0001045518905,1161.430328,0.0001045518911,891.6239765,891.6239765,51.33151979,6.655980072e-05,6.655980112e-05,16.77445306
5.876437535,1,298.2477303,1175.806792,157.0796305,899.2167998,157.0796305,899.2167998,0.02552708293,-11.47983584,-2.832267e-05,-9.015385863e-06,-2.832266937e-05,-9.015385664e-06,157.0796305,298.2477303,157.0796305,2.832267e-05,1175.806792,2.832266937e-05,899.2167998,899.2167998,51.05416586,1.803077173e-05,1.803077133e-05,16.59367167
5.934888399,1,300.2197893,1193.297463,157.0796322,908.3982399,157.0796322,908.3982399,0.02536450648,-11.37449088,-5.837962416e-06,-1.858281153e-06,-5.837962641e-06,-1.858281224e-06,157.0796322,300.2197893,157.0796322,5.837962416e-06,1193.297463,5.837962641e-06,908.3982399,908.3982399,50.72901296,3.716562305e-06,3.716562448e-06,16.38298175
6,1,302.3692564,1212.915497,157.0796326,918.6259463,157.0796326,918.6259463,0.02518964691,-11.26193806,-1.005121776e-06,-3.199401991e-07,-1.005121769e-06,-3.19940196e-07,157.0796326,302.3692564,157.0796326,1.005121776e-06,1212.915497,1.005121769e-06,918.6259463,918.6259463,50.37929382,6.39880396e-07,6.398803921e-07,16.15787612
