time,capacitor2.v,inductor2.i,cosineCurrent.phi,capacitor1.v,inductor1.i,sineCurrent.phi
0.0083,-7.407813157,0.5971158159,0.04328486358,0.2097085645,0.04042988264,0.04328486358
0.0084,-7.140287707,0.5495977398,0.04433415553,0.2114478813,0.04162413592,0.04433415553
0.0085,-6.843469886,0.5039952533,0.04539601384,0.2130970399,0.04282528412,0.04539601384
0.0086,-6.518666042,0.4604853127,0.04647043853,0.2146598888,0.04403274092,0.04647043853
0.0087,-6.16727434,0.4192348467,0.04755742959,0.2161405835,0.04524595043,0.04755742959
0.0088,-5.79077271,0.3803996841,0.04865698702,0.2175435501,0.04646439062,0.04865698702
0.0089,-5.390718846,0.3441245536,0.04976911082,0.2188734851,0.04768757341,0.04976911082
0.009,-4.968750207,0.3105430841,0.05089380099,0.2201353556,0.04891504462,0.05089380099
0.0091,-4.526584018,0.2797778042,0.05203105753,0.2213343991,0.05014638399,0.05203105753
0.0092,-4.066017269,0.2519401428,0.05318088044,0.2224761237,0.05138120518,0.05318088044
0.0093,-3.588926714,0.2271304287,0.05434326972,0.223566308,0.05261915575,0.05434326972
0.0094,-3.097268874,0.2054378907,0.05551822537,0.2246110012,0.05385991718,0.05551822537
0.0095,-2.5930822,0.1869393223,0.0567057474,0.2256165308,0.05510320968,0.0567057474
0.0096,-2.078258955,0.1716964719,0.05790583579,0.2265887869,0.0563488025,0.05790583579
0.0097,-1.554928007,0.1597588174,0.05911849056,0.2275344265,0.05759650088,0.05911849056
0.0098,-1.025213106,0.1511626011,0.06034371169,0.228460111,0.05884615204,0.06034371169
0.0099,-0.4912310439,0.1459308237,0.0615814992,0.2293725007,0.06009764529,0.0615814992
0.01,0.04490834201,0.1440732443,0.06283185307,0.2302782541,0.06135091203,0.06283185307
0.0101,0.5811021733,0.1455863806,0.06409477332,0.2311840284,0.06260592569,0.06409477332
0.0102,1.115254528,0.1504535087,0.06537025994,0.2320964794,0.06386270179,0.06537025994
0.0103,1.645276442,0.1586446632,0.06665831292,0.2330222615,0.06512129789,0.06665831292
0.0104,2.169085906,0.1701166374,0.06795893228,0.2339680277,0.06638181366,0.06795893228
0.0105,2.684600385,0.1848124107,0.06927211801,0.2349404539,0.06764439257,0.06927211801
0.0106,3.189793653,0.2026633384,0.07059787011,0.2359460549,0.06890921642,0.07059787011
0.0107,3.682791122,0.2235946916,0.07193618858,0.236990876,0.07017648748,0.07193618858
0.0108,4.161638198,0.2475099534,0.07328707342,0.238081247,0.0714464769,0.07328707342
0.0109,4.62446797,0.2743031558,0.07465052463,0.2392232341,0.07271948706,0.07465052463
0.011,5.069501211,0.3038588799,0.07602654222,0.2404226395,0.07399585158,0.07602654222
0.0111,5.495046377,0.3360522559,0.07741512617,0.2416850018,0.07527593531,0.07741512617
0.0112,5.899499609,0.3707489626,0.07881627649,0.243015596,0.07656013434,0.07881627649
