time,openTank2.H_ref,openTank2.H_sim,openTank2.H_relerr
0.0732,61.10953879,303.2262623,1.56949
0.0735,61.22162999,303.2438037,1.56888
0.0738,61.33358679,303.2612568,1.56827
0.0741,61.44540934,303.2786229,1.56765
0.0744,61.55709781,303.2959033,1.56704
0.0747,61.66865236,303.3130997,1.56643
0.075,61.78007314,303.3302135,1.56582
0.0753,61.89136032,303.3472465,1.56521
0.0756,62.00251406,303.3642004,1.5646
0.0759,62.11353452,303.3810772,1.56399
0.0762,62.22442186,303.3978787,1.56338
0.0765,62.33517618,303.414607,1.56277
0.0768,62.44579759,303.4312644,1.56216
0.0771,62.55628635,303.4478529,1.56155
0.0774,62.66664261,303.4643751,1.56094
0.0777,62.77686653,303.4808333,1.56033
0.078,62.88695827,303.4972301,1.55973
0.0783,62.99691799,303.5135681,1.55912
0.0786,63.10674584,303.52985,1.55851
0.0789,63.21644199,303.5460787,1.55791
0.0792,63.32600659,303.562257,1.5573
0.0795,63.4354398,303.578388,1.5567
0.0798,63.54474178,303.5944748,1.55609
0.0801,63.65391268,303.6105206,1.55549
0.0804,63.76295266,303.6264615,1.55488
0.0807,63.87186187,303.64215,1.55428
0.081,63.98064048,303.6577823,1.55368
0.0813,64.08928864,303.6733572,1.55307
0.0816,64.1978065,303.688874,1.55247
0.0819,64.30619422,303.7043319,1.55187
0.0822,64.41445196,303.7197301,1.55127
0.0825,64.52257987,303.7350679,1.55066
0.0828,64.6305781,303.7503446,1.55006
0.0831,64.73844682,303.7655597,1.54946
0.0834,64.84618617,303.7807126,1.54886
0.0837,64.95379631,303.7958027,1.54826
0.084,65.0612774,303.8108296,1.54766
0.0843,65.16862959,303.8257927,1.54707
0.0846,65.27585303,303.8406918,1.54647
0.0849,65.38294787,303.8555264,1.54587
0.0852,65.48991427,303.8702964,1.54527
0.0855,65.59675239,303.8850013,1.54467
0.0858,65.70346237,303.8996411,1.54408
0.0861,65.81004437,303.9142155,1.54348
0.0864,65.91649855,303.9287244,1.54288
0.0867,66.02282504,303.9431677,1.54229
0.087,66.12902401,303.9575455,1.54169
0.0873,66.23509561,303.9718577,1.5411
0.0876,66.34103999,303.9861044,1.5405
0.0879,66.4468573,304.0002857,1.53991
0.0882,66.55254769,304.0144017,1.53932
0.0885,66.65811132,304.0284527,1.53872
0.0888,66.76354833,304.0424389,1.53813
0.0891,66.86885887,304.0563605,1.53754
0.0894,66.9740431,304.0702179,1.53695
0.0897,67.07910117,304.0840116,1.53635
0.09,67.18403341,304.0977418,1.53576
0.0903,67.28883991,304.1114091,1.53517
0.0906,67.39352073,304.125014,1.53458
0.0909,67.498076,304.138557,1.53399
0.0912,67.60250589,304.1520387,1.5334
0.0915,67.70681054,304.1654599,1.53281
0.0918,67.8109901,304.1788211,1.53222
0.0921,67.91504472,304.1921232,1.53164
0.0924,68.01897455,304.2053669,1.53105
0.0927,68.12277975,304.218553,1.53046
0.093,68.22646045,304.2316825,1.52987
0.0933,68.33001681,304.2447561,1.52929
0.0936,68.43344898,304.257775,1.5287
0.0939,68.5367571,304.2707401,1.52812
0.0942,68.63994133,304.2836524,1.52753
0.0945,68.74300181,304.2965131,1.52695
0.0948,68.84593869,304.3093234,1.52636
0.0951,68.94875212,304.3220843,1.52578
0.0954,69.05144224,304.3347972,1.52519
0.0957,69.15400921,304.3474633,1.52461
0.096,69.25645317,304.3600839,1.52403
0.0963,69.35877426,304.3726605,1.52345
0.0966,69.46097264,304.3851944,1.52287
0.0969,69.56304844,304.3976872,1.52229
0.0972,69.66500183,304.4101402,1.52171
0.0975,69.76683293,304.4225551,1.52113
0.0978,69.86854191,304.4349335,1.52055
0.0981,69.9701289,304.4472769,1.51997
0.0984,70.07159405,304.4595872,1.51939
0.0987,70.1729375,304.471866,1.51881
0.099,70.27415941,304.4841151,1.51824
0.0993,70.37525991,304.4963364,1.51766
0.0996,70.47623916,304.5085316,1.51708
0.0999,70.57709728,304.5206083,1.51651
0.1002,70.67783444,304.5325236,1.51593
0.1005,70.77845078,304.5444012,1.51536
0.1008,70.87894643,304.5562404,1.51478
0.1011,70.97932154,304.5680408,1.51421
0.1014,71.07957626,304.579802,1.51364
0.1017,71.17971073,304.5915237,1.51306
0.102,71.27972509,304.6032053,1.51249
0.1023,71.37961949,304.6148466,1.51192
0.1026,71.47939407,304.6264471,1.51135
0.1029,71.57904897,304.6380067,1.51078
0.1032,71.67858433,304.6495248,1.5102
0.1035,71.77800057,304.6610013,1.50963
0.1038,71.8772976,304.6724359,1.50907
0.1041,71.97647554,304.6838283,1.5085
0.1044,72.07553454,304.6951783,1.50793
0.1047,72.17447474,304.7064857,1.50736
0.105,72.27329628,304.7177503,1.50679
0.1053,72.37199931,304.7289719,1.50622
0.1056,72.47058397,304.7401505,1.50566
0.1059,72.56905039,304.7512858,1.50509
0.1062,72.66739872,304.7623778,1.50453
0.1065,72.7656291,304.7734263,1.50396
0.1068,72.86374168,304.7844313,1.5034
0.1071,72.96173658,304.7953929,1.50283
0.1074,73.05961397,304.8063108,1.50227
0.1077,73.15737396,304.8171852,1.50171
0.108,73.25501671,304.828016,1.50114
0.1083,73.35254236,304.8388033,1.50058
0.1086,73.44995104,304.8495472,1.50002
0.1089,73.5472429,304.8602476,1.49946
0.1092,73.64441808,304.8709048,1.4989
0.1095,73.7414767,304.8815188,1.49834
0.1098,73.83841893,304.8920898,1.49778
0.1101,73.93524488,304.9026179,1.49722
0.1104,74.03195471,304.9131034,1.49666
0.1107,74.12854855,304.9235463,1.4961
0.111,74.22502654,304.9339469,1.49554
0.1113,74.32138882,304.9443056,1.49498
0.1116,74.41763552,304.9546224,1.49443
0.1119,74.51376679,304.9648978,1.49387
0.1122,74.60978277,304.9751319,1.49331
0.1125,74.70568358,304.9853252,1.49276
0.1128,74.80146937,304.9954779,1.4922
0.1131,74.89714028,305.0055905,1.49165
0.1134,74.99269644,305.0156633,1.49109
0.1137,75.08813799,305.0256967,1.49054
0.114,75.18346506,305.0356912,1.48999
0.1143,75.2786778,305.0456471,1.48944
0.1146,75.37377634,305.055565,1.48888
0.1149,75.46876082,305.0654453,1.48833
0.1152,75.56363137,305.0752886,1.48778
0.1155,75.65838812,305.0850953,1.48723
0.1158,75.75303123,305.094866,1.48668
0.1161,75.84756081,305.1046013,1.48613
0.1164,75.941977,305.1143017,1.48558
0.1167,76.03628,305.1239679,1.48503
0.117,76.13047007,305.1336005,1.48448
0.1173,76.22454718,305.1432002,1.48394
0.1176,76.31851146,305.1527675,1.48339
0.1179,76.41236305,305.1623032,1.48284
0.1182,76.5061021,305.171808,1.4823
0.1185,76.59972872,305.1812827,1.48175
0.1188,76.69324305,305.1907279,1.48121
0.1191,76.78664524,305.2001445,1.48066
0.1194,76.8799354,305.2095332,1.48012
0.1197,76.97311369,305.2188949,1.47957
0.12,77.06618023,305.2282303,1.47903
0.1203,77.15913515,305.2375404,1.47849
0.1206,77.2519786,305.2468259,1.47795
0.1209,77.3447107,305.2560879,1.47741
0.1212,77.43733158,305.2653271,1.47687
0.1215,77.52984138,305.2745446,1.47633
0.1218,77.62224024,305.2837412,1.47579
0.1221,77.71452828,305.2929181,1.47525
0.1224,77.80670564,305.302076,1.47471
0.1227,77.89877245,305.3112162,1.47417
0.123,77.99072884,305.3203395,1.47364
0.1233,78.08257495,305.3293754,1.4731
0.1236,78.17431091,305.3382874,1.47256
0.1239,78.26593684,305.3471745,1.47203
0.1242,78.35745289,305.3560362,1.47149
0.1245,78.44885918,305.3648725,1.47095
0.1248,78.54015584,305.3736831,1.47042
0.1251,78.63134301,305.3824678,1.46989
0.1254,78.72242081,305.3912265,1.46935
0.1257,78.81338937,305.3999588,1.46882
0.126,78.90424884,305.4086646,1.46829
0.1263,78.99499933,305.4173438,1.46775
0.1266,79.08564098,305.4259961,1.46722
0.1269,79.17617392,305.4346215,1.46669
0.1272,79.26659827,305.4432198,1.46616
0.1275,79.35691418,305.4517908,1.46563
0.1278,79.44712176,305.4603345,1.4651
0.1281,79.53722114,305.4688506,1.46457
0.1284,79.62721247,305.477339,1.46405
0.1287,79.71709586,305.4857998,1.46352
0.129,79.80687144,305.4942327,1.46299
0.1293,79.89653934,305.5026377,1.46246
0.1296,79.9860997,305.5110147,1.46194
0.1299,80.07555263,305.5193636,1.46141
0.1302,80.16489836,305.5276844,1.46089
0.1305,80.25413703,305.5359771,1.46036
0.1308,80.34326868,305.5442414,1.45984
0.1311,80.43229343,305.5524776,1.45931
0.1314,80.52121142,305.5606854,1.45879
0.1317,80.61002277,305.5688649,1.45827
0.132,80.69872761,305.5770161,1.45775
0.1323,80.78732608,305.5851389,1.45722
0.1326,80.87581829,305.5932334,1.4567
0.1329,80.96420437,305.6012996,1.45618
0.1332,81.05248445,305.6093376,1.45566
0.1335,81.14065866,305.6173472,1.45514
0.1338,81.22872712,305.6253287,1.45462
0.1341,81.31668997,305.633282,1.4541
0.1344,81.40454732,305.6412072,1.45359
0.1347,81.49229931,305.6491044,1.45307
0.135,81.57994606,305.6569735,1.45255
0.1353,81.66748769,305.6648148,1.45203
0.1356,81.75492433,305.6726284,1.45152
0.1359,81.84225612,305.6804142,1.451
0.1362,81.92948316,305.6881724,1.45049
0.1365,82.01660559,305.6959032,1.44997
0.1368,82.10362354,305.7036066,1.44946
0.1371,82.19053713,305.7112829,1.44895
0.1374,82.27734648,305.718932,1.44843
0.1377,82.36405171,305.7265543,1.44792
0.138,82.45065296,305.7341498,1.44741
0.1383,82.53715035,305.7417188,1.4469
0.1386,82.623544,305.7492613,1.44638
0.1389,82.70983403,305.7567776,1.44587
0.1392,82.79602058,305.7642679,1.44536
0.1395,82.88210375,305.7717324,1.44485
0.1398,82.96808368,305.7791713,1.44434
0.1401,83.0539605,305.7865848,1.44384
0.1404,83.13973431,305.7939732,1.44333
0.1407,83.22540525,305.8013366,1.44282
0.141,83.31097344,305.8086753,1.44231
0.1413,83.39643901,305.8159897,1.44181
0.1416,83.48180206,305.8232799,1.4413
0.1419,83.56706274,305.8305462,1.4408
0.1422,83.65222115,305.8377889,1.44029
0.1425,83.73727742,305.8450083,1.43979
0.1428,83.82223168,305.8522046,1.43928
0.1431,83.90708404,305.8593783,1.43878
0.1434,83.99183463,305.8665296,1.43827
0.1437,84.07648367,305.8736588,1.43777
0.144,84.16103122,305.8807663,1.43727
0.1443,84.24547738,305.8878523,1.43677
0.1446,84.32982226,305.8949174,1.43627
0.1449,84.41406599,305.9019617,1.43577
0.1452,84.49820868,305.9089857,1.43527
0.1455,84.58225046,305.9159898,1.43477
0.1458,84.66619146,305.9229743,1.43427
0.1461,84.75003178,305.9299396,1.43377
0.1464,84.83377156,305.9368861,1.43327
0.1467,84.91741091,305.9438143,1.43278
0.147,85.00094995,305.9507245,1.43228
0.1473,85.0843888,305.9576173,1.43178
0.1476,85.16772758,305.9644929,1.43129
0.1479,85.25096642,305.9713519,1.43079
0.1482,85.33410543,305.9781947,1.4303
0.1485,85.41714474,305.9850217,1.4298
0.1488,85.50008445,305.9918336,1.42931
0.1491,85.58292469,305.9986306,1.42882
0.1494,85.66566559,306.0054133,1.42832
0.1497,85.74830725,306.0121822,1.42783
0.15,85.83084981,306.0189379,1.42734
0.1503,85.91329337,306.0256807,1.42685
0.1506,85.99563805,306.0324113,1.42636
0.1509,86.07788398,306.0391301,1.42587
0.1512,86.16003128,306.0458378,1.42538
0.1515,86.24208005,306.0525348,1.42489
0.1518,86.32403042,306.0591002,1.4244
0.1521,86.40588251,306.06564,1.42392
0.1524,86.48763643,306.0721633,1.42343
0.1527,86.56929231,306.0786702,1.42294
0.153,86.65085025,306.0851605,1.42246
0.1533,86.73231038,306.0916341,1.42197
0.1536,86.81367282,306.0980909,1.42148
0.1539,86.89493768,306.1045309,1.421
0.1542,86.97610507,306.1109539,1.42051
0.1545,87.05717512,306.1173599,1.42003
0.1548,87.13814795,306.1237487,1.41955
0.1551,87.21902366,306.1301204,1.41906
0.1554,87.29980237,306.1364747,1.41858
0.1557,87.38048421,306.1428118,1.4181
0.156,87.46106928,306.1491314,1.41762
0.1563,87.5415577,306.1554336,1.41714
0.1566,87.6219496,306.1617183,1.41666
0.1569,87.70224508,306.1679854,1.41618
0.1572,87.78244429,306.1742348,1.4157
0.1575,87.86254731,306.1804666,1.41522
0.1578,87.94255427,306.1866807,1.41474
0.1581,88.02246528,306.1928769,1.41426
0.1584,88.10228045,306.1990554,1.41378
0.1587,88.1819999,306.2052161,1.41331
0.159,88.26162375,306.2113588,1.41283
0.1593,88.3411521,306.2174837,1.41236
0.1596,88.42058507,306.2235906,1.41188
0.1599,88.49992278,306.2296795,1.41141
0.1602,88.57916535,306.2357505,1.41093
0.1605,88.65831287,306.2418035,1.41046
0.1608,88.73736548,306.2478385,1.40998
0.1611,88.81632328,306.2538555,1.40951
0.1614,88.89518639,306.2598545,1.40904
0.1617,88.97395492,306.2658355,1.40857
0.162,89.05262898,306.2717984,1.4081
0.1623,89.13120869,306.2777433,1.40763
0.1626,89.20969416,306.2836703,1.40715
0.1629,89.2880855,306.2895792,1.40668
0.1632,89.36638284,306.2954701,1.40622
0.1635,89.44458627,306.3013431,1.40575
0.1638,89.52269591,306.3071982,1.40528
0.1641,89.60071187,306.3130353,1.40481
0.1644,89.67863428,306.3188545,1.40434
0.1647,89.75646323,306.3246559,1.40388
0.165,89.83419885,306.3304394,1.40341
0.1653,89.91184123,306.3362052,1.40294
0.1656,89.98939051,306.3419532,1.40248
0.1659,90.06684678,306.3476835,1.40201
0.1662,90.14421016,306.3533961,1.40155
0.1665,90.22148075,306.3590912,1.40108
0.1668,90.29865868,306.3647687,1.40062
0.1671,90.37574406,306.3704287,1.40016
0.1674,90.45273698,306.3760713,1.3997
0.1677,90.52963757,306.3816965,1.39923
0.168,90.60644594,306.3873044,1.39877
0.1683,90.68316219,306.392895,1.39831
0.1686,90.75978644,306.3984686,1.39785
0.1689,90.8363188,306.404025,1.39739
0.1692,90.91275937,306.4095644,1.39693
0.1695,90.98910827,306.415087,1.39647
0.1698,91.06536561,306.4205927,1.39601
0.1701,91.1415315,306.4260816,1.39555
0.1704,91.21760604,306.431554,1.3951
0.1707,91.29358935,306.4370098,1.39464
0.171,91.36948154,306.4424491,1.39418
0.1713,91.44528271,306.4478721,1.39373
0.1716,91.52099298,306.4532789,1.39327
0.1719,91.59661246,306.4586696,1.39282
0.1722,91.67214124,306.4640442,1.39236
0.1725,91.74757945,306.469403,1.39191
0.1728,91.82292719,306.474746,1.39145
0.1731,91.89818457,306.4800734,1.391
0.1734,91.97335169,306.4853853,1.39055
0.1737,92.04842868,306.4906817,1.39009
0.174,92.12341563,306.495963,1.38964
0.1743,92.19831265,306.5012291,1.38919
0.1746,92.27311985,306.5064802,1.38874
0.1749,92.34783734,306.5117166,1.38829
0.1752,92.42246523,306.5169382,1.38784
0.1755,92.49700362,306.5221453,1.38739
0.1758,92.57145262,306.5273381,1.38694
0.1761,92.64581234,306.5325166,1.38649
0.1764,92.72008289,306.5376811,1.38605
0.1767,92.79426437,306.5428317,1.3856
0.177,92.86835689,306.5479685,1.38515
0.1773,92.94236056,306.5530919,1.3847
0.1776,93.01627549,306.5582018,1.38426
0.1779,93.09010177,306.5632986,1.38381
0.1782,93.16383952,306.5683823,1.38337
0.1785,93.23748884,306.5734532,1.38292
0.1788,93.31104985,306.5785114,1.38248
0.1791,93.38452264,306.5835572,1.38204
0.1794,93.45790732,306.5885908,1.38159
0.1797,93.531204,306.5936122,1.38115
0.18,93.60441278,306.5986219,1.38071
0.1803,93.67753377,306.6036198,1.38027
0.1806,93.75056708,306.6086063,1.37983
0.1809,93.82351281,306.6135816,1.37938
0.1812,93.89637106,306.6185458,1.37894
0.1815,93.96914194,306.6234993,1.37851
0.1818,94.04182556,306.6284421,1.37807
0.1821,94.11442202,306.6333746,1.37763
0.1824,94.18693142,306.638297,1.37719
0.1827,94.25935388,306.6432095,1.37675
0.183,94.33168948,306.6481123,1.37631
0.1833,94.40393835,306.6530056,1.37588
0.1836,94.47610058,306.6578898,1.37544
0.1839,94.54817617,306.6627651,1.37501
0.1842,94.62016524,306.6676316,1.37457
0.1845,94.69206797,306.6724897,1.37414
0.1848,94.76388447,306.6773396,1.3737
0.1851,94.83561484,306.6821816,1.37327
0.1854,94.90725919,306.6870159,1.37284
0.1857,94.97881761,306.6918428,1.3724
0.186,95.05029021,306.6966625,1.37197
0.1863,95.1216771,306.7014315,1.37154
0.1866,95.19297837,306.7061428,1.37111
0.1869,95.26419413,306.7108437,1.37068
0.1872,95.33532448,306.715534,1.37025
0.1875,95.40636952,306.7202138,1.36982
0.1878,95.47732936,306.7248829,1.36939
0.1881,95.5482041,306.7295413,1.36896
0.1884,95.61899384,306.7341891,1.36853
0.1887,95.68969867,306.7388261,1.3681
0.189,95.76031872,306.7434524,1.36767
0.1893,95.83085406,306.7480679,1.36724
0.1896,95.90130481,306.7526725,1.36682
0.1899,95.97167107,306.7572664,1.36639
0.1902,96.04195294,306.7618493,1.36597
0.1905,96.11215052,306.7664213,1.36554
0.1908,96.18226391,306.7709824,1.36511
0.1911,96.25229322,306.7755325,1.36469
