time,L2.i,L3.i,L1.i,L1.ICP.di,L2.ICP.di,C2.vinternal,C1.vinternal,L2.iinternal,L3.iinternal,L1.iinternal
0.00371665163,0.00224418372,0.1767184576,0.4258850974,202.2876322,-0.3175074941,-0.1218195336,-2.059444284,0.00224418372,0.1767184576,0.4258850974
0.00379197468,0.002245051825,0.1820803465,0.4411971554,204.2635612,0.3352268636,-0.1285713192,-2.072579979,0.002245051825,0.1820803465,0.4411971554
0.003867297729,0.002289388997,0.1874246941,0.4566536656,206.1224304,0.7820155344,-0.1355244739,-2.086517459,0.002289388997,0.1874246941,0.4566536656
0.003951182977,0.002358434208,0.1933472006,0.4740262292,208.0507871,0.7671641335,-0.1435040345,-2.105667109,0.002358434208,0.1933472006,0.4740262292
0.004046983472,0.002406743383,0.2000603252,0.4940558458,210.0694542,0.1718194921,-0.1529193378,-2.13144228,0.002406743383,0.2000603252,0.4940558458
0.00411349397,0.002400917156,0.2046822662,0.5080710168,211.3576249,-0.3359874926,-0.1596441439,-2.149149893,0.002400917156,0.2046822662,0.5080710168
0.004185156751,0.002362160157,0.2096218608,0.5232642012,212.6437095,-0.6970543047,-0.1670609685,-2.165354838,0.002362160157,0.2096218608,0.5232642012
0.004263882853,0.002304200992,0.2149957125,0.5400564997,213.9357092,-0.7035303529,-0.1754115381,-2.178034171,0.002304200992,0.2149957125,0.5400564997
0.004359777201,0.002256067114,0.2214605323,0.5606404289,215.336593,-0.2419664226,-0.1858666709,-2.186991266,0.002256067114,0.2214605323,0.5606404289
0.004425790514,0.002253466845,0.2258545499,0.5748841198,216.1877226,0.1539869504,-0.1932427351,-2.191179806,0.002253466845,0.2258545499,0.5748841198
0.004495449663,0.002274918787,0.2304365589,0.5899718915,216.9830327,0.423570228,-0.2011822494,-2.195995113,0.002274918787,0.2304365589,0.5899718915
0.004570679781,0.002308490907,0.2353160695,0.6063241176,217.7215867,0.4134145278,-0.2099344087,-2.202951439,0.002308490907,0.2353160695,0.6063241176
0.004668728651,0.002330933889,0.241557378,0.6277111898,218.4965065,-0.01033741279,-0.2216136287,-2.214202823,0.002330933889,0.241557378,0.6277111898
0.004720455411,0.00232285621,0.2447919176,0.639021942,218.8207703,-0.2997134012,-0.2278972238,-2.219945223,0.00232285621,0.2447919176,0.639021942
0.004792085395,0.002289326597,0.249200703,0.6547094076,219.1748893,-0.6072677211,-0.2367353236,-2.226013983,0.002289326597,0.249200703,0.6547094076
0.00486371538,0.002241294249,0.253524343,0.6704183236,219.4198044,-0.6913460504,-0.2457294906,-2.228745186,0.002241294249,0.253524343,0.6704183236
0.004956764752,0.002185439826,0.2590079335,0.6908438455,219.5747982,-0.4562626354,-0.2576410788,-2.227175011,0.002185439826,0.2590079335,0.6908438455
0.005030084978,0.002163365307,0.2632181102,0.7069434912,219.5654561,-0.1440624706,-0.2672041977,-2.223298467,0.002163365307,0.2632181102,0.7069434912
0.005107014528,0.002162824908,0.2675251392,0.7238301513,219.4290036,0.1017951906,-0.2774015555,-2.21872272,0.002162824908,0.2675251392,0.7238301513
0.005183944078,0.002173320963,0.2717131963,0.7407012799,219.1615613,0.1298010674,-0.2877619185,-2.214964161,0.002173320963,0.2717131963,0.7407012799
0.005265475846,0.002176575459,0.276015001,0.7585535258,218.735263,-0.08365384426,-0.2989147632,-2.211947829,0.002176575459,0.276015001,0.7585535258
0.005330555572,0.002162810459,0.2793431223,0.7727747863,218.2905988,-0.3426826297,-0.3079407882,-2.209369891,0.002162810459,0.2793431223,0.7727747863
0.005408483415,0.00212513539,0.2832001493,0.7897611209,217.6380804,-0.6030971335,-0.3188884832,-2.204576651,0.00212513539,0.2832001493,0.7897611209
0.005486842006,0.002073233518,0.2869332606,0.8067849725,216.8516671,-0.6858464242,-0.3300449665,-2.196648761,0.002073233518,0.2869332606,0.8067849725
0.005586039022,0.002011805808,0.2914435673,0.8282391107,215.669716,-0.5106219019,-0.3443725673,-2.18190543,0.002011805808,0.2914435673,0.8282391107
0.005665436389,0.001980638605,0.2948744897,0.8453200699,214.5729877,-0.2754903123,-0.3559972298,-2.167596915,0.001980638605,0.2948744897,0.8453200699
0.005749365676,0.001965382738,0.2983219424,0.8632752772,213.2669486,-0.1151830901,-0.3684293239,-2.151832229,0.001965382738,0.2983219424,0.8632752772
0.005833294963,0.001955751616,0.301578626,0.8811145315,211.8099665,-0.1484786453,-0.3810015852,-2.136448469,0.001955751616,0.301578626,0.8811145315
0.005930089495,0.001931007281,0.3050890179,0.9015278613,209.9439903,-0.384930728,-0.3956643976,-2.118796907,0.001931007281,0.3050890179,0.9015278613
0.006009059426,0.001891816129,0.3077520758,0.9180421447,208.2768666,-0.5981504793,-0.407748144,-2.103137606,0.001891816129,0.3077520758,0.9180421447
0.006101178648,0.00183009467,0.3106243356,0.9371327703,206.1708964,-0.7083822153,-0.4219711034,-2.081857934,0.00183009467,0.3106243356,0.9371327703
0.006202347458,0.001762042026,0.313481419,0.9578655858,203.6605372,-0.6034149014,-0.4377356963,-2.054216673,0.001762042026,0.313481419,0.9578655858
0.006303516267,0.001711469859,0.3160196998,0.9783340229,200.9444933,-0.3983380864,-0.4536359829,-2.023460224,0.001711469859,0.3160196998,0.9783340229
0.006404685076,0.001677537922,0.3182307208,0.9985172974,198.0233429,-0.3043633829,-0.4696556196,-1.991703434,0.001677537922,0.3182307208,0.9985172974
0.006509215032,0.001641526984,0.3201619299,1.019049649,194.7918953,-0.4161253059,-0.4863150116,-1.958802403,0.001641526984,0.3201619299,1.019049649
0.006613744989,0.001586998295,0.3217248543,1.039233082,191.3483352,-0.6265735788,-0.5030648789,-1.924744022,0.001586998295,0.3217248543,1.039233082
0.006718274945,0.001514059566,0.3229116111,1.059045725,187.6983858,-0.740257791,-0.5198857556,-1.887638598,0.001514059566,0.3229116111,1.059045725
0.006835963676,0.001429959241,0.3237894698,1.080882187,183.3478636,-0.6571263768,-0.5388843621,-1.841306787,0.001429959241,0.3237894698,1.080882187
0.006953652408,0.00136250953,0.3241734832,1.102191828,178.7461998,-0.4970500617,-0.5579190202,-1.791639488,0.00136250953,0.3241734832,1.102191828
0.007071341139,0.001307204658,0.3240543754,1.122945319,173.8974713,-0.4762054298,-0.5769603987,-1.740841286,0.001307204658,0.3240543754,1.122945319
0.007199222076,0.001237235432,0.3233437549,1.144832153,168.3562384,-0.6357688416,-0.5976235697,-1.684707636,0.001237235432,0.3233437549,1.144832153
