time,springPlateB.s,springPlateA.s,spool.s,springPlateB.v,springPlateA.v,spool.v,outerContactB.s_rel,innerContactB.s_rel,innerContactA.s_rel,outerContactB.v_rel,friction.v_rel,outerContactA.v_rel
0.0008919434484,-0.0673100045,-0.09305130759,0.01473907314,-0.566190666,0.1190788214,0.05560306845,0.001310004504,0.000799077643,0.0009596192727,0.566190666,0.05560306845,0.1190788214
0.0009047978555,-0.06731771446,-0.09304979082,0.01473972366,-0.6242711305,0.1163060305,0.04571186239,0.001317714457,0.0008074381127,0.0009604855191,0.6242711305,0.04571186239,0.1163060305
0.0009197214185,-0.06732720627,-0.09304810304,0.01474032705,-0.6414186731,0.1093525158,0.0354170718,0.001327206271,0.0008175333174,0.0009615699132,0.6414186731,0.0354170718,0.1093525158
0.000936893839,-0.06733814105,-0.09304631576,0.01474084817,-0.6282541189,0.0984521858,0.02565257741,0.001338141048,0.000828989219,0.0009628360654,0.6282541189,0.02565257741,0.0984521858
0.000956874771,-0.0673503733,-0.09304448945,0.01474126946,-0.5941873288,0.0842534492,0.01695653296,0.001350373295,0.0008416427538,0.0009642410946,0.5941873288,0.01695653296,0.0842534492
0.0009803283752,-0.06736375261,-0.09304270785,0.01474157656,-0.5462282212,0.06787071423,0.009686756997,0.001363752606,0.0008553291648,0.000965715588,0.5462282212,0.009686756997,0.06787071423
0.000995856399,-0.06737198564,-0.09304173233,0.01474169865,-0.514266066,0.05792511038,0.006185101383,0.001371985638,0.0008636842879,0.0009665690219,0.514266066,0.006185101383,0.05792511038
0.001032622489,-0.06738954241,-0.09303998131,0.01474181533,-0.4416591178,0.0382676017,0.0007151317661,0.001389542405,0.0008813577314,0.0009682033603,0.4416591178,0.0007151317661,0.0382676017
0.00105260939,-0.06739800245,-0.09303930272,0.01474181038,-0.4053957982,0.02989320218,-0.001106660213,0.001398002452,0.0008898128325,0.0009688868967,0.4053957982,-0.001106660213,0.02989320218
0.001093349081,-0.06741315059,-0.09303836289,0.01474171439,-0.3400858933,0.01711281565,-0.003344115133,0.001413150586,0.0009048649715,0.0009699227195,0.3400858933,-0.003344115133,0.01711281565
0.001134088772,-0.06742585082,-0.09303784887,0.01474155345,-0.2849724573,0.008724234805,-0.004419620175,0.001425850822,0.0009174042747,0.0009705976765,0.2849724573,-0.004419620175,0.008724234805
0.001186373327,-0.06743917562,-0.09303758023,0.01474130569,-0.2269023353,0.002173959734,-0.00494837965,0.001439175618,0.000930481306,0.0009711140822,0.2269023353,-0.00494837965,0.002173959734
0.001243270435,-0.06745060699,-0.09303757912,0.01474102053,-0.1769818886,-0.001720026455,-0.005021319709,0.001450606986,0.000941627513,0.0009714003484,0.1769818886,-0.005021319709,-0.001720026455
0.001304809132,-0.06746015751,-0.09303775829,0.01474071549,-0.1352823668,-0.003842951766,-0.004870568836,0.001460157506,0.0009508730001,0.0009715262182,0.1352823668,-0.004870568836,-0.003842951766
0.001376213999,-0.06746845869,-0.09303807662,0.01474037677,-0.09912076811,-0.004898377084,-0.004612433082,0.001468458691,0.0009588354563,0.0009715466145,0.09912076811,-0.004612433082,-0.004898377084
0.00145793338,-0.06747527844,-0.09303849415,0.01474001189,-0.06956006576,-0.005217226617,-0.004323503635,0.001475278441,0.0009652903281,0.0009714939623,0.06956006576,-0.004323503635,-0.005217226617
0.001553891716,-0.06748074688,-0.09303899095,0.01473961109,-0.04607104131,-0.005084031186,-0.004041221268,0.001480746879,0.000970357969,0.0009713979613,0.04607104131,-0.004041221268,-0.005084031186
0.001666497362,-0.06748487221,-0.093039543,0.01473917095,-0.02863961116,-0.00470508379,-0.003788711281,0.001484872206,0.0009740431608,0.0009712860451,0.02863961116,-0.003788711281,-0.00470508379
0.001795833413,-0.06748774314,-0.09304012154,0.0147386954,-0.01686958639,-0.00424946067,-0.003576227643,0.001487743139,0.0009764385425,0.0009711830575,0.01686958639,-0.003576227643,-0.00424946067
0.001938578914,-0.06748958774,-0.09304069723,0.01473819786,-0.009719173472,-0.003834794156,-0.003403060395,0.001489587736,0.0009777855955,0.0009711049094,0.009719173472,-0.003403060395,-0.003834794156
0.002095479938,-0.06749075592,-0.09304127107,0.01473767588,-0.005635487709,-0.003498928706,-0.003256144503,0.001490755921,0.0009784318039,0.0009710530438,0.005635487709,-0.003256144503,-0.003498928706
0.002268223334,-0.06749151576,-0.09304185172,0.01473712517,-0.003433549566,-0.003239319142,-0.003123645674,0.001491515761,0.0009786409316,0.0009710231078,0.003433549566,-0.003123645674,-0.003239319142
0.002460633913,-0.06749205324,-0.09304245432,0.0147365367,-0.002304022052,-0.003035552197,-0.002995686051,0.001492053235,0.0009785899364,0.0009710089837,0.002304022052,-0.002995686051,-0.003035552197
0.002678263125,-0.06749248566,-0.09304309554,0.0147358992,-0.001748332651,-0.002864751442,-0.002864775855,0.001492485656,0.0009783848541,0.0009710052574,0.001748332651,-0.002864775855,-0.002864751442
0.002929333493,-0.0674928856,-0.09304379438,0.01473519772,-0.001475146272,-0.002706823269,-0.002724748448,0.001492885596,0.0009780833126,0.0009710079054,0.001475146272,-0.002724748448,-0.002706823269
0.003225881783,-0.06749329829,-0.09304457275,0.0147344129,-0.001324462736,-0.002545929258,-0.002569952081,0.00149329829,0.0009777111893,0.0009710143488,0.001324462736,-0.002569952081,-0.002545929258
0.003586732953,-0.06749375519,-0.09304545912,0.01473351764,-0.001214383217,-0.002369430083,-0.002394082002,0.001493755187,0.0009772728323,0.0009710232359,0.001214383217,-0.002394082002,-0.002369430083
0.004043466317,-0.0674942844,-0.09304649406,0.01473247177,-0.001106021891,-0.002165690146,-0.002188762942,0.0014942844,0.0009767561748,0.0009710341686,0.001106021891,-0.002188762942,-0.002165690146
0.004654696668,-0.06749492117,-0.09304774139,0.01473121112,-0.0009803018332,-0.001920582003,-0.001941125359,0.001494921172,0.0009761322917,0.0009710474934,0.0009803018332,-0.001941125359,-0.001920582003
0.005544734409,-0.06749572156,-0.09304930954,0.01472962619,-0.0008228154469,-0.001612106047,-0.001629358085,0.00149572156,0.0009753477518,0.0009710642723,0.0008228154469,-0.001629358085,-0.001612106047
0.007028767664,-0.06749678025,-0.09305138378,0.01472752975,-0.0006140004033,-0.001202979692,-0.001215857703,0.001496780251,0.0009743099978,0.0009710864733,0.0006140004033,-0.001215857703,-0.001202979692
0.009263039279,-0.06749788871,-0.09305355552,0.01472533475,-0.0003941215478,-0.0007721746358,-0.000780446713,0.00149788871,0.000973223463,0.000971109729,0.0003941215478,-0.000780446713,-0.0007721746358
0.01187495426,-0.06749869034,-0.09305512609,0.01472374735,-0.0002332784419,-0.0004570373752,-0.0004619401773,0.001498690343,0.0009724376902,0.0009711265635,0.0002332784419,-0.0004619401773,-0.0004570373752
0.01520821488,-0.06749925409,-0.09305623056,0.01472263101,-0.000117420228,-0.0002300382763,-0.0002325141278,0.001499254091,0.0009718851039,0.0009711384266,0.000117420228,-0.0002325141278,-0.0002300382763
0.01918758662,-0.06749956789,-0.09305684529,0.01472200964,-4.903370338e-05,-9.604967969e-05,-9.709299806e-05,0.001499567887,0.0009715775309,0.0009711450643,4.903370338e-05,-9.709299806e-05,-9.604967969e-05
0.02406746501,-0.06749970605,-0.09305711589,0.01472173607,-1.318473427e-05,-2.581138218e-05,-2.610375146e-05,0.001499706052,0.0009714421228,0.0009711480375,1.318473427e-05,-2.610375146e-05,-2.581138218e-05
