time,dcse.inertiaRotor.w,dcse.friction.phi,dcse.airGapDC.psi_e,dcse.flange.tau,dcse.airGapDC.iaˍt,loadInertia.w,loadInertia.phi,dcse.la.i
0.03746361866,5.104453174,0.09115461654,-0.05441753963,-37.74208277,8882.743609,5.104453174,0.09115461654,-108.8350793
0.03799694628,5.231426002,0.09391148679,-0.051296903,-33.54362754,14465.56866,5.231426002,0.09391148679,-102.593806
0.03854067666,5.342566812,0.0967871438,-0.04663735166,-27.73517304,19727.55865,5.342566812,0.0967871438,-93.27470332
0.03911548928,5.435142257,0.09988602703,-0.04024222555,-20.662436,24652.1929,5.435142257,0.09988602703,-80.48445109
0.03972550993,5.503296145,0.1032239289,-0.03203615194,-13.11166444,28990.62813,5.503296145,0.1032239289,-64.07230389
0.04033740038,5.542546709,0.1066047163,-0.02263547414,-6.568479062,32273.4187,5.542546709,0.1066047163,-45.27094828
0.04094929083,5.558860975,0.1100020904,-0.01240947515,-2.005840584,34369.93306,5.558860975,0.1100020904,-24.81895031
0.04156118128,5.561783683,0.1134047993,-0.001733543126,-0.08342563129,35205.88048,5.561783683,0.1134047993,-3.467086252
0.04217307173,5.562788941,0.1168081019,0.009000825345,-1.076692712,34750.52896,5.562788941,0.1168081019,18.00165069
0.04278496218,5.573611533,0.1202144463,0.01939957718,-4.83711137,33018.06964,5.573611533,0.1202144463,38.79915436
0.04340368749,5.605029337,0.1236714101,0.02918264945,-10.88912116,30028.73618,5.605029337,0.1236714101,58.3652989
0.0440224128,5.66456152,0.1271562211,0.03786179392,-18.29893409,25903.17559,5.66456152,0.1271562211,75.72358783
0.04464113812,5.755556024,0.1306875471,0.04510807382,-25.95545866,20794.41485,5.755556024,0.1306875471,90.21614764
0.04525986343,5.876638828,0.1342846746,0.05064622122,-32.70952175,14895.40805,5.876638828,0.1342846746,101.2924424
0.04587858874,6.021917162,0.1379646131,0.05426594789,-37.54721501,8431.896506,6.021917162,0.1379646131,108.5318958
0.04643504922,6.165432178,0.1413551398,0.05576849577,-39.65484013,2342.012682,6.165432178,0.1413551398,111.5369915
0.04691940025,6.293423905,0.1443723853,0.05568630308,-39.54052931,-3018.457914,6.293423905,0.1443723853,111.3726062
0.04740375129,6.418087477,0.1474510535,0.0543127314,-37.61908522,-8301.863977,6.418087477,0.1474510535,108.6254628
0.04791583297,6.540087823,0.1507694302,0.05149396873,-33.82403279,-13666.9586,6.540087823,0.1507694302,102.9879375
0.0484387156,6.648597621,0.1542183107,0.04724407586,-28.48327637,-18769.42141,6.648597621,0.1542183107,94.48815173
0.04899307107,6.741302759,0.1579308299,0.04135508959,-21.84184302,-23614.07141,6.741302759,0.1579308299,82.71017917
0.0495831429,6.81226731,0.1619310345,0.03372278181,-14.54736267,-27974.85673,6.81226731,0.1619310345,67.44556362
0.0501901845,6.856541109,0.1660811827,0.0246760675,-7.82149662,-31456.06832,6.856541109,0.1660811827,49.35213501
0.05079722609,6.87682378,0.1702505677,0.01474300212,-2.836506608,-33798.35845,6.87682378,0.1702505677,29.48600424
0.05140426769,6.881705307,0.1744270873,0.00428267926,-0.3026706205,-34920.16219,6.881705307,0.1744270873,8.56535852
0.05193633263,6.881792387,0.1780886108,-0.005021752434,-0.3902284958,-34867.17192,6.881792387,0.1780886108,-10.04350487
0.05246839758,6.886047132,0.1817509502,-0.01418294104,-2.630424076,-33845.46592,6.886047132,0.1817509502,-28.36588209
