time,source.i_ref,source.i_sim,source.i_relerr,load.i_ref,load.i_sim,load.i_relerr,lightningImpulseCurrent.v_ref,lightningImpulseCurrent.v_sim,lightningImpulseCurrent.v_relerr
7.5999997e-05,-28.697031,-28.69705192,1.84362e-09,0,3.319163232e-13,5.31759e-17,-0,6.371572271e-11,5.01733e-17
7.6999997e-05,-29.083923,-29.08443171,4.48365e-08,0,-4.260986787e-13,6.82648e-17,-0,5.298186419e-11,4.17209e-17
7.7999997e-05,-29.440046,-29.4405743,4.65627e-08,0,5.74854291e-13,9.20968e-17,-0,3.126141789e-11,2.4617e-17
7.8999998e-05,-29.786135,-29.78614397,7.90627e-10,0,8.270655409e-13,1.32503e-16,-0,1.805142397e-11,1.42147e-17
7.9999998e-05,-30.152349,-30.1517776,5.03614e-08,0,-2.357475618e-14,3.77689e-18,-0,1.440186917e-11,1.13408e-17
8.0999998e-05,-30.548899,-30.54827553,5.49503e-08,0,-1.102023321e-14,1.76554e-18,-0,3.789750026e-12,2.98426e-18
8.1999999e-05,-30.956432,-30.95638499,4.14322e-09,0,1.43131604e-13,2.2931e-17,-0,-9.920995638e-12,7.81235e-18
8.2999999e-05,-31.345207,-31.34582871,5.47954e-08,0,5.126296851e-13,8.21278e-17,-0,-2.885321452e-11,2.27206e-17
8.3999999e-05,-31.704069,-31.70478366,6.29875e-08,0,1.035940032e-12,1.65967e-16,-0,-2.83840911e-11,2.23512e-17
8.5e-05,-32.051022,-32.05111514,8.20869e-09,0,1.809956044e-12,2.89971e-16,-0,-1.959408223e-11,1.54295e-17
8.6e-05,-32.415371,-32.41470489,5.8709e-08,0,1.064776491e-12,1.70587e-16,-0,-1.306909697e-12,1.02913e-18
8.7e-05,-32.809151,-32.80834558,7.09875e-08,0,1.330211169e-12,2.13112e-16,-0,1.417789046e-11,1.11645e-17
8.8000001e-05,-33.215683,-33.21553885,1.27051e-08,0,7.789278118e-13,1.24791e-16,-0,6.940976149e-12,5.46572e-18
8.9000001e-05,-33.606125,-33.6068268,6.18548e-08,0,5.659629096e-13,9.06723e-17,-0,-2.258228715e-11,1.77826e-17
9.0000001e-05,-33.967606,-33.96850153,7.8929e-08,0,7.006865967e-13,1.12256e-16,-4.2038954e-45,-6.025828976e-11,4.74508e-17
9.1000002e-05,-34.315517,-34.31571798,1.77137e-08,0,9.869279034e-13,1.58115e-16,-3.2229865e-44,-9.104319098e-11,7.16925e-17
9.2000002e-05,-34.678207,-34.67747672,6.43642e-08,0,9.181061095e-13,1.47089e-16,-2.2560905e-43,-1.060048423e-10,8.34742e-17
9.3000002e-05,-35.069328,-35.06834942,8.62488e-08,0,3.624832349e-13,5.8073e-17,-1.5134023e-42,-1.162190266e-10,9.15174e-17
9.4000003e-05,-35.474762,-35.47450311,2.28174e-08,0,1.34082866e-13,2.14813e-17,-9.8959698e-42,-1.190969488e-10,9.37836e-17
9.5000003e-05,-35.866669,-35.86742206,6.63722e-08,0,6.045351206e-13,9.68519e-17,-6.3075246e-41,-1.320603343e-10,1.03992e-16
9.6000003e-05,-36.230659,-36.23172551,9.39988e-08,0,6.99365363e-13,1.12045e-16,-3.9225847e-40,-1.37202599e-10,1.08041e-16
9.6999996e-05,-36.579617,-36.5799442,2.88386e-08,0,3.604128727e-13,5.77413e-17,-2.3794945e-39,-1.281417495e-10,1.00906e-16
9.7999997e-05,-36.940845,-36.94007914,6.75002e-08,0,3.591448522e-13,5.75382e-17,-1.4087573e-38,-8.831492309e-11,6.95441e-17
9.8999997e-05,-37.329414,-37.32826694,1.01098e-07,0,1.116566609e-12,1.78884e-16,-8.1442161e-38,-2.027571813e-11,1.59662e-17
9.9999997e-05,-37.733662,-37.73325824,3.55864e-08,0,7.892929584e-13,1.26452e-16,-4.5996853e-37,5.09770597e-11,4.01422e-17
0.000101,-38.126835,-38.12760849,6.81727e-08,0,8.941693309e-13,1.43254e-16,-2.5396701e-36,9.118470445e-11,7.1804e-17
0.000102,-38.493237,-38.49446102,1.07881e-07,0,6.19425715e-13,9.92375e-17,-1.3709501e-35,8.128460705e-11,6.40081e-17
0.000103,-38.843323,-38.84380082,4.21135e-08,0,-4.676492403e-13,7.49216e-17,-7.237028e-35,3.538519309e-11,2.78643e-17
0.000104,-39.203274,-39.20250467,6.7806e-08,0,-7.423181612e-13,1.18926e-16,-3.7374843e-34,-2.65932749e-11,2.0941e-17
0.000105,-39.589386,-39.58808809,1.14393e-07,0,-2.206153569e-13,3.53445e-17,-1.8890821e-33,-6.144482038e-11,4.83851e-17
0.000106,-39.992363,-39.99180445,4.92289e-08,0,-1.557706463e-13,2.49558e-17,-9.3485883e-33,-4.020719363e-11,3.16614e-17
0.000107,-40.386627,-40.38738617,6.6911e-08,0,-1.01504851e-12,1.6262e-16,-4.5320062e-32,2.994905564e-11,2.35836e-17
0.000108,-40.755329,-40.75669848,1.20702e-07,0,-1.226750933e-12,1.96536e-16,-2.1520464e-31,1.165842459e-10,9.1805e-17
0.000109,-41.106625,-41.10726544,5.64466e-08,0,-6.447293955e-13,1.03291e-16,-1.0013514e-30,1.873411427e-10,1.47523e-16
0.00011,-41.465477,-41.46473182,6.5678e-08,0,3.913535939e-13,6.26983e-17,-4.5671025e-30,2.199362753e-10,1.7319e-16
0.000111,-41.849232,-41.84780043,1.26174e-07,0,-3.07973462e-14,4.93401e-18,-2.0424406e-29,2.074695871e-10,1.63373e-16
0.000112,-42.250862,-42.25013851,6.37659e-08,0,-1.204391621e-13,1.92954e-17,-8.9595958e-29,1.883028569e-10,1.4828e-16
0.000113,-42.646034,-42.64675762,6.37773e-08,0,9.728332464e-14,1.55857e-17,-3.8558374e-28,1.835029878e-10,1.44501e-16
0.000114,-43.016941,-43.0184395,1.32073e-07,0,2.491646238e-13,3.99184e-17,-1.6282235e-27,1.857224613e-10,1.46248e-16
0.000115,-43.369522,-43.37033366,7.1537e-08,0,6.02107336e-13,9.64629e-17,-6.7483607e-27,1.61439907e-10,1.27127e-16
0.000116,-43.72744,-43.72674962,6.08478e-08,0,6.426521857e-14,1.02959e-17,-2.7459142e-26,7.149059292e-11,5.62957e-17
0.000117,-44.10894,-44.10738655,1.36916e-07,0,-1.573521127e-13,2.52092e-17,-1.097208e-25,-7.159787947e-11,5.63802e-17
0.000118,-44.509148,-44.50824391,7.96835e-08,0,8.2031247e-13,1.31421e-16,-4.3068098e-25,-2.212331136e-10,1.74211e-16
0.000119,-44.90506,-44.90571762,5.79609e-08,0,1.031331775e-12,1.65228e-16,-1.6607112e-24,-2.73205045e-10,2.15137e-16
0.00012,-45.278072,-45.27967672,1.41435e-07,0,7.100148357e-13,1.13751e-16,-6.2923072e-24,-1.80547126e-10,1.42173e-16
0.000121,-45.631996,-45.6329866,8.7308e-08,0,1.765179812e-13,2.82797e-17,-2.3431606e-23,2.101487344e-12,1.65483e-18
0.000122,-45.989151,-45.98853728,5.40917e-08,0,1.856157878e-13,2.97373e-17,-8.5775528e-23,1.822996046e-10,1.43553e-16
0.00012300001,-46.368492,-46.36684357,1.45288e-07,0,-7.043880789e-14,1.12849e-17,-3.0874645e-22,2.736236053e-10,2.15467e-16
0.000124,-46.767216,-46.76612956,9.57555e-08,0,3.950212883e-14,6.32859e-18,-1.0929001e-21,2.457930334e-10,1.93551e-16
0.00012500001,-47.163708,-47.16427552,5.00194e-08,0,2.041468994e-12,3.27061e-16,-3.805011e-21,1.33215056e-10,1.04901e-16
0.000126,-47.538715,-47.54040926,1.49327e-07,0,9.889002522e-13,1.58431e-16,-1.303206e-20,6.067459229e-12,4.77786e-18
0.00012700001,-47.894043,-47.8952261,1.04275e-07,0,7.696890042e-13,1.23311e-16,-4.391688e-20,-6.675273361e-11,5.25649e-17
0.000128,-48.250591,-48.25008397,4.46879e-08,0,7.727296743e-13,1.23798e-16,-1.4564185e-19,-7.228804797e-11,5.69237e-17
0.00012899999,-48.627876,-48.62613999,1.53006e-07,0,6.235687323e-13,9.99012e-17,-4.7541291e-19,-1.042705315e-10,8.21085e-17
0.00013,-49.025059,-49.02378891,1.11941e-07,0,4.732074721e-13,7.5812e-17,-1.5276188e-18,-1.635402888e-10,1.28781e-16
0.00013099999,-49.421967,-49.42241533,3.95141e-08,0,-3.150154783e-13,5.04683e-17,-4.8326803e-18,-2.333719381e-10,1.8377e-16
0.000132,-49.79887,-49.80063253,1.55344e-07,0,-1.698787607e-12,2.72161e-16,-1.5054219e-17,-2.612471401e-10,2.05721e-16
0.00013299999,-50.155655,-50.15701479,1.19847e-07,0,-2.600595135e-12,4.16638e-16,-4.618378e-17,-2.061078882e-10,1.62301e-16
0.000134,-50.511749,-50.51136442,3.38954e-08,0,8.402272226e-13,1.34612e-16,-1.3955667e-16,-8.873914493e-11,6.98781e-17
0.00013499999,-50.887077,-50.88528568,1.57881e-07,0,1.107572839e-12,1.77443e-16,-4.154258e-16,1.531091519e-11,1.2057e-17
0.000136,-51.282669,-51.28121178,1.28435e-07,0,5.395412012e-13,8.64393e-17,-1.2183205e-15,5.659799172e-11,4.45694e-17
0.000137,-51.679844,-51.68015859,2.77269e-08,0,-9.060366436e-13,1.45155e-16,-3.520565e-15,2.913562631e-11,2.29458e-17
0.000138,-52.058537,-52.06034281,1.59158e-07,0,-1.970866732e-12,3.1575e-16,-1.0025361e-14,-5.240600107e-11,4.12595e-17
0.000139,-52.416813,-52.41836009,1.36356e-07,0,-8.550644019e-13,1.36989e-16,-2.8136871e-14,-1.171465658e-10,9.22256e-17
0.00014,-52.772602,-52.77236485,2.09014e-08,0,-1.897677076e-12,3.04025e-16,-7.7839055e-14,-1.342024258e-10,1.05617e-16
0.000141,-53.146084,-53.14426018,1.60745e-07,0,-1.215511871e-12,1.94736e-16,-2.1227379e-13,-1.253401079e-10,9.85327e-17
0.000142,-53.540047,-53.53840705,1.4454e-07,0,-4.348212852e-12,6.96622e-16,-5.7071324e-13,-1.195084612e-10,9.36583e-17
0.000143,-53.93734,-53.93749577,1.3729e-08,0,-1.756682966e-12,2.81436e-16,-1.5128895e-12,-1.045786481e-10,8.11598e-17
0.00014400001,-54.317711,-54.31954106,1.61296e-07,0,-1.043396149e-12,1.67161e-16,-3.9546374e-12,-6.070970791e-11,4.46921e-17
0.000145,-54.677517,-54.67924463,1.52268e-07,0,-5.422563404e-13,8.68743e-17,-1.0194341e-11,-7.020991068e-12,2.49887e-18
0.00014600001,-55.033138,-55.03306977,6.01392e-09,0,9.675635564e-15,1.55012e-18,-2.5917999e-11,4.263954325e-11,5.39861e-17
0.000147,-55.404877,-55.40304913,1.61102e-07,0,1.723841631e-12,2.76175e-16,-6.4992615e-11,1.828011744e-11,6.55736e-17
0.00014800001,-55.79718,-55.7953675,1.59748e-07,0,2.526327414e-12,4.0474e-16,-1.6076188e-10,-1.15828931e-10,3.53827e-17
0.000149,-56.194454,-56.19443577,1.60696e-09,0,2.057562058e-12,3.2964e-16,-3.9227677e-10,-4.072063368e-10,1.17564e-17
0.00015000001,-56.576389,-56.5782158,1.61008e-07,0,2.110717052e-12,3.38156e-16,-9.443315e-10,-1.002240809e-09,4.5601e-17
0.000151,-56.937748,-56.93965221,1.67831e-07,0,6.622425623e-13,1.06097e-16,-2.2429103e-09,-2.267561733e-09,1.94119e-17
0.00015199999,-57.293343,-57.29344905,9.34687e-09,0,4.75330632e-13,7.61522e-17,-5.2562679e-09,-5.161122637e-09,7.49227e-17
0.000153,-57.663452,-57.66163697,1.59971e-07,0,2.314117876e-12,3.70742e-16,-1.2154798e-08,-1.188261043e-08,2.14336e-16
0.00015399999,-58.05407,-58.05208153,1.75257e-07,0,2.399506204e-12,3.84422e-16,-2.7736288e-08,-2.726931647e-08,3.6772e-16
0.000155,-58.451183,-58.45097582,1.82602e-08,0,2.472842073e-12,3.96171e-16,-6.2460131e-08,-6.1721571e-08,5.81584e-16
0.00015599999,-58.834572,-58.83636308,1.5786e-07,0,3.836799811e-13,6.14689e-17,-1.3881423e-07,-1.375155527e-07,1.02265e-15
0.000157,-59.197502,-59.19956797,1.82088e-07,0,-9.310934886e-13,1.49169e-16,-3.0448194e-07,-3.019254667e-07,2.01311e-15
0.000158,-59.553192,-59.55350303,2.74136e-08,0,-5.067427349e-13,8.11847e-17,-6.591759e-07,-6.540302809e-07,4.05195e-15
0.000159,-59.921783,-59.92001141,1.56143e-07,0,-1.799987206e-13,2.88374e-17,-1.4085446e-06,-1.398464418e-06,7.9377e-15
0.00016,-60.310703,-60.30856395,1.88529e-07,0,-2.235983388e-13,3.58224e-17,-2.9708758e-06,-2.951608582e-06,1.51721e-14
0.000161,-60.707535,-60.70712236,3.63687e-08,0,5.079963481e-13,8.13855e-17,-6.1852384e-06,-6.148965345e-06,2.85634e-14
0.000162,-61.092255,-61.09399944,1.5375e-07,0,5.816118693e-13,9.31794e-17,-1.2711558e-05,-1.264440477e-05,5.28802e-14
0.000163,-61.456764,-61.45898109,1.95407e-07,0,2.049589844e-13,3.28362e-17,-2.5788111e-05,-2.566586748e-05,9.62614e-14
0.000164,-61.812675,-61.8131974,4.60423e-08,0,1.239128659e-12,1.98519e-16,-5.1644773e-05,-5.142553216e-05,1.72643e-13
0.000165,-62.179867,-62.17815858,1.50574e-07,0,1.132340831e-12,1.81411e-16,-0.00010209996,-0.0001017146234,3.03436e-13
0.000166,-62.567078,-62.5647959,2.01137e-07,0,6.279650912e-13,1.00606e-16,-0.00019926057,-0.0001985948771,5.24204e-13
0.00016700001,-62.963505,-62.96288075,5.50198e-08,0,-7.221215514e-13,1.1569e-16,-0.00038389827,-0.0003827647661,8.92585e-13
0.000168,-63.349442,-63.35110699,1.46747e-07,0,-1.011024057e-12,1.61975e-16,-0.00073014683,-0.0007282390453,1.5023e-12
0.00016900001,-63.71553,-63.71788385,2.07461e-07,0,-4.170279553e-13,6.68116e-17,-0.0013708846,-0.001367758984,2.46129e-12
0.00017,-64.071777,-64.07251708,6.52283e-08,0,9.5661966e-13,1.53259e-16,-0.0025408824,-0.00253581373,3.99136e-12
0.00017100001,-64.437683,-64.43606695,1.42434e-07,0,6.348381743e-13,1.01707e-16,-0.0046489546,-0.004640972948,6.2852e-12
0.000172,-64.823189,-64.82077804,2.12494e-07,0,-4.492873411e-13,7.19798e-17,-0.0083966283,-0.008384221975,9.76944e-12
0.00017299999,-65.219093,-65.21823753,7.53984e-08,0,2.590082419e-13,4.14954e-17,-0.014970046,-0.01495101593,1.49853e-11
0.000174,-65.606125,-65.60768908,1.37853e-07,0,2.161345462e-12,3.46267e-16,-0.026344912,-0.02631660232,2.22926e-11
0.00017499999,-65.973785,-65.97625036,2.17289e-07,0,4.017404245e-12,6.43624e-16,-0.045762584,-0.04572108459,3.2679e-11
0.000176,-66.330475,-66.33144336,8.53485e-08,0,4.029391323e-12,6.45544e-16,-0.078459732,-0.07840098369,4.62617e-11
0.00017699999,-66.695213,-66.69370583,1.32838e-07,0,3.092461897e-12,4.9544e-16,-0.13276555,-0.1326837317,6.44284e-11
0.000178,-67.079025,-67.07650557,2.22055e-07,0,-2.197970926e-13,3.52134e-17,-0.22171913,-0.2216100948,8.58605e-11
0.000179,-67.474297,-67.4732192,9.49939e-08,0,-2.285460035e-15,3.66151e-19,-0.36540505,-0.3652619109,1.12716e-10
0.00018,-67.862312,-67.86374535,1.26331e-07,0,-1.378774103e-12,2.20892e-16,-0.59425223,-0.5940722481,1.41728e-10
0.000181,-68.231522,-68.23409107,2.2643e-07,0,5.024530102e-13,8.04974e-17,-0.95358729,-0.9533693161,1.71645e-10
0.000182,-68.58876,-68.58995715,1.05513e-07,0,-4.68637566e-13,7.50799e-17,-1.5097636,-1.509514704,1.95994e-10
0.000183,-68.952446,-68.95108165,1.20249e-07,0,-9.495578447e-13,1.52128e-16,-2.3581889,-2.357925952,2.0706e-10
0.000184,-69.334579,-69.33197239,2.29739e-07,0,-1.147574864e-12,1.83852e-16,-3.6335275,-3.63327672,1.97478e-10
0.000185,-69.729126,-69.72781335,1.15693e-07,0,9.578486579e-13,1.53456e-16,-5.5222292,-5.522031953,1.55324e-10
0.000186,-70.117989,-70.11927664,1.13489e-07,0,-2.203974256e-12,3.53096e-16,-8.2773046,-8.277227001,6.11056e-11
0.000187,-70.488731,-70.49138101,2.33564e-07,0,-1.446196907e-12,2.31694e-16,-12.234922,-12.23504248,9.48766e-11
