time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.187,1.354885886,1.404704032,0.00498281
0.1875,1.464173259,1.514818039,0.00506549
0.188,1.576949081,1.628028478,0.00510896
0.1885,1.693102053,1.744215451,0.00511236
0.189,1.812517548,1.863258961,0.00507516
0.1895,1.935077716,1.985038908,0.00499712
0.19,2.060661606,2.109435098,0.00487832
0.1905,2.189145282,2.236327232,0.00471914
0.191,2.320401945,2.365594915,0.0045202
0.1915,2.454302061,2.497117652,0.00428242
0.192,2.59071361,2.630774847,0.00400692
0.1925,2.729501601,2.766445807,0.00369516
0.193,2.870529436,2.904009738,0.0033487
0.1935,3.013657815,3.043345746,0.00296939
0.194,3.158745487,3.184332838,0.00255925
0.1945,3.305649269,3.326849922,0.00212049
0.195,3.454224183,3.470775807,0.00165549
0.1955,3.604323605,3.615989201,0.00116679
0.196,3.755799556,3.762368713,0.000657047
0.1965,3.908502093,3.909792853,0.000129102
0.197,4.062280971,4.058140032,0.000414177
0.1975,4.216984278,4.20728856,0.000969766
0.198,4.37245934,4.357116648,0.00153458
0.1985,4.528552723,4.507502409,0.00210545
0.199,4.68511038,4.658323855,0.00267919
0.1995,4.841977809,4.809458899,0.00325254
0.2,4.9990002,4.960785354,0.00382225
0.2005,5.156022591,5.112180934,0.00438504
0.201,5.31289002,5.263523253,0.00493766
0.2015,5.469447816,5.414689827,0.00547689
0.202,5.62554106,5.565558072,0.0059995
0.2025,5.781016122,5.716005302,0.00650238
0.203,5.935719429,5.865908735,0.00698247
0.2035,6.089498307,6.015145488,0.00743677
0.204,6.242200983,6.163592577,0.00786241
0.2045,6.393676795,6.311126923,0.00825664
0.205,6.543776217,6.457625342,0.00861681
0.2055,6.692351131,6.602964554,0.00894045
0.206,6.839254912,6.747021179,0.00922522
0.2065,6.984342585,6.889671737,0.00946898
0.207,7.127470964,7.030792649,0.00966977
0.2075,7.268498799,7.170260236,0.00982582
0.208,7.407286913,7.307950719,0.00993561
0.2085,7.543698339,7.443740221,0.00999781
0.209,7.677598455,7.577504765,0.0100114
0.2095,7.808855118,7.709120273,0.00997548
0.21,7.937338735,7.83846257,0.00988959
0.2105,8.062922684,7.965407381,0.00975348
0.211,8.185482852,8.089830329,0.00956717
0.2115,8.304898347,8.211606941,0.00933101
0.212,8.421051319,8.330612641,0.00904568
0.2125,8.533827141,8.446722758,0.00871218
0.213,8.643114514,8.559812516,0.00833187
0.2135,8.748805587,8.669757045,0.00790644
0.214,8.850796055,8.776431372,0.00743796
0.2145,8.948985265,8.879710425,0.00692887
0.215,9.043276317,8.979469033,0.006382
0.2155,9.133576156,9.075581927,0.00580058
0.216,9.219795668,9.167923735,0.00518823
0.2165,9.301849765,9.256368989,0.00454899
0.217,9.379657469,9.34079212,0.00388731
0.2175,9.453141993,9.421067459,0.00320809
0.218,9.522230742,9.497069238,0.00251665
0.2185,9.586855757,9.56867159,0.00181878
0.219,9.646953039,9.635748549,0.00112067
0.2195,9.702463352,9.698174047,0.000429016
0.22,9.753331915,9.754526643,0.000119497
0.2205,9.799508527,9.802595238,0.000308733
0.221,9.840947616,9.844112517,0.000316553
0.2215,9.877608288,9.879202179,0.000159421
0.222,9.909454363,9.907987531,0.000146713
0.2225,9.936454412,9.930591494,0.000586409
0.223,9.95858179,9.947136601,0.00114475
0.2235,9.97581466,9.957744995,0.00180733
0.224,9.988136015,9.962538435,0.00256027
0.2245,9.995533695,9.961638288,0.00339022
0.225,9.9980004,9.955165534,0.00428434
0.2255,9.995533695,9.943240767,0.00523034
0.226,9.988136181,9.925984191,0.00621644
0.2265,9.97581466,9.903515621,0.00723135
0.227,9.95858179,9.875954488,0.00826438
0.2275,9.936454412,9.84341983,0.00930532
0.228,9.909454363,9.806030301,0.0103445
0.2285,9.877608288,9.763904165,0.0113727
0.229,9.840947616,9.717159298,0.0123813
0.2295,9.799508527,9.665913189,0.0133622
0.23,9.753331915,9.610282938,0.0143078
0.2305,9.702463352,9.550385257,0.0152109
0.231,9.646953039,9.48633647,0.0160649
0.2315,9.586855757,9.418252515,0.0168637
0.232,9.522230816,9.346248939,0.0176017
0.2325,9.453141993,9.270440902,0.0182738
0.233,9.379657469,9.190943177,0.0188752
0.2335,9.301849765,9.107870148,0.0194018
0.234,9.219795668,9.021335811,0.01985
0.2345,9.133576156,8.931453775,0.0202163
0.235,9.043276317,8.838337259,0.020498
0.2355,8.948985265,8.742099095,0.0206928
0.236,8.850796055,8.642851729,0.0207986
0.2365,8.748805587,8.540707216,0.020814
0.237,8.643114514,8.435777223,0.0207379
0.2375,8.533827141,8.328173032,0.0205695
0.238,8.421051319,8.218005535,0.0203086
0.2385,8.304898347,8.105385234,0.0199553
0.239,8.185482852,7.990422248,0.01951
0.2395,8.062922684,7.873226302,0.0189734
0.24,7.937338794,7.753906738,0.0183469
0.2405,7.808855118,7.632572508,0.0176318
0.241,7.677598527,7.509332175,0.01683
0.2415,7.543698339,7.384293915,0.0159436
0.242,7.407286913,7.257565517,0.0149751
0.2425,7.268498799,7.12925438,0.0139272
0.243,7.127470964,6.999467516,0.0128029
0.2435,6.984342585,6.86831155,0.0116054
0.244,6.839254912,6.735892716,0.0103383
0.2445,6.692351131,6.602316864,0.00900523
0.245,6.543776217,6.467689452,0.0076102
0.2455,6.393676795,6.332115552,0.00615736
0.246,6.242200996,6.19569985,0.00465104
0.2465,6.089498307,6.058546639,0.00309579
0.247,5.935719429,5.920759828,0.00149626
0.2475,5.781016122,5.782442937,0.00014271
0.248,5.625541056,5.643699098,0.00181617
0.2485,5.469447677,5.504631054,0.00351904
0.249,5.31289002,5.365341161,0.00524616
0.2495,5.156022591,5.225931386,0.00699228
0.25,4.9990002,5.08650331,0.00875206
0.2505,4.841977809,4.947158124,0.0105201
0.251,4.68511038,4.807996632,0.0122911
0.2515,4.528552723,4.669119249,0.0140595
0.252,4.37245934,4.530626003,0.0158198
0.2525,4.216984278,4.392616533,0.0175667
0.253,4.06228104,4.255190092,0.0192948
0.2535,3.908502093,4.118445542,0.0209985
0.254,3.755799404,3.98248136,0.0226727
0.2545,3.604323605,3.847395633,0.0243121
0.255,3.454224183,3.713286059,0.0259114
0.2555,3.305649269,3.580249952,0.0274656
0.256,3.158745487,3.448384234,0.0289697
0.2565,3.013657815,3.317785441,0.0304188
0.257,2.870529436,3.18854972,0.0318084
0.2575,2.729501601,3.060772831,0.0331337
0.258,2.590713487,2.934550145,0.0343905
0.2585,2.454302056,2.809976645,0.0355746
0.259,2.320401945,2.687146928,0.0366818
0.2595,2.189145282,2.5661552,0.0377085
0.26,2.060661606,2.44709528,0.0386511
0.2605,1.935077716,2.3300606,0.0395062
0.261,1.812517548,2.215144204,0.0402707
0.2615,1.693102053,2.102438747,0.0409419
0.262,1.576949081,1.992036495,0.041517
0.2625,1.464173259,1.884029329,0.041994
0.263,1.354885886,1.778508739,0.0423708
0.2635,1.249194813,1.675565828,0.0426456
0.264,1.147204345,1.575291313,0.0428173
0.2645,1.049015135,1.47777552,0.0428846
0.265,0.9547240833,1.383108388,0.042847
0.2655,0.8644242438,1.291379468,0.0427041
0.266,0.7782047315,1.202677925,0.0424558
0.2665,0.6961506349,1.117092532,0.0421026
0.267,0.6183429301,1.034711677,0.0416452
0.2675,0.5448584074,0.9556233592,0.0410847
0.268,0.4757695838,0.8799151895,0.0404226
0.2685,0.4111446426,0.807674391,0.0396609
0.269,0.3510473611,0.7389877988,0.0388018
0.2695,0.2955370478,0.67394186,0.037848
0.27,0.2446684848,0.6126226335,0.0368028
0.2705,0.1984918733,0.5551157903,0.0356695
0.271,0.1570527838,0.5015066136,0.0344523
0.2715,0.1203921119,0.4518799982,0.0331554
0.272,0.08854603716,0.4063204511,0.0317838
0.2725,0.06154598783,0.3649120913,0.0303427
0.273,0.03941860971,0.3277386496,0.0288378
0.2735,0.02218573983,0.294883469,0.0272752
0.274,0.009864384989,0.2664295045,0.0256616
0.2745,0.002466704827,0.2424593228,0.0240041
0.275,0,0.2230551028,0.02231
0.2755,0.002466704827,0.2082986354,0.0205873
0.276,0.009864384989,0.1982713234,0.0188445
0.2765,0.02218573983,0.1930541817,0.0170903
0.277,0.03941860971,0.1927278369,0.015334
0.2775,0.06154598783,0.197372528,0.0135854
0.278,0.08854603716,0.2070681056,0.0118546
0.2785,0.1203921119,0.2218940326,0.0101522
0.279,0.1570527838,0.2419293836,0.00848936
0.2795,0.1984918732,0.2672528453,0.00687747
0.28,0.2446684848,0.2979427165,0.00532849
0.2805,0.2955370478,0.3340769079,0.00385476
0.281,0.3510473611,0.375732942,0.00246905
0.2815,0.4111446426,0.4229879536,0.00118457
0.282,0.4757695838,0.4759186893,1.49135e-05
0.2825,0.5448584074,0.5447649778,9.34482e-06
0.283,0.6183429312,0.6186008393,2.5796e-05
0.2835,0.6961506349,0.6971358947,9.85457e-05
0.284,0.7782047315,0.7802245989,0.000202027
0.2845,0.8644242438,0.8677217821,0.00032982
0.285,0.9547240833,0.9594826502,0.000475952
0.2855,1.049015135,1.055362785,0.000634892
0.286,1.147204345,1.155218143,0.00080154
0.2865,1.249194813,1.258905057,0.000971219
0.287,1.354885886,1.366280236,0.00113966
0.2875,1.464173259,1.477200763,0.00130301
0.288,1.576949081,1.591524097,0.00145779
0.2885,1.693102053,1.709108074,0.00160092
0.289,1.812517548,1.829810904,0.00172968
0.2895,1.935077716,1.953491173,0.00184171
0.29,2.060661606,2.080007843,0.00193501
0.2905,2.189145282,2.209220251,0.0020079
0.291,2.320401945,2.34098811,0.00205903
0.2915,2.454302061,2.475171508,0.00208736
0.292,2.59071361,2.61163091,0.00209215
0.2925,2.729501601,2.750227155,0.00207297
0.293,2.870529436,2.890821457,0.00202961
0.2935,3.013657815,3.033275409,0.00196215
0.294,3.158745487,3.177450975,0.00187092
0.2945,3.305649269,3.323210499,0.00175647
