time,Transistor1.b.i,Transistor2.b.i,R1.p.i,R4.p.i,R2.p.i,R3.p.i,Transistor1.rtc.p.i,Transistor1.Tr.B.i,C3.v,C2.v,Transistor2.Tr.vcs,Transistor1.Tr.vbe,Transistor2.Tr.vbe,Transistor2.Tr.vbc,Transistor1.Tr.vcs,Transistor2.rtc.p.i,Transistor2.ct.p.i,Transistor1.Tr.iS,Transistor2.Tr.iS,C4.v,C1.v,Transistor2.ct.v,Transistor1.Tr.C.v,Transistor2.Tr.C.v,Transistor1.ct.v,C5.v
3.151938643e-10,0.02329975639,-1.548219234e-05,0.04633709127,0.04655246576,0.04654884468,1.548266626e-05,-0.0005739282696,0.0002001607722,1.548266626e-09,0.07302349555,0.07259326588,0.1542659454,0.07851741689,-0.07259249022,0.07296610272,-0.000681220547,-2.374842362e-07,-0.0004595292468,-0.0004585034322,-0.07266138793,0.07691429199,7.756578838e-07,0.07296610272,0.07259326588,0.07574930417,-0.07851664124
3.91049395e-10,0.02225367718,-9.253756015e-06,0.04423233514,0.05754170238,0.05753733136,9.254945234e-06,-0.0007400083105,0.000199613994,9.254945234e-10,0.1120077891,0.1114868676,0.2138242812,0.1209367763,-0.111486404,0.1119337883,-0.0008381989849,-5.958598134e-07,-0.0005677556786,-0.000566830279,-0.1115706875,0.09400065231,4.636132953e-07,0.1119337883,0.1114868676,0.09288796845,-0.1209363127
4.733577053e-10,0.02089941439,4.136639102e-06,0.04150593558,0.06937316299,0.06936806857,-4.134552264e-06,-0.0009179131274,0.0002041097444,-4.134552264e-10,0.1635587229,0.1629488034,0.2877762206,0.1772793411,-0.1629490106,0.1634669316,-0.001004771689,-1.045574442e-06,-0.0006842873997,-0.0006834840063,-0.1630492805,0.111541643,-2.072454103e-07,0.1634669316,0.1629488034,0.1104966723,-0.1772795484
5.608288172e-10,0.01922784865,2.699295728e-05,0.03813780113,0.08184195071,0.08183620093,-2.698979547e-05,-0.001103658869,0.0002160489805,-2.698979547e-09,0.2288121648,0.2281194497,0.3767964934,0.2489150367,-0.2281208021,0.2287017989,-0.001177366585,-1.584146204e-06,-0.0008071156349,-0.0008064511718,-0.2282371864,0.1288414968,-1.352346844e-06,0.2287017989,0.2281194497,0.1278801044,-0.248916389
6.521763711e-10,0.01725014804,6.14334177e-05,0.03414842934,0.09474899738,0.09474269477,-6.14290168e-05,-0.00129339109,0.0002378121489,-6.14290168e-09,0.3083760892,0.3076105546,0.4810034162,0.336648815,-0.3076136325,0.3082467501,-0.001352730429,-2.204934846e-06,-0.0009342883298,-0.0009337734071,-0.3077458277,0.1452140308,-3.077813787e-06,0.3082467501,0.3076105546,0.1443515234,-0.3366518928
7.462062693e-10,0.01500152781,0.0001092100793,0.02960107667,0.1079141153,0.1079073883,-0.0001092043042,-0.001484883924,0.0002785734886,-1.092043042e-08,0.402355213,0.401529697,0.6000294655,0.4407346165,-0.4015351684,0.4022067246,-0.001528159012,-2.893370503e-06,-0.001064019373,-0.001063675664,-0.4016825129,0.1600394541,-5.471424394e-06,0.4022067246,0.401529697,0.1592893777,-0.4407400879
8.116865841e-10,0.01351034649,0.0001495678972,0.02638918648,0.1170101231,0.1170032513,-0.0001495615871,-0.001651519745,0.0005547651486,-1.495615871e-08,0.4749736338,0.4741217089,0.6897875983,0.5214148203,-0.4741292023,0.4748084819,-0.001647441965,-3.161233995e-06,-0.001153100095,-0.001153446218,-0.4742864531,0.1690408019,-7.493351017e-06,0.4748084819,0.4741217089,0.1683652846,-0.5214223137
8.43485794e-10,0.01362922363,0.0001674418629,0.0256405917,0.1214062582,0.1213996383,-0.0001674376726,-0.001897186474,0.00180658168,-1.674376726e-08,0.5123230765,0.5114906221,0.7351325952,0.5628068986,-0.5114990109,0.5121333579,-0.001704726673,-2.098502246e-06,-0.001193581193,-0.001196835284,-0.5116610948,0.172998769,-8.388836915e-06,0.5121333579,0.5114906221,0.1723173078,-0.5628152874
8.677219355e-10,0.01621708655,0.0001695347371,0.0275534708,0.1247475714,0.1247420337,-0.0001695389082,-0.002570848474,0.005920126953,-1.695389082e-08,0.5416256648,0.5408970397,0.7697784349,0.5947524799,-0.5409055334,0.54136858,-0.001748533387,2.092463892e-06,-0.001216901182,-0.001229808227,-0.5410718931,0.1758283156,-8.493690746e-06,0.54136858,0.5408970397,0.1750174613,-0.5947609736
8.806987406e-10,0.02009047584,0.000157983166,0.03106018411,0.1265333352,0.1265293663,-0.0001579976079,-0.003451391468,0.01113508028,-1.579976079e-08,0.5575444786,0.5569703519,0.787793632,0.6115145765,-0.5569782668,0.5571993395,-0.001772370806,7.239449527e-06,-0.001221695299,-0.001247424043,-0.5571475889,0.1772756644,-7.914958062e-06,0.5571993395,0.5569703519,0.1762711406,-0.6115224914
8.915255518e-10,0.02560351491,0.0001359638711,0.03626458397,0.1280214858,0.1280199644,-0.000135990534,-0.004732620797,0.01804601244,-1.35990534e-08,0.5708868419,0.5705554294,0.8021048073,0.6249315249,-0.5705622411,0.5704135798,-0.001792712079,1.336265991e-05,-0.001218118816,-0.001262097299,-0.5707347006,0.1784466464,-6.811792607e-06,0.5704135798,0.5705554294,0.1771664707,-0.6249383367
9.009867124e-10,0.03241974491,0.0001050327497,0.04280949385,0.1293206267,0.1293226375,-0.0001050714459,-0.006443662129,0.02610884715,-1.050714459e-08,0.5825369397,0.5825569139,0.8137828178,0.6359560613,-0.5825621761,0.5818925735,-0.001810995312,1.939086546e-05,-0.001207408527,-0.001274900125,-0.5827380134,0.1794424816,-5.262144631e-06,0.5818925735,0.5825569139,0.1778214943,-0.6359613235
9.10447873e-10,0.04089455243,6.303257611e-05,0.0510120488,0.1306185567,0.1306260148,-6.308221411e-05,-0.008845933525,0.03558780715,-6.308221411e-09,0.5941166182,0.5946794376,0.824468208,0.6460971797,-0.5946825956,0.5932320248,-0.001829877945,2.487085778e-05,-0.001188672504,-0.001287683875,-0.5948624254,0.180412598,-3.157937027e-06,0.5932320248,0.5946794376,0.1783678703,-0.6461003376
9.199090336e-10,0.05034894298,1.207001826e-05,0.06019371496,0.1319152774,0.1319307916,-1.212737754e-05,-0.01201712687,0.04559264396,-1.212737754e-09,0.6055563448,0.6069228203,0.8340310914,0.6551910028,-0.606923425,0.6043546321,-0.001849417391,2.873727497e-05,-0.001161804286,-0.001300448831,-0.607107762,0.1813569311,-6.047136506e-07,0.6043546321,0.6069228203,0.1788394839,-0.6551916075
9.293701942e-10,0.05984244429,-4.424243402e-05,0.06941416405,0.1332107907,0.1332377008,4.418149988e-05,-0.01595890717,0.05513027843,4.418149988e-09,0.6167828368,0.6192868895,0.8424426691,0.6631615617,-0.6192846729,0.6151869461,-0.001869579944,3.052692616e-05,-0.001127592613,-0.001313196325,-0.6194738475,0.1822754461,2.216539851e-06,0.6151869461,0.6192868895,0.1792833239,-0.6631593452
9.388313548e-10,0.06849512567,-0.0001020747503,0.07779329387,0.1345050981,0.1345474411,0.000102014,-0.0206020955,0.06342616272,1.02014e-08,0.6277262137,0.6317714895,0.8497597045,0.6700214686,-0.6317663756,0.6256660041,-0.001890243982,3.043405264e-05,-0.001087383757,-0.001325928362,-0.6319605139,0.1831681061,5.113938916e-06,0.6256660041,0.6317714895,0.1797433498,-0.6700163547
9.483689853e-10,0.07576268553,-0.0001587991311,0.08478426752,0.1358086478,0.13587125,0.0001587412804,-0.02587457332,0.07010745717,1.587412804e-08,0.6384097842,0.644478855,0.8561377568,0.6758920981,-0.6444708991,0.6358223269,-0.001911401994,2.898088207e-05,-0.001042352098,-0.001338749873,-0.6446699952,0.1840417489,7.955830685e-06,0.6358223269,0.644478855,0.1802536146,-0.6758841422
9.579066158e-10,0.08130178438,-0.0002119168871,0.09004565932,0.1371109752,0.1371990512,0.0002118635115,-0.03160170386,0.07500001871,2.118635115e-08,0.6486941158,0.6573084511,0.8616438156,0.6808305614,-0.657297834,0.6455339454,-0.001932690655,2.673859222e-05,-0.0009942934026,-0.001351559853,-0.6575017201,0.1848889605,1.061703071e-05,0.6455339454,0.6573084511,0.1808238712,-0.6808199444
9.674485635e-10,0.08511581014,-0.0002604008907,0.0935805423,0.1384126699,0.1385318116,0.0002603526771,-0.03764754267,0.07822149602,2.603526771e-08,0.658547287,0.6702660657,0.8664085935,0.6849674406,-0.6702530197,0.6547825327,-0.001953939534,2.415232675e-05,-0.0009444975551,-0.001364365612,-0.6704614597,0.1857099895,1.30460798e-05,0.6547825327,0.6702660657,0.1814541989,-0.6849543945
9.770854748e-10,0.08738355995,-0.0003042833942,0.09556496061,0.1397260799,0.1398825009,0.0003042404952,-0.04394736155,0.08000697105,3.042404952e-08,0.6680320331,0.6834766156,0.8705840872,0.6884564224,-0.683461371,0.663637297,-0.001975204034,2.14897729e-05,-0.0008935526727,-0.001377289681,-0.683674136,0.1865120874,1.524459376e-05,0.663637297,0.6834766156,0.1821429094,-0.6884411778
9.868968212e-10,0.08831179715,-0.0003438020216,0.09620328225,0.1410619847,0.1412625873,0.000343764281,-0.05044985914,0.08058537753,3.43764281e-08,0.6771935856,0.697054193,0.8742837966,0.6914160284,-0.6970369685,0.6721485997,-0.001996544683,1.890561882e-05,-0.0008418929576,-0.001390438867,-0.6972538475,0.1873005825,1.722447751e-05,0.6721485997,0.697054193,0.1828849926,-0.6913988039
9.969606307e-10,0.08810397233,-0.0003792974312,0.09569661042,0.1424309252,0.1426834105,0.000379264527,-0.05711743259,0.08016262101,3.79264527e-08,0.6860684083,0.7111151342,0.8775951468,0.6939396072,-0.7110961314,0.680356665,-0.002018041933,1.648277152e-05,-0.0007898351386,-0.001403917441,-0.7113169384,0.188079741,1.900279801e-05,0.680356665,0.7111151342,0.1836745424,-0.6939206044
1.007353829e-09,0.08667715154,-0.0004111710655,0.09396036082,0.1427405629,0.1430535501,0.0004111428205,-0.06388894364,0.07830968811,4.111428205e-08,0.6946449887,0.7257412261,0.8805782842,0.6960799583,-0.7257206265,0.6882560943,-0.002024801106,1.414889175e-05,-0.0007276217671,-0.001407170474,-0.7259437063,0.1888527832,2.059966756e-05,0.6882560943,0.7257412261,0.1845189256,-0.6960593586
1.015974891e-09,0.0844308717,-0.0004333215283,0.09145609554,0.1426193032,0.1429876892,0.0004332982045,-0.06933188194,0.07592169886,4.332982045e-08,0.7012310824,0.7378672317,0.8827504932,0.6975241847,-0.7378455223,0.6942978942,-0.002024506164,1.168277196e-05,-0.000674511284,-0.001405951907,-0.7380696823,0.1894695615,2.170940623e-05,0.6942978942,0.7378672317,0.1852480179,-0.6975024753
1.027109817e-09,0.08077679828,-0.0004563884872,0.0874671941,0.1424628386,0.142909505,0.0004563701315,-0.0760763566,0.07231966861,4.563701315e-08,0.7090494978,0.7535137719,0.8852098952,0.6990384114,-0.7534909068,0.7014418621,-0.002023663185,9.194289458e-06,-0.0006094667803,-0.001404401832,-0.7537161382,0.1902331887,2.286506138e-05,0.7014418621,0.7535137719,0.1861943488,-0.6990155464
1.038244743e-09,0.07666416084,-0.0004746051613,0.08301821389,0.142306547,0.1428387155,0.0004745906321,-0.08245995574,0.06840052945,4.745906321e-08,0.7161284533,0.769143071,0.8873394788,0.700237018,-0.7691192933,0.7078824577,-0.002022325995,7.277543048e-06,-0.0005482433168,-0.001402856259,-0.7693453036,0.1909594466,2.377771713e-05,0.7078824577,0.769143071,0.1871262386,-0.7002132403
1.050206248e-09,0.07200676596,-0.0004899539496,0.07799802632,0.1421388451,0.1427704266,0.0004899426823,-0.08889266863,0.06404371166,4.899426823e-08,0.7229573439,0.7859134444,0.8893208958,0.7012479771,-0.7858888977,0.714068077,-0.002020413662,5.643673505e-06,-0.0004869572357,-0.001401202184,-0.7861154858,0.1916978037,2.454669175e-05,0.714068077,0.7859134444,0.1880974654,-0.7012234304
1.062883009e-09,0.06699564842,-0.0005024134549,0.07260091178,0.1419613314,0.1427062332,0.0005024049533,-0.09522209026,0.05941799118,5.024049533e-08,0.729376679,0.8036650699,0.8911322169,0.7020743193,-0.8036398989,0.7198544699,-0.00201793195,4.258281703e-06,-0.0004269646175,-0.001399455213,-0.8038668631,0.192432851,2.517091324e-05,0.7198544699,0.8036650699,0.1890830686,-0.7020491484
1.076451415e-09,0.06169809254,-0.0005122799814,0.0668886504,0.1417715772,0.142646133,0.0005122738412,-0.1014471815,0.05458190216,5.122738412e-08,0.7353866985,0.8226407953,0.8927975248,0.702742816,-0.8226151301,0.7252419803,-0.002014851902,3.075425707e-06,-0.0003682359127,-0.001397591349,-0.8228422805,0.1931652787,2.566522645e-05,0.7252419803,0.8226407953,0.190080374,-0.7027171507
1.091010267e-09,0.05620645343,-0.0005196983622,0.06095041873,0.1415682528,0.1425906864,0.0005196942243,-0.1075165965,0.04962031665,5.196942243e-08,0.74093136,0.8429735992,0.8943237628,0.7032716483,-0.8429475623,0.7301797004,-0.002011164367,2.072457313e-06,-0.000311215453,-0.00139559735,-0.8431747157,0.193888474,2.603688753e-05,0.7301797004,0.8429735992,0.1910781513,-0.7032456114
1.106692445e-09,0.05059923488,-0.0005248065831,0.05486048186,0.1413495651,0.1425404128,0.0005248041293,-0.1133856983,0.04460706957,5.248041293e-08,0.7459587208,0.8648428026,0.8957184022,0.7036800549,-0.8648165098,0.734620151,-0.002006861612,1.228879999e-06,-0.0002562924463,-0.001393455344,-0.8650434888,0.1945946018,2.629280957e-05,0.734620151,0.8648428026,0.1920646401,-0.7036537621
