time,r_mAirPar.port_n.Phi,coil.Phi,r_mFe.B,r_mFe.mu_r,r_mFe.H,coil.i,r_mLeak.port_p.Phi
0.03888401466,0.0005013444366,0.0005749543802,-0.8021510986,6774.441416,-94.22644948,-0.1472200551,-7.361002754e-05
0.03973999682,0.0001030165502,0.000122072517,-0.1648264803,3497.478034,-37.50266451,-0.03811194551,-1.905597276e-05
0.04102330732,-0.0004908096578,-0.0005629936082,0.7852954524,6733.862726,92.80234693,0.1443673945,7.218369724e-05
0.04150403922,-0.0006976615507,-0.0008020588168,1.116258481,6336.529494,140.1856135,0.2087954783,0.0001043977392
0.04175402105,-0.0007846584157,-0.000919446889,1.255453465,4181.104052,238.9460083,0.2700529575,0.0001350264788
0.0419119558,-0.0008256977283,-0.0009906611927,1.321116365,2940.015916,357.5868394,0.3301727969,0.0001650863985
0.04207854301,-0.0008586180694,-0.001063026842,1.373788911,2086.397992,523.9779196,0.4092615117,0.0002046307559
0.04224513021,-0.0008834891992,-0.001132345749,1.413582719,1570.117348,716.4390527,0.4979391537,0.0002489695769
0.042425693,-0.00090425878,-0.001203799265,1.446814048,1224.742872,940.065105,0.5992512183,0.0002996256091
0.04262021695,-0.000921640304,-0.001276224764,1.474624486,989.9023517,1185.439027,0.7092683917,0.0003546341958
0.04284112515,-0.0009370229077,-0.001352409538,1.499236652,818.0157753,1458.473853,0.830847773,0.0004154238865
0.04309304882,-0.0009505688341,-0.001430977427,1.520910135,690.8565236,1751.885938,0.9608675447,0.0004804337723
0.04338985106,-0.0009626128702,-0.001511560661,1.540180592,594.3088961,2062.289123,1.097931415,0.0005489657076
0.04374579405,-0.0009729699316,-0.001590236139,1.556751891,522.1594293,2372.501046,1.234554419,0.0006172772093
0.04418827089,-0.0009811661922,-0.001659467058,1.569865908,471.390512,2650.158549,1.35661197,0.0006783059852
0.04476780472,-0.0009856852461,-0.001700530628,1.577096394,445.5786571,2816.592342,1.429692254,0.0007148461268
0.04564585406,-0.0009805763029,-0.00165426974,1.568922085,474.8706592,2629.154909,1.347385215,0.0006736926073
0.04683646403,-0.0009444223818,-0.001393218753,1.511075811,745.9568801,1611.991195,0.8989421718,0.0004494710859
0.04754616867,-0.0008875654596,-0.001143015462,1.420104735,1496.379875,755.2116009,0.5156056006,0.0002578028003
0.04794136826,-0.0008199977835,-0.000978452333,1.311996454,3104.51177,336.3020279,0.3197398128,0.0001598699064
0.04829633197,-0.0007107481639,-0.0008175900358,1.137197062,6111.524246,148.0731535,0.2149904779,0.0001074952389
0.04865129568,-0.0005639219725,-0.0006461126445,0.9022751559,6957.915938,103.1929333,0.1643848969,8.219244847e-05
0.04923392527,-0.0003005178279,-0.0003470051056,0.4808285247,5677.793603,67.39082273,0.09297455355,4.648727677e-05
0.05040904378,0.0002464572688,0.0002855861383,-0.3943316301,5238.483654,-59.90266675,-0.07825767902,-3.912883951e-05
0.05128157565,0.000644833702,0.0007391376944,-1.031733923,6872.285808,-119.4693864,-0.1886080289,-9.430401445e-05
0.05162547606,0.0007755107019,0.0009054449582,-1.240817123,4461.598621,-221.3132503,-0.2604708906,-0.0001302354453
0.05180530732,0.0008246427005,0.000988449506,-1.319428321,2970.155474,-353.5059714,-0.3281805369,-0.0001640902685
0.05198513858,0.0008607846558,0.001068320295,-1.377255449,2036.842381,-538.0804488,-0.4158323716,-0.0002079161858
0.05216496984,0.0008874338676,0.001144763683,-1.419894188,1498.713657,-753.9237982,-0.515019628,-0.000257509814
0.0523570692,0.0009090238236,0.001222335947,-1.454438118,1155.731701,-1001.447895,-0.6268616009,-0.0003134308005
0.05256307235,0.0009268285104,0.001300504769,-1.482925617,928.4031296,-1271.080065,-0.7474804796,-0.0003737402398
0.05279610172,0.0009424141806,0.001382263355,-1.507862689,764.8773658,-1568.773055,-0.8797881573,-0.0004398940787
