time,currentSource.pin_p.reference.gamma,inductor.i.im,inductor.i.re
0.338,0.717818346,-0.2257794449,1.813473231
0.339,0.7220720687,-0.2286570231,1.822100498
0.34,0.7263383578,-0.2316068387,1.830855962
0.341,0.7306172133,-0.2345925069,1.839704075
0.342,0.7349086351,-0.2376212164,1.848651612
0.343,0.7392126233,-0.240699505,1.857704801
0.344,0.7435291779,-0.2438332587,1.866869321
0.345,0.7478582989,-0.2470277122,1.876150305
0.346,0.7521999862,-0.2502874485,1.885552338
0.347,0.7565542399,-0.2536163994,1.895079457
0.348,0.76092106,-0.2570178452,1.904735154
0.349,0.7653004464,-0.2604944146,1.914522372
0.35,0.7696923992,-0.2640480849,1.924443505
0.351,0.7740969184,-0.2676801819,1.934500402
0.352,0.778514004,-0.2713913802,1.944694365
0.353,0.7829436559,-0.2751817026,1.955026146
0.354,0.7873858742,-0.2790505206,1.965495953
0.355,0.7918406589,-0.2829965541,1.976103444
0.356,0.7963080099,-0.2870178718,1.98684773
0.357,0.8007879273,-0.2911118907,1.997727376
0.358,0.8052804111,-0.2952753764,2.008740398
0.359,0.8097854612,-0.2995044431,2.019884266
0.36,0.8143030778,-0.3037945535,2.031155902
0.361,0.8188332606,-0.3081405188,2.042551681
0.362,0.8233760099,-0.3125433426,2.054072691
0.363,0.8279313255,-0.3171725187,2.06585493
0.364,0.8324992075,-0.3218578185,2.077772167
0.365,0.8370796559,-0.3266157632,2.089836504
0.366,0.8416726707,-0.3314612214,2.102058964
0.367,0.8462782518,-0.3364074102,2.114449492
0.368,0.8508963993,-0.341465894,2.127016954
0.369,0.8555271131,-0.3466465857,2.139769138
0.37,0.8601703933,-0.3519577457,2.152712753
0.371,0.8648262399,-0.3574059823,2.165853428
0.372,0.8694946529,-0.3629962519,2.179195717
0.373,0.8741756322,-0.3687318586,2.192743091
0.374,0.8788691779,-0.3746144547,2.206497947
0.375,0.88357529,-0.38064404,2.2204616
0.376,0.8882939685,-0.3868189625,2.234634288
0.377,0.8930252133,-0.3931359179,2.24901517
0.378,0.8977690245,-0.3995899501,2.263602327
0.379,0.902525402,-0.4061744505,2.278392759
0.38,0.907294346,-0.4128811586,2.293382392
0.381,0.9120758563,-0.419700162,2.308566068
0.382,0.9168699329,-0.4266198957,2.323937556
0.383,0.921676576,-0.4336678084,2.33951288
0.384,0.9264957854,-0.441079879,2.355439594
0.385,0.9313275612,-0.4486039237,2.371580663
0.386,0.9361719033,-0.4562746661,2.387954134
0.387,0.9410288119,-0.464122604,2.404576155
0.388,0.9458982868,-0.4721740092,2.421460979
0.389,0.950780328,-0.4804509277,2.438620962
0.39,0.9556749357,-0.4889711796,2.456066563
0.391,0.9605821097,-0.497748359,2.473806343
0.392,0.9655018501,-0.5067918342,2.491846966
0.393,0.9704341568,-0.5161067475,2.510193201
0.394,0.9753790299,-0.5256940155,2.528847918
0.395,0.9803364694,-0.5355503285,2.547812092
0.396,0.9853064753,-0.5456681514,2.567084798
0.397,0.9902890475,-0.5560357229,2.586663217
0.398,0.9952841861,-0.5666370557,2.606542631
0.399,1.000291891,-0.577451937,2.626716427
0.4,1.005312162,-0.5884559277,2.647176094
0.401,1.010345,-0.5997236247,2.667949674
