time,transformerL.inductor[3].i,transformerL.plug_p.pin[2].i,transformerL.inductor[1].iˍt,transformerL.inductor[2].i
0.2343354054,0.05502319712,-0.8476132378,16.37155612,-0.8476132378
0.2428728038,-0.1978973666,-0.704459073,9.187671275,-0.704459073
0.2503578327,-0.4085929106,-0.5370703842,2.330117972,-0.5370703842
0.2568279929,-0.5729923738,-0.3681757391,-3.715072283,-0.3681757391
0.2632981532,-0.7137989262,-0.1841216153,-9.607378791,-0.1841216153
0.2700393258,-0.8291674498,0.01558928151,-15.32229397,0.01558928151
0.2768699283,-0.9082581093,0.217198684,-20.4136213,0.217198684
0.2839485135,-0.9462319248,0.4155004944,-24.6991785,0.4155004944
0.2913281452,-0.936202335,0.6003119889,-27.86935333,0.6003119889
0.2991876752,-0.8704955359,0.7616128885,-29.60320482,0.7616128885
0.3078878336,-0.736456927,0.8859735798,-29.42758721,0.8859735798
0.3172099314,-0.5325070363,0.946080232,-26.81840199,0.946080232
0.3265320292,-0.2832100627,0.9256211237,-21.92543677,0.9256211237
0.335854127,-0.009795733751,0.8263388088,-15.16536521,0.8263388088
0.3442203494,0.2369817379,0.6769437085,-7.979709692,0.6769437085
0.3514978553,0.4389838654,0.5087289791,-1.264853324,0.5087289791
0.3587753612,0.6181394675,0.3140381835,5.515957054,0.3140381835
0.366052867,0.7651245024,0.1030035491,12.00970372,0.1030035491
0.373416809,0.8732980635,-0.1159487365,17.94309796,-0.1159487365
0.3808559347,0.9353161416,-0.3308237497,22.96536038,-0.3308237497
0.3885065822,0.9460414987,-0.5329378373,26.82581485,-0.5329378373
0.3965036191,0.8991422004,-0.7112839433,29.20995719,-0.7112839433
0.4051483559,0.7851197595,-0.8535661633,29.72246078,-0.8535661633
0.4149456624,0.5869535409,-0.9388075551,27.67403864,-0.9388075551
0.4247429688,0.3336188441,-0.9358097779,23.0245041,-0.9358097779
0.4345402752,0.0489272777,-0.844855185,16.21089465,-0.844855185
0.4431682791,-0.2065001702,-0.6985322343,8.924113269,-0.6985322343
0.4506521494,-0.4164906322,-0.5298180859,2.055325593,-0.5298180859
0.4571740445,-0.5811766898,-0.3586502713,-4.036295402,-0.3586502713
0.4636959395,-0.721549978,-0.1724789134,-9.959145698,-0.1724789134
0.4704683031,-0.8353009537,0.02836933258,-15.66534947,0.02836933258
0.4773366574,-0.9121718224,0.230713922,-20.72974866,0.230713922
0.4844518716,-0.9471656312,0.4289325229,-24.95974426,0.4289325229
0.4918753695,-0.9334396044,0.6128488859,-28.04663608,0.6128488859
0.4997928606,-0.8631737431,0.7722250964,-29.66288301,0.7722250964
0.5085947544,-0.7229992738,0.8932803513,-29.31601191,0.8932803513
0.5178253595,-0.5172311071,0.9472308824,-26.56219684,0.9472308824
0.5270559647,-0.2682711175,0.922082292,-21.59029435,0.922082292
0.5362865698,0.003090966585,0.8199348473,-14.81548581,0.8199348473
0.5445883339,0.2475839214,0.6692168858,-7.647267934,0.6692168858
0.5518003035,0.4469536777,0.5010989689,-0.9819107555,0.5010989689
0.5590122731,0.6234774098,0.3073676584,5.733759421,0.3073676584
0.5662242427,0.7681320599,0.09792525641,12.15635795,0.09792525641
0.5735312142,0.8746233615,-0.1193317037,18.02849077,-0.1193317037
0.5809241267,0.9356524719,-0.332727524,23.00598741,-0.332727524
0.5885362228,0.9459766489,-0.5336683057,26.83788526,-0.5336683057
0.5965006263,0.8991705968,-0.7112249234,29.20940052,-0.7112249234
0.6051159147,0.7856618657,-0.8531440032,29.72463675,-0.8531440032
0.6148842094,0.5883910415,-0.9385437335,27.69533033,-0.9385437335
0.6246525042,0.3361411049,-0.9362466598,23.07818316,-0.9362466598
0.6344207989,0.05248259699,-0.8464680033,16.3046423,-0.8464680033
0.6430475158,-0.2029862396,-0.7009619041,9.031919299,-0.7009619041
0.6505439952,-0.4135925152,-0.5324884299,2.156325075,-0.5324884299
0.6570532827,-0.57832836,-0.361979251,-3.924250795,-0.361979251
0.6635625703,-0.7189637141,-0.1763855539,-9.841376727,-0.1763855539
0.6703283978,-0.8333172099,0.02420174083,-15.55377635,0.02420174083
0.6771875751,-0.9109429842,0.2264021465,-20.62925287,0.2264021465
0.6842935588,-0.9468974906,0.424719377,-24.87846281,0.424719377
0.691705204,-0.934328301,0.6089696314,-27.99239377,0.6089696314
0.6996061472,-0.8654660896,0.768980587,-29.64561377,0.768980587
0.7083775848,-0.7271717883,0.8910823953,-29.35182979,0.8910823953
0.7176383685,-0.5218932415,0.9469187015,-26.64109627,0.9469187015
0.7268991522,-0.2727501103,0.9231676967,-21.6912187,0.9231676967
0.7361599358,-0.0006827454329,0.8218258696,-14.91822782,0.8218258696
0.7444817962,0.2445177505,0.6714631768,-7.7436223,0.6714631768
0.7517133616,0.4446667726,0.503296959,-1.063255693,0.503296959
