time,hollowCylinderAxialAir1.Phi.re,hollowCylinderAxialAir1.Phi.im,hollowCylinderAxialAir2.Phi.re,hollowCylinderAxialAir2.Phi.im,constantSource.port_p.reference.gamma
0.271,-0.00303030303,0,-0.00303030303,0,85.13716091
0.272,-0.00303030303,0,-0.00303030303,0,85.45132018
0.273,-0.00303030303,0,-0.00303030303,0,85.76547944
0.274,-0.00303030303,0,-0.00303030303,0,86.07963871
0.275,-0.00303030303,0,-0.00303030303,0,86.39379797
0.276,-0.00303030303,0,-0.00303030303,0,86.70795724
0.277,-0.00303030303,0,-0.00303030303,0,87.0221165
0.278,-0.00303030303,0,-0.00303030303,0,87.33627577
0.279,-0.00303030303,0,-0.00303030303,0,87.65043504
0.28,-0.00303030303,0,-0.00303030303,0,87.9645943
0.281,-0.00303030303,0,-0.00303030303,0,88.27875357
0.282,-0.00303030303,0,-0.00303030303,0,88.59291283
0.283,-0.00303030303,0,-0.00303030303,0,88.9070721
0.284,-0.00303030303,0,-0.00303030303,0,89.22123136
0.285,-0.00303030303,0,-0.00303030303,0,89.53539063
0.286,-0.00303030303,0,-0.00303030303,0,89.84954989
0.287,-0.00303030303,0,-0.00303030303,0,90.16370916
0.288,-0.00303030303,0,-0.00303030303,0,90.47786842
0.289,-0.00303030303,0,-0.00303030303,0,90.79202769
0.29,-0.00303030303,0,-0.00303030303,0,91.10618695
0.291,-0.00303030303,0,-0.00303030303,0,91.42034622
0.292,-0.00303030303,0,-0.00303030303,0,91.73450548
0.293,-0.00303030303,0,-0.00303030303,0,92.04866475
0.294,-0.00303030303,0,-0.00303030303,0,92.36282402
0.295,-0.00303030303,0,-0.00303030303,0,92.67698328
0.296,-0.00303030303,0,-0.00303030303,0,92.99114255
0.297,-0.00303030303,0,-0.00303030303,0,93.30530181
0.298,-0.00303030303,0,-0.00303030303,0,93.61946108
0.299,-0.00303030303,0,-0.00303030303,0,93.93362034
0.3,-0.00303030303,0,-0.00303030303,0,94.24777961
0.301,-0.00303030303,0,-0.00303030303,0,94.56193887
0.302,-0.00303030303,0,-0.00303030303,0,94.87609814
0.303,-0.00303030303,0,-0.00303030303,0,95.1902574
0.304,-0.00303030303,0,-0.00303030303,0,95.50441667
0.305,-0.00303030303,0,-0.00303030303,0,95.81857593
0.306,-0.00303030303,0,-0.00303030303,0,96.1327352
0.307,-0.00303030303,0,-0.00303030303,0,96.44689447
0.308,-0.00303030303,0,-0.00303030303,0,96.76105373
0.309,-0.00303030303,0,-0.00303030303,0,97.075213
0.31,-0.00303030303,0,-0.00303030303,0,97.38937226
0.311,-0.00303030303,0,-0.00303030303,0,97.70353153
0.312,-0.00303030303,0,-0.00303030303,0,98.01769079
0.313,-0.00303030303,0,-0.00303030303,0,98.33185006
0.314,-0.00303030303,0,-0.00303030303,0,98.64600932
0.315,-0.00303030303,0,-0.00303030303,0,98.96016859
0.316,-0.00303030303,0,-0.00303030303,0,99.27432785
0.317,-0.00303030303,0,-0.00303030303,0,99.58848712
0.318,-0.00303030303,0,-0.00303030303,0,99.90264638
0.319,-0.00303030303,0,-0.00303030303,0,100.2168056
0.32,-0.00303030303,0,-0.00303030303,0,100.5309649
0.321,-0.00303030303,0,-0.00303030303,0,100.8451242
0.322,-0.00303030303,0,-0.00303030303,0,101.1592834
0.323,-0.00303030303,0,-0.00303030303,0,101.4734427
0.324,-0.00303030303,0,-0.00303030303,0,101.787602
0.325,-0.00303030303,0,-0.00303030303,0,102.1017612
0.326,-0.00303030303,0,-0.00303030303,0,102.4159205
0.327,-0.00303030303,0,-0.00303030303,0,102.7300798
0.328,-0.00303030303,0,-0.00303030303,0,103.044239
0.329,-0.00303030303,0,-0.00303030303,0,103.3583983
0.33,-0.00303030303,0,-0.00303030303,0,103.6725576
0.331,-0.00303030303,0,-0.00303030303,0,103.9867168
0.332,-0.00303030303,0,-0.00303030303,0,104.3008761
0.333,-0.00303030303,0,-0.00303030303,0,104.6150354
0.334,-0.00303030303,0,-0.00303030303,0,104.9291946
0.335,-0.00303030303,0,-0.00303030303,0,105.2433539
0.336,-0.00303030303,0,-0.00303030303,0,105.5575132
0.337,-0.00303030303,0,-0.00303030303,0,105.8716724
0.338,-0.00303030303,0,-0.00303030303,0,106.1858317
0.339,-0.00303030303,0,-0.00303030303,0,106.499991
0.34,-0.00303030303,0,-0.00303030303,0,106.8141502
0.341,-0.00303030303,0,-0.00303030303,0,107.1283095
0.342,-0.00303030303,0,-0.00303030303,0,107.4424688
0.343,-0.00303030303,0,-0.00303030303,0,107.756628
0.344,-0.00303030303,0,-0.00303030303,0,108.0707873
0.345,-0.00303030303,0,-0.00303030303,0,108.3849465
0.346,-0.00303030303,0,-0.00303030303,0,108.6991058
0.347,-0.00303030303,0,-0.00303030303,0,109.0132651
0.348,-0.00303030303,0,-0.00303030303,0,109.3274243
0.349,-0.00303030303,0,-0.00303030303,0,109.6415836
0.35,-0.00303030303,0,-0.00303030303,0,109.9557429
0.351,-0.00303030303,0,-0.00303030303,0,110.2699021
0.352,-0.00303030303,0,-0.00303030303,0,110.5840614
0.353,-0.00303030303,0,-0.00303030303,0,110.8982207
0.354,-0.00303030303,0,-0.00303030303,0,111.2123799
0.355,-0.00303030303,0,-0.00303030303,0,111.5265392
0.356,-0.00303030303,0,-0.00303030303,0,111.8406985
0.357,-0.00303030303,0,-0.00303030303,0,112.1548577
0.358,-0.00303030303,0,-0.00303030303,0,112.469017
0.359,-0.00303030303,0,-0.00303030303,0,112.7831763
0.36,-0.00303030303,0,-0.00303030303,0,113.0973355
0.361,-0.00303030303,0,-0.00303030303,0,113.4114948
0.362,-0.00303030303,0,-0.00303030303,0,113.7256541
0.363,-0.00303030303,0,-0.00303030303,0,114.0398133
0.364,-0.00303030303,0,-0.00303030303,0,114.3539726
0.365,-0.00303030303,0,-0.00303030303,0,114.6681319
0.366,-0.00303030303,0,-0.00303030303,0,114.9822911
0.367,-0.00303030303,0,-0.00303030303,0,115.2964504
0.368,-0.00303030303,0,-0.00303030303,0,115.6106097
0.369,-0.00303030303,0,-0.00303030303,0,115.9247689
0.37,-0.00303030303,0,-0.00303030303,0,116.2389282
0.371,-0.00303030303,0,-0.00303030303,0,116.5530874
0.372,-0.00303030303,0,-0.00303030303,0,116.8672467
0.373,-0.00303030303,0,-0.00303030303,0,117.181406
0.374,-0.00303030303,0,-0.00303030303,0,117.4955652
0.375,-0.00303030303,0,-0.00303030303,0,117.8097245
0.376,-0.00303030303,0,-0.00303030303,0,118.1238838
0.377,-0.00303030303,0,-0.00303030303,0,118.438043
0.378,-0.00303030303,0,-0.00303030303,0,118.7522023
0.379,-0.00303030303,0,-0.00303030303,0,119.0663616
0.38,-0.00303030303,0,-0.00303030303,0,119.3805208
0.381,-0.00303030303,0,-0.00303030303,0,119.6946801
0.382,-0.00303030303,0,-0.00303030303,0,120.0088394
0.383,-0.00303030303,0,-0.00303030303,0,120.3229986
0.384,-0.00303030303,0,-0.00303030303,0,120.6371579
0.385,-0.00303030303,0,-0.00303030303,0,120.9513172
0.386,-0.00303030303,0,-0.00303030303,0,121.2654764
0.387,-0.00303030303,0,-0.00303030303,0,121.5796357
0.388,-0.00303030303,0,-0.00303030303,0,121.893795
0.389,-0.00303030303,0,-0.00303030303,0,122.2079542
0.39,-0.00303030303,0,-0.00303030303,0,122.5221135
0.391,-0.00303030303,0,-0.00303030303,0,122.8362728
0.392,-0.00303030303,0,-0.00303030303,0,123.150432
0.393,-0.00303030303,0,-0.00303030303,0,123.4645913
0.394,-0.00303030303,0,-0.00303030303,0,123.7787506
0.395,-0.00303030303,0,-0.00303030303,0,124.0929098
0.396,-0.00303030303,0,-0.00303030303,0,124.4070691
0.397,-0.00303030303,0,-0.00303030303,0,124.7212283
0.398,-0.00303030303,0,-0.00303030303,0,125.0353876
0.399,-0.00303030303,0,-0.00303030303,0,125.3495469
0.4,-0.00303030303,0,-0.00303030303,0,125.6637061
0.401,-0.00303030303,0,-0.00303030303,0,125.9778654
0.402,-0.00303030303,0,-0.00303030303,0,126.2920247
0.403,-0.00303030303,0,-0.00303030303,0,126.6061839
0.404,-0.00303030303,0,-0.00303030303,0,126.9203432
0.405,-0.00303030303,0,-0.00303030303,0,127.2345025
0.406,-0.00303030303,0,-0.00303030303,0,127.5486617
0.407,-0.00303030303,0,-0.00303030303,0,127.862821
0.408,-0.00303030303,0,-0.00303030303,0,128.1769803
0.409,-0.00303030303,0,-0.00303030303,0,128.4911395
0.41,-0.00303030303,0,-0.00303030303,0,128.8052988
0.411,-0.00303030303,0,-0.00303030303,0,129.1194581
0.412,-0.00303030303,0,-0.00303030303,0,129.4336173
0.413,-0.00303030303,0,-0.00303030303,0,129.7477766
0.414,-0.00303030303,0,-0.00303030303,0,130.0619359
0.415,-0.00303030303,0,-0.00303030303,0,130.3760951
0.416,-0.00303030303,0,-0.00303030303,0,130.6902544
0.417,-0.00303030303,0,-0.00303030303,0,131.0044137
0.418,-0.00303030303,0,-0.00303030303,0,131.3185729
0.419,-0.00303030303,0,-0.00303030303,0,131.6327322
0.42,-0.00303030303,0,-0.00303030303,0,131.9468915
0.421,-0.00303030303,0,-0.00303030303,0,132.2610507
0.422,-0.00303030303,0,-0.00303030303,0,132.57521
0.423,-0.00303030303,0,-0.00303030303,0,132.8893692
0.424,-0.00303030303,0,-0.00303030303,0,133.2035285
0.425,-0.00303030303,0,-0.00303030303,0,133.5176878
0.426,-0.00303030303,0,-0.00303030303,0,133.831847
0.427,-0.00303030303,0,-0.00303030303,0,134.1460063
0.428,-0.00303030303,0,-0.00303030303,0,134.4601656
0.429,-0.00303030303,0,-0.00303030303,0,134.7743248
0.43,-0.00303030303,0,-0.00303030303,0,135.0884841
0.431,-0.00303030303,0,-0.00303030303,0,135.4026434
0.432,-0.00303030303,0,-0.00303030303,0,135.7168026
0.433,-0.00303030303,0,-0.00303030303,0,136.0309619
0.434,-0.00303030303,0,-0.00303030303,0,136.3451212
0.435,-0.00303030303,0,-0.00303030303,0,136.6592804
0.436,-0.00303030303,0,-0.00303030303,0,136.9734397
0.437,-0.00303030303,0,-0.00303030303,0,137.287599
0.438,-0.00303030303,0,-0.00303030303,0,137.6017582
0.439,-0.00303030303,0,-0.00303030303,0,137.9159175
0.44,-0.00303030303,0,-0.00303030303,0,138.2300768
0.441,-0.00303030303,0,-0.00303030303,0,138.544236
0.442,-0.00303030303,0,-0.00303030303,0,138.8583953
0.443,-0.00303030303,0,-0.00303030303,0,139.1725546
0.444,-0.00303030303,0,-0.00303030303,0,139.4867138
0.445,-0.00303030303,0,-0.00303030303,0,139.8008731
0.446,-0.00303030303,0,-0.00303030303,0,140.1150324
0.447,-0.00303030303,0,-0.00303030303,0,140.4291916
0.448,-0.00303030303,0,-0.00303030303,0,140.7433509
0.449,-0.00303030303,0,-0.00303030303,0,141.0575101
0.45,-0.00303030303,0,-0.00303030303,0,141.3716694
0.451,-0.00303030303,0,-0.00303030303,0,141.6858287
0.452,-0.00303030303,0,-0.00303030303,0,141.9999879
0.453,-0.00303030303,0,-0.00303030303,0,142.3141472
0.454,-0.00303030303,0,-0.00303030303,0,142.6283065
0.455,-0.00303030303,0,-0.00303030303,0,142.9424657
0.456,-0.00303030303,0,-0.00303030303,0,143.256625
0.457,-0.00303030303,0,-0.00303030303,0,143.5707843
0.458,-0.00303030303,0,-0.00303030303,0,143.8849435
0.459,-0.00303030303,0,-0.00303030303,0,144.1991028
0.46,-0.00303030303,0,-0.00303030303,0,144.5132621
0.461,-0.00303030303,0,-0.00303030303,0,144.8274213
0.462,-0.00303030303,0,-0.00303030303,0,145.1415806
0.463,-0.00303030303,0,-0.00303030303,0,145.4557399
0.464,-0.00303030303,0,-0.00303030303,0,145.7698991
0.465,-0.00303030303,0,-0.00303030303,0,146.0840584
0.466,-0.00303030303,0,-0.00303030303,0,146.3982177
0.467,-0.00303030303,0,-0.00303030303,0,146.7123769
0.468,-0.00303030303,0,-0.00303030303,0,147.0265362
0.469,-0.00303030303,0,-0.00303030303,0,147.3406955
0.47,-0.00303030303,0,-0.00303030303,0,147.6548547
0.471,-0.00303030303,0,-0.00303030303,0,147.969014
0.472,-0.00303030303,0,-0.00303030303,0,148.2831732
0.473,-0.00303030303,0,-0.00303030303,0,148.5973325
0.474,-0.00303030303,0,-0.00303030303,0,148.9114918
0.475,-0.00303030303,0,-0.00303030303,0,149.225651
0.476,-0.00303030303,0,-0.00303030303,0,149.5398103
0.477,-0.00303030303,0,-0.00303030303,0,149.8539696
0.478,-0.00303030303,0,-0.00303030303,0,150.1681288
0.479,-0.00303030303,0,-0.00303030303,0,150.4822881
0.48,-0.00303030303,0,-0.00303030303,0,150.7964474
0.481,-0.00303030303,0,-0.00303030303,0,151.1106066
0.482,-0.00303030303,0,-0.00303030303,0,151.4247659
0.483,-0.00303030303,0,-0.00303030303,0,151.7389252
0.484,-0.00303030303,0,-0.00303030303,0,152.0530844
0.485,-0.00303030303,0,-0.00303030303,0,152.3672437
0.486,-0.00303030303,0,-0.00303030303,0,152.681403
0.487,-0.00303030303,0,-0.00303030303,0,152.9955622
0.488,-0.00303030303,0,-0.00303030303,0,153.3097215
0.489,-0.00303030303,0,-0.00303030303,0,153.6238808
0.49,-0.00303030303,0,-0.00303030303,0,153.93804
0.491,-0.00303030303,0,-0.00303030303,0,154.2521993
0.492,-0.00303030303,0,-0.00303030303,0,154.5663586
0.493,-0.00303030303,0,-0.00303030303,0,154.8805178
0.494,-0.00303030303,0,-0.00303030303,0,155.1946771
0.495,-0.00303030303,0,-0.00303030303,0,155.5088364
0.496,-0.00303030303,0,-0.00303030303,0,155.8229956
0.497,-0.00303030303,0,-0.00303030303,0,156.1371549
0.498,-0.00303030303,0,-0.00303030303,0,156.4513141
0.499,-0.00303030303,0,-0.00303030303,0,156.7654734
0.5,-0.00303030303,0,-0.00303030303,0,157.0796327
0.501,-0.00303030303,0,-0.00303030303,0,157.3937919
0.502,-0.00303030303,0,-0.00303030303,0,157.7079512
0.503,-0.00303030303,0,-0.00303030303,0,158.0221105
0.504,-0.00303030303,0,-0.00303030303,0,158.3362697
0.505,-0.00303030303,0,-0.00303030303,0,158.650429
0.506,-0.00303030303,0,-0.00303030303,0,158.9645883
0.507,-0.00303030303,0,-0.00303030303,0,159.2787475
0.508,-0.00303030303,0,-0.00303030303,0,159.5929068
0.509,-0.00303030303,0,-0.00303030303,0,159.9070661
