time,energy.y_ref,energy.y_sim,energy.y_relerr,superCap.capacitor.v_ref,superCap.capacitor.v_sim,superCap.capacitor.v_relerr
0.21,0,0,0,47.999979,47.999979,2.96059e-16
0.215,0,0,0,47.9999785,47.9999785,2.96059e-16
0.22,0,0,0,47.999978,47.999978,1.4803e-16
0.225,0,0,0,47.9999775,47.9999775,0
0.23,0,0,0,47.999977,47.999977,1.4803e-16
0.235,0,0,0,47.9999765,47.9999765,1.4803e-16
0.24,0,0,0,47.999976,47.999976,1.4803e-16
0.245,0,0,0,47.9999755,47.9999755,0
0.25,0,0,0,47.999975,47.999975,0
0.255,0,0,0,47.9999745,47.9999745,1.4803e-16
0.26,0,0,0,47.999974,47.999974,0
0.265,0,0,0,47.9999735,47.9999735,1.4803e-16
0.27,0,0,0,47.999973,47.999973,1.4803e-16
0.275,0,0,0,47.9999725,47.9999725,1.4803e-16
0.28,0,0,0,47.999972,47.999972,1.4803e-16
0.285,0,0,0,47.9999715,47.9999715,1.4803e-16
0.29,0,0,0,47.999971,47.999971,1.4803e-16
0.295,0,0,0,47.9999705,47.9999705,1.4803e-16
0.3,0,0,0,47.99997,47.99997,1.4803e-16
0.305,0,0,0,47.9999695,47.9999695,2.96059e-16
0.31,0,0,0,47.999969,47.999969,1.4803e-16
0.315,0,0,0,47.9999685,47.9999685,1.4803e-16
0.32,0,0,0,47.999968,47.999968,1.4803e-16
0.325,0,0,0,47.9999675,47.9999675,0
0.33,0,0,0,47.999967,47.999967,0
0.335,0,0,0,47.9999665,47.9999665,0
0.34,0,0,0,47.999966,47.999966,2.96059e-16
0.345,0,0,0,47.9999655,47.9999655,1.4803e-16
0.35,0,0,0,47.999965,47.999965,1.4803e-16
0.355,0,0,0,47.9999645,47.9999645,1.4803e-16
0.36,0,0,0,47.999964,47.999964,1.4803e-16
0.365,0,0,0,47.9999635,47.9999635,1.4803e-16
0.37,0,0,0,47.999963,47.999963,0
0.375,0,0,0,47.9999625,47.9999625,2.96059e-16
0.38,0,0,0,47.999962,47.999962,1.4803e-16
0.385,0,0,0,47.9999615,47.9999615,1.4803e-16
0.39,0,0,0,47.999961,47.999961,1.4803e-16
0.395,0,0,0,47.9999605,47.9999605,1.4803e-16
0.4,0,0,0,47.99996,47.99996,1.4803e-16
0.405,0,0,0,47.9999595,47.9999595,0
0.41,0,0,0,47.999959,47.999959,1.4803e-16
0.415,0,0,0,47.9999585,47.9999585,1.4803e-16
0.42,0,0,0,47.999958,47.999958,1.4803e-16
0.425,0,0,0,47.9999575,47.9999575,1.4803e-16
0.43,0,0,0,47.999957,47.999957,1.4803e-16
0.435,0,0,0,47.9999565,47.9999565,2.96059e-16
0.44,0,0,0,47.999956,47.999956,1.4803e-16
0.445,0,0,0,47.9999555,47.9999555,1.4803e-16
0.45,0,0,0,47.999955,47.999955,0
0.455,0,0,0,47.9999545,47.9999545,1.4803e-16
0.46,0,0,0,47.999954,47.999954,1.4803e-16
0.465,0,0,0,47.9999535,47.9999535,1.4803e-16
0.47,0,0,0,47.999953,47.999953,2.96059e-16
0.475,0,0,0,47.9999525,47.9999525,2.96059e-16
0.48,0,0,0,47.999952,47.999952,1.4803e-16
0.485,0,0,0,47.9999515,47.9999515,0
0.49,0,0,0,47.999951,47.999951,1.4803e-16
0.495,0,0,0,47.9999505,47.9999505,0
0.5,0,0,0,47.99995,47.99995,1.4803e-16
0.505,0,0,0,47.9999495,47.9999495,1.4803e-16
0.51,0,0,0,47.999949,47.999949,2.96059e-16
0.515,0,0,0,47.9999485,47.9999485,1.4803e-16
0.52,0,0,0,47.999948,47.999948,1.4803e-16
0.525,0,0,0,47.9999475,47.9999475,1.4803e-16
0.53,0,0,0,47.999947,47.999947,1.4803e-16
0.535,0,0,0,47.9999465,47.9999465,0
0.54,0,0,0,47.999946,47.999946,0
0.545,0,0,0,47.9999455,47.9999455,2.96059e-16
0.55,0,0,0,47.999945,47.999945,0
0.555,0,0,0,47.9999445,47.9999445,0
0.56,0,0,0,47.999944,47.999944,1.4803e-16
0.565,0,0,0,47.9999435,47.9999435,0
0.57,0,0,0,47.999943,47.999943,0
0.575,0,0,0,47.9999425,47.9999425,0
0.58,0,0,0,47.999942,47.999942,1.4803e-16
0.585,0,0,0,47.9999415,47.9999415,1.4803e-16
0.59,0,0,0,47.999941,47.999941,0
0.595,0,0,0,47.9999405,47.9999405,1.4803e-16
0.6,0,0,0,47.99994,47.99994,1.4803e-16
0.605,0,0,0,47.9999395,47.9999395,2.96059e-16
0.61,0,0,0,47.999939,47.999939,1.4803e-16
0.615,0,0,0,47.9999385,47.9999385,0
0.62,0,0,0,47.999938,47.999938,1.4803e-16
0.625,0,0,0,47.9999375,47.9999375,1.4803e-16
0.63,0,0,0,47.999937,47.999937,1.4803e-16
0.635,0,0,0,47.9999365,47.9999365,1.4803e-16
0.64,0,0,0,47.999936,47.999936,1.4803e-16
0.645,0,0,0,47.9999355,47.9999355,1.4803e-16
0.65,0,0,0,47.999935,47.999935,0
0.655,0,0,0,47.9999345,47.9999345,1.4803e-16
0.66,0,0,0,47.999934,47.999934,2.96059e-16
0.665,0,0,0,47.9999335,47.9999335,1.4803e-16
0.67,0,0,0,47.999933,47.999933,1.4803e-16
0.675,0,0,0,47.9999325,47.9999325,1.4803e-16
0.68,0,0,0,47.999932,47.999932,2.96059e-16
0.685,0,0,0,47.9999315,47.9999315,1.4803e-16
0.69,0,0,0,47.999931,47.999931,1.4803e-16
0.695,0,0,0,47.9999305,47.9999305,1.4803e-16
0.7,0,0,0,47.99993,47.99993,1.4803e-16
0.705,0,0,0,47.9999295,47.9999295,2.96059e-16
0.71,0,0,0,47.999929,47.999929,2.96059e-16
0.715,0,0,0,47.9999285,47.9999285,2.96059e-16
0.72,0,0,0,47.999928,47.999928,2.96059e-16
0.725,0,0,0,47.9999275,47.9999275,1.4803e-16
0.73,0,0,0,47.999927,47.999927,1.4803e-16
0.735,0,0,0,47.9999265,47.9999265,2.96059e-16
0.74,0,0,0,47.999926,47.999926,1.4803e-16
0.745,0,0,0,47.9999255,47.9999255,1.4803e-16
0.75,0,0,0,47.999925,47.999925,1.4803e-16
0.755,0,0,0,47.9999245,47.9999245,1.4803e-16
0.76,0,0,0,47.999924,47.999924,1.4803e-16
0.765,0,0,0,47.9999235,47.9999235,1.4803e-16
0.77,0,0,0,47.999923,47.999923,1.4803e-16
0.775,0,0,0,47.9999225,47.9999225,2.96059e-16
0.78,0,0,0,47.999922,47.999922,1.4803e-16
0.785,0,0,0,47.9999215,47.9999215,1.4803e-16
0.79,0,0,0,47.999921,47.999921,2.96059e-16
0.795,0,0,0,47.9999205,47.9999205,2.96059e-16
0.8,0,0,0,47.99992,47.99992,1.4803e-16
0.805,0,0,0,47.9999195,47.9999195,1.4803e-16
0.81,0,0,0,47.999919,47.999919,1.4803e-16
0.815,0,0,0,47.9999185,47.9999185,1.4803e-16
0.82,0,0,0,47.999918,47.999918,1.4803e-16
0.825,0,0,0,47.9999175,47.9999175,1.4803e-16
0.83,0,0,0,47.999917,47.999917,2.96059e-16
0.835,0,0,0,47.9999165,47.9999165,1.4803e-16
0.84,0,0,0,47.999916,47.999916,1.4803e-16
0.845,0,0,0,47.9999155,47.9999155,2.96059e-16
0.85,0,0,0,47.999915,47.999915,2.96059e-16
0.855,0,0,0,47.9999145,47.9999145,1.4803e-16
0.86,0,0,0,47.999914,47.999914,0
0.865,0,0,0,47.9999135,47.9999135,2.96059e-16
0.87,0,0,0,47.999913,47.999913,2.96059e-16
0.875,0,0,0,47.9999125,47.9999125,2.96059e-16
0.88,0,0,0,47.999912,47.999912,1.4803e-16
0.885,0,0,0,47.9999115,47.9999115,1.4803e-16
0.89,0,0,0,47.999911,47.999911,1.4803e-16
0.895,0,0,0,47.9999105,47.9999105,2.96059e-16
0.9,0,0,0,47.99991,47.99991,2.96059e-16
0.905,0,0,0,47.9999095,47.9999095,2.96059e-16
0.91,0,0,0,47.999909,47.999909,1.4803e-16
0.915,0,0,0,47.9999085,47.9999085,1.4803e-16
0.92,0,0,0,47.999908,47.999908,1.4803e-16
0.925,0,0,0,47.9999075,47.9999075,1.4803e-16
0.93,0,0,0,47.999907,47.999907,1.4803e-16
0.935,0,0,0,47.9999065,47.9999065,1.4803e-16
0.94,0,0,0,47.999906,47.999906,1.4803e-16
0.945,0,0,0,47.9999055,47.9999055,2.96059e-16
0.95,0,0,0,47.999905,47.999905,2.96059e-16
0.955,0,0,0,47.9999045,47.9999045,2.96059e-16
0.96,0,0,0,47.999904,47.999904,2.96059e-16
0.965,0,0,0,47.9999035,47.9999035,1.4803e-16
0.97,0,0,0,47.999903,47.999903,1.4803e-16
0.975,0,0,0,47.9999025,47.9999025,2.96059e-16
0.98,0,0,0,47.999902,47.999902,2.96059e-16
0.985,0,0,0,47.9999015,47.9999015,1.4803e-16
0.99,0,0,0,47.999901,47.999901,1.4803e-16
0.995,0,0,0,47.9999005,47.9999005,1.4803e-16
1,0,0,0,47.9999,47.9999,1.4803e-16
1.005,0,0,0,47.9998995,47.9998995,1.4803e-16
1.01,0,0,0,47.999899,47.999899,1.4803e-16
1.015,0,0,0,47.9998985,47.9998985,1.4803e-16
1.02,0,0,0,47.999898,47.999898,2.96059e-16
1.025,0,0,0,47.9998975,47.9998975,1.4803e-16
1.03,0,0,0,47.999897,47.999897,1.4803e-16
1.035,0,0,0,47.9998965,47.9998965,4.44089e-16
1.04,0,0,0,47.999896,47.999896,2.96059e-16
1.045,0,0,0,47.9998955,47.9998955,1.4803e-16
1.05,0,0,0,47.999895,47.999895,1.4803e-16
1.055,0,0,0,47.9998945,47.9998945,2.96059e-16
1.06,0,0,0,47.999894,47.999894,1.4803e-16
1.065,0,0,0,47.9998935,47.9998935,2.96059e-16
1.07,0,0,0,47.999893,47.999893,1.4803e-16
1.075,0,0,0,47.9998925,47.9998925,1.4803e-16
1.08,0,0,0,47.999892,47.999892,0
1.085,0,0,0,47.9998915,47.9998915,2.96059e-16
1.09,0,0,0,47.999891,47.999891,1.4803e-16
1.095,0,0,0,47.9998905,47.9998905,1.4803e-16
1.1,0,0,0,47.99989,47.99989,2.96059e-16
1.105,0,0,0,47.9998895,47.9998895,1.4803e-16
1.11,0,0,0,47.999889,47.999889,2.96059e-16
1.115,0,0,0,47.9998885,47.9998885,2.96059e-16
1.12,0,0,0,47.999888,47.999888,1.4803e-16
1.125,0,0,0,47.9998875,47.9998875,2.96059e-16
1.13,0,0,0,47.999887,47.999887,1.4803e-16
1.135,0,0,0,47.9998865,47.9998865,1.4803e-16
1.14,0,0,0,47.999886,47.999886,2.96059e-16
1.145,0,0,0,47.9998855,47.9998855,2.96059e-16
1.15,0,0,0,47.999885,47.999885,1.4803e-16
1.155,0,0,0,47.9998845,47.9998845,1.4803e-16
1.16,0,0,0,47.999884,47.999884,1.4803e-16
1.165,0,0,0,47.9998835,47.9998835,2.96059e-16
1.17,0,0,0,47.999883,47.999883,1.4803e-16
1.175,0,0,0,47.9998825,47.9998825,1.4803e-16
1.18,0,0,0,47.999882,47.999882,1.4803e-16
1.185,0,0,0,47.9998815,47.9998815,2.96059e-16
1.19,0,0,0,47.999881,47.999881,2.96059e-16
1.195,0,0,0,47.9998805,47.9998805,1.4803e-16
1.2,0,0,0,47.99988,47.99988,2.96059e-16
1.205,0,0,0,47.9998795,47.9998795,2.96059e-16
1.21,0,0,0,47.999879,47.999879,1.4803e-16
1.215,0,0,0,47.9998785,47.9998785,1.4803e-16
1.22,0,0,0,47.999878,47.999878,2.96059e-16
1.225,0,0,0,47.9998775,47.9998775,2.96059e-16
1.23,0,0,0,47.999877,47.999877,1.4803e-16
1.235,0,0,0,47.9998765,47.9998765,1.4803e-16
1.24,0,0,0,47.999876,47.999876,1.4803e-16
1.245,0,0,0,47.9998755,47.9998755,1.4803e-16
1.25,0,0,0,47.999875,47.999875,1.4803e-16
1.255,0,0,0,47.9998745,47.9998745,1.4803e-16
1.26,0,0,0,47.999874,47.999874,2.96059e-16
1.265,0,0,0,47.9998735,47.9998735,4.44089e-16
1.27,0,0,0,47.999873,47.999873,1.4803e-16
1.275,0,0,0,47.9998725,47.9998725,2.96059e-16
1.28,0,0,0,47.999872,47.999872,2.96059e-16
1.285,0,0,0,47.9998715,47.9998715,1.4803e-16
1.29,0,0,0,47.999871,47.999871,1.4803e-16
1.295,0,0,0,47.9998705,47.9998705,1.4803e-16
1.3,0,0,0,47.99987,47.99987,1.4803e-16
1.305,0,0,0,47.9998695,47.9998695,1.4803e-16
1.31,0,0,0,47.999869,47.999869,1.4803e-16
1.315,0,0,0,47.9998685,47.9998685,2.96059e-16
1.32,0,0,0,47.999868,47.999868,1.4803e-16
1.325,0,0,0,47.9998675,47.9998675,0
1.33,0,0,0,47.999867,47.999867,1.4803e-16
1.335,0,0,0,47.9998665,47.9998665,1.4803e-16
1.34,0,0,0,47.999866,47.999866,0
1.345,0,0,0,47.9998655,47.9998655,1.4803e-16
1.35,0,0,0,47.999865,47.999865,0
1.355,0,0,0,47.9998645,47.9998645,2.96059e-16
1.36,0,0,0,47.999864,47.999864,1.4803e-16
1.365,0,0,0,47.9998635,47.9998635,1.4803e-16
1.37,0,0,0,47.999863,47.999863,2.96059e-16
1.375,0,0,0,47.9998625,47.9998625,2.96059e-16
1.38,0,0,0,47.999862,47.999862,1.4803e-16
1.385,0,0,0,47.9998615,47.9998615,2.96059e-16
1.39,0,0,0,47.999861,47.999861,1.4803e-16
1.395,0,0,0,47.9998605,47.9998605,1.4803e-16
1.4,0,0,0,47.99986,47.99986,1.4803e-16
1.405,0,0,0,47.9998595,47.9998595,1.4803e-16
1.41,0,0,0,47.999859,47.999859,2.96059e-16
1.415,0,0,0,47.9998585,47.9998585,0
1.42,0,0,0,47.999858,47.999858,1.4803e-16
1.425,0,0,0,47.9998575,47.9998575,1.4803e-16
1.43,0,0,0,47.999857,47.999857,0
1.435,0,0,0,47.9998565,47.9998565,1.4803e-16
1.44,0,0,0,47.999856,47.999856,1.4803e-16
1.445,0,0,0,47.9998555,47.9998555,1.4803e-16
1.45,0,0,0,47.999855,47.999855,1.4803e-16
1.455,0,0,0,47.9998545,47.9998545,0
1.46,0,0,0,47.999854,47.999854,1.4803e-16
1.465,0,0,0,47.9998535,47.9998535,2.96059e-16
1.47,0,0,0,47.999853,47.999853,1.4803e-16
1.475,0,0,0,47.9998525,47.9998525,1.4803e-16
1.48,0,0,0,47.999852,47.999852,1.4803e-16
1.485,0,0,0,47.9998515,47.9998515,2.96059e-16
1.49,0,0,0,47.999851,47.999851,2.96059e-16
1.495,0,0,0,47.9998505,47.9998505,1.4803e-16
1.5,0,0,0,47.99985,47.99985,2.96059e-16
1.505,0,0,0,47.9998495,47.9998495,2.96059e-16
1.51,0,0,0,47.999849,47.999849,1.4803e-16
1.515,0,0,0,47.9998485,47.9998485,1.4803e-16
1.52,0,0,0,47.999848,47.999848,1.4803e-16
1.525,0,0,0,47.9998475,47.9998475,1.4803e-16
1.53,0,0,0,47.999847,47.999847,1.4803e-16
1.535,0,0,0,47.9998465,47.9998465,0
1.54,0,0,0,47.999846,47.999846,1.4803e-16
1.545,0,0,0,47.9998455,47.9998455,1.4803e-16
1.55,0,0,0,47.999845,47.999845,1.4803e-16
1.555,0,0,0,47.9998445,47.9998445,1.4803e-16
1.56,0,0,0,47.999844,47.999844,1.4803e-16
1.565,0,0,0,47.9998435,47.9998435,1.4803e-16
1.57,0,0,0,47.999843,47.999843,1.4803e-16
1.575,0,0,0,47.9998425,47.9998425,1.4803e-16
1.58,0,0,0,47.999842,47.999842,1.4803e-16
1.585,0,0,0,47.9998415,47.9998415,1.4803e-16
1.59,0,0,0,47.999841,47.999841,1.4803e-16
1.595,0,0,0,47.9998405,47.9998405,1.4803e-16
1.6,0,0,0,47.99984,47.99984,2.96059e-16
1.605,0,0,0,47.9998395,47.9998395,1.4803e-16
1.61,0,0,0,47.999839,47.999839,1.4803e-16
1.615,0,0,0,47.9998385,47.9998385,1.4803e-16
1.62,0,0,0,47.999838,47.999838,1.4803e-16
1.625,0,0,0,47.9998375,47.9998375,1.4803e-16
1.63,0,0,0,47.999837,47.999837,1.4803e-16
1.635,0,0,0,47.9998365,47.9998365,2.96059e-16
1.64,0,0,0,47.999836,47.999836,2.96059e-16
1.645,0,0,0,47.9998355,47.9998355,0
1.65,0,0,0,47.999835,47.999835,1.4803e-16
1.655,0,0,0,47.9998345,47.9998345,2.96059e-16
1.66,0,0,0,47.999834,47.999834,1.4803e-16
1.665,0,0,0,47.9998335,47.9998335,2.96059e-16
1.67,0,0,0,47.999833,47.999833,1.4803e-16
1.675,0,0,0,47.9998325,47.9998325,1.4803e-16
1.68,0,0,0,47.999832,47.999832,2.96059e-16
1.685,0,0,0,47.9998315,47.9998315,1.4803e-16
1.69,0,0,0,47.999831,47.999831,2.96059e-16
1.695,0,0,0,47.9998305,47.9998305,2.96059e-16
1.7,0,0,0,47.99983,47.99983,1.4803e-16
1.705,0,0,0,47.9998295,47.9998295,2.96059e-16
1.71,0,0,0,47.999829,47.999829,1.4803e-16
1.715,0,0,0,47.9998285,47.9998285,0
1.72,0,0,0,47.999828,47.999828,1.4803e-16
1.725,0,0,0,47.9998275,47.9998275,0
1.73,0,0,0,47.999827,47.999827,0
1.735,0,0,0,47.9998265,47.9998265,1.4803e-16
1.74,0,0,0,47.999826,47.999826,1.4803e-16
1.745,0,0,0,47.9998255,47.9998255,1.4803e-16
1.75,0,0,0,47.999825,47.999825,1.4803e-16
1.755,0,0,0,47.9998245,47.9998245,0
1.76,0,0,0,47.999824,47.999824,2.96059e-16
1.765,0,0,0,47.9998235,47.9998235,2.96059e-16
1.77,0,0,0,47.999823,47.999823,2.96059e-16
1.775,0,0,0,47.9998225,47.9998225,1.4803e-16
1.78,0,0,0,47.999822,47.999822,1.4803e-16
1.785,0,0,0,47.9998215,47.9998215,2.96059e-16
1.79,0,0,0,47.999821,47.999821,1.4803e-16
1.795,0,0,0,47.9998205,47.9998205,1.4803e-16
1.8,0,0,0,47.99982,47.99982,2.96059e-16
1.805,0,0,0,47.9998195,47.9998195,1.4803e-16
1.81,0,0,0,47.999819,47.999819,1.4803e-16
1.815,0,0,0,47.9998185,47.9998185,1.4803e-16
1.82,0,0,0,47.999818,47.999818,2.96059e-16
1.825,0,0,0,47.9998175,47.9998175,2.96059e-16
1.83,0,0,0,47.999817,47.999817,0
1.835,0,0,0,47.9998165,47.9998165,1.4803e-16
1.84,0,0,0,47.999816,47.999816,0
1.845,0,0,0,47.9998155,47.9998155,1.4803e-16
1.85,0,0,0,47.999815,47.999815,1.4803e-16
1.855,0,0,0,47.9998145,47.9998145,1.4803e-16
1.86,0,0,0,47.999814,47.999814,2.96059e-16
1.865,0,0,0,47.9998135,47.9998135,2.96059e-16
1.87,0,0,0,47.999813,47.999813,1.4803e-16
1.875,0,0,0,47.9998125,47.9998125,2.96059e-16
1.88,0,0,0,47.999812,47.999812,2.96059e-16
1.885,0,0,0,47.9998115,47.9998115,1.4803e-16
1.89,0,0,0,47.999811,47.999811,1.4803e-16
1.895,0,0,0,47.9998105,47.9998105,1.4803e-16
1.9,0,0,0,47.99981,47.99981,2.96059e-16
1.905,0,0,0,47.9998095,47.9998095,1.4803e-16
1.91,0,0,0,47.999809,47.999809,0
1.915,0,0,0,47.9998085,47.9998085,0
1.92,0,0,0,47.999808,47.999808,0
1.925,0,0,0,47.9998075,47.9998075,1.4803e-16
1.93,0,0,0,47.999807,47.999807,1.4803e-16
1.935,0,0,0,47.9998065,47.9998065,1.4803e-16
1.94,0,0,0,47.999806,47.999806,1.4803e-16
1.945,0,0,0,47.9998055,47.9998055,1.4803e-16
1.95,0,0,0,47.999805,47.999805,2.96059e-16
1.955,0,0,0,47.9998045,47.9998045,2.96059e-16
1.96,0,0,0,47.999804,47.999804,1.4803e-16
1.965,0,0,0,47.9998035,47.9998035,1.4803e-16
1.97,0,0,0,47.999803,47.999803,1.4803e-16
1.975,0,0,0,47.9998025,47.9998025,2.96059e-16
1.98,0,0,0,47.999802,47.999802,2.96059e-16
1.985,0,0,0,47.9998015,47.9998015,1.4803e-16
1.99,0,0,0,47.999801,47.999801,2.96059e-16
1.995,0,0,0,47.9998005,47.9998005,2.96059e-16
2,0,0,0,47.9998,47.9998,0
2.005,0,0,0,47.9997995,47.9997995,1.4803e-16
2.01,0,0,0,47.999799,47.999799,1.4803e-16
2.015,0,0,0,47.9997985,47.9997985,0
2.02,0,0,0,47.999798,47.999798,1.4803e-16
2.025,0,0,0,47.9997975,47.9997975,1.4803e-16
2.03,0,0,0,47.999797,47.999797,1.4803e-16
2.035,0,0,0,47.9997965,47.9997965,1.4803e-16
2.04,0,0,0,47.999796,47.999796,1.4803e-16
2.045,0,0,0,47.9997955,47.9997955,1.4803e-16
2.05,0,0,0,47.999795,47.999795,1.4803e-16
2.055,0,0,0,47.9997945,47.9997945,1.4803e-16
2.06,0,0,0,47.999794,47.999794,1.4803e-16
2.065,0,0,0,47.9997935,47.9997935,2.96059e-16
2.07,0,0,0,47.999793,47.999793,2.96059e-16
2.075,0,0,0,47.9997925,47.9997925,1.4803e-16
2.08,0,0,0,47.999792,47.999792,1.4803e-16
2.085,0,0,0,47.9997915,47.9997915,2.96059e-16
2.09,0,0,0,47.999791,47.999791,1.4803e-16
2.095,0,0,0,47.9997905,47.9997905,2.96059e-16
2.1,0,0,0,47.99979,47.99979,1.4803e-16
2.105,0,0,0,47.9997895,47.9997895,1.4803e-16
2.11,0,0,0,47.999789,47.999789,1.4803e-16
2.115,0,0,0,47.9997885,47.9997885,1.4803e-16
2.12,0,0,0,47.999788,47.999788,1.4803e-16
2.125,0,0,0,47.9997875,47.9997875,1.4803e-16
2.13,0,0,0,47.999787,47.999787,1.4803e-16
2.135,0,0,0,47.9997865,47.9997865,0
2.14,0,0,0,47.999786,47.999786,2.96059e-16
2.145,0,0,0,47.9997855,47.9997855,2.96059e-16
2.15,0,0,0,47.999785,47.999785,1.4803e-16
2.155,0,0,0,47.9997845,47.9997845,1.4803e-16
2.16,0,0,0,47.999784,47.999784,1.4803e-16
2.165,0,0,0,47.9997835,47.9997835,1.4803e-16
2.17,0,0,0,47.999783,47.999783,2.96059e-16
2.175,0,0,0,47.9997825,47.9997825,2.96059e-16
2.18,0,0,0,47.999782,47.999782,2.96059e-16
2.185,0,0,0,47.9997815,47.9997815,2.96059e-16
2.19,0,0,0,47.999781,47.999781,2.96059e-16
2.195,0,0,0,47.9997805,47.9997805,1.4803e-16
2.2,0,0,0,47.99978,47.99978,1.4803e-16
2.205,0,0,0,47.9997795,47.9997795,1.4803e-16
2.21,0,0,0,47.999779,47.999779,0
2.215,0,0,0,47.9997785,47.9997785,1.4803e-16
2.22,0,0,0,47.999778,47.999778,1.4803e-16
2.225,0,0,0,47.9997775,47.9997775,1.4803e-16
2.23,0,0,0,47.999777,47.999777,1.4803e-16
2.235,0,0,0,47.9997765,47.9997765,1.4803e-16
2.24,0,0,0,47.999776,47.999776,1.4803e-16
2.245,0,0,0,47.9997755,47.9997755,2.96059e-16
2.25,0,0,0,47.999775,47.999775,2.96059e-16
2.255,0,0,0,47.9997745,47.9997745,2.96059e-16
2.26,0,0,0,47.999774,47.999774,1.4803e-16
2.265,0,0,0,47.9997735,47.9997735,1.4803e-16
2.27,0,0,0,47.999773,47.999773,1.4803e-16
2.275,0,0,0,47.9997725,47.9997725,2.96059e-16
2.28,0,0,0,47.999772,47.999772,2.96059e-16
2.285,0,0,0,47.9997715,47.9997715,1.4803e-16
2.29,0,0,0,47.999771,47.999771,2.96059e-16
2.295,0,0,0,47.9997705,47.9997705,0
2.3,0,0,0,47.99977,47.99977,0
2.305,0,0,0,47.9997695,47.9997695,1.4803e-16
2.31,0,0,0,47.999769,47.999769,1.4803e-16
2.315,0,0,0,47.9997685,47.9997685,2.96059e-16
2.32,0,0,0,47.999768,47.999768,0
2.325,0,0,0,47.9997675,47.9997675,1.4803e-16
2.33,0,0,0,47.999767,47.999767,2.96059e-16
2.335,0,0,0,47.9997665,47.9997665,1.4803e-16
2.34,0,0,0,47.999766,47.999766,1.4803e-16
2.345,0,0,0,47.9997655,47.9997655,2.96059e-16
2.35,0,0,0,47.999765,47.999765,2.96059e-16
2.355,0,0,0,47.9997645,47.9997645,1.4803e-16
2.36,0,0,0,47.999764,47.999764,2.96059e-16
2.365,0,0,0,47.9997635,47.9997635,1.4803e-16
2.37,0,0,0,47.999763,47.999763,2.96059e-16
2.375,0,0,0,47.9997625,47.9997625,1.4803e-16
2.38,0,0,0,47.999762,47.999762,1.4803e-16
2.385,0,0,0,47.9997615,47.9997615,4.44089e-16
2.39,0,0,0,47.999761,47.999761,2.96059e-16
2.395,0,0,0,47.9997605,47.9997605,0
2.4,0,0,0,47.99976,47.99976,0
2.405,0,0,0,47.9997595,47.9997595,1.4803e-16
2.41,0,0,0,47.999759,47.999759,1.4803e-16
2.415,0,0,0,47.9997585,47.9997585,1.4803e-16
2.42,0,0,0,47.999758,47.999758,1.4803e-16
2.425,0,0,0,47.9997575,47.9997575,1.4803e-16
2.43,0,0,0,47.999757,47.999757,0
2.435,0,0,0,47.9997565,47.9997565,1.4803e-16
2.44,0,0,0,47.999756,47.999756,2.96059e-16
2.445,0,0,0,47.9997555,47.9997555,2.96059e-16
2.45,0,0,0,47.999755,47.999755,1.4803e-16
2.455,0,0,0,47.9997545,47.9997545,1.4803e-16
2.46,0,0,0,47.999754,47.999754,2.96059e-16
