time,energy.y,superCap.capacitor.v
137.1,-133198.8153,41.98793077
137.11,-133198.8153,41.9879299
137.12,-133198.8153,41.98792902
137.13,-133198.8153,41.98792815
137.14,-133198.8153,41.98792727
137.15,-133198.8153,41.9879264
137.16,-133198.8153,41.98792552
137.17,-133198.8153,41.98792465
137.18,-133198.8153,41.98792377
137.19,-133198.8153,41.9879229
137.2,-133198.8153,41.98792202
137.21,-133198.8153,41.98792115
137.22,-133198.8153,41.98792028
137.23,-133198.8153,41.9879194
137.24,-133198.8153,41.98791853
137.25,-133198.8153,41.98791765
137.26,-133198.8153,41.98791678
137.27,-133198.8153,41.9879159
137.28,-133198.8153,41.98791503
137.29,-133198.8153,41.98791415
137.3,-133198.8153,41.98791328
137.31,-133198.8153,41.9879124
137.32,-133198.8153,41.98791153
137.33,-133198.8153,41.98791065
137.34,-133198.8153,41.98790978
137.35,-133198.8153,41.9879089
137.36,-133198.8153,41.98790803
137.37,-133198.8153,41.98790715
137.38,-133198.8153,41.98790628
137.39,-133198.8153,41.9879054
137.4,-133198.8153,41.98790453
137.41,-133198.8153,41.98790366
137.42,-133198.8153,41.98790278
137.43,-133198.8153,41.98790191
137.44,-133198.8153,41.98790103
137.45,-133198.8153,41.98790016
137.46,-133198.8153,41.98789928
137.47,-133198.8153,41.98789841
137.48,-133198.8153,41.98789753
137.49,-133198.8153,41.98789666
137.5,-133198.8153,41.98789578
137.51,-133198.8153,41.98789491
137.52,-133198.8153,41.98789403
137.53,-133198.8153,41.98789316
137.54,-133198.8153,41.98789228
137.55,-133198.8153,41.98789141
137.56,-133198.8153,41.98789053
137.57,-133198.8153,41.98788966
137.58,-133198.8153,41.98788878
137.59,-133198.8153,41.98788791
137.6,-133198.8153,41.98788703
137.61,-133198.8153,41.98788616
137.62,-133198.8153,41.98788529
137.63,-133198.8153,41.98788441
137.64,-133198.8153,41.98788354
137.65,-133198.8153,41.98788266
137.66,-133198.8153,41.98788179
137.67,-133198.8153,41.98788091
137.68,-133198.8153,41.98788004
137.69,-133198.8153,41.98787916
137.7,-133198.8153,41.98787829
137.71,-133198.8153,41.98787741
137.72,-133198.8153,41.98787654
137.73,-133198.8153,41.98787566
137.74,-133198.8153,41.98787479
137.75,-133198.8153,41.98787391
137.76,-133198.8153,41.98787304
137.77,-133198.8153,41.98787216
137.78,-133198.8153,41.98787129
137.79,-133198.8153,41.98787041
137.8,-133198.8153,41.98786954
137.81,-133198.8153,41.98786867
137.82,-133198.8153,41.98786779
137.83,-133198.8153,41.98786692
137.84,-133198.8153,41.98786604
137.85,-133198.8153,41.98786517
137.86,-133198.8153,41.98786429
137.87,-133198.8153,41.98786342
137.88,-133198.8153,41.98786254
137.89,-133198.8153,41.98786167
137.9,-133198.8153,41.98786079
137.91,-133198.8153,41.98785992
137.92,-133198.8153,41.98785904
137.93,-133198.8153,41.98785817
137.94,-133198.8153,41.98785729
137.95,-133198.8153,41.98785642
137.96,-133198.8153,41.98785554
137.97,-133198.8153,41.98785467
137.98,-133198.8153,41.98785379
137.99,-133198.8153,41.98785292
138,-133198.8153,41.98785205
138.01,-133198.8153,41.98785117
138.02,-133198.8153,41.9878503
138.03,-133198.8153,41.98784942
138.04,-133198.8153,41.98784855
138.05,-133198.8153,41.98784767
138.06,-133198.8153,41.9878468
138.07,-133198.8153,41.98784592
138.08,-133198.8153,41.98784505
138.09,-133198.8153,41.98784417
138.1,-133198.8153,41.9878433
138.11,-133198.8153,41.98784242
138.12,-133198.8153,41.98784155
138.13,-133198.8153,41.98784067
138.14,-133198.8153,41.9878398
138.15,-133198.8153,41.98783892
138.16,-133198.8153,41.98783805
138.17,-133198.8153,41.98783717
138.18,-133198.8153,41.9878363
138.19,-133198.8153,41.98783542
138.2,-133198.8153,41.98783455
138.21,-133198.8153,41.98783368
138.22,-133198.8153,41.9878328
138.23,-133198.8153,41.98783193
138.24,-133198.8153,41.98783105
138.25,-133198.8153,41.98783018
138.26,-133198.8153,41.9878293
138.27,-133198.8153,41.98782843
138.28,-133198.8153,41.98782755
138.29,-133198.8153,41.98782668
138.3,-133198.8153,41.9878258
138.31,-133198.8153,41.98782493
138.32,-133198.8153,41.98782405
138.33,-133198.8153,41.98782318
138.34,-133198.8153,41.9878223
138.35,-133198.8153,41.98782143
138.36,-133198.8153,41.98782055
138.37,-133198.8153,41.98781968
138.38,-133198.8153,41.9878188
138.39,-133198.8153,41.98781793
138.4,-133198.8153,41.98781706
138.41,-133198.8153,41.98781618
138.42,-133198.8153,41.98781531
138.43,-133198.8153,41.98781443
138.44,-133198.8153,41.98781356
