time,currentSensor1.i_ref,currentSensor1.i_sim,currentSensor1.i_relerr,currentSensor2.i_ref,currentSensor2.i_sim,currentSensor2.i_relerr,integrator1.y_ref,integrator1.y_sim,integrator1.y_relerr,der1.y_ref,der1.y_sim,der1.y_relerr,integrator2.y_ref,integrator2.y_sim,integrator2.y_relerr,der2.y_ref,der2.y_sim,der2.y_relerr
8.5000001e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6999999e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7999997e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8999996e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0000003e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1000002e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2999999e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3999997e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4999996e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6000003e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.7000002e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.8999999e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9999997e-06,0,10.07610347,0.000100761,0,0,0,0,1.715254283e-07,3.99062e-09,0,110985347.4,0.00432735,0,-2.754776e-24,6.42762e-26,0,0,0
9.9999997e-06,0,10.07610347,0.000100761,0,0,0,0,1.715254283e-07,3.99062e-09,2.5647397e+10,110985347.4,0.995673,0,-2.754776e-24,6.42762e-26,0,0,0
1.01e-05,2533.1716,74.74998847,0.0245842,1.2854424e-05,9.870227746e-17,1.28544e-10,0.00012697247,3.991348226e-06,2.86121e-06,2.5018616e+10,557973445.1,0.953728,4.6536006e-13,6.279680353e-23,1.08581e-14,642.69391,4.93508413e-09,4.58625e-08
1.02e-05,5004.2324,165.397292,0.0483884,0.00041125418,3.158377701e-15,4.11254e-09,0.00050384126,1.576752465e-05,1.13553e-05,2.4405117e+10,982123785.3,0.91327,1.9356097e-11,-1.057413406e-22,4.51629e-13,10280.481,7.895849078e-08,7.33613e-07
1.03e-05,7414.6924,252.8762416,0.0716182,0.003122298,2.398320794e-14,3.1223e-08,0.0011248394,3.688349672e-05,2.53118e-05,2.3806532e+10,1096599908,0.885467,1.9673978e-10,8.809138431e-22,4.59046e-12,52031.668,3.997129051e-07,3.71297e-06
