time,L2.i,L1.i,C5.v,R2.i,C4.v,C2.v,R1.i,C2.i,C3.v,C1.v
41.16752408,0.5096975947,0.4936162053,0.5026800465,0.5026800465,-0.00252568114,0.002524452506,0.4973211821,0.001806990859,0.5001543654,0.5026788179
42.26045398,0.5028734447,0.4981081543,0.5029507747,0.5029507747,-0.007104329682,0.007102679807,0.4970508752,0.0002564066189,0.495846445,0.5029491248
43.42086706,0.4943167076,0.5037411123,0.5004192855,0.5004192855,-0.004384249508,0.004383599114,0.4995813649,-0.001316441353,0.4960350359,0.5004186351
44.58128014,0.4927684638,0.5047605723,0.4979265585,0.4979265585,0.002104471761,-0.002103798648,0.5020727684,-0.001337774477,0.5000310303,0.4979272316
45.74169323,0.4984968184,0.5009896927,0.4978802289,0.4978802289,0.005414581358,-0.00541350051,0.5021186903,-5.95570765e-05,0.5032948102,0.4978813097
46.99648538,0.5049721303,0.4967268591,0.5000815453,0.5000815453,0.00251426734,-0.002513948445,0.4999181358,0.001093730272,0.5025958127,0.5000818642
48.25127753,0.5047314369,0.4968851599,0.5017775862,0.5017775862,-0.002617661063,0.002617052492,0.4982230224,0.0008208105411,0.4991599251,0.5017769776
49.50606969,0.4993072944,0.5004559103,0.5011893076,0.5011893076,-0.003888923654,0.003888255234,0.4988113608,-0.0003077449429,0.497300384,0.5011886392
50.73184334,0.4956942721,0.5028345137,0.4994348675,0.4994348675,-0.0007198649769,0.0007198669859,0.5005651305,-0.0008831592332,0.4987150025,0.4994348695
51.95761698,0.4973242938,0.5017615458,0.4986049806,0.4986049806,0.002629059632,-0.002628522449,0.5013944822,-0.0004137495522,0.5012340402,0.4986055178
53.18339063,0.5014969309,0.4990146246,0.4994108869,0.4994108869,0.002565581496,-0.00256518554,0.5005887171,0.0004086954936,0.5019764684,0.4994112829
54.45297675,0.503294636,0.497831071,0.5007276487,0.5007276487,-0.0003192604974,0.0003191010415,0.4992725108,0.0006375714054,0.5004083882,0.5007274892
55.72256288,0.5010371382,0.4993171573,0.5009734982,0.5009734982,-0.002294533248,0.002294105608,0.4990269294,0.0001043750187,0.498678965,0.5009730706
57.06006441,0.4979423525,0.5013545463,0.5000174112,0.5000174112,-0.001191292608,0.001191154962,0.4999827264,-0.0004592505234,0.4988261186,0.5000172736
58.39756594,0.4979914103,0.5013223291,0.4992308862,0.4992308862,0.001153959831,-0.001153695649,0.5007688496,-0.0003465791355,0.500384846,0.4992311504
59.73506747,0.5004962524,0.4996733629,0.4995455353,0.4995455353,0.001614347542,-0.001614086323,0.5004542035,0.0001690234789,0.5011598829,0.4995457965
60,0.5009636791,0.4993656405,0.4997056466,0.4997056466,0.001401425754,-0.001401216536,0.5002941441,0.0002521192759,0.5011070724,0.4997058559
