time,basicTransformer.i1,basicTransformer.i2,inductor21.iˍt,idealTransformer.p2.i,basicTransformer.i1ˍt,inductor22.i
1.967511542,1.172126346,-0.06845402975,5.16718217,-0.09106225513,5.383639397,0.09106225513
1.971259037,1.193808587,-0.1095064052,5.794273283,-0.1323309991,6.139486421,0.1323309991
1.975294312,1.219653577,-0.1575423325,6.111368165,-0.1806324821,6.607190576,0.1806324821
1.979946812,1.250730435,-0.2139275526,5.991924023,-0.2373475521,6.664474911,0.2373475521
1.98471816,1.28159484,-0.268072731,5.341752672,-0.2918334761,6.183947074,0.2918334761
1.989489509,1.308939583,-0.3136992586,4.215072759,-0.3377776183,5.200151542,0.3377776183
1.994260857,1.330556139,-0.346732496,2.71238933,-0.3710815537,3.800833139,0.3710815537
1.998487339,1.34354126,-0.3630731131,1.174429946,-0.3876068922,2.313910673,0.3876068922
2.002107061,1.349442873,-0.3664612545,-0.2124989792,-0.3911041543,0.9374363555,0.3911041543
2.005726784,1.350303326,-0.3598541774,-1.588509464,-0.3845569729,-0.4594489886,0.3845569729
2.009346507,1.346179231,-0.3435901074,-2.882708566,-0.3683024781,-1.804783652,0.3683024781
2.012968064,1.337378373,-0.3184899541,-4.028970872,-0.3431630438,-3.029861133,0.3431630438
2.016688248,1.324053672,-0.2848724561,-4.989687927,-0.309458544,-4.096069403,0.309458544
2.020528383,1.306625334,-0.2437689649,-5.696264423,-0.268222934,-4.931572114,0.268222934
2.024599868,1.285321389,-0.1957169349,-6.084387988,-0.2199949915,-5.470364538,0.2199949915
2.029161224,1.259862544,-0.1402155569,-6.048600232,-0.1642701418,-5.608545512,0.1642701418
2.034315988,1.231832713,-0.08085463121,-5.416044662,-0.1046501142,-5.161985387,0.1046501142
2.038508265,1.211749194,-0.03931413102,-4.481375802,-0.06291547471,-4.357416752,0.06291547471
2.042705399,1.195755052,-0.006895677127,-3.235951438,-0.03033540838,-3.213461771,0.03033540838
2.046902533,1.185138085,0.01410987133,-1.766782801,-0.009215276528,-1.809961324,0.009215276528
2.050597213,1.180960202,0.02198303898,-0.3688221548,-0.001289005906,-0.4365131316,0.001289005906
2.053861237,1.181586745,0.02028659025,0.8851271729,-0.002980034721,0.8229032044,0.002980034721
2.05712526,1.186319125,0.01053768416,2.101991314,-0.01276426006,2.070470934,0.01276426006
2.060514988,1.195444633,-0.007667326812,3.271810562,-0.03104902882,3.297494369,0.03104902882
2.063942081,1.208697797,-0.03360787473,4.304034634,-0.0571128201,4.411153732,0.0571128201
2.067523999,1.226305369,-0.06751584421,5.169762885,-0.0911910252,5.383271796,0.0911910252
2.071273049,1.247994006,-0.1086018818,5.796034126,-0.1324933954,6.138404369,0.1324933954
2.075309532,1.273840008,-0.156661537,6.111829381,-0.1808185178,6.60488312,0.1808185178
2.079966425,1.304931407,-0.2130956717,5.990321636,-0.2375825595,6.660256934,0.2375825595
2.084731764,1.335733269,-0.267151917,5.339179622,-0.2919787734,6.178479554,0.2919787734
2.089497103,1.363017441,-0.3126979389,4.212948576,-0.3378416193,5.194880596,0.3378416193
2.094262441,1.384584595,-0.345676476,2.711842503,-0.3710901461,3.796968279,0.3710901461
