time,spring.w_rel_ref,spring.w_rel_sim,spring.w_rel_relerr
2.4032,3.234804732e-08,-1.683808648e-10,7.24314e-06
2.404,3.204305116e-08,-1.638553737e-10,7.1742e-06
2.4048,3.16842642e-08,-1.590284571e-10,7.0932e-06
2.4056,3.127051215e-08,-1.539179895e-10,6.9999e-06
2.4064,3.08006207e-08,-1.485419565e-10,6.89403e-06
2.4072,3.027341557e-08,-1.429176777e-10,6.77534e-06
2.408,2.968772245e-08,-1.370620284e-10,6.64357e-06
2.4088,2.904236706e-08,-1.30991995e-10,6.49846e-06
2.4096,2.83361751e-08,-1.247236758e-10,6.33976e-06
2.4104,2.756797227e-08,-1.182739462e-10,6.1672e-06
2.4112,2.673658429e-08,-1.116582382e-10,5.98054e-06
2.412,2.584083684e-08,-1.04892206e-10,5.7795e-06
2.4128,2.487955564e-08,-9.799139278e-11,5.56383e-06
2.4136,2.385156639e-08,-9.097045339e-11,5.33328e-06
2.4144,2.27556948e-08,-8.384437589e-11,5.08758e-06
2.4152,2.159076658e-08,-7.66278152e-11,4.82648e-06
2.416,2.035560742e-08,-6.933442709e-11,4.54972e-06
2.4168,1.904904303e-08,-6.197853342e-11,4.25704e-06
2.4176,1.766989912e-08,-5.45731238e-11,3.94819e-06
2.4184,1.621700139e-08,-4.713185398e-11,3.62289e-06
2.4192,1.468917554e-08,-3.966771356e-11,3.2809e-06
2.42,1.308524729e-08,-3.219302602e-11,2.92195e-06
2.4208,1.140404233e-08,-2.472055893e-11,2.5458e-06
2.4216,1.025221003e-08,-1.726208065e-11,2.28756e-06
2.4224,9.615707342e-09,-9.829581593e-12,2.14412e-06
2.4232,8.981529892e-09,-2.434275004e-12,2.00121e-06
2.424,8.350419096e-09,4.912403817e-12,1.85899e-06
2.4248,7.72311637e-09,1.219957468e-11,1.71763e-06
2.4256,7.100363126e-09,1.94168015e-11,1.5773e-06
2.4264,6.482900778e-09,2.655364817e-11,1.43817e-06
2.4272,5.871470741e-09,3.360012268e-11,1.30041e-06
2.428,5.266814427e-09,4.05465661e-11,1.16417e-06
2.4288,4.66967325e-09,4.738365256e-11,1.02963e-06
2.4296,4.080788625e-09,5.410216719e-11,8.96958e-07
2.4304,3.500901965e-09,6.06931172e-11,7.66318e-07
2.4312,2.930754684e-09,6.714817591e-11,6.37878e-07
2.432,2.371088196e-09,7.345912767e-11,5.11805e-07
2.4328,1.822643913e-09,7.961786785e-11,3.88265e-07
2.4336,1.286163251e-09,8.561695797e-11,2.67426e-07
2.4344,7.623876226e-10,9.144884849e-11,1.49454e-07
2.4352,2.520584418e-10,9.710665605e-11,3.4516e-08
2.436,-2.440828777e-10,1.025834973e-10,7.72211e-08
2.4368,-7.252949221e-10,1.078730438e-10,1.85591e-07
2.4376,-1.190836278e-09,1.129689675e-10,2.90427e-07
2.4384,-1.639965531e-09,1.178653841e-10,3.91563e-07
2.4392,-2.071941267e-09,1.225569646e-10,4.88832e-07
2.44,-2.486022074e-09,1.270380467e-10,5.82068e-07
2.4408,-2.881466536e-09,1.313040787e-10,6.71105e-07
2.4416,-3.257533241e-09,1.353500645e-10,7.55776e-07
2.4424,-3.613480775e-09,1.391716742e-10,8.35916e-07
2.4432,-3.948567723e-09,1.42764911e-10,9.11358e-07
2.444,-4.262052673e-09,1.461256671e-10,9.81936e-07
2.4448,-4.55319421e-09,1.492508339e-10,1.04749e-06
2.4456,-4.82125092e-09,1.521369697e-10,1.10784e-06
2.4464,-5.06548139e-09,1.547810768e-10,1.16283e-06
2.4472,-5.285144207e-09,1.571807129e-10,1.2123e-06
2.448,-5.479497956e-09,1.593334353e-10,1.25607e-06
2.4488,-5.647801223e-09,1.612372458e-10,1.29398e-06
2.4496,-5.789312595e-09,1.628905899e-10,1.32587e-06
2.4504,-5.903290658e-09,1.642915803e-10,1.35157e-06
2.4512,-5.988993999e-09,1.654394399e-10,1.37092e-06
2.452,-6.045681203e-09,1.663332805e-10,1.38375e-06
2.4528,-6.072610856e-09,1.669723249e-10,1.38989e-06
2.4536,-6.069041546e-09,1.67356462e-10,1.38918e-06
2.4544,-6.034231858e-09,1.67485803e-10,1.38145e-06
2.4552,-6.168401599e-09,1.673604588e-10,1.41131e-06
2.456,-6.384418063e-09,1.669812066e-10,1.45935e-06
2.4568,-6.588637424e-09,1.663489346e-10,1.5047e-06
2.4576,-6.780815991e-09,1.65464642e-10,1.54731e-06
2.4584,-6.960710079e-09,1.643304381e-10,1.58713e-06
2.4592,-7.128075998e-09,1.629473223e-10,1.6241e-06
2.46,-7.28267006e-09,1.6131807e-10,1.65817e-06
2.4608,-7.424248579e-09,1.594446797e-10,1.68929e-06
2.4616,-7.552567865e-09,1.573300379e-10,1.71741e-06
2.4624,-7.66738423e-09,1.549769202e-10,1.74246e-06
2.4632,-7.768453987e-09,1.523886572e-10,1.76439e-06
2.464,-7.855533448e-09,1.495689128e-10,1.78316e-06
2.4648,-7.928378925e-09,1.465216837e-10,1.79871e-06
2.4656,-7.986746729e-09,1.432509666e-10,1.81098e-06
2.4664,-8.030393173e-09,1.397609806e-10,1.81993e-06
2.4672,-8.059074569e-09,1.360570545e-10,1.82549e-06
2.468,-8.072547228e-09,1.321436294e-10,1.82762e-06
2.4688,-8.070567463e-09,1.280265893e-10,1.82626e-06
2.4696,-8.052891586e-09,1.237111524e-10,1.82137e-06
2.4704,-8.019275909e-09,1.192035359e-10,1.81287e-06
2.4712,-7.969476744e-09,1.14509846e-10,1.80074e-06
2.472,-7.903250402e-09,1.096365221e-10,1.7849e-06
2.4728,-7.820353196e-09,1.045904474e-10,1.76531e-06
2.4736,-7.720541438e-09,9.937883849e-11,1.74191e-06
2.4744,-7.60357144e-09,9.400902279e-11,1.71466e-06
2.4752,-7.469199513e-09,8.848866084e-11,1.6835e-06
2.476,-7.317181971e-09,8.282596831e-11,1.64838e-06
2.4768,-7.147275124e-09,7.702893878e-11,1.60924e-06
2.4776,-6.959235285e-09,7.110634304e-11,1.56603e-06
2.4784,-6.752818766e-09,6.506695183e-11,1.51871e-06
2.4792,-6.527781879e-09,5.892009103e-11,1.46721e-06
2.48,-6.283880936e-09,5.267519754e-11,1.41149e-06
2.4808,-6.020872249e-09,4.634193029e-11,1.35149e-06
2.4816,-5.73851213e-09,3.993050335e-11,1.28717e-06
2.4824,-5.436556891e-09,3.345113075e-11,1.21846e-06
2.4832,-5.114762844e-09,2.691458167e-11,1.14533e-06
2.484,-4.7728863e-09,2.033173629e-11,1.06771e-06
2.4848,-4.410683573e-09,1.371402991e-11,9.85549e-07
2.4856,-4.027910974e-09,7.072786801e-12,8.98806e-07
2.4864,-3.624324814e-09,4.198863479e-13,8.07424e-07
2.4872,-3.199681407e-09,-6.232458993e-12,7.11351e-07
2.488,-2.753737064e-09,-1.287181473e-11,6.10537e-07
