time,damper.phi_rel,inertia3.w,inertia3.phi,damper.phi_relˍt,inertia2.wˍt,damper.w_rel
0.4057187154,-0.07883922994,-0.05677853006,0.07823704722,0.05196678497,1.030601881,0.05196678497
0.4188735247,-0.0783391487,-0.01731729364,0.07775142344,0.01711873406,4.181100224,0.01711873406
0.4310506903,-0.0784988176,0.02121967634,0.07776645653,-0.04755829952,6.249855806,-0.04755829952
0.4410106896,-0.07929841188,0.0662405523,0.07818622733,-0.11421703,6.98122638,-0.11421703
0.4527183532,-0.08111449361,0.1487283667,0.07941038287,-0.1955002184,6.719954795,-0.1955002184
0.4654194938,-0.08411033343,0.2711906396,0.08205278729,-0.2734968328,5.432016518,-0.2734968328
0.4782664872,-0.08802392015,0.3952655515,0.08636093011,-0.3318207903,3.59558294,-0.3318207903
0.4912630965,-0.09258284006,0.4691955699,0.09205940156,-0.3652354805,1.518141967,-0.3652354805
0.5042982207,-0.09740965056,0.4592511531,0.09820484962,-0.3703853666,-0.7678435818,-0.3703853666
0.5173333448,-0.1021027779,0.3768478591,0.103712133,-0.3442571277,-3.262645971,-0.3442571277
0.5319773655,-0.1066950949,0.2531477058,0.1083260439,-0.2764462588,-5.90413677,-0.2764462588
0.5466213862,-0.1100411329,0.1494595041,0.11123352,-0.1767498643,-7.440070622,-0.1767498643
0.5619442574,-0.1118719437,0.06828330097,0.1128839427,-0.06343524616,-6.963027923,-0.06343524616
0.574710488,-0.1121604578,-0.0006373554293,0.1133267395,0.01395460065,-4.962376244,0.01395460065
0.5878842694,-0.1116266019,-0.07996919246,0.1127966942,0.06070979262,-2.070186447,0.06070979262
0.6010580508,-0.1107329408,-0.1409983147,0.111297373,0.06863108431,0.8044987617,0.06863108431
0.6142318321,-0.1099704684,-0.1412040451,0.1093522434,0.04203361439,3.122823773,0.04203361439
0.6274056135,-0.1097407434,-0.05955781288,0.1079437064,-0.0108651984,4.814055319,-0.0108651984
0.6410158452,-0.1103758136,0.08523273785,0.1080795931,-0.08519510444,6.01909072,-0.08519510444
0.6523401695,-0.1117404156,0.2090352588,0.1097630728,-0.1567859111,6.532382111,-0.1567859111
0.6659143014,-0.1144698643,0.3143042717,0.1133844957,-0.244645546,6.204992622,-0.244645546
0.6797138936,-0.1183928395,0.3595099668,0.1180968698,-0.3198676604,4.445411366,-0.3198676604
0.6935134857,-0.1231409842,0.3672408402,0.1231337832,-0.3612037545,1.379432847,-0.3612037545
0.7073130779,-0.1281442057,0.3660109721,0.1281969887,-0.3557580574,-2.150239986,-0.3557580574
0.7211126701,-0.1327487392,0.3522269131,0.1331826785,-0.3049483568,-5.023341431,-0.3049483568
0.7360154118,-0.1366617915,0.2871583134,0.1380350126,-0.2163391862,-6.577874234,-0.2163391862
0.7509181534,-0.1391433657,0.1495106358,0.1413691989,-0.1167370393,-6.57228676,-0.1167370393
0.765820895,-0.1401835546,-0.02051099912,0.1423225775,-0.02537816193,-5.563658529,-0.02537816193
0.7807236367,-0.1400002752,-0.1423114033,0.1410027314,0.04577708355,-3.870163807,0.04577708355
0.7956263783,-0.1389722274,-0.1637295184,0.1385928827,0.08602181726,-1.385847792,0.08602181726
0.81052912,-0.1376510621,-0.1026914461,0.1365398263,0.08321390144,1.849838345,0.08321390144
0.8254318616,-0.1367412804,-0.01745541644,0.1356473611,0.03078753132,5.086014868,0.03078753132
0.8403346032,-0.1369377798,0.05799109878,0.1359611769,-0.06216527614,7.086461958,-0.06216527614
0.8552373449,-0.1386688316,0.1390091975,0.1374016629,-0.1699805303,7.023162729,-0.1699805303
0.8701400865,-0.1419247528,0.2499123359,0.1402616426,-0.262193356,5.115766684,-0.262193356
0.8864389158,-0.1467474251,0.3794189039,0.1454276739,-0.32127963,2.076329367,-0.32127963
0.902737745,-0.1521239875,0.434521272,0.152219563,-0.3303459595,-0.9114986791,-0.3303459595
0.9190365743,-0.1572653756,0.3610229345,0.1588725564,-0.2932520612,-3.597003812,-0.2932520612
0.9353354035,-0.1614581262,0.2026463325,0.1635159266,-0.2148634935,-5.928724863,-0.2148634935
0.9516342328,-0.1640988244,0.05542701902,0.1655496804,-0.1056591698,-7.201355487,-0.1056591698
0.9653179677,-0.1648734921,-0.02198528099,0.1657316355,-0.008748675656,-6.67906373,-0.008748675656
0.9790017027,-0.1644239651,-0.07137579259,0.1650771802,0.06946921608,-4.504969635,0.06946921608
0.9926854377,-0.1631478765,-0.1161902017,0.1637941433,0.1096184547,-1.26823479,0.1096184547
1,-0.1623284068,-0.1381870637,0.1628613119,0.1122421593,0.5376227125,0.1122421593
