time,mass2.T,mass1.T
0.199,284.8024869,361.4975131
0.2,284.8535827,361.4464173
0.201,284.9046105,361.3953895
0.202,284.9555703,361.3444297
0.203,285.0064621,361.2935379
0.204,285.0572862,361.2427138
0.205,285.1080425,361.1919575
0.206,285.1587313,361.1412687
0.207,285.2093524,361.0906476
0.208,285.2599061,361.0400939
0.209,285.3103925,360.9896075
0.21,285.3608116,360.9391884
0.211,285.4111635,360.8888365
0.212,285.4614484,360.8385516
0.213,285.5116662,360.7883338
0.214,285.5618171,360.7381829
0.215,285.6119012,360.6880988
0.216,285.6619186,360.6380814
0.217,285.7118693,360.5881307
0.218,285.7617535,360.5382465
0.219,285.8115712,360.4884288
0.22,285.8613225,360.4386775
0.221,285.9110075,360.3889925
0.222,285.9606264,360.3393736
0.223,286.0101791,360.2898209
0.224,286.0596658,360.2403342
0.225,286.1090866,360.1909134
0.226,286.1584415,360.1415585
0.227,286.2077306,360.0922694
0.228,286.2569541,360.0430459
0.229,286.306112,359.993888
0.23,286.3552044,359.9447956
0.231,286.4042314,359.8957686
0.232,286.4531931,359.8468069
0.233,286.5020896,359.7979104
0.234,286.5509209,359.7490791
0.235,286.5996871,359.7003129
0.236,286.6483884,359.6516116
0.237,286.6970247,359.6029753
0.238,286.7455963,359.5544037
0.239,286.7941032,359.5058968
0.24,286.8425454,359.4574546
0.241,286.8909231,359.4090769
0.242,286.9392363,359.3607637
0.243,286.9874852,359.3125148
0.244,287.0356697,359.2643303
0.245,287.0837901,359.2162099
0.246,287.1318464,359.1681536
0.247,287.1798386,359.1201614
0.248,287.2277669,359.0722331
0.249,287.2756313,359.0243687
0.25,287.323432,358.976568
0.251,287.3711689,358.9288311
0.252,287.4188423,358.8811577
0.253,287.4664521,358.8335479
0.254,287.5139985,358.7860015
0.255,287.5614816,358.7385184
0.256,287.6089014,358.6910986
0.257,287.656258,358.643742
0.258,287.7035515,358.5964485
0.259,287.750782,358.549218
0.26,287.7979496,358.5020504
0.261,287.8450543,358.4549457
0.262,287.8920963,358.4079037
0.263,287.9390756,358.3609244
0.264,287.9859923,358.3140077
0.265,288.0328465,358.2671535
0.266,288.0796382,358.2203618
0.267,288.1263676,358.1736324
0.268,288.1730347,358.1269653
0.269,288.2196397,358.0803603
0.27,288.2661826,358.0338174
0.271,288.3126634,357.9873366
0.272,288.3590823,357.9409177
0.273,288.4054394,357.8945606
0.274,288.4517347,357.8482653
0.275,288.4979683,357.8020317
0.276,288.5441403,357.7558597
0.277,288.5902507,357.7097493
0.278,288.6362998,357.6637002
0.279,288.6822874,357.6177126
0.28,288.7282138,357.5717862
0.281,288.774079,357.525921
0.282,288.8198831,357.4801169
0.283,288.8656261,357.4343739
0.284,288.9113082,357.3886918
0.285,288.9569294,357.3430706
0.286,289.0024898,357.2975102
0.287,289.0479895,357.2520105
0.288,289.0934286,357.2065714
0.289,289.1388067,357.1611933
0.29,289.1841241,357.1158759
0.291,289.2293812,357.0706188
0.292,289.274578,357.025422
0.293,289.3197146,356.9802854
0.294,289.3647911,356.9352089
0.295,289.4098075,356.8901925
0.296,289.4547641,356.8452359
0.297,289.4996607,356.8003393
0.298,289.5444976,356.7555024
0.299,289.5892748,356.7107252
0.3,289.6339923,356.6660077
0.301,289.6786503,356.6213497
0.302,289.7232488,356.5767512
0.303,289.7677879,356.5322121
0.304,289.8122677,356.4877323
0.305,289.8566882,356.4433118
0.306,289.9010496,356.3989504
0.307,289.9453519,356.3546481
0.308,289.9895952,356.3104048
0.309,290.0337795,356.2662205
0.31,290.0779051,356.2220949
0.311,290.1219718,356.1780282
0.312,290.1659798,356.1340202
0.313,290.2099293,356.0900707
0.314,290.2538201,356.0461799
0.315,290.2976525,356.0023475
0.316,290.3414266,355.9585734
0.317,290.3851423,355.9148577
0.318,290.4287998,355.8712002
0.319,290.4723991,355.8276009
0.32,290.5159403,355.7840597
0.321,290.5594236,355.7405764
0.322,290.6028489,355.6971511
0.323,290.6462164,355.6537836
0.324,290.689526,355.610474
0.325,290.732778,355.567222
0.326,290.7759724,355.5240276
0.327,290.8191092,355.4808908
0.328,290.8621886,355.4378114
0.329,290.9052106,355.3947894
0.33,290.9481752,355.3518248
0.331,290.9910826,355.3089174
0.332,291.0339328,355.2660672
0.333,291.076726,355.223274
0.334,291.1194621,355.1805379
0.335,291.1621413,355.1378587
0.336,291.2047636,355.0952364
0.337,291.2473292,355.0526708
0.338,291.289838,355.010162
0.339,291.3322902,354.9677098
0.34,291.3746858,354.9253142
0.341,291.417025,354.882975
0.342,291.4593077,354.8406923
0.343,291.5015341,354.7984659
0.344,291.5437042,354.7562958
0.345,291.5858181,354.7141819
0.346,291.627876,354.672124
0.347,291.6698777,354.6301223
0.348,291.7118235,354.5881765
0.349,291.7537135,354.5462865
0.35,291.7955476,354.5044524
0.351,291.8373259,354.4626741
0.352,291.8790486,354.4209514
0.353,291.9207157,354.3792843
0.354,291.9623273,354.3376727
0.355,292.0038834,354.2961166
0.356,292.0453841,354.2546159
0.357,292.0868296,354.2131704
0.358,292.1282198,354.1717802
0.359,292.1695548,354.1304452
0.36,292.2108348,354.0891652
0.361,292.2520598,354.0479402
0.362,292.2932298,354.0067702
0.363,292.334345,353.965655
0.364,292.3754054,353.9245946
0.365,292.416411,353.883589
0.366,292.457362,353.842638
0.367,292.4982585,353.8017415
0.368,292.5391004,353.7608996
0.369,292.579888,353.720112
0.37,292.6206211,353.6793789
0.371,292.6613,353.6387
0.372,292.7019247,353.5980753
0.373,292.7424953,353.5575047
0.374,292.7830117,353.5169883
0.375,292.8234742,353.4765258
0.376,292.8638828,353.4361172
0.377,292.9042375,353.3957625
0.378,292.9445384,353.3554616
0.379,292.9847856,353.3152144
0.38,293.0249792,353.2750208
0.381,293.0651193,353.2348807
0.382,293.1052058,353.1947942
0.383,293.1452389,353.1547611
0.384,293.1852187,353.1147813
0.385,293.2251452,353.0748548
0.386,293.2650185,353.0349815
0.387,293.3048386,352.9951614
0.388,293.3446057,352.9553943
0.389,293.3843198,352.9156802
0.39,293.4239809,352.8760191
0.391,293.4635892,352.8364108
0.392,293.5031447,352.7968553
0.393,293.5426475,352.7573525
0.394,293.5820977,352.7179023
0.395,293.6214953,352.6785047
0.396,293.6608404,352.6391596
0.397,293.700133,352.599867
0.398,293.7393733,352.5606267
0.399,293.7785613,352.5214387
0.4,293.8176971,352.4823029
0.401,293.8567807,352.4432193
0.402,293.8958122,352.4041878
0.403,293.9347918,352.3652082
0.404,293.9737193,352.3262807
0.405,294.012595,352.287405
0.406,294.0514189,352.2485811
0.407,294.0901911,352.2098089
0.408,294.1289116,352.1710884
0.409,294.1675805,352.1324195
0.41,294.2061978,352.0938022
0.411,294.2447637,352.0552363
0.412,294.2832782,352.0167218
0.413,294.3217414,351.9782586
0.414,294.3601533,351.9398467
0.415,294.3985141,351.9014859
0.416,294.4368237,351.8631763
0.417,294.4750822,351.8249178
0.418,294.5132898,351.7867102
0.419,294.5514465,351.7485535
0.42,294.5895523,351.7104477
0.421,294.6276073,351.6723927
0.422,294.6656117,351.6343883
0.423,294.7035654,351.5964346
0.424,294.7414685,351.5585315
0.425,294.7793211,351.5206789
0.426,294.8171232,351.4828768
0.427,294.854875,351.445125
0.428,294.8925765,351.4074235
0.429,294.9302277,351.3697723
0.43,294.9678288,351.3321712
0.431,295.0053798,351.2946202
0.432,295.0428807,351.2571193
0.433,295.0803317,351.2196683
0.434,295.1177327,351.1822673
0.435,295.1550839,351.1449161
0.436,295.1923854,351.1076146
0.437,295.2296371,351.0703629
0.438,295.2668392,351.0331608
0.439,295.3039918,350.9960082
0.44,295.3410948,350.9589052
0.441,295.3781484,350.9218516
0.442,295.4151526,350.8848474
0.443,295.4521075,350.8478925
0.444,295.4890132,350.8109868
0.445,295.5258697,350.7741303
0.446,295.562677,350.737323
0.447,295.5994354,350.7005646
0.448,295.6361447,350.6638553
0.449,295.6728052,350.6271948
0.45,295.7094168,350.5905832
0.451,295.7459796,350.5540204
0.452,295.7824937,350.5175063
0.453,295.8189592,350.4810408
0.454,295.855376,350.444624
0.455,295.8917444,350.4082556
0.456,295.9280642,350.3719358
0.457,295.9643357,350.3356643
0.458,296.0005589,350.2994411
0.459,296.0367338,350.2632662
0.46,296.0728605,350.2271395
0.461,296.1089391,350.1910609
0.462,296.1449695,350.1550305
0.463,296.180952,350.119048
0.464,296.2168866,350.0831134
0.465,296.2527733,350.0472267
0.466,296.2886121,350.0113879
0.467,296.3244032,349.9755968
0.468,296.3601466,349.9398534
0.469,296.3958424,349.9041576
0.47,296.4314907,349.8685093
0.471,296.4670914,349.8329086
0.472,296.5026447,349.7973553
0.473,296.5381507,349.7618493
0.474,296.5736093,349.7263907
0.475,296.6090207,349.6909793
0.476,296.6443849,349.6556151
0.477,296.679702,349.620298
0.478,296.7149721,349.5850279
0.479,296.7501951,349.5498049
0.48,296.7853713,349.5146287
0.481,296.8205005,349.4794995
0.482,296.855583,349.444417
0.483,296.8906187,349.4093813
0.484,296.9256078,349.3743922
0.485,296.9605502,349.3394498
0.486,296.9954461,349.3045539
0.487,297.0302955,349.2697045
0.488,297.0650984,349.2349016
0.489,297.099855,349.200145
0.49,297.1345653,349.1654347
0.491,297.1692294,349.1307706
0.492,297.2038472,349.0961528
0.493,297.238419,349.061581
0.494,297.2729447,349.0270553
0.495,297.3074244,348.9925756
0.496,297.3418581,348.9581419
0.497,297.376246,348.923754
0.498,297.4105881,348.8894119
0.499,297.4448844,348.8551156
0.5,297.479135,348.820865
0.501,297.51334,348.78666
0.502,297.5474994,348.7525006
0.503,297.5816133,348.7183867
0.504,297.6156818,348.6843182
0.505,297.6497049,348.6502951
0.506,297.6836826,348.6163174
0.507,297.7176151,348.5823849
0.508,297.7515024,348.5484976
0.509,297.7853445,348.5146555
0.51,297.8191416,348.4808584
0.511,297.8528936,348.4471064
0.512,297.8866007,348.4133993
0.513,297.9202628,348.3797372
0.514,297.9538801,348.3461199
0.515,297.9874527,348.3125473
0.516,298.0209804,348.2790196
0.517,298.0544636,348.2455364
0.518,298.0879021,348.2120979
0.519,298.1212961,348.1787039
0.52,298.1546455,348.1453545
0.521,298.1879506,348.1120494
0.522,298.2212113,348.0787887
0.523,298.2544276,348.0455724
0.524,298.2875997,348.0124003
0.525,298.3207276,347.9792724
0.526,298.3538114,347.9461886
0.527,298.3868511,347.9131489
0.528,298.4198468,347.8801532
0.529,298.4527985,347.8472015
0.53,298.4857063,347.8142937
0.531,298.5185703,347.7814297
0.532,298.5513905,347.7486095
0.533,298.584167,347.715833
0.534,298.6168998,347.6831002
0.535,298.6495889,347.6504111
0.536,298.6822346,347.6177654
0.537,298.7148367,347.5851633
0.538,298.7473954,347.5526046
0.539,298.7799107,347.5200893
0.54,298.8123827,347.4876173
0.541,298.8448114,347.4551886
0.542,298.8771969,347.4228031
0.543,298.9095393,347.3904607
0.544,298.9418386,347.3581614
0.545,298.9740948,347.3259052
0.546,299.0063081,347.2936919
0.547,299.0384784,347.2615216
0.548,299.0706058,347.2293942
0.549,299.1026905,347.1973095
0.55,299.1347324,347.1652676
0.551,299.1667316,347.1332684
0.552,299.1986881,347.1013119
0.553,299.2306021,347.0693979
0.554,299.2624736,347.0375264
0.555,299.2943026,347.0056974
0.556,299.3260891,346.9739109
0.557,299.3578333,346.9421667
0.558,299.3895352,346.9104648
0.559,299.4211949,346.8788051
0.56,299.4528123,346.8471877
0.561,299.4843876,346.8156124
0.562,299.5159209,346.7840791
0.563,299.5474121,346.7525879
0.564,299.5788613,346.7211387
0.565,299.6102687,346.6897313
0.566,299.6416341,346.6583659
0.567,299.6729578,346.6270422
0.568,299.7042397,346.5957603
0.569,299.7354792,346.5645208
0.57,299.7666768,346.5333232
0.571,299.7978328,346.5021672
0.572,299.8289473,346.4710527
0.573,299.8600205,346.4399795
0.574,299.8910523,346.4089477
0.575,299.9220428,346.3779572
0.576,299.952992,346.347008
0.577,299.9839001,346.3160999
0.578,300.014767,346.285233
0.579,300.0455928,346.2544072
0.58,300.0763776,346.2236224
0.581,300.1071214,346.1928786
0.582,300.1378243,346.1621757
0.583,300.1684863,346.1315137
0.584,300.1991075,346.1008925
0.585,300.229688,346.070312
0.586,300.2602277,346.0397723
0.587,300.2907268,346.0092732
0.588,300.3211852,345.9788148
0.589,300.3516032,345.9483968
0.59,300.3819806,345.9180194
0.591,300.4123176,345.8876824
0.592,300.4426141,345.8573859
0.593,300.4728704,345.8271296
0.594,300.5030863,345.7969137
0.595,300.533262,345.766738
0.596,300.5633976,345.7366024
0.597,300.593493,345.706507
0.598,300.6235483,345.6764517
0.599,300.6535636,345.6464364
0.6,300.683539,345.616461
0.601,300.7134744,345.5865256
0.602,300.74337,345.55663
0.603,300.7732257,345.5267743
0.604,300.8030417,345.4969583
0.605,300.832818,345.467182
0.606,300.8625546,345.4374454
0.607,300.8922516,345.4077484
0.608,300.921909,345.378091
0.609,300.951527,345.348473
0.61,300.9811055,345.3188945
0.611,301.0106446,345.2893554
0.612,301.0401444,345.2598556
0.613,301.0696049,345.2303951
0.614,301.0990261,345.2009739
0.615,301.1284081,345.1715919
0.616,301.157751,345.142249
0.617,301.1870548,345.1129452
0.618,301.2163196,345.0836804
0.619,301.2455454,345.0544546
0.62,301.2747323,345.0252677
0.621,301.3038803,344.9961197
0.622,301.3329894,344.9670106
0.623,301.3620598,344.9379402
0.624,301.3910914,344.9089086
0.625,301.4200844,344.8799156
0.626,301.4490387,344.8509613
0.627,301.4779545,344.8220455
0.628,301.5068317,344.7931683
0.629,301.5356705,344.7643295
0.63,301.5644708,344.7355292
0.631,301.5932328,344.7067672
0.632,301.6219564,344.6780436
0.633,301.6506418,344.6493582
0.634,301.679289,344.620711
0.635,301.707898,344.592102
0.636,301.7364688,344.5635312
0.637,301.7650016,344.5349984
0.638,301.7934964,344.5065036
0.639,301.8219532,344.4780468
0.64,301.8503721,344.4496279
0.641,301.8787532,344.4212468
0.642,301.9070964,344.3929036
0.643,301.9354018,344.3645982
0.644,301.9636695,344.3363305
0.645,301.9918996,344.3081004
0.646,302.020092,344.279908
0.647,302.0482469,344.2517531
0.648,302.0763643,344.2236357
0.649,302.1044441,344.1955559
0.65,302.1324866,344.1675134
0.651,302.1604917,344.1395083
0.652,302.1884595,344.1115405
0.653,302.21639,344.08361
0.654,302.2442832,344.0557168
0.655,302.2721394,344.0278606
0.656,302.2999583,344.0000417
0.657,302.3277403,343.9722597
0.658,302.3554851,343.9445149
0.659,302.3831931,343.9168069
0.66,302.4108641,343.8891359
0.661,302.4384982,343.8615018
0.662,302.4660954,343.8339046
0.663,302.4936559,343.8063441
0.664,302.5211797,343.7788203
0.665,302.5486668,343.7513332
0.666,302.5761173,343.7238827
0.667,302.6035311,343.6964689
0.668,302.6309085,343.6690915
0.669,302.6582493,343.6417507
0.67,302.6855537,343.6144463
0.671,302.7128218,343.5871782
0.672,302.7400534,343.5599466
0.673,302.7672488,343.5327512
0.674,302.794408,343.505592
0.675,302.8215309,343.4784691
0.676,302.8486177,343.4513823
0.677,302.8756684,343.4243316
0.678,302.902683,343.397317
0.679,302.9296617,343.3703383
0.68,302.9566043,343.3433957
0.681,302.9835111,343.3164889
0.682,303.010382,343.289618
0.683,303.0372171,343.2627829
0.684,303.0640164,343.2359836
0.685,303.09078,343.20922
0.686,303.117508,343.182492
0.687,303.1442003,343.1557997
0.688,303.170857,343.129143
0.689,303.1974782,343.1025218
0.69,303.224064,343.075936
0.691,303.2506143,343.0493857
0.692,303.2771292,343.0228708
0.693,303.3036087,342.9963913
0.694,303.330053,342.969947
0.695,303.356462,342.943538
0.696,303.3828359,342.9171641
0.697,303.4091745,342.8908255
0.698,303.4354781,342.8645219
0.699,303.4617466,342.8382534
0.7,303.4879801,342.8120199
0.701,303.5141787,342.7858213
0.702,303.5403423,342.7596577
0.703,303.566471,342.733529
0.704,303.592565,342.707435
0.705,303.6186241,342.6813759
0.706,303.6446485,342.6553515
0.707,303.6706383,342.6293617
0.708,303.6965933,342.6034067
0.709,303.7225138,342.5774862
0.71,303.7483998,342.5516002
0.711,303.7742512,342.5257488
0.712,303.8000682,342.4999318
0.713,303.8258508,342.4741492
0.714,303.851599,342.448401
0.715,303.877313,342.422687
0.716,303.9029926,342.3970074
0.717,303.928638,342.371362
0.718,303.9542492,342.3457508
0.719,303.9798263,342.3201737
0.72,304.0053693,342.2946307
0.721,304.0308783,342.2691217
0.722,304.0563533,342.2436467
0.723,304.0817943,342.2182057
0.724,304.1072014,342.1927986
0.725,304.1325746,342.1674254
0.726,304.1579141,342.1420859
0.727,304.1832197,342.1167803
0.728,304.2084917,342.0915083
0.729,304.2337299,342.0662701
0.73,304.2589346,342.0410654
0.731,304.2841056,342.0158944
0.732,304.3092431,341.9907569
0.733,304.3343471,341.9656529
0.734,304.3594176,341.9405824
0.735,304.3844547,341.9155453
0.736,304.4094585,341.8905415
0.737,304.4344289,341.8655711
0.738,304.459366,341.840634
0.739,304.48427,341.81573
0.74,304.5091407,341.7908593
0.741,304.5339783,341.7660217
0.742,304.5587828,341.7412172
0.743,304.5835542,341.7164458
0.744,304.6082926,341.6917074
0.745,304.6329981,341.6670019
0.746,304.6576706,341.6423294
0.747,304.6823103,341.6176897
0.748,304.7069171,341.5930829
0.749,304.7314911,341.5685089
0.75,304.7560324,341.5439676
0.751,304.780541,341.519459
0.752,304.8050169,341.4949831
0.753,304.8294602,341.4705398
0.754,304.8538709,341.4461291
0.755,304.8782491,341.4217509
0.756,304.9025949,341.3974051
0.757,304.9269081,341.3730919
0.758,304.951189,341.348811
0.759,304.9754375,341.3245625
0.76,304.9996538,341.3003462
0.761,305.0238377,341.2761623
0.762,305.0479894,341.2520106
0.763,305.072109,341.227891
0.764,305.0961964,341.2038036
0.765,305.1202517,341.1797483
0.766,305.1442749,341.1557251
0.767,305.1682662,341.1317338
0.768,305.1922255,341.1077745
0.769,305.2161528,341.0838472
0.77,305.2400483,341.0599517
0.771,305.2639119,341.0360881
0.772,305.2877438,341.0122562
0.773,305.3115438,340.9884562
0.774,305.3353122,340.9646878
0.775,305.3590489,340.9409511
0.776,305.382754,340.917246
0.777,305.4064275,340.8935725
0.778,305.4300695,340.8699305
0.779,305.4536799,340.8463201
0.78,305.4772589,340.8227411
0.781,305.5008065,340.7991935
0.782,305.5243227,340.7756773
0.783,305.5478076,340.7521924
0.784,305.5712612,340.7287388
0.785,305.5946835,340.7053165
0.786,305.6180747,340.6819253
0.787,305.6414346,340.6585654
0.788,305.6647635,340.6352365
0.789,305.6880613,340.6119387
0.79,305.711328,340.588672
0.791,305.7345637,340.5654363
0.792,305.7577685,340.5422315
0.793,305.7809424,340.5190576
0.794,305.8040854,340.4959146
0.795,305.8271975,340.4728025
0.796,305.8502789,340.4497211
0.797,305.8733295,340.4266705
0.798,305.8963494,340.4036506
0.799,305.9193387,340.3806613
0.8,305.9422973,340.3577027
0.801,305.9652253,340.3347747
0.802,305.9881228,340.3118772
0.803,306.0109898,340.2890102
0.804,306.0338264,340.2661736
0.805,306.0566325,340.2433675
0.806,306.0794082,340.2205918
0.807,306.1021536,340.1978464
0.808,306.1248687,340.1751313
0.809,306.1475535,340.1524465
0.81,306.1702081,340.1297919
0.811,306.1928325,340.1071675
0.812,306.2154268,340.0845732
0.813,306.237991,340.062009
0.814,306.2605251,340.0394749
0.815,306.2830292,340.0169708
0.816,306.3055034,339.9944966
0.817,306.3279476,339.9720524
0.818,306.3503619,339.9496381
0.819,306.3727463,339.9272537
0.82,306.3951009,339.9048991
0.821,306.4174258,339.8825742
0.822,306.4397209,339.8602791
0.823,306.4619863,339.8380137
0.824,306.4842221,339.8157779
0.825,306.5064282,339.7935718
0.826,306.5286048,339.7713952
0.827,306.5507518,339.7492482
0.828,306.5728693,339.7271307
0.829,306.5949573,339.7050427
0.83,306.617016,339.682984
0.831,306.6390452,339.6609548
0.832,306.6610451,339.6389549
0.833,306.6830157,339.6169843
0.834,306.704957,339.595043
0.835,306.7268691,339.5731309
0.836,306.7487521,339.5512479
0.837,306.7706058,339.5293942
0.838,306.7924305,339.5075695
0.839,306.8142261,339.4857739
0.84,306.8359926,339.4640074
0.841,306.8577302,339.4422698
0.842,306.8794388,339.4205612
0.843,306.9011185,339.3988815
0.844,306.9227693,339.3772307
0.845,306.9443912,339.3556088
0.846,306.9659844,339.3340156
0.847,306.9875488,339.3124512
0.848,307.0090845,339.2909155
0.849,307.0305915,339.2694085
0.85,307.0520698,339.2479302
0.851,307.0735196,339.2264804
0.852,307.0949407,339.2050593
0.853,307.1163333,339.1836667
0.854,307.1376975,339.1623025
0.855,307.1590331,339.1409669
0.856,307.1803404,339.1196596
0.857,307.2016193,339.0983807
0.858,307.2228698,339.0771302
0.859,307.244092,339.055908
0.86,307.2652859,339.0347141
0.861,307.2864516,339.0135484
0.862,307.3075892,338.9924108
0.863,307.3286985,338.9713015
0.864,307.3497797,338.9502203
0.865,307.3708329,338.9291671
0.866,307.391858,338.908142
0.867,307.4128551,338.8871449
0.868,307.4338242,338.8661758
0.869,307.4547654,338.8452346
0.87,307.4756787,338.8243213
0.871,307.4965641,338.8034359
0.872,307.5174217,338.7825783
0.873,307.5382516,338.7617484
0.874,307.5590536,338.7409464
0.875,307.579828,338.720172
0.876,307.6005747,338.6994253
0.877,307.6212937,338.6787063
0.878,307.6419851,338.6580149
0.879,307.662649,338.637351
0.88,307.6832853,338.6167147
0.881,307.7038942,338.5961058
0.882,307.7244755,338.5755245
0.883,307.7450295,338.5549705
0.884,307.7655561,338.5344439
