time,dcpm.inertiaRotor.w,dcpm.flange.tau,dcpm.friction.phi,dcpm.airGapDC.ia,dcpm.la.i,loadInertia.w,loadInertia.phi
1.313458398,157.0946427,-0.1107599252,106.2547302,0.3479625675,0.3479625675,157.0946427,106.2547302
1.325835507,157.1010642,-0.04745765199,108.1991528,0.1490926108,0.1490926108,157.1010642,108.1991528
1.33915804,157.1029119,0.002684341619,110.2921541,-0.008433107911,-0.008433107911,157.1029119,110.2921541
1.352480572,157.1011319,0.03450406889,112.385154,-0.1083977293,-0.1083977293,157.1011319,112.385154
1.365803105,157.0972518,0.05051870382,114.4781147,-0.1587091888,-0.1587091888,157.0972518,114.4781147
1.37931818,157.0924491,0.05434140332,116.6012638,-0.1707185534,-0.1707185534,157.0924491,116.6012638
1.393288253,157.0875636,0.04941897386,118.7958222,-0.1552542852,-0.1552542852,157.0875636,118.7958222
1.40812647,157.0831721,0.03878131152,121.1266876,-0.1218350834,-0.1218350834,157.0831721,121.1266876
1.424793021,157.0796379,0.02480816587,123.7446907,-0.07793715166,-0.07793715166,157.0796379,123.7446907
1.445427957,157.0773231,0.009532138125,126.9859914,-0.02994609511,-0.02994609511,157.0773231,126.9859914
1.461381795,157.0767857,0.001127507546,129.4919721,-0.003542169424,-0.003542169424,157.0767857,129.4919721
1.479454058,157.0770264,-0.004462580377,132.3307062,0.01401960973,0.01401960973,157.0770264,132.3307062
1.497526321,157.0777202,-0.006560857212,135.1694495,0.02061154082,0.02061154082,157.0777202,135.1694495
1.49851596,157.0777636,-0.006596612559,135.3248998,0.02072386955,0.02072386955,157.0777636,135.3248998
1.499051132,157.0777871,-0.006613067748,135.4089633,0.02077556505,0.02077556505,157.0777871,135.4089633
1.499796508,157.0778201,-0.006632691069,135.5260454,0.02083721353,0.02083721353,157.0778201,135.5260454
1.499931196,157.077826,-0.00663583347,135.5472019,0.02084708568,0.02084708568,157.077826,135.5472019
1.499989646,157.0778286,-0.006637159095,135.5563831,0.02085125025,0.02085125025,157.0778286,135.5563831
1.500005033,157.0768695,-31.8366378,135.5588001,0.02085327572,0.02085327572,157.0768695,135.5588001
1.500013129,157.0751518,-31.83663997,135.5600717,0.02086009281,0.02086009281,157.0751518,135.5600717
1.500094089,157.0579757,-31.83676487,135.5727879,0.02125245605,0.02125245605,157.0579757,135.5727879
1.500805843,156.9069897,-31.84586641,135.6845207,0.04984580487,0.04984580487,156.9069897,135.6845207
1.502177505,156.6162899,-31.90296458,135.8995448,0.2292249936,0.2292249936,156.6162899,135.8995448
1.503889431,156.2545859,-32.04414768,136.1673503,0.6727647835,0.6727647835,156.2545859,136.1673503
1.506078934,155.7950517,-32.33086259,136.5089664,1.573506238,1.573506238,155.7950517,136.5089664
1.508762747,155.2387545,-32.83169158,136.9263428,3.146906911,3.146906911,155.2387545,136.9263428
1.512040149,154.5736625,-33.64278922,137.4340277,5.695045289,5.695045289,154.5736625,137.4340277
1.515966563,153.8033612,-34.86334581,138.0394252,9.529536899,9.529536899,153.8033612,138.0394252
1.520638748,152.9328004,-36.60450458,138.7559681,14.9995485,14.9995485,152.9328004,138.7559681
