time,currentToVoltageAdaptor2a.f,inductor1.i,capacitor2.v,capacitor1.v,inductor2.i
0.1203176726,-0.5071468363,-0.8629752612,-0.8629752612,-0.5071468363,-0.5071468363
0.1259856421,0.03429402576,-1.000693563,-1.000693563,0.03429402576,0.03429402576
0.1316536116,0.5652729023,-0.8260956092,-0.8260956092,0.5652729023,0.5652729023
0.1395385405,0.9837554014,-0.1817272583,-0.1817272583,0.9837554014,0.9837554014
0.1447496923,0.9435239062,0.3321087055,0.3321087055,0.9435239062,0.9435239062
0.1504591902,0.6144646414,0.7893535726,0.7893535726,0.6144646414,0.6144646414
0.1561686881,0.09059530949,0.9962780168,0.9962780168,0.09059530949,0.09059530949
0.1618781861,-0.461995141,0.8872763421,0.8872763421,-0.461995141,-0.461995141
0.168618915,-0.9145888178,0.4049230295,0.4049230295,-0.9145888178,-0.9145888178
0.1753596438,-0.9672059668,-0.2544556153,-0.2544556153,-0.9672059668,-0.9672059668
0.1821003727,-0.5968184952,-0.8024874933,-0.8024874933,-0.5968184952,-0.5968184952
0.1888411016,0.0345867333,-0.9994909242,-0.9994909242,0.0345867333,0.0345867333
0.1955818305,0.6508462432,-0.7593122421,-0.7593122421,0.6508462432,0.6508462432
0.2026461079,0.9879474283,-0.1551394161,-0.1551394161,0.9879474283,0.9879474283
0.2082110033,0.920806111,0.3901024346,0.3901024346,0.920806111,0.920806111
0.2138767821,0.5675244816,0.8233802154,0.8233802154,0.5675244816,0.5675244816
0.219542561,0.03689175029,0.9993353136,0.9993353136,0.03689175029,0.03689175029
0.2252083399,-0.5052644613,0.8629832808,0.8629832808,-0.5052644613,-0.5052644613
0.2324770426,-0.9510457669,0.3091137959,0.3091137959,-0.9510457669,-0.9510457669
0.2378878116,-0.9743991205,-0.2248829825,-0.2248829825,-0.9743991205,-0.9743991205
0.2434047324,-0.7119627872,-0.702225983,-0.702225983,-0.7119627872,-0.7119627872
0.2489216531,-0.2382733513,-0.9712003096,-0.9712003096,-0.2382733513,-0.2382733513
0.2544385739,0.3061150507,-0.9519964641,-0.9519964641,0.3061150507,0.3061150507
0.2599958656,0.7622899663,-0.6472415506,-0.6472415506,0.7622899663,0.7622899663
0.2661275399,0.9958874208,-0.09066836414,-0.09066836414,0.9958874208,0.9958874208
0.2722592142,0.8666425023,0.4989383775,0.4989383775,0.8666425023,0.8666425023
0.2783908885,0.4216444795,0.9067609352,0.9067609352,0.4216444795,0.4216444795
0.2845225629,-0.1769756471,0.9842130033,0.9842130033,-0.1769756471,-0.1769756471
0.2906542372,-0.7111160547,0.7030757716,0.7030757716,-0.7111160547,-0.7111160547
0.2976639784,-0.9969093961,0.07866359494,0.07866359494,-0.9969093961,-0.9969093961
0.3032564546,-0.8867675488,-0.4622261394,-0.4622261394,-0.8867675488,-0.8867675488
0.3090086034,-0.4926039446,-0.8702540657,-0.8702540657,-0.4926039446,-0.4926039446
0.3147607522,0.06010313929,-0.9981904359,-0.9981904359,0.06010313929,0.06010313929
0.320512901,0.5934653469,-0.8048594574,-0.8048594574,0.5934653469,0.5934653469
0.3281704775,0.9856491053,-0.1688775071,-0.1688775071,0.9856491053,0.9856491053
0.333461386,0.9361146944,0.3517160267,0.3517160267,0.9361146944,0.9361146944
0.3391659779,0.5979469653,0.8015384648,0.8015384648,0.5979469653,0.5979469653
0.3448705698,0.07041423666,0.9975170654,0.9975170654,0.07041423666,0.07041423666
0.3505751618,-0.4794170975,0.8775872797,0.8775872797,-0.4794170975,-0.4794170975
0.3575089793,-0.9296225739,0.3685313642,0.3685313642,-0.9296225739,-0.9296225739
0.363064991,-0.9841748446,-0.1772325738,-0.1772325738,-0.9841748446,-0.9841748446
0.3686210027,-0.7426547707,-0.6696780232,-0.6696780232,-0.7426547707,-0.7426547707
0.3741770144,-0.2777200402,-0.9606612498,-0.9606612498,-0.2777200402,-0.2777200402
0.3797330261,0.2707614569,-0.9626451843,-0.9626451843,0.2707614569,0.2707614569
0.3852890378,0.7377884198,-0.6750333178,-0.6750333178,0.7377884198,0.7377884198
0.391639575,0.9943966263,-0.1057607966,-0.1057607966,0.9943966263,0.9943966263
0.3979901122,0.863270342,0.5047499326,0.5047499326,0.863270342,0.863270342
0.4043406493,0.3955378219,0.9184487626,0.9184487626,0.3955378219,0.3955378219
0.4106911865,-0.2264229275,0.9740262356,0.9740262356,-0.2264229275,-0.2264229275
0.4170417236,-0.760096985,0.6498114909,0.6498114909,-0.760096985,-0.760096985
0.4239962056,-0.9999372911,0.01189312706,0.01189312706,-0.9999372911,-0.9999372911
0.4296980946,-0.8481638684,-0.5297420491,-0.5297420491,-0.8481638684,-0.8481638684
0.4355371815,-0.4155908719,-0.9095512481,-0.9095512481,-0.4155908719,-0.4155908719
0.4413762685,0.1546964382,-0.9879599799,-0.9879599799,0.1546964382,0.1546964382
0.4472153554,0.673721007,-0.7389862498,-0.7389862498,0.673721007,0.673721007
0.4541656985,0.9907011376,-0.1361115819,-0.1361115819,0.9907011376,0.9907011376
0.459603801,0.9182084123,0.3961098403,0.3961098403,0.9182084123,0.9182084123
0.4652137002,0.5667308111,0.8239040769,0.8239040769,0.5667308111,0.5667308111
0.4708235994,0.04152682189,0.9991358912,0.9991358912,0.04152682189,0.04152682189
0.4764334985,-0.4964062269,0.8680896816,0.8680896816,-0.4964062269,-0.4964062269
