time,dcpm1.flange.tau,dcpm2.friction.phi,dcpm2.inertiaRotor.w,dcpm2.brush.n.i,dcpm2.airGapDC.ia,dcpm1.friction.phi,dcpm1.inertiaRotor.w,dcpm2.flange.tau,dcpm1.airGapDC.ia,dcpm1.la.i,dcpm2.la.i,loadInertia1.w,loadInertia2.w,loadInertia2.phi,loadInertia1.phi
0.2328645102,-9.519647118,0.004635879365,0.5722766774,-24.51516115,24.4618076,0.006805313261,0.7773321725,-7.7868454,29.90414006,29.90414006,24.4618076,0.7773321725,0.5722766774,0.004635879365,0.006805313261
0.2388577727,-12.25062519,0.009101938695,0.9356770426,-32.81961082,32.75877856,0.01271197496,1.211949138,-10.42853139,38.47987828,38.47987828,32.75877856,1.211949138,0.9356770426,0.009101938695,0.01271197496
0.245475265,-15.27416882,0.01696129914,1.461729329,-42.26010226,42.19131589,0.02266707638,1.818980238,-13.43255392,47.97035871,47.97035871,42.19131589,1.818980238,1.461729329,0.01696129914,0.02266707638
0.2527133595,-18.46875924,0.03007642017,2.188279861,-52.46822155,52.3906033,0.03868666992,2.633109999,-16.68234836,57.99018416,57.99018416,52.3906033,2.633109999,2.188279861,0.03007642017,0.03868666992
0.2605847419,-21.68952984,0.05097787534,3.151647202,-62.97931661,62.89143289,0.06344907569,3.686661624,-20.03120794,68.07863442,68.07863442,62.89143289,3.686661624,3.151647202,0.05097787534,0.06344907569
0.2690949635,-24.77091379,0.08289805409,4.380685482,-73.23905808,73.13883899,0.1003048837,5.003715713,-23.30454604,77.70769012,77.70769012,73.13883899,5.003715713,4.380685482,0.08289805409,0.1003048837
0.2782379496,-27.545004,0.129718663,5.891365806,-82.66121669,82.54595292,0.1532027864,6.595187469,-26.31836968,86.33985902,86.33985902,82.54595292,6.595187469,5.891365806,0.129718663,0.1532027864
0.2879835102,-29.86362666,0.1957183421,7.68044801,-90.70113541,90.56759224,0.2264118259,8.453129371,-28.90253859,93.49847608,93.49847608,90.56759224,8.453129371,7.68044801,0.1957183421,0.2264118259
0.2982869043,-31.62745202,0.2852720155,9.724987585,-96.95835699,96.80297653,0.3242187284,10.55111853,-30.93307502,98.86065548,98.86065548,96.80297653,10.55111853,9.724987585,0.2852720155,0.3242187284
0.3091114332,-32.80474737,0.4027098201,11.98890879,-101.2503602,101.0694829,0.4508131978,12.85146073,-32.35520211,102.3174939,102.3174939,101.0694829,12.85146073,11.98890879,0.4027098201,0.4508131978
0.3204502749,-33.43068833,0.5524610678,14.43311481,-103.6220152,103.4120509,0.6104725223,15.31537867,-33.18607067,103.9722977,103.9722977,103.4120509,15.31537867,14.43311481,0.5524610678,0.6104725223
0.3323381341,-33.5923038,0.7394343007,17.02417592,-104.3029219,104.0604403,0.8079766586,17.91133083,-33.50116066,104.0926955,104.0926955,104.0604403,17.91133083,17.02417592,0.7394343007,0.8079766586
0.3448664915,-33.4096999,0.9697780868,19.74230057,-103.6471337,103.3688449,1.04940146,20.6224613,-33.41545253,103.0499001,103.0499001,103.3688449,20.6224613,19.74230057,0.9697780868,1.04940146
0.3582290294,-33.01890122,1.252702944,22.59344218,-102.0727971,101.7553373,1.343990569,23.45817626,-33.06526804,101.2608505,101.2608505,101.7553373,23.45817626,22.59344218,1.252702944,1.343990569
0.3728037326,-32.5609789,1.604198377,25.62594698,-100.0157678,99.65520303,1.707942456,26.47036013,-32.59556295,99.14689357,99.14689357,99.65520303,26.47036013,25.62594698,1.604198377,1.707942456
0.3894707812,-32.1834055,2.059494682,28.99075274,-97.90545089,97.49586402,2.177124812,29.81324307,-32.15860023,97.11581697,97.11581697,97.49586402,29.81324307,28.99075274,2.059494682,2.177124812
0.4064938181,-32.07278443,2.581544261,32.32924911,-96.46457445,96.00571854,2.713020991,33.1346415,-31.96330008,95.82942888,95.82942888,96.00571854,33.1346415,32.32924911,2.581544261,2.713020991
0.4235168551,-32.26847997,3.159767749,35.59534798,-95.9004033,95.39326007,3.304856642,36.39033072,-32.07053838,95.42778089,95.42778089,95.39326007,36.39033072,35.59534798,3.159767749,3.304856642
0.4409355005,-32.75176844,3.808547244,38.89175402,-96.16039907,95.60478393,3.967437768,39.68241689,-32.47200073,95.82147187,95.82147187,95.60478393,39.68241689,38.89175402,3.808547244,3.967437768
0.4590275791,-33.48733369,4.54296657,42.29304318,-97.12061001,96.51542179,4.71616047,43.08423046,-33.13728653,96.86797376,96.86797376,96.51542179,43.08423046,42.29304318,4.54296657,4.71616047
0.4783332457,-34.44911655,5.394444892,45.91746888,-98.64432408,97.98679639,5.58294645,46.71246624,-34.04003933,98.42646641,98.42646641,97.98679639,46.71246624,45.91746888,5.394444892,5.58294645
0.4999206159,-35.6512815,6.429480599,49.97687703,-100.6540733,99.93836284,6.63520402,50.77747924,-35.190019,100.4235835,100.4235835,99.93836284,50.77747924,49.97687703,6.429480599,6.63520402
0.5279235922,-37.31462986,7.902868105,55.25577571,-103.4002062,102.6091772,8.131105296,56.06280054,-36.79481034,103.1133993,103.1133993,102.6091772,56.06280054,55.25577571,7.902868105,8.131105296
0.5501959271,-38.69387811,9.180341398,59.45789995,-105.5863079,104.735376,9.426594466,60.26840428,-38.12657129,105.2494654,105.2494654,104.735376,60.26840428,59.45789995,9.180341398,9.426594466
0.5762362299,-40.37774134,10.79254958,64.36419263,-108.1588958,107.2379455,11.05994289,65.17709659,-39.74869825,107.7743166,107.7743166,107.2379455,65.17709659,64.36419263,10.79254958,11.05994289
0.6023285179,-42.16597797,12.5359339,69.2649495,-110.8321382,109.8411367,12.82455659,70.07918932,-41.46714681,110.4148184,110.4148184,109.8411367,70.07918932,69.2649495,12.5359339,12.82455659
0.6323443933,-44.37592366,14.69930149,74.87893037,-114.1236088,113.0522644,15.01238183,75.69433598,-43.58842168,113.6818739,113.6818739,113.0522644,75.69433598,74.87893037,14.69930149,15.01238183
0.6698815142,-47.39090129,17.64126099,81.86411742,-118.6499939,117.4786339,17.98498108,82.68131937,-46.48351054,118.184606,118.184606,117.4786339,82.68131937,81.86411742,17.64126099,17.98498108
0.707418635,-50.6842963,20.8447448,88.81382924,-123.6432934,122.3724407,21.21918402,89.63345824,-49.64978518,123.151629,123.151629,122.3724407,89.63345824,88.81382924,20.8447448,21.21918402
0.756917481,-55.43281757,25.46674993,97.92915382,-130.8902795,129.4889711,25.8818544,98.75272192,-54.22051153,130.355038,130.355038,129.4889711,98.75272192,97.92915382,25.46674993,25.8818544
0.8064163269,-60.62465925,30.53861281,106.9903421,-138.8443465,137.3133743,30.99459485,107.8185616,-59.22188261,138.2560471,138.2560471,137.3133743,107.8185616,106.9903421,30.53861281,30.99459485
0.8574545561,-66.43308452,36.2364282,116.2763882,-147.7725324,146.1086777,36.73482396,117.1104115,-64.81966248,147.1184753,147.1184753,146.1086777,117.1104115,116.2763882,36.2364282,36.73482396
0.9147835897,-73.50066426,43.19980561,126.6382988,-158.6784889,156.8663554,43.7462419,127.4805888,-71.63299745,157.9318665,157.9318665,156.8663554,127.4805888,126.6382988,43.19980561,43.7462419
0.9755988012,-81.61459756,51.23360282,137.5518817,-171.2527319,169.2844283,51.83159497,138.4055956,-79.4564103,170.3783518,170.3783518,169.2844283,138.4055956,137.5518817,51.23360282,51.83159497
0.9885715992,-83.42627685,53.03307293,139.8695646,-174.0676174,172.0661489,53.64215849,140.7261343,-81.20327045,173.1612208,173.1612208,172.0661489,140.7261343,139.8695646,53.03307293,53.64215849
0.9958355412,-84.45300038,54.05378568,141.1657384,-175.6640258,173.6440098,54.66909935,142.023978,-82.19325284,174.7388911,174.7388911,173.6440098,142.023978,141.1657384,54.05378568,54.66909935
0.998516919,-84.83422534,54.43294548,141.6439156,-176.256985,174.2301265,55.05056125,142.5027848,-82.56083384,175.324782,175.324782,174.2301265,142.5027848,141.6439156,54.43294548,55.05056125
0.9998055275,-85.01785957,54.61561706,141.8736616,-176.5426508,174.5125047,55.23433977,142.7328359,-82.7378954,175.6070215,175.6070215,174.5125047,142.7328359,141.8736616,54.61561706,55.23433977
1.000859034,-85.15833599,54.76518085,142.0614456,-176.743253,174.7127871,55.38480884,142.9208703,-82.87319188,175.8071416,175.8071416,174.7127871,142.9208703,142.0614456,54.76518085,55.38480884
1.001323512,-85.21146081,54.83118449,142.1441897,-176.8038067,174.7734086,55.45121169,143.0037242,-82.92420149,175.8676571,175.8676571,174.7734086,143.0037242,142.1441897,54.83118449,55.45121169
1.005968293,-85.45590024,55.4933269,142.9661044,-176.5141694,174.483447,56.11734888,143.826647,-83.15302835,175.5756402,175.5756402,174.483447,143.826647,142.9661044,55.4933269,56.11734888
1.01067188,-85.22870947,56.16770022,143.7777713,-174.7533232,172.720629,56.79577157,144.6389671,-82.91931086,173.8096447,173.8096447,172.720629,144.6389671,143.7777713,56.16770022,56.79577157
1.01691742,-84.32355747,57.06890512,144.8017657,-170.5832968,168.545933,57.70235547,145.6628655,-82.01710334,169.6312567,169.6312567,168.545933,145.6628655,144.8017657,57.06890512,57.70235547
1.023857675,-82.70267911,58.07754423,145.8427376,-164.1336834,162.0890974,58.71696576,146.7020578,-80.41033989,163.1747829,163.1747829,162.0890974,146.7020578,145.8427376,58.07754423,58.71696576
1.032145373,-80.20440147,59.29085732,146.9248715,-154.8582785,152.8033059,59.93738318,147.7795187,-77.9364409,153.901395,153.901395,152.8033059,147.7795187,146.9248715,59.29085732,59.93738318
1.041736094,-76.92824747,60.70503943,147.9379172,-143.2039657,141.1359427,61.35972306,148.7839217,-74.68909223,142.271457,142.271457,141.1359427,148.7839217,147.9379172,60.70503943,61.35972306
1.05402575,-72.68742674,62.52923769,148.8612789,-128.5898549,126.5054671,63.19423075,149.6924869,-70.47402366,127.7307546,127.7307546,126.5054671,149.6924869,148.8612789,62.52923769,63.19423075
1.066315405,-68.88783464,64.36238538,149.4044159,-115.8250781,113.7263965,65.03749187,150.2189531,-66.68105123,115.0849565,115.0849565,113.7263965,150.2189531,149.4044159,64.36238538,65.03749187
1.07860506,-65.82566553,66.20022946,149.638914,-105.7578172,103.6478623,66.8852456,150.4373246,-63.6069427,105.1700426,105.1700426,103.6478623,150.4373246,149.638914,66.20022946,66.8852456
1.090894716,-63.60300261,68.0394812,149.647373,-98.61434938,96.49639526,68.73422192,150.4320337,-61.35882026,98.19448947,98.19448947,96.49639526,150.4320337,149.647373,68.0394812,68.73422192
1.103243681,-62.17988545,69.88672898,149.5087864,-94.17866695,92.05574578,70.59109162,150.2830894,-59.90294131,93.92476594,93.92476594,92.05574578,150.2830894,149.5087864,69.88672898,70.59109162
1.115819178,-61.44059564,71.76553916,149.2879211,-92.01266313,89.88731648,72.47959318,150.0555781,-59.12897354,91.9090598,91.9090598,89.88731648,150.0555781,149.2879211,71.76553916,72.47959318
1.128800512,-61.24964223,73.70185578,149.0351532,-91.63319003,89.50741846,74.42585158,149.7998034,-58.90573176,91.65356657,91.65356657,89.50741846,149.7998034,149.0351532,73.70185578,74.42585158
1.142484779,-61.46698235,75.73955698,148.7875522,-92.55782443,90.43308825,76.47401491,149.552483,-59.09629567,92.66882274,92.66882274,90.43308825,149.552483,148.7875522,75.73955698,76.47401491
1.157425745,-61.96420889,77.9608883,148.5711672,-94.35335743,92.23063188,78.70679537,149.3391905,-59.57450581,94.51718461,94.51718461,92.23063188,149.3391905,148.5711672,77.9608883,78.70679537
