time,resistor.i,resistor.LossPower
2.945891784,-0.7328254765,53.76106085
2.955911824,-0.6012317647,36.1741159
2.965931864,-0.4671320803,21.83076553
2.975951904,-0.3310809718,10.96386459
2.985971944,-0.1936444261,3.750097619
2.995991984,-0.05539664058,0.3068806623
3.006012024,0.08308334501,0.6902937518
3.016032064,0.2212151001,4.894091048
3.026052104,0.3584202792,12.84981116
3.036072144,0.4941260612,24.42798514
3.046092184,0.6277684942,39.44041463
3.056112224,0.7587956886,57.64346856
3.066132265,0.8866708114,78.74232488
3.076152305,1.010874839,102.3960644
3.086172345,1.130909032,128.2235082
3.096192385,1.246297123,155.8096766
3.106212425,1.356587177,184.7127412
3.116232465,1.461353158,214.4713351
3.126252505,1.560196176,244.6120863
3.136272545,1.65274545,274.6572418
3.146292585,1.738658996,304.1322545
3.156312625,1.817624084,332.5732134
3.166332665,1.889357478,359.5340046
3.176352705,1.953605508,384.5931046
3.186372745,2.010144007,407.3599141
3.196392786,2.058778143,427.4805546
3.206412826,2.099342195,444.6430605
3.216432866,2.13169929,458.5819087
3.226452906,2.15574114,469.0818394
3.236472946,2.17138781,475.9809308
3.246492986,2.178587514,479.1728981
3.256513026,2.177316489,478.6085955
3.266533066,2.167578927,474.2967103
3.276553106,2.149406988,466.3036394
3.286573146,2.122860885,454.7525534
3.296593186,2.088029037,439.8216524
3.306613226,2.045028281,421.7416327
3.316633267,1.994004116,400.7923844
3.326653307,1.935130969,377.2989537
3.336673347,1.868612452,351.6268092
3.346693387,1.79468157,324.1764619
3.356713427,1.71360086,295.3775002
3.366733467,1.625662421,265.6821087
3.376753507,1.531187795,235.5581556
3.386773547,1.430527661,205.4819394
3.396793587,1.324061319,175.9306993
3.406813627,1.212195915,147.3750048
3.416833667,1.0953654,120.2711447
3.426853707,0.9740291867,95.05364669
3.436873747,0.8486704954,72.12806024
3.446893788,0.7197943928,51.86413882
3.456913828,0.5879255188,34.58955377
3.466933868,0.453605524,20.5842679
3.476953908,0.3173902411,10.07568649
3.486973948,0.1798466259,3.234690134
3.496993988,0.04154951338,0.1726368022
3.507014028,-0.09692176136,0.9394004316
3.517034068,-0.23498682,5.522490448
3.527054108,-0.3720677158,13.84727239
3.537074148,-0.5075923662,25.77828457
3.547094188,-0.6409978846,41.12162077
3.557114228,-0.7717337562,59.62832508
3.567134269,-0.8992648093,80.99872337
3.577154309,-1.023073942,104.8875966
3.587174349,-1.142664569,130.9100858
3.597194389,-1.257562777,158.6482067
3.607214429,-1.367319156,187.6578434
3.617234469,-1.471510334,217.4760868
3.627254509,-1.569740193,247.6287836
3.637274549,-1.661640803,277.6381614
3.647294589,-1.74687309,307.0304062
3.657314629,-1.825127267,335.3430696
3.667334669,-1.896123052,362.132198
3.677354709,-1.959609731,386.9790835
3.687374749,-2.015366079,409.4965477
3.69739479,-2.063200186,429.3346801
3.70741483,-2.102949228,446.185967
3.71743487,-2.134479201,459.7897516
3.72745491,-2.157684665,469.9359823
3.73747495,-2.172488505,476.4682105
3.74749499,-2.178841744,479.2858108
3.75751503,-2.176723415,478.3454032
3.76753507,-2.166140507,473.6614647
3.77755511,-2.147127978,465.3061254
3.78757515,-2.119748854,453.4081502
3.79759519,-2.084094387,438.151116
3.80761523,-2.040284267,419.7707993
3.817635271,-1.988466875,398.5517994
3.827655311,-1.928819546,374.8234288
3.837675351,-1.86154882,348.9549127
3.847695391,-1.786890653,321.3499473
3.857715431,-1.705110538,292.44068
3.867735471,-1.616503528,262.6811814
3.877755511,-1.521394094,232.5404938
3.887775551,-1.420135804,202.4953496
3.897795591,-1.313110782,173.0226647
3.907815631,-1.200728908,144.5919217
3.917835671,-1.083426743,117.6575668
3.927855711,-0.9616661597,92.65154891
3.937875752,-0.8359326576,69.97613712
3.947895792,-0.7067333673,49.9971496
3.957915832,-0.5745947499,33.03772808
3.967935872,-0.4400600057,19.37278405
3.977955912,-0.3036862205,9.224233469
3.987975952,-0.1660412869,2.757122923
3.997995992,-0.02770064369,0.07673268382
4.008016032,0.1107561135,1.226721765
4.018036072,0.2487486934,6.188357067
4.028056112,0.3856995823,14.88084425
4.038076152,0.5210374695,27.16275276
4.048096192,0.6542005658,42.83450251
4.058116232,0.7846397606,61.64185619
4.068136273,0.911821571,83.28033937
4.078156313,1.035230841,107.4004923
4.088176353,1.154373162,133.6138413
4.098196393,1.268776991,161.4994675
4.108216433,1.377995461,190.6110409
4.118236473,1.481607874,220.4841861
4.128256513,1.579220892,250.6440444
4.138276553,1.670469448,280.6129004
4.148296593,1.755017379,309.9177468
4.158316633,1.832557841,338.0976695
4.168336673,1.90281351,364.7109428
4.178356713,1.965536626,389.3417374
4.188376754,2.020508904,411.6063529
4.198396794,2.067541354,431.1588984
4.208416834,2.106474046,447.6963566
4.218436874,2.137175844,460.9629746
4.228456914,2.15954415,470.753939
4.238476954,2.173504671,476.9182965
4.248496994,2.179011235,479.3610956
4.258517034,2.176045673,478.0447279
4.268537074,2.164617767,472.9894583
4.278557114,2.144765279,464.2731397
4.288577154,2.116554047,452.0301133
4.298597194,2.080078157,436.4493064
4.308617234,2.035460157,417.7715421
4.318637275,1.982851311,396.2860877
4.328657315,1.922431864,372.326474
4.338677355,1.85441129,346.2656282
4.348697395,1.779028492,318.5103716
4.358717435,1.696551924,289.4953452
4.368737475,1.607279586,259.6764359
4.378757515,1.51153888,229.5237873
4.388777555,1.409686256,199.5144906
4.398797595,1.302106655,170.1250619
4.408817635,1.189212677,141.8238211
4.418837675,1.071443482,115.0632967
4.428857715,0.9492633856,90.27278732
4.438877756,0.8231601458,67.85121353
4.448897796,0.6936429347,48.16039592
4.458917836,0.5612400083,31.51889099
4.468937876,0.426496088,18.19651116
4.478957916,0.2899694822,8.409644268
4.488977956,0.1522289875,2.317473871
4.498997996,0.01385061228,0.01918395341
4.509018036,-0.1245858216,1.552210881
4.519038076,-0.2625001447,6.891582346
4.529058116,-0.3993153109,15.95035841
4.539078156,-0.5344608145,28.58116455
4.549098196,-0.6673759951,44.57878184
4.559118236,-0.7975131761,63.68373579
4.569138277,-0.9243405901,85.58680433
4.579158317,-1.047345052,109.9343467
4.589178357,-1.166034349,136.3343405
4.599198397,-1.279939331,164.3630026
4.609218437,-1.388615683,193.5718628
4.619238477,-1.491645396,223.4951548
4.629258517,-1.588637924,253.6573913
4.639278557,-1.679231063,283.5809892
4.649298597,-1.763091569,312.7938223
4.659318637,-1.839915544,340.8365815
4.669338677,-1.909428619,367.2698363
4.679358717,-1.971385989,391.6806982
4.689378758,-2.025572307,413.6890019
4.699398798,-2.071801501,432.9529268
4.709418838,-2.109916532,449.1739957
4.719438878,-2.139789129,462.1013967
4.729458918,-2.161319534,471.5355834
4.739478958,-2.174436275,477.3311195
4.749498998,-2.179095982,479.3987409
4.759519038,-2.175283285,477.706616
4.769539078,-2.163010759,472.2807948
4.779559118,-2.142318968,463.2048418
4.789579158,-2.11327657,450.6186558
4.799599198,-2.075980482,434.7164872
4.809619238,-2.030556115,415.7441714
4.819639279,-1.977157617,393.9956018
4.829659319,-1.915968146,369.8084788
4.839679359,-1.847200112,343.5593766
4.849699399,-1.771095369,315.6581806
4.859719439,-1.687925327,286.5419598
4.869739479,-1.597990937,256.6683473
4.879759519,-1.501622523,226.5085148
4.889779559,-1.399179416,196.539837
4.899799599,-1.291049362,167.2383541
4.909819639,-1.177647673,139.0711468
4.919839679,-1.059416092,112.4887519
4.929859719,-0.9368213624,87.91774576
4.93987976,-0.8103534786,65.75363326
4.9498998,-0.6805236313,46.35417566
4.95991984,-0.5478618455,30.03328932
4.96993988,-0.4129143348,17.0556407
4.97995992,-0.2762405991,7.632051647
4.98997996,-0.1384103061,1.915814686
5,-2.669088331e-15,7.191119058e-28
