time,pump.flowPort_a.h,pump.flowPort_b.h,ambient2.flowPort.h,pipe.flowPort_b.H_flow,pump.h,heatCapacitor.T,pipe.T
0.117,293.15,293.15,295.7411948,-295.7411948,293.15,300.9837458,295.7411948
0.118,293.15,293.15,295.7676793,-295.7676793,293.15,301.0312164,295.7676793
0.119,293.15,293.15,295.794108,-295.794108,293.15,301.0784779,295.794108
0.12,293.15,293.15,295.8204801,-295.8204801,293.15,301.1255321,295.8204801
0.121,293.15,293.15,295.8467948,-295.8467948,293.15,301.1723801,295.8467948
0.122,293.15,293.15,295.8730513,-295.8730513,293.15,301.2190236,295.8730513
0.123,293.15,293.15,295.8992488,-295.8992488,293.15,301.2654639,295.8992488
0.124,293.15,293.15,295.9253864,-295.9253864,293.15,301.3117023,295.9253864
0.125,293.15,293.15,295.9514635,-295.9514635,293.15,301.3577403,295.9514635
0.126,293.15,293.15,295.9774792,-295.9774792,293.15,301.4035793,295.9774792
0.127,293.15,293.15,296.0034329,-296.0034329,293.15,301.4492205,296.0034329
0.128,293.15,293.15,296.0293239,-296.0293239,293.15,301.4946654,296.0293239
0.129,293.15,293.15,296.0551514,-296.0551514,293.15,301.5399152,296.0551514
0.13,293.15,293.15,296.0809149,-296.0809149,293.15,301.5849712,296.0809149
0.131,293.15,293.15,296.1066137,-296.1066137,293.15,301.6298347,296.1066137
0.132,293.15,293.15,296.1322471,-296.1322471,293.15,301.674507,296.1322471
0.133,293.15,293.15,296.1578145,-296.1578145,293.15,301.7189894,296.1578145
0.134,293.15,293.15,296.1833154,-296.1833154,293.15,301.7632831,296.1833154
0.135,293.15,293.15,296.2087492,-296.2087492,293.15,301.8073893,296.2087492
0.136,293.15,293.15,296.2341154,-296.2341154,293.15,301.8513092,296.2341154
0.137,293.15,293.15,296.2594134,-296.2594134,293.15,301.895044,296.2594134
0.138,293.15,293.15,296.2846427,-296.2846427,293.15,301.938595,296.2846427
0.139,293.15,293.15,296.3098029,-296.3098029,293.15,301.9819632,296.3098029
0.14,293.15,293.15,296.3348934,-296.3348934,293.15,302.0251498,296.3348934
0.141,293.15,293.15,296.3599138,-296.3599138,293.15,302.068156,296.3599138
0.142,293.15,293.15,296.3848637,-296.3848637,293.15,302.1109828,296.3848637
0.143,293.15,293.15,296.4097427,-296.4097427,293.15,302.1536315,296.4097427
0.144,293.15,293.15,296.4345504,-296.4345504,293.15,302.196103,296.4345504
0.145,293.15,293.15,296.4592863,-296.4592863,293.15,302.2383984,296.4592863
0.146,293.15,293.15,296.4839503,-296.4839503,293.15,302.2805188,296.4839503
0.147,293.15,293.15,296.5085419,-296.5085419,293.15,302.3224653,296.5085419
0.148,293.15,293.15,296.5330608,-296.5330608,293.15,302.3642388,296.5330608
0.149,293.15,293.15,296.5575067,-296.5575067,293.15,302.4058404,296.5575067
0.15,293.15,293.15,296.5818793,-296.5818793,293.15,302.4472711,296.5818793
0.151,293.15,293.15,296.6061785,-296.6061785,293.15,302.4885319,296.6061785
0.152,293.15,293.15,296.6304039,-296.6304039,293.15,302.5296236,296.6304039
0.153,293.15,293.15,296.6545554,-296.6545554,293.15,302.5705474,296.6545554
0.154,293.15,293.15,296.6786327,-296.6786327,293.15,302.6113041,296.6786327
0.155,293.15,293.15,296.7026357,-296.7026357,293.15,302.6518946,296.7026357
0.156,293.15,293.15,296.7265642,-296.7265642,293.15,302.6923198,296.7265642
0.157,293.15,293.15,296.750418,-296.750418,293.15,302.7325807,296.750418
0.158,293.15,293.15,296.7741972,-296.7741972,293.15,302.772678,296.7741972
0.159,293.15,293.15,296.7979014,-296.7979014,293.15,302.8126128,296.7979014
0.16,293.15,293.15,296.8215308,-296.8215308,293.15,302.8523857,296.8215308
0.161,293.15,293.15,296.8450852,-296.8450852,293.15,302.8919977,296.8450852
0.162,293.15,293.15,296.8685645,-296.8685645,293.15,302.9314495,296.8685645
0.163,293.15,293.15,296.8919688,-296.8919688,293.15,302.970742,296.8919688
0.164,293.15,293.15,296.9152981,-296.9152981,293.15,303.0098759,296.9152981
0.165,293.15,293.15,296.9385523,-296.9385523,293.15,303.0488521,296.9385523
0.166,293.15,293.15,296.9616567,-297.1211047,293.15,303.0876904,296.9616567
0.167,293.15,293.15,296.9846362,-297.3584591,293.15,303.1263716,296.9846362
0.168,293.15,293.15,297.0075155,-297.5942094,293.15,303.1648893,297.0075155
0.169,293.15,293.15,297.0302975,-297.8259012,293.15,303.2032448,297.0302975
0.17,293.15,293.15,297.0529853,-298.0511563,293.15,303.2414393,297.0529853
0.171,293.15,293.15,297.0755817,-298.2676726,293.15,303.279474,297.0755817
0.172,293.15,293.15,297.09809,-298.4732244,293.15,303.3173503,297.09809
0.173,293.15,293.15,297.1205132,-298.665662,293.15,303.3550693,297.1205132
0.174,293.15,293.15,297.1428544,-298.8429121,293.15,303.3926323,297.1428544
0.175,293.15,293.15,297.165117,-299.0029775,293.15,303.4300407,297.165117
0.176,293.15,293.15,297.187304,-299.1439373,293.15,303.4672955,297.187304
0.177,293.15,293.15,297.2094188,-299.2639466,293.15,303.5043983,297.2094188
0.178,293.15,293.15,297.2314646,-299.361237,293.15,303.5413501,297.2314646
0.179,293.15,293.15,297.2534449,-299.4341161,293.15,303.5781523,297.2534449
0.18,293.15,293.15,297.2753631,-299.4809678,293.15,303.6148062,297.2753631
0.181,293.15,293.15,297.2972224,-299.5002522,293.15,303.6513131,297.2972224
0.182,293.15,293.15,297.3190266,-299.4905056,293.15,303.6876742,297.3190266
0.183,293.15,293.15,297.3407789,-299.4503404,293.15,303.7238909,297.3407789
0.184,293.15,293.15,297.3624831,-299.3784455,293.15,303.7599644,297.3624831
0.185,293.15,293.15,297.3841427,-299.2735856,293.15,303.7958962,297.3841427
0.186,293.15,293.15,297.4057612,-299.134602,293.15,303.8316874,297.4057612
0.187,293.15,293.15,297.4273425,-298.9604121,293.15,303.8673394,297.4273425
0.188,293.15,293.15,297.4488902,-298.7500092,293.15,303.9028535,297.4488902
0.189,293.15,293.15,297.4704081,-298.5024633,293.15,303.9382311,297.4704081
0.19,293.15,293.15,297.4918999,-298.2169203,293.15,303.9734735,297.4918999
0.191,293.15,293.15,297.5133695,-297.8926024,293.15,304.008582,297.5133695
0.192,293.15,293.15,297.5348208,-297.5288079,293.15,304.043558,297.5348208
0.193,293.15,293.15,297.5562576,-297.1249116,293.15,304.0784027,297.5562576
0.194,293.15,293.15,297.577684,-296.6803641,293.15,304.1131176,297.577684
0.195,293.15,293.15,297.5991039,-296.1946925,293.15,304.1477039,297.5991039
0.196,293.15,293.15,297.6205214,-295.6675,293.15,304.1821631,297.6205214
0.197,293.15,293.15,297.6419405,-295.0984662,293.15,304.2164966,297.6419405
0.198,293.15,293.15,297.6633654,-294.4873466,293.15,304.2507056,297.6633654
0.199,293.15,293.15,297.6848002,-293.833973,293.15,304.2847915,297.6848002
0.2,293.15,293.15,297.7062491,-293.1382537,293.15,304.3187557,297.7062491
0.201,293.15,293.15,297.7277163,-292.4001728,293.15,304.3525997,297.7277163
0.202,293.15,293.15,297.7492061,-291.6197908,293.15,304.3863247,297.7492061
0.203,293.15,293.15,297.7707229,-290.7972444,293.15,304.4199321,297.7707229
0.204,293.15,293.15,297.7922709,-289.9327467,293.15,304.4534234,297.7922709
0.205,293.15,293.15,297.8138546,-289.0265865,293.15,304.4868,297.8138546
0.206,293.15,293.15,297.8354785,-288.0791294,293.15,304.5200632,297.8354785
0.207,293.15,293.15,297.8571469,-287.0908168,293.15,304.5532144,297.8571469
0.208,293.15,293.15,297.8788644,-286.0621665,293.15,304.586255,297.8788644
