time,Transistor1.Tr.vbcˍt,Transistor1.Tr.vbeˍt,Transistor2.Tr.vbcˍt,Gnd4.p.i,R1.i,R2.i,R4.i,Transistor1.Tr.C.i,Transistor1.Tr.vcs,Transistor1.ct.v,Transistor2.Tr.vcs,Transistor2.ct.v,Transistor2.Tr.vbe,Transistor1.b.i,Transistor2.Tr.C.i,Transistor2.b.i,C4.v,C3.v,C2.v,C1.v,Transistor2.Tr.C.v,C5.v,Transistor1.Tr.C.v
3.185015254e-11,202571173.6,300143835.2,-46772752.82,3.035821806e-06,0.05037730241,0.00476970421,0.004770033862,-5.352035401e-05,0.0007872191264,0.00673105599,0.0007418861519,1.52145555e-07,0.0007784893914,0.02528074441,7.015701152e-05,-3.036839457e-06,-0.000748901853,3.035821806e-10,0.000781867091,0.00799509321,0.0007418861519,-0.0007783372458,0.0007872191264
3.964767887e-11,191320576.2,312747458.2,-58256029.56,3.822357627e-06,0.05038496924,0.005935124442,0.005935550319,-3.646245388e-05,0.001206385132,0.008686274684,0.001151413624,1.915501376e-07,0.001213192958,0.0253033012,8.737511163e-05,-3.823358037e-06,-0.001160151135,3.822357627e-10,0.001202738887,0.009951439744,0.001151413624,-0.001213001408,0.001206385132
4.966828212e-11,176456722.2,328528645.3,-73000293.22,4.814840716e-06,0.05034914635,0.007431492269,0.007432041748,-1.43336795e-05,0.001876438242,0.01119915699,0.001809109202,2.412725413e-07,0.001913512511,0.02529022187,0.0001094779106,-4.815821145e-06,-0.001820056993,4.814840716e-10,0.001875004874,0.01246366809,0.001809109202,-0.001913271239,0.001876438242
6.321377159e-11,156221800.4,349695475.8,-92908074.18,6.123277469e-06,0.05027771406,0.009451881597,0.009452597833,1.565349858e-05,0.003016848831,0.01459280007,0.002932859545,3.068237393e-07,0.003113490466,0.02525586139,0.0001393103073,-6.124228231e-06,-0.002946790575,6.123277469e-10,0.003018414181,0.01585559314,0.002932859545,-0.003113183643,0.003016848831
8.306182632e-11,126472193.1,380561668.5,-122031151.3,7.96022065e-06,0.05014507066,0.01240747029,0.01240842995,5.964190572e-05,0.005174402034,0.01955598182,0.005066107681,3.988519788e-07,0.005397756259,0.02519061335,0.000182923111,-7.961119134e-06,-0.005084399992,7.96022065e-10,0.005180366225,0.02081551249,0.005066107681,-0.005397357407,0.005174402034
1.150347197e-10,78343590.72,429953340.8,-168826582.7,1.066913695e-05,0.04986606254,0.01715644219,0.01715779092,0.0001305770048,0.009863518897,0.02752004509,0.00971641341,5.345633353e-07,0.01039216331,0.02505272959,0.0002529051895,-1.066992843e-05,-0.009741703929,1.066913695e-09,0.009876576597,0.02877268157,0.00971641341,-0.01039162875,0.009863518897
1.574455881e-10,14116763.42,494846174.1,-230674774.3,1.365115102e-05,0.04937277122,0.02343274551,0.02343460244,0.0002247419777,0.01838679693,0.03800553467,0.01818906283,6.839530114e-07,0.01952010414,0.02480822406,0.0003451549948,-1.365175793e-05,-0.01822357833,1.365115102e-09,0.01840927113,0.03924594588,0.01818906283,-0.01951942019,0.01838679693
2.088223232e-10,-64270286.47,572512830.6,-305258003.2,1.60628231e-05,0.04858936017,0.03100085598,0.03100331247,0.000338779364,0.03221537164,0.05054845893,0.03195800928,8.047634704e-07,0.03440042133,0.02441922217,0.0004559107419,-1.606314376e-05,-0.03200360036,1.60628231e-09,0.03224924958,0.05176942004,0.03195800928,-0.03439961657,0.03221537164
2.667059054e-10,-153333585.9,658791934.3,-388844708.8,1.680051566e-05,0.04746740315,0.03948171303,0.03948481786,0.0004669773506,0.05237058053,0.06440960171,0.05204887209,8.417018641e-07,0.05618168672,0.0238616322,0.0005792283893,-1.680043625e-05,-0.05210679493,1.680051566e-09,0.05241727827,0.06560268332,0.05204887209,-0.05618084502,0.05237058053
3.351074206e-10,-259569302.4,759111148.5,-487021041,1.43660619e-05,0.04582371777,0.04944148823,0.04944531334,0.0006176912528,0.08240071649,0.08032413707,0.0820077008,7.197071895e-07,0.0887703768,0.02304457299,0.0007227421685,-1.436541167e-05,-0.08207997501,1.43660619e-09,0.08246248562,0.08147636572,0.0820077008,-0.08876965709,0.08240071649
