time,forceToPosition3b.flange.s,forceToPosition3a.flange.s,forceToPosition2b.flange.s,mass3b.v,mass3a.v,mass2b.v,mass2a.v,forceToPosition2a.y,directMass.mass.v,directMass.forceToPosition.y,directMass.f,mass2a.s,mass3a.s,mass2b.s,mass3b.s,directMass.mass.s
0.3390090428,0.09923498749,0.09856045591,0.09919685507,0.3469277223,0.3457255395,0.3480599649,0.3434610544,0.09863672075,0.3465269947,0.09901014363,-5.996366118,0.09863672075,0.09856045591,0.09919685507,0.09923498749,0.09901014363
0.3553765677,0.1045097464,0.1038984803,0.1045136813,0.2984873853,0.3030491324,0.3010294402,0.2979650226,0.1038906105,0.3000079677,0.104305991,-6.464994232,0.1038906105,0.1038984803,0.1045136813,0.1045097464,0.104305991
0.376128595,0.1101118241,0.1094427161,0.1101104144,0.2404349468,0.2323020803,0.2380380327,0.2370959084,0.1094455355,0.2377239913,0.1098887881,-6.665996215,0.1094455355,0.1094427161,0.1101104144,0.1101118241,0.1098887881
0.3916296744,0.1134544484,0.112724768,0.1134334933,0.1900798301,0.1931910063,0.1908858823,0.1915789019,0.1127666781,0.1911168889,0.1132112216,-6.521627631,0.1127666781,0.112724768,0.1134334933,0.1134544484,0.1132112216
0.4071307538,0.1160210968,0.1154286482,0.1160381237,0.1427578535,0.1536903452,0.1456347326,0.147936587,0.1153945944,0.1464020174,0.115823614,-6.130583596,0.1153945944,0.1154286482,0.1160381237,0.1160210968,0.115823614
0.4233997291,0.1180156145,0.1175146923,0.1180462867,0.1035808058,0.1029022651,0.1020560604,0.1059517558,0.1174533479,0.1033546256,0.1178486405,-5.471151641,0.1174533479,0.1175146923,0.1180462867,0.1180156145,0.1178486405
0.4356443479,0.1191105452,0.1185832058,0.1191142387,0.07498648254,0.07398183317,0.07298770868,0.07797938089,0.1185758188,0.07465159942,0.1189347654,-4.822679568,0.1185758188,0.1185832058,0.1191142387,0.1191105452,0.1189347654
0.4605890584,0.1202869446,0.1199905982,0.1203180614,0.02392607,0.03906908572,0.02669552722,0.0335301713,0.1199283646,0.02897374191,0.1201881625,-3.168358845,0.1199283646,0.1199905982,0.1203180614,0.1202869446,0.1201881625
0.4728218795,0.1204977031,0.1203403755,0.120545868,0.01183473473,0.01811362171,0.01142635151,0.01893038815,0.1202440458,0.01392769706,0.1204452606,-2.232862877,0.1202440458,0.1203403755,0.120545868,0.1204977031,0.1204452606
0.4850547006,0.1205943388,0.1204636634,0.1206197232,0.004187415015,0.00434612888,0.001574889092,0.009571180726,0.1204128946,0.004240319637,0.1205507803,-1.244707055,0.1204128946,0.1204636634,0.1206197232,0.1205943388,0.1205507803
0.4954483092,0.1206065806,0.120500832,0.120612062,-0.001647721788,0.004478533708,-0.002361189968,0.005905470068,0.1204898692,0.0003943633775,0.1205713311,-0.3811136642,0.1204898692,0.120500832,0.120612062,0.1206065806,0.1205713311
0.5058419179,0.1205707789,0.1205780257,0.1205850198,-0.004346340466,0.01064120227,-0.00214923362,0.006246988578,0.120549544,0.0006495071129,0.1205731945,0.488971891,0.120549544,0.1205780257,0.1205850198,0.1205707789,0.1205731945
0.5162355265,0.1205409257,0.1207152505,0.1205817521,-6.638863059e-05,0.01513699088,0.002207148109,0.0105899174,0.1206335976,0.005001404541,0.1205990339,1.350727947,0.1206335976,0.1207152505,0.1205817521,0.1205409257,0.1205990339
0.5279158687,0.1206100283,0.1209073997,0.1206595353,0.01299545196,0.01806775254,0.01195376882,0.02015111882,0.1208083857,0.01468621882,0.1207091521,2.291001849,0.1208083857,0.1209073997,0.1206595353,0.1206100283,0.1207091521
0.5359985564,0.1207605658,0.1210738344,0.12079358,0.02434690361,0.02407388126,0.02160074888,0.02956619071,0.121007806,0.02425589616,0.1208649887,2.913996335,0.121007806,0.1210738344,0.12079358,0.1207605658,0.1208649887
0.546389689,0.1210900406,0.1214044439,0.1210965293,0.0390617516,0.04135677787,0.03731105883,0.04485816341,0.1213914665,0.03982676036,0.1211948417,3.669927559,0.1213914665,0.1214044439,0.1210965293,0.1210900406,0.1211948417
0.5572154224,0.121600969,0.1219889971,0.1216057572,0.05593410167,0.06720195828,0.05736514542,0.06433987077,0.1219794206,0.05969005387,0.1217303117,4.390834428,0.1219794206,0.1219889971,0.1216057572,0.121600969,0.1217303117
0.5680411558,0.1223220213,0.122853935,0.1223508309,0.07847500872,0.09176895549,0.08081516963,0.08708863366,0.1227963158,0.08290632431,0.1224993259,5.030605679,0.1227963158,0.122853935,0.1223508309,0.1223220213,0.1224993259
0.5814429909,0.1236112086,0.1242534798,0.123651012,0.1150536782,0.1168292959,0.1138967607,0.1191431308,0.1241738731,0.1156455507,0.123825299,5.692698777,0.1241738731,0.1242534798,0.123651012,0.1236112086,0.123825299
0.5922223689,0.1250204718,0.1256374228,0.1250346384,0.1461982999,0.1414110655,0.1431655532,0.147476559,0.1256090897,0.1446025551,0.1252261221,6.109089783,0.1256090897,0.1256374228,0.1250346384,0.1250204718,0.1252261221
0.6056579992,0.1272302704,0.1278148835,0.127217165,0.1823888828,0.1845436554,0.1820949074,0.1851316062,0.1278410943,0.1831071404,0.1274251414,6.470709061,0.1278410943,0.1278148835,0.127217165,0.1272302704,0.1274251414
0.6190936296,0.1299293496,0.1306028223,0.1299352859,0.2203269995,0.2291325777,0.2227035158,0.224379545,0.1305909497,0.2232621922,0.1301538405,6.648312255,0.1305909497,0.1306028223,0.1299352859,0.1299293496,0.1301538405
0.6337101353,0.133493965,0.13423364,0.1335175251,0.2681962983,0.2660640076,0.2674378783,0.2675808476,0.1341865199,0.2674855348,0.1337405233,6.626772018,0.1341865199,0.13423364,0.1335175251,0.133493965,0.1337405233
0.6483266411,0.1377602274,0.1383863219,0.1377489858,0.3142535023,0.3039610444,0.3112876518,0.3098927453,0.1384088051,0.310822683,0.1379689256,6.382292007,0.1384088051,0.1383863219,0.1377489858,0.1377602274,0.1379689256
0.6656757033,0.1436078538,0.1441444512,0.1435799892,0.3586562572,0.3600051768,0.3601576495,0.3570023922,0.1442001805,0.3591058971,0.1437867196,5.814563347,0.1442001805,0.1441444512,0.1435799892,0.1436078538,0.1437867196
0.6796577862,0.1488664185,0.1494381046,0.1488680632,0.3939522499,0.3942583505,0.3955439604,0.3910749296,0.1494348151,0.3940542835,0.1490569805,5.154981857,0.1494348151,0.1494381046,0.1488680632,0.1488664185,0.1490569805
0.6985434408,0.1567492058,0.1571650823,0.1567320795,0.4385500482,0.4237191716,0.435612468,0.4295943319,0.1571993349,0.4336064226,0.1568878313,4.016626276,0.1571993349,0.1571650823,0.1567320795,0.1567492058,0.1568878313
0.7136406002,0.1635481072,0.1637760842,0.1635012467,0.459937239,0.4527804317,0.4598907972,0.4528733152,0.1638698053,0.4575516366,0.1636240996,2.941155494,0.1638698053,0.1637760842,0.1635012467,0.1635481072,0.1636240996
0.7297200895,0.171065009,0.1712596964,0.1710469085,0.474698256,0.4741015284,0.4771007429,0.4692965546,0.1712958974,0.4744993468,0.1711299048,1.68063529,0.1712958974,0.1712596964,0.1710469085,0.171065009,0.1711299048
0.7494062352,0.1805591073,0.180596372,0.18054175,0.4875012772,0.4718404447,0.4850585859,0.4767258274,0.1806310866,0.4822809997,0.1805715289,0.049742664,0.1806310866,0.180596372,0.18054175,0.1805591073,0.1805715289
0.7643954668,0.187844285,0.1876566728,0.1877938837,0.4819385462,0.4711813705,0.4811513545,0.472755754,0.1877574756,0.478352821,0.1877817476,-1.199425009,0.1877574756,0.1876566728,0.1877938837,0.187844285,0.1877817476
0.7817757731,0.1960647847,0.1958132784,0.1960410506,0.4632533685,0.4634447462,0.4660161702,0.457919143,0.1958607467,0.4633171611,0.1959809493,-2.59186108,0.1958607467,0.1958132784,0.1960410506,0.1960647847,0.1959809493
0.7994128954,0.2040503741,0.2037133722,0.2040438852,0.4411885604,0.4294441249,0.439740717,0.4323398116,0.2037263499,0.4372737486,0.2039380401,-3.878670434,0.2037263499,0.2037133722,0.2040438852,0.2040503741,0.2039380401
0.8170500178,0.2115376138,0.2109716203,0.2114953601,0.4046608189,0.3955846699,0.4037496768,0.397406954,0.2110561276,0.4016354359,0.2113489493,-4.975730762,0.2110561276,0.2109716203,0.2114953601,0.2115376138,0.2113489493
0.8349314987,0.2183417759,0.2177563358,0.2183268475,0.3561807814,0.3601314149,0.359148796,0.3541953856,0.2177861925,0.3574976592,0.2181466292,-5.839277706,0.2177861925,0.2177563358,0.2183268475,0.2183417759,0.2181466292
0.8529908161,0.2243513379,0.2237588307,0.2243589959,0.3093103328,0.3023532829,0.3080905702,0.3047928081,0.2237435148,0.3069913162,0.2241538355,-6.413307762,0.2237435148,0.2237588307,0.2243589959,0.2243513379,0.2241538355
0.8710501335,0.2294598876,0.2287233486,0.2294339561,0.2543386646,0.2506473918,0.2535992399,0.2521262412,0.2287752116,0.2531082403,0.2292143746,-6.658456081,0.2287752116,0.2287233486,0.2294339561,0.2294598876,0.2292143746
0.8891094509,0.2335106565,0.2328548675,0.2335148025,0.1954562859,0.2049222802,0.1984691836,0.1988964849,0.2328465756,0.1986116174,0.2332920602,-6.562151177,0.2328465756,0.2328548675,0.2335148025,0.2335106565,0.2332920602
0.9071687683,0.2365896772,0.2360239688,0.2366155883,0.1468136237,0.1452610412,0.1455275333,0.147833222,0.2359721465,0.1462960962,0.2364011077,-6.129331676,0.2359721465,0.2360239688,0.2366155883,0.2365896772,0.2364011077
0.9220132535,0.2384782823,0.2378680521,0.2384742889,0.1070750604,0.1063199986,0.1055682703,0.1093335789,0.2378760389,0.1068233732,0.2382748722,-5.536687607,0.2378760389,0.2378680521,0.2384742889,0.2384782823,0.2382748722
0.9376701846,0.2398229632,0.2393144721,0.2398295109,0.06591507455,0.07896525644,0.06854437808,0.07370664939,0.2393013768,0.07026513518,0.2396534662,-4.703952967,0.2393013768,0.2393144721,0.2398295109,0.2398229632,0.2396534662
0.9501820829,0.2404873354,0.2401485205,0.2405268289,0.04192348966,0.05334475157,0.04368464449,0.0498224419,0.2400695335,0.04573057696,0.2403743971,-3.906217245,0.2400695335,0.2401485205,0.2405268289,0.2404873354,0.2403743971
0.9647165971,0.240953741,0.2406959484,0.2409881348,0.0231329455,0.02368636922,0.02095760057,0.02803705907,0.2406271607,0.02331742007,0.2408678101,-2.859993247,0.2406271607,0.2406959484,0.2409881348,0.240953741,0.2408678101
0.9759016643,0.2411393106,0.2408877185,0.2411482768,0.01008093678,0.01275663404,0.008424458925,0.01606958974,0.2408697862,0.01097283586,0.2410554466,-1.988142018,0.2408697862,0.2408877185,0.2411482768,0.2411393106,0.2410554466
0.9868970224,0.2411860331,0.241016737,0.2411936153,-0.0008983281132,0.01158134015,0.0005768010058,0.008631081915,0.2410015726,0.003261561309,0.2411296011,-1.092759031,0.2410015726,0.241016737,0.2411936153,0.2411860331,0.2411296011
0.9956165953,0.2411559729,0.2411180289,0.2411835921,-0.005121930396,0.01134112162,-0.002390873276,0.005879007378,0.2410627906,0.0003657536085,0.2411433249,-0.3670375759,0.2410627906,0.2411180289,0.2411835921,0.2411559729,0.2411433249
1,0.2411329094,0.2411657595,0.2411719882,-0.00516561425,0.01033125217,-0.002780296773,0.00556061722,0.2410876018,7.89131606e-09,0.2411438594,-3.265724798e-15,0.2410876018,0.2411657595,0.2411719882,0.2411329094,0.2411438594
