time,HeatCapacitor1.T,Capacitor1.v,H_PMOS.D.i,H_NMOS.D.i
3.232395795,299.7569744,0.1693301708,4.830669829e-07,8.014375289e-05
3.247403443,299.7606089,0.08299655357,4.917003446e-07,4.014420155e-05
3.263214979,299.7643708,0.03908477909,4.960915221e-07,1.896603065e-05
3.284232968,299.7692774,0.01486656666,4.985133433e-07,7.072497025e-06
3.298125011,299.7724639,0.008249595323,4.991750405e-07,3.821376109e-06
3.314184852,299.7760929,0.004552308217,4.995447692e-07,2.017372657e-06
3.330244692,299.7796641,0.002860395581,4.997139604e-07,1.194118868e-06
3.346914544,299.7833108,0.002073900591,4.997926099e-07,7.989276466e-07
3.355653516,299.7851984,0.001873295348,5.611938224e-07,6.859498066e-07
3.362303999,299.7866248,0.001949644598,1.118116827e-06,6.838517313e-07
3.37427985,299.7891784,0.00364215703,3.825862873e-06,1.168729308e-06
3.383025868,299.7910382,0.00706730593,7.434952646e-06,2.101946896e-06
3.393320672,299.7932316,0.01472350587,1.374364722e-05,3.94570063e-06
3.403615476,299.7954409,0.02782992568,2.256961405e-05,6.584670156e-06
3.414077164,299.7977159,0.04879310364,3.441028794e-05,9.889346701e-06
3.42468465,299.8000686,0.08070357378,4.964630693e-05,1.340555725e-05
3.435469041,299.8025241,0.1280953916,6.872034446e-05,1.62072228e-05
3.446400942,299.8050949,0.1973281884,9.195555744e-05,1.650251613e-05
3.457454464,299.8077922,0.2979162742,0.0001196045085,1.099069625e-05
3.468572676,299.8106125,0.4421300426,0.0001517313225,1.411305065e-06
3.477417537,299.8129353,0.5885067189,0.0001804042746,5.885067305e-08
3.488330714,299.8158982,0.8062976339,0.0002195580066,8.062976339e-08
3.516242873,299.8238663,1.577685433,0.0003347489714,1.577685433e-07
3.5300966,299.8278422,2.06952141,0.0003705525013,2.06952141e-07
3.552274736,299.8336788,2.896710563,0.0003630474863,2.896710563e-07
3.570739196,299.8378316,3.521003105,0.0003085330827,3.521003105e-07
3.593401137,299.8421654,4.118111258,0.0002180160861,4.118111258e-07
