time,Capacitor1.v_ref,Capacitor1.v_sim,Capacitor1.v_relerr,HeatCapacitor1.T_ref,HeatCapacitor1.T_sim,HeatCapacitor1.T_relerr
0.026,0.3821818089,1.335210915,0.190667,293.327568,100.33227,0.643371
0.02679947308,0.3958685248,1.381252148,0.19714,293.3329633,100.4920029,0.642857
0.027,0.3992678303,1.392649031,0.19874,293.3343158,100.5320468,0.642728
0.028,0.4160172757,1.44858778,0.206581,293.3410551,100.7316152,0.642085
0.029,0.4324262669,1.503052603,0.214194,293.3477858,100.9309759,0.641443
0.03,0.4484903005,1.556068751,0.221587,293.3545081,101.1301294,0.640802
0.031,0.4642046762,1.607661282,0.228765,293.3612219,101.3290762,0.640161
0.032,0.4795645627,1.657855061,0.235734,293.3679274,101.5278169,0.639521
0.033,0.4945653025,1.706674764,0.2425,293.3746245,101.7263518,0.638881
0.034,0.509202252,1.754144873,0.249069,293.3813134,101.9246816,0.638242
0.035,0.5234707992,1.80028968,0.255446,293.387994,102.1228066,0.637604
0.036,0.5373663293,1.845133283,0.261638,293.3946664,102.3207274,0.636966
0.037,0.5508844431,1.888699549,0.267649,293.4013306,102.5184444,0.63633
0.038,0.5640205672,1.93101218,0.273486,293.4079867,102.715958,0.635693
0.039,0.5767702871,1.97209466,0.279155,293.4146348,102.9132687,0.635058
0.04,0.5891292247,2.011970248,0.28466,293.4212748,103.1103769,0.634423
0.041,0.6010928796,2.050661991,0.290007,293.4279068,103.3072831,0.633788
0.042,0.6126571494,2.088192732,0.295202,293.434531,103.5039875,0.633155
0.043,0.6238175734,2.124585102,0.30025,293.4411472,103.7004907,0.632522
0.044,0.6345699184,2.159861528,0.305157,293.4477555,103.8967929,0.631889
0.045,0.6449101219,2.194044227,0.309927,293.4543561,104.0928947,0.631258
0.046,0.6548338383,2.227155208,0.314566,293.4609489,104.2887963,0.630627
0.047,0.6643371369,2.259216273,0.319079,293.4675339,104.4844981,0.629996
0.048,0.673415868,2.290249016,0.323471,293.4741113,104.6800005,0.629366
0.049,0.6820659147,2.320274822,0.327747,293.480681,104.8753039,0.628737
0.05,0.6902834768,2.34931487,0.331913,293.4872431,105.0704085,0.628109
0.051,0.698064543,2.377384471,0.335972,293.4937976,105.2653148,0.627481
0.052,0.7054052237,2.404506135,0.33993,293.5003446,105.460023,0.626854
0.053,0.7123016731,2.43070737,0.343792,293.5068841,105.6545335,0.626227
0.054,0.7187500973,2.456013086,0.347565,293.5134162,105.8488467,0.625601
0.055,0.7247468428,2.48044564,0.351253,293.5199408,106.0429627,0.624976
0.056,0.7302881792,2.504024835,0.354862,293.5264581,106.2368819,0.624351
0.057,0.7353704696,2.526767924,0.358395,293.5329679,106.4306047,0.623727
0.058,0.7399901258,2.548689603,0.361856,293.5394705,106.6241312,0.623103
0.059,0.7441436079,2.569802016,0.365249,293.5459658,106.817462,0.62248
0.06,0.7478274836,2.590114754,0.368576,293.5524539,107.0105971,0.621858
0.06076656962,0.750331301,2.605148909,0.371083,293.5574225,107.1585165,0.621382
0.061,0.7510382881,2.609634853,0.371839,293.5589347,107.2035371,0.621237
0.062,0.7537745335,2.628366799,0.375039,293.5654084,107.3962821,0.620616
0.063,0.7560386236,2.646312521,0.378177,293.5718749,107.5888326,0.619995
0.064,0.7578331407,2.663471396,0.38125,293.5783343,107.7811889,0.619376
0.065,0.7591614037,2.679840249,0.38426,293.5847865,107.9733512,0.618757
0.066,0.7600267817,2.69541335,0.387202,293.5912317,108.16532,0.618138
0.067,0.7604333391,2.710182415,0.390075,293.5976698,108.3570955,0.61752
0.068,0.7603861094,2.72413468,0.392876,293.6041009,108.5486782,0.616903
0.069,0.7598902084,2.73723169,0.395596,293.6105249,108.7400684,0.616286
0.07,0.7589513519,2.749452575,0.398229,293.616942,108.9312665,0.61567
0.071,0.7575755593,2.76078226,0.40077,293.623352,109.1222729,0.615055
0.072,0.7557693086,2.771206014,0.403217,293.6297551,109.3130878,0.61444
0.073,0.7535394914,2.780709444,0.405565,293.6361513,109.5037117,0.613826
0.074,0.7508934912,2.7892785,0.407808,293.6425405,109.6941449,0.613213
0.075,0.7478389999,2.796899471,0.409944,293.6489227,109.8843877,0.6126
0.076,0.7443842597,2.803558987,0.411968,293.6552981,110.0744404,0.611987
0.077,0.7405379074,2.809244018,0.413875,293.6616665,110.2643034,0.611376
0.078,0.7363089499,2.813941743,0.41566,293.6680281,110.453977,0.610765
0.079,0.7317067187,2.817639647,0.417321,293.6743828,110.6434614,0.610154
0.08,0.7267410583,2.820326109,0.418852,293.6807307,110.8327571,0.609544
0.081,0.721421979,2.821989452,0.420249,293.6870716,111.0218642,0.608935
0.082,0.7157600245,2.822618321,0.421507,293.6934058,111.2107831,0.608326
0.083,0.7097659445,2.822201677,0.422623,293.6997331,111.3995141,0.607718
0.084,0.7034507688,2.820728802,0.423592,293.7060535,111.5880575,0.607111
0.085,0.6968259577,2.818189295,0.424409,293.7123672,111.7764136,0.606504
0.086,0.6899029935,2.814573075,0.425071,293.718674,111.9645826,0.605898
0.087,0.6826938738,2.80987038,0.425572,293.724974,112.1525648,0.605292
0.088,0.6752106734,2.804071768,0.425909,293.7312672,112.3403604,0.604687
0.089,0.667465661,2.797168113,0.426078,293.7375537,112.5279698,0.604082
0.09,0.6594713608,2.789150612,0.426073,293.7438333,112.7153932,0.603479
0.091,0.6512403448,2.780010777,0.425891,293.7501062,112.9026307,0.602875
0.092,0.6427853719,2.769740441,0.425528,293.7563723,113.0896828,0.602273
0.093,0.6341192779,2.758331756,0.424979,293.7626316,113.2765495,0.601671
0.094,0.6252550355,2.745777192,0.424241,293.7688842,113.4632311,0.601069
0.095,0.6162056288,2.73206954,0.423309,293.7751301,113.6497279,0.600468
0.096,0.6069840917,2.717201907,0.42218,293.7813691,113.83604,0.599868
0.097,0.5976034456,2.701167721,0.420848,293.7876015,114.0221677,0.599268
0.098,0.5880766976,2.683960729,0.419312,293.7938271,114.2081111,0.598669
0.099,0.5784168321,2.665574995,0.417566,293.8000461,114.3938705,0.598071
0.1,0.5686367537,2.646004905,0.415608,293.8062583,114.579446,0.597473
0.101,0.558749262,2.625245161,0.413432,293.8124638,114.7648378,0.596875
0.102,0.5487670579,2.603290786,0.411037,293.8186626,114.9500461,0.596279
0.103,0.5387026957,2.58013712,0.408418,293.8248548,115.1350711,0.595682
0.104,0.5285685861,2.555779825,0.405573,293.8310403,115.3199129,0.595087
0.105,0.5183769312,2.530215435,0.402497,293.8372191,115.5045717,0.594492
0.106,0.508139728,2.503439917,0.399189,293.8433913,115.6890476,0.593897
0.107,0.4978687985,2.47544628,0.395643,293.8495568,115.8733408,0.593304
0.108,0.4875756883,2.446232388,0.391858,293.8557157,116.0574513,0.59271
0.109,0.4772716643,2.415796208,0.38783,293.8618681,116.2413794,0.592118
0.11,0.4669677561,2.384135813,0.383557,293.8680138,116.4251252,0.591526
0.111,0.4566747282,2.351249379,0.379037,293.8741529,116.6086887,0.590934
0.112,0.4464029663,2.317135186,0.374267,293.8802855,116.7920702,0.590343
0.113,0.4361625641,2.281791621,0.369245,293.8864115,116.9752696,0.589753
0.114,0.4259633701,2.245217172,0.363968,293.892531,117.158287,0.589163
0.115,0.4158147754,2.207410435,0.358435,293.8986439,117.3411227,0.588574
0.116,0.4057258382,2.168370108,0.352642,293.9047504,117.5237766,0.587986
0.117,0.3957053678,2.128094995,0.34659,293.9108503,117.7062489,0.587398
0.118,0.3857616951,2.086584003,0.340274,293.9169438,117.8885395,0.58681
0.119,0.3759027809,2.043836145,0.333694,293.9230308,118.0706486,0.586224
0.12,0.3661362775,1.999850537,0.326848,293.9291114,118.2525762,0.585637
0.121,0.356469452,1.9546264,0.319734,293.9351855,118.4343224,0.585052
0.122,0.3469091128,1.90816306,0.312351,293.9412533,118.6158872,0.584467
0.123,0.3374617305,1.860459948,0.304698,293.9473146,118.7972707,0.583882
0.124,0.3281334712,1.811507249,0.29677,293.9533696,118.9784728,0.583298
0.125,0.3189299904,1.761316394,0.28857,293.9594182,119.1594936,0.582715
0.126,0.3098565894,1.709951617,0.280109,293.9654605,119.3403331,0.582132
0.127,0.300918317,1.657319029,0.271368,293.9714964,119.5209912,0.58155
0.128,0.2921197023,1.603360871,0.262333,293.977526,119.7014681,0.580969
0.129,0.2834649342,1.548055517,0.253,293.9835494,119.8817637,0.580388
0.13,0.2749579095,1.491417474,0.24337,293.9895665,120.0618781,0.579807
0.131,0.2666021255,1.433497383,0.233454,293.9955773,120.241811,0.579228
0.132,0.2584006943,1.374382017,0.223268,294.0015819,120.4215625,0.578648
0.133,0.2503564266,1.314194282,0.212836,294.0075803,120.6011322,0.57807
0.134,0.2424718304,1.253125628,0.202196,294.0135725,120.78052,0.577492
0.135,0.2347490145,1.191524069,0.191417,294.0195585,120.9597253,0.576914
0.136,0.2271897946,1.129777678,0.180576,294.0255384,121.1387479,0.576338
0.137,0.2197957441,1.068264781,0.169748,294.0315121,121.3175875,0.575761
0.138,0.2125680576,1.00733915,0.159005,294.0374797,121.496244,0.575186
0.139,0.2055076605,0.9473300093,0.148412,294.0434412,121.6747174,0.57461
0.14,0.1986152513,0.8885420279,0.13803,294.0493965,121.8530076,0.574036
0.141,0.1918912197,0.8312473509,0.127912,294.0553458,122.0311151,0.573462
0.142,0.1853357007,0.7756788692,0.118107,294.0612891,122.2090398,0.572889
0.143,0.178948606,0.7220471533,0.108655,294.0672263,122.3867822,0.572316
0.144,0.1727296182,0.6705288278,0.0995919,294.0731575,122.5643427,0.571744
0.145,0.1666781792,0.6212663139,0.0909469,294.0790826,122.7417217,0.571172
0.146,0.1607935311,0.5743678286,0.0827415,294.0850018,122.9189196,0.570601
0.1466547596,0.1570304142,0.5449781694,0.0776146,294.0888742,123.0348438,0.570228
0.1466547596,0.1570304142,0.5449781694,0.0776146,294.0888742,123.0348438,0.570228
0.147,0.155074718,0.5299021327,0.0749896,294.090915,123.095937,0.570031
0.148,0.1495199545,0.4878936577,0.0676965,294.0968222,123.2727742,0.569461
0.149,0.1441269259,0.4483516318,0.0608645,294.1027235,123.4494318,0.568892
0.15,0.138893106,0.4112533104,0.0544896,294.1086188,123.6259103,0.568323
0.151,0.1338160163,0.3765616216,0.0485648,294.1145082,123.8022101,0.567755
0.152,0.1288928258,0.3442251664,0.0430803,294.1203916,123.9783317,0.567188
0.153,0.1241206773,0.3141782184,0.0380238,294.1262691,124.1542755,0.566621
0.154,0.1194966645,0.2863298613,0.0333774,294.1321407,124.3300419,0.566054
0.155,0.1150178669,0.2605859357,0.029123,294.1380064,124.5056313,0.565489
0.156,0.1106813403,0.2368408494,0.02524,294.1438662,124.6810441,0.564923
0.157,0.1064841054,0.2149840908,0.021707,294.1497201,124.8562806,0.564359
0.158,0.1024232123,0.1949073155,0.0185028,294.1555681,125.0313411,0.563795
0.159,0.09849554449,0.1765043464,0.0156068,294.1614103,125.206226,0.563231
0.16,0.09469814484,0.1596711733,0.0129988,294.1672466,125.3809355,0.562668
0.161,0.09102791639,0.144304768,0.0106588,294.173077,125.5554698,0.562106
0.162,0.08748181067,0.1302928618,0.00856497,294.1789016,125.7298293,0.561544
0.163,0.08405678808,0.1175382424,0.00669845,294.1847203,125.9040142,0.560983
0.164,0.0807497859,0.1059428138,0.00504023,294.1905332,126.0780247,0.560422
0.165,0.0775577645,0.0954144057,0.00357248,294.1963402,126.2518611,0.559862
0.166,0.07447777195,0.08586677413,0.00227853,294.2021415,126.4255235,0.559302
0.167,0.0715067623,0.07721960086,0.00114294,294.2079369,126.5990121,0.558743
0.168,0.06864171634,0.06939849373,0.000151404,294.2137265,126.7723273,0.558185
0.169,0.0658798226,0.06233260686,0.000709672,294.2195103,126.9454691,0.557627
0.17,0.06321811587,0.05595374617,0.00145334,294.2252883,127.1184377,0.557069
0.171,0.06065360108,0.05020093964,0.00209121,294.2310606,127.2912334,0.556513
0.172,0.05818352958,0.04501716931,0.00263412,294.236827,127.4638564,0.555956
0.173,0.05580524946,0.04034980222,0.00309209,294.2425877,127.6363067,0.555401
0.174,0.05351575416,0.03615059043,0.00347415,294.2483426,127.8085847,0.554846
0.175,0.05131226414,0.03237567103,0.00378854,294.2540917,127.9806904,0.554291
0.176,0.04919251097,0.02898553765,0.0040427,294.2598351,128.1526241,0.553737
0.177,0.0471535117,0.02594272892,0.00424352,294.2655728,128.3243859,0.553184
0.178,0.0451926288,0.02321319466,0.0043973,294.2713047,128.495976,0.552631
0.179,0.04330778196,0.02076646705,0.00450972,294.2770308,128.6673946,0.552078
0.18,0.04149613952,0.01857452117,0.0045858,294.2827513,128.8386419,0.551526
0.181,0.03975537298,0.01661177499,0.00463021,294.288466,129.009718,0.550975
0.182,0.03808328937,0.01485508937,0.00464714,294.294175,129.180623,0.550425
0.183,0.03647731706,0.01328376806,0.0046402,294.2998783,129.3513573,0.549874
0.184,0.03493544782,0.01187947899,0.00461268,294.3055758,129.5219209,0.549325
0.185,0.03345537776,0.0106246251,0.00456762,294.3112677,129.6923141,0.548776
0.186,0.03203481868,0.009503898848,0.00450764,294.3169539,129.8625369,0.548227
0.187,0.03067199835,0.008503582158,0.00443511,294.3226344,130.0325896,0.547679
0.188,0.02936460321,0.007611111485,0.0043521,294.3283092,130.2024723,0.547132
0.189,0.02811069248,0.006815077797,0.0042605,294.3339783,130.3721852,0.546585
0.19,0.02690850432,0.006105226587,0.004162,294.3396418,130.5417285,0.546039
0.191,0.02575590339,0.005472457865,0.004058,294.3452996,130.7111023,0.545493
0.192,0.02465119941,0.00490888552,0.00394974,294.3509518,130.8803068,0.544948
0.193,0.02359263948,0.004407113801,0.00383834,294.3565983,131.0493422,0.544403
0.194,0.02257844594,0.003960166899,0.00372486,294.3622391,131.2182087,0.543859
0.195,0.02160693737,0.00356242109,0.00361007,294.3678743,131.3869064,0.543315
0.196,0.02067648314,0.003208684176,0.00349469,294.3735039,131.5554354,0.542772
0.197,0.0197855354,0.002894195487,0.00337936,294.3791279,131.7237961,0.54223
0.198,0.01893262363,0.002614625879,0.00326465,294.3847462,131.8919884,0.541688
0.199,0.01811626338,0.002366077737,0.00315105,294.3903589,132.0600126,0.541146
0.2,0.01733505367,0.002145084972,0.00303897,294.395966,132.2278689,0.540606
0.201,0.01658764762,0.001948613022,0.00292875,294.4015675,132.3955575,0.540065
0.202,0.01587264554,0.001774058853,0.00282063,294.4071634,132.5630784,0.539525
0.203,0.01518873078,0.001619245866,0.00271477,294.4127537,132.7304319,0.538986
0.204,0.01453472447,0.001481747733,0.00261144,294.4183384,132.8976181,0.538447
0.205,0.01390944642,0.001359660916,0.00251077,294.4239175,133.0646372,0.537909
0.206,0.01331176504,0.001251341571,0.00241286,294.4294911,133.2314894,0.537372
0.207,0.01274045183,0.001155279261,0.00231778,294.4350591,133.3981748,0.536835
0.208,0.01219444894,0.001070096948,0.00222559,294.4406215,133.5646936,0.536298
0.209,0.01167275845,0.0009945510001,0.00213633,294.4461783,133.7310459,0.535762
0.21,0.01117439561,0.0009275311897,0.00205003,294.4517296,133.897232,0.535226
0.211,0.01069841936,0.0008680606917,0.00196671,294.4572754,134.063252,0.534691
0.212,0.01024375056,0.000815296085,0.0018863,294.4628156,134.2291061,0.534157
0.213,0.009809568482,0.0007685328019,0.00180879,294.4683503,134.3947944,0.533623
0.214,0.009395028229,0.0007271391443,0.00173414,294.4738794,134.560317,0.53309
0.215,0.008999315886,0.0006904119518,0.00166232,294.479403,134.7256743,0.532557
0.216,0.008621641149,0.0006578612823,0.00159327,294.4849211,134.8908663,0.532025
0.217,0.00826110692,0.0006290343136,0.00152691,294.4904337,135.0558931,0.531493
0.218,0.007917057556,0.0006035153436,0.00146318,294.4959408,135.220755,0.530962
0.219,0.007588794861,0.0005809257904,0.00140203,294.5014423,135.3854522,0.530431
0.22,0.007275654958,0.0005609241924,0.00134338,294.5069384,135.5499847,0.529901
0.221,0.006976968298,0.0005432062079,0.00128717,294.5124289,135.7143527,0.529371
0.222,0.006692009737,0.0005275046153,0.0012333,294.517914,135.8785565,0.528842
0.223,0.006420249038,0.0005135893132,0.00118171,294.5233936,136.0425962,0.528314
0.224,0.006161119836,0.0005012673204,0.00113234,294.5288677,136.2064719,0.527785
0.225,0.005914085682,0.0004903911528,0.00108509,294.5343364,136.3701838,0.527258
0.226,0.005678587899,0.0004807623795,0.0010399,294.5397996,136.5337321,0.526731
0.227,0.005454065328,0.000472240349,0.000996686,294.5452573,136.6971169,0.526204
0.228,0.005240067057,0.0004647098268,0.000955379,294.5507096,136.8603384,0.525679
0.229,0.005036123599,0.0004580642025,0.000915907,294.5561564,137.0233968,0.525153
0.23,0.004841785046,0.0004522054894,0.000878199,294.5615978,137.1862922,0.524628
0.231,0.004656620213,0.0004470443252,0.000842186,294.5670337,137.3490247,0.524104
0.232,0.00448021579,0.0004424999712,0.000807803,294.5724642,137.5115947,0.52358
0.233,0.004312175482,0.0004385003129,0.000774985,294.5778893,137.6740021,0.523057
0.234,0.004152119163,0.0004349818599,0.000743667,294.5833089,137.8362472,0.522534
0.235,0.003999682017,0.0004318897455,0.000713788,294.5887231,137.9983302,0.522012
0.236,0.003854524088,0.0004291777273,0.00068529,294.594132,138.1602511,0.52149
0.237,0.003716307006,0.0004268081867,0.000658112,294.5995354,138.3220102,0.520969
0.238,0.003584706856,0.0004247565553,0.000632194,294.6049334,138.4836076,0.520448
0.239,0.003459413773,0.0004229731797,0.000607484,294.610326,138.6450435,0.519928
0.24,0.003340129252,0.0004214309429,0.000583928,294.6157133,138.8063181,0.519408
0.241,0.003226565314,0.0004201074084,0.000561472,294.6210951,138.9674315,0.518889
0.242,0.003118443668,0.0004189816746,0.000540066,294.6264716,139.1283838,0.51837
0.243,0.00301549488,0.0004180343751,0.00051966,294.6318427,139.2891752,0.517852
0.244,0.002917488602,0.0004172476787,0.000500209,294.6372084,139.449806,0.517335
0.245,0.002824298338,0.0004166052892,0.000481694,294.6425687,139.6102762,0.516818
0.246,0.002735608781,0.0004160924457,0.000464053,294.6479237,139.770586,0.516301
0.247,0.00265119964,0.0004156959225,0.000447245,294.6532734,139.9307356,0.515785
0.248,0.002570858175,0.0004154040287,0.00043123,294.6586177,140.0907251,0.515269
0.249,0.002494378528,0.0004152066089,0.000415968,294.6639567,140.2505547,0.514754
0.25,0.00242156105,0.0004150950427,0.000401423,294.6692903,140.4102245,0.51424
0.251,0.00235230685,0.0004150622448,0.000387574,294.6746186,140.5697348,0.513726
0.252,0.002286466506,0.0004151026651,0.000374393,294.6799416,140.7290856,0.513212
0.253,0.00222383517,0.0004152145344,0.000361841,294.6852592,140.8882772,0.512699
0.254,0.002164260069,0.0004153890858,0.000349887,294.6905715,141.0473096,0.512187
0.255,0.002107595058,0.000415620428,0.000338504,294.6958786,141.2061831,0.511675
0.256,0.002053700157,0.0004159054924,0.000327664,294.7011803,141.3648978,0.511164
0.257,0.002002441403,0.0004162413914,0.000317342,294.7064767,141.5234539,0.510653
0.258,0.00195373071,0.0004166254188,0.00030752,294.7117678,141.6818514,0.510142
0.259,0.00190742772,0.0004170550494,0.000298171,294.7170537,141.8400907,0.509633
0.26,0.00186341963,0.0004175279392,0.000289272,294.7223342,141.9981718,0.509123
0.261,0.001821598529,0.0004180419253,0.000280802,294.7276095,142.1560949,0.508614
0.262,0.001781860999,0.0004185950261,0.000272741,294.7328795,142.3138602,0.508106
0.263,0.001744107719,0.000419185441,0.00026507,294.7381442,142.4714677,0.507598
0.264,0.001708248207,0.0004198115505,0.00025777,294.7434037,142.6289178,0.507091
0.265,0.001674198416,0.0004204719164,0.000250826,294.7486579,142.7862105,0.506584
0.266,0.001641865976,0.0004211652815,0.000244219,294.7539069,142.9433459,0.506078
0.267,0.00161116691,0.0004218905699,0.000237932,294.7591506,143.1003243,0.505572
0.268,0.001582019772,0.0004226468867,0.000231949,294.7643891,143.2571458,0.505066
0.269,0.001554345285,0.0004234335183,0.000226255,294.7696223,143.4138106,0.504562
0.27,0.001528065963,0.0004242499321,0.000220834,294.7748504,143.5703188,0.504057
0.271,0.001503150832,0.0004250957767,0.00021568,294.7800732,143.7266705,0.503553
0.272,0.00147952344,0.0004259728358,0.000210778,294.7852907,143.882866,0.50305
0.273,0.001457112241,0.000426878528,0.000206113,294.7905031,144.0389053,0.502547
0.274,0.00143585588,0.0004278120564,0.000201674,294.7957102,144.1947887,0.502045
0.275,0.001415694789,0.0004287734984,0.000197448,294.8009122,144.3505163,0.501543
0.276,0.001396570932,0.0004297629322,0.000193424,294.8061089,144.5060882,0.501042
0.277,0.001378436252,0.0004307804369,0.000189592,294.8113004,144.6615047,0.500541
0.278,0.001361279181,0.0004318260923,0.000185951,294.8164868,144.8167658,0.500041
0.279,0.00134502879,0.0004328999795,0.000182485,294.821668,144.9718717,0.499541
0.28,0.001329641426,0.0004340021801,0.000179186,294.826844,145.1268226,0.499042
0.281,0.001315075347,0.0004351327768,0.000176045,294.8320148,145.2816186,0.498543
0.282,0.001301290576,0.0004362918531,0.000173055,294.8371804,145.4362599,0.498045
0.283,0.001288248754,0.0004374794933,0.000170209,294.8423409,145.5907466,0.497547
0.284,0.001275923342,0.0004386957829,0.000167499,294.8474962,145.7450789,0.49705
0.285,0.001264284543,0.0004399408081,0.000164922,294.8526464,145.899257,0.496553
0.286,0.001253296307,0.0004412146558,0.000162469,294.8577915,146.053281,0.496057
0.287,0.001242929303,0.0004425174141,0.000160134,294.8629313,146.207151,0.495561
0.288,0.001233155676,0.0004438491718,0.000157912,294.8680661,146.3608672,0.495065
0.289,0.001223948938,0.0004452100188,0.000155798,294.8731957,146.5144298,0.494571
0.29,0.001215283858,0.0004466000456,0.000153786,294.8783202,146.6678389,0.494076
0.291,0.00120713817,0.0004480193438,0.000151873,294.8834396,146.8210947,0.493582
0.292,0.001199488175,0.0004494680058,0.000150052,294.8885538,146.9741973,0.493089
0.293,0.001192312086,0.0004509461249,0.000148321,294.893663,147.1271469,0.492596
0.294,0.001185589,0.0004524537953,0.000146674,294.898767,147.2799435,0.492104
0.295,0.001179298776,0.0004539924196,0.000145108,294.9038659,147.4325875,0.491612
0.296,0.00117342193,0.0004555646275,0.000143618,294.9089598,147.5850789,0.491121
0.297,0.001167943473,0.0004571663455,0.000142201,294.9140485,147.7374179,0.49063
0.298,0.001162851892,0.0004587983533,0.000140856,294.9191322,147.8896046,0.490139
0.299,0.001158126631,0.000460461404,0.000139578,294.9242108,148.0416392,0.48965
0.3,0.001153752207,0.0004621562243,0.000138364,294.9292843,148.1935219,0.48916
0.301,0.001149713631,0.0004638835143,0.00013721,294.9343527,148.3452528,0.488671
0.302,0.001145996324,0.0004656439477,0.000136114,294.9394161,148.496832,0.488183
0.303,0.001142586034,0.0004674381717,0.000135073,294.9444744,148.6482596,0.487695
0.304,0.001139468751,0.000469266807,0.000134084,294.9495276,148.799536,0.487207
0.305,0.00113663063,0.0004711304478,0.000133143,294.9545758,148.9506611,0.48672
0.306,0.001134066245,0.0004730296617,0.00013225,294.959619,149.1016352,0.486234
0.307,0.001131776005,0.0004749649902,0.000131405,294.9646571,149.2524584,0.485748
0.308,0.001129738234,0.0004769369478,0.000130602,294.9696901,149.4031308,0.485262
0.309,0.001127942507,0.0004789460228,0.000129841,294.9747182,149.5536527,0.484777
0.31,0.001126378627,0.000480992677,0.000129119,294.9797412,149.7040241,0.484293
0.311,0.001125036565,0.0004830773457,0.000128433,294.9847592,149.8542452,0.483809
0.312,0.001123906405,0.0004852004377,0.000127782,294.9897722,150.0043161,0.483325
0.313,0.001122978289,0.0004873623353,0.000127164,294.9947802,150.1542371,0.482842
0.314,0.001122242361,0.0004895633943,0.000126577,294.9997831,150.3040082,0.48236
0.315,0.001121699577,0.000491803944,0.00012602,295.0047811,150.4536296,0.481877
0.316,0.00112135964,0.0004940842872,0.000125495,295.0097741,150.6031015,0.481396
0.317,0.00112120035,0.0004964047003,0.000124999,295.0147621,150.752424,0.480915
0.318,0.001121215524,0.0004987654333,0.00012453,295.0197451,150.9015972,0.480434
0.319,0.001121399221,0.0005011667093,0.000124086,295.0247231,151.0506213,0.479954
0.32,0.00112174571,0.0005036087254,0.000123667,295.0296961,151.1994965,0.479474
0.321,0.001122249446,0.0005061000748,0.00012327,295.0346642,151.3482229,0.478995
0.322,0.001122905038,0.000508634515,0.000122894,295.0396273,151.4968006,0.478516
0.323,0.001123707222,0.0005112105188,0.000122539,295.0445854,151.6452298,0.478038
0.324,0.001124655832,0.0005138296563,0.000122205,295.0495386,151.7935107,0.47756
0.325,0.001125755721,0.0005164934454,0.000121892,295.0544868,151.9416434,0.477083
0.326,0.001126995618,0.0005192033529,0.000121598,295.0594301,152.089628,0.476606
0.327,0.001128372398,0.0005219607936,0.000121321,295.0643685,152.2374647,0.47613
0.328,0.001129883146,0.0005247671308,0.000121062,295.0693019,152.3851536,0.475654
0.329,0.001131525142,0.0005276236761,0.000120819,295.0742304,152.5326949,0.475178
0.33,0.001133295837,0.0005305316894,0.000120592,295.0791539,152.6800888,0.474703
0.331,0.001135192845,0.0005334923793,0.000120379,295.0840726,152.8273353,0.474229
0.332,0.001137213917,0.0005365069022,0.00012018,295.0889863,152.9744346,0.473755
0.333,0.001139357698,0.0005395763633,0.000119995,295.0938951,153.121387,0.473281
0.334,0.001141623862,0.000542701816,0.000119823,295.098799,153.2681924,0.472808
