time,impedance.z.im,impedance.z.re
0.4709418838,0,0.007
0.4729458918,0,0.007
0.4749498998,0,0.007
0.4769539078,0,0.007
0.4789579158,0,0.007
0.4809619238,0,0.007
0.4829659319,0,0.007
0.4849699399,0,0.007
0.4869739479,0,0.007
0.4889779559,0,0.007
0.4909819639,0,0.007
0.4929859719,0,0.007
0.49498998,0,0.007
0.496993988,0,0.007
0.498997996,0,0.007
0.501002004,0,0.007
0.503006012,0,0.007
0.50501002,0,0.007
0.5070140281,0,0.007
0.5090180361,0,0.007
0.5110220441,0,0.007
0.5130260521,0,0.007
0.5150300601,0,0.007
0.5170340681,0,0.007
0.5190380762,0,0.007
0.5210420842,0,0.007
0.5230460922,0,0.007
0.5250501002,0,0.007
0.5270541082,0,0.007
0.5290581162,0,0.007
0.5310621242,0,0.007
0.5330661323,0,0.007
0.5350701403,0,0.007
0.5370741483,0,0.007
0.5390781563,0,0.007
0.5410821643,0,0.007
0.5430861723,0,0.007
0.5450901804,0,0.007
0.5470941884,0,0.007
0.5490981964,0,0.007
0.5511022044,0,0.007
0.5531062124,0,0.007
0.5551102204,0,0.007
0.5571142285,0,0.007
0.5591182365,0,0.007
0.5611222445,0,0.007
0.5631262525,0,0.007
0.5651302605,0,0.007
0.5671342685,0,0.007
0.5691382766,0,0.007
0.5711422846,0,0.007
0.5731462926,0,0.007
0.5751503006,0,0.007
0.5771543086,0,0.007
0.5791583166,0,0.007
0.5811623246,0,0.007
0.5831663327,0,0.007
0.5851703407,0,0.007
0.5871743487,0,0.007
0.5891783567,0,0.007
0.5911823647,0,0.007
0.5931863727,0,0.007
0.5951903808,0,0.007
0.5971943888,0,0.007
0.5991983968,0,0.007
0.6012024048,0,0.007
0.6032064128,0,0.007
0.6052104208,0,0.007
0.6072144289,0,0.007
0.6092184369,0,0.007
0.6112224449,0,0.007
0.6132264529,0,0.007
0.6152304609,0,0.007
0.6172344689,0,0.007
0.619238477,0,0.007
0.621242485,0,0.007
0.623246493,0,0.007
0.625250501,0,0.007
0.627254509,0,0.007
0.629258517,0,0.007
0.6312625251,0,0.007
0.6332665331,0,0.007
0.6352705411,0,0.007
0.6372745491,0,0.007
0.6392785571,0,0.007
0.6412825651,0,0.007
0.6432865731,0,0.007
0.6452905812,0,0.007
0.6472945892,0,0.007
0.6492985972,0,0.007
0.6513026052,0,0.007
0.6533066132,0,0.007
0.6553106212,0,0.007
0.6573146293,0,0.007
0.6593186373,0,0.007
0.6613226453,0,0.007
0.6633266533,0,0.007
0.6653306613,0,0.007
0.6673346693,0,0.007
0.6693386774,0,0.007
0.6713426854,0,0.007
0.6733466934,0,0.007
0.6753507014,0,0.007
0.6773547094,0,0.007
0.6793587174,0,0.007
0.6813627255,0,0.007
0.6833667335,0,0.007
0.6853707415,0,0.007
0.6873747495,0,0.007
0.6893787575,0,0.007
0.6913827655,0,0.007
0.6933867735,0,0.007
0.6953907816,0,0.007
0.6973947896,0,0.007
0.6993987976,0,0.007
0.7014028056,0,0.007
0.7034068136,0,0.007
0.7054108216,0,0.007
0.7074148297,0,0.007
0.7094188377,0,0.007
0.7114228457,0,0.007
0.7134268537,0,0.007
0.7154308617,0,0.007
0.7174348697,0,0.007
0.7194388778,0,0.007
0.7214428858,0,0.007
0.7234468938,0,0.007
0.7254509018,0,0.007
0.7274549098,0,0.007
0.7294589178,0,0.007
0.7314629259,0,0.007
0.7334669339,0,0.007
0.7354709419,0,0.007
0.7374749499,0,0.007
0.7394789579,0,0.007
0.7414829659,0,0.007
0.7434869739,0,0.007
0.745490982,0,0.007
0.74749499,0,0.007
0.749498998,0,0.007
0.751503006,0,0.007
0.753507014,0,0.007
0.755511022,0,0.007
0.7575150301,0,0.007
0.7595190381,0,0.007
0.7615230461,0,0.007
0.7635270541,0,0.007
0.7655310621,0,0.007
0.7675350701,0,0.007
0.7695390782,0,0.007
0.7715430862,0,0.007
0.7735470942,0,0.007
0.7755511022,0,0.007
0.7775551102,0,0.007
0.7795591182,0,0.007
0.7815631263,0,0.007
0.7835671343,0,0.007
0.7855711423,0,0.007
0.7875751503,0,0.007
0.7895791583,0,0.007
0.7915831663,0,0.007
0.7935871743,0,0.007
0.7955911824,0,0.007
0.7975951904,0,0.007
0.7995991984,0,0.007
0.8016032064,0,0.007
0.8036072144,0,0.007
0.8056112224,0,0.007
0.8076152305,0,0.007
0.8096192385,0,0.007
0.8116232465,0,0.007
0.8136272545,0,0.007
0.8156312625,0,0.007
0.8176352705,0,0.007
0.8196392786,0,0.007
0.8216432866,0,0.007
0.8236472946,0,0.007
0.8256513026,0,0.007
0.8276553106,0,0.007
0.8296593186,0,0.007
0.8316633267,0,0.007
0.8336673347,0,0.007
0.8356713427,0,0.007
0.8376753507,0,0.007
0.8396793587,0,0.007
0.8416833667,0,0.007
0.8436873747,0,0.007
0.8456913828,0,0.007
0.8476953908,0,0.007
0.8496993988,0,0.007
0.8517034068,0,0.007
0.8537074148,0,0.007
0.8557114228,0,0.007
0.8577154309,0,0.007
0.8597194389,0,0.007
0.8617234469,0,0.007
0.8637274549,0,0.007
0.8657314629,0,0.007
0.8677354709,0,0.007
0.869739479,0,0.007
0.871743487,0,0.007
0.873747495,0,0.007
0.875751503,0,0.007
0.877755511,0,0.007
0.879759519,0,0.007
0.8817635271,0,0.007
0.8837675351,0,0.007
0.8857715431,0,0.007
0.8877755511,0,0.007
0.8897795591,0,0.007
0.8917835671,0,0.007
0.8937875752,0,0.007
0.8957915832,0,0.007
0.8977955912,0,0.007
0.8997995992,0,0.007
0.9018036072,0,0.007
0.9038076152,0,0.007
0.9058116232,0,0.007
0.9078156313,0,0.007
0.9098196393,0,0.007
0.9118236473,0,0.007
0.9138276553,0,0.007
0.9158316633,0,0.007
0.9178356713,0,0.007
0.9198396794,0,0.007
0.9218436874,0,0.007
0.9238476954,0,0.007
0.9258517034,0,0.007
0.9278557114,0,0.007
0.9298597194,0,0.007
0.9318637275,0,0.007
0.9338677355,0,0.007
0.9358717435,0,0.007
0.9378757515,0,0.007
0.9398797595,0,0.007
0.9418837675,0,0.007
0.9438877756,0,0.007
0.9458917836,0,0.007
0.9478957916,0,0.007
0.9498997996,0,0.007
0.9519038076,0,0.007
0.9539078156,0,0.007
0.9559118236,0,0.007
0.9579158317,0,0.007
0.9599198397,0,0.007
0.9619238477,0,0.007
0.9639278557,0,0.007
0.9659318637,0,0.007
0.9679358717,0,0.007
0.9699398798,0,0.007
0.9719438878,0,0.007
0.9739478958,0,0.007
0.9759519038,0,0.007
0.9779559118,0,0.007
0.9799599198,0,0.007
0.9819639279,0,0.007
0.9839679359,0,0.007
0.9859719439,0,0.007
0.9879759519,0,0.007
0.9899799599,0,0.007
0.9919839679,0,0.007
0.993987976,0,0.007
0.995991984,0,0.007
0.997995992,0,0.007
1,0,0.007
