time,SaturatingInductance1.i,Inductance1.i,SaturatingInductance1.Psi
4.28,-1.235480046,-1.134958691,-1.134958691
4.29,-1.244743008,-1.140139873,-1.140139873
4.3,-1.253815431,-1.145207045,-1.145207045
4.31,-1.262695254,-1.150159698,-1.150159698
4.32,-1.271380489,-1.154997336,-1.154997336
4.33,-1.279869224,-1.159719474,-1.159719474
4.34,-1.288159623,-1.164325638,-1.164325638
4.35,-1.296250728,-1.168815367,-1.168815367
4.36,-1.304140792,-1.173188216,-1.173188216
4.37,-1.311828014,-1.177443749,-1.177443749
4.38,-1.319310778,-1.181581538,-1.181581538
4.39,-1.326587523,-1.18560117,-1.18560117
4.4,-1.333656742,-1.18950224,-1.18950224
4.41,-1.340516982,-1.19328436,-1.19328436
4.42,-1.347166845,-1.196947152,-1.196947152
4.43,-1.353604986,-1.200490248,-1.200490248
4.44,-1.359830116,-1.203913294,-1.203913294
4.45,-1.365840997,-1.20721595,-1.20721595
4.46,-1.371636448,-1.210397886,-1.210397886
4.47,-1.377215342,-1.213458782,-1.213458782
4.48,-1.382576605,-1.216398335,-1.216398335
4.49,-1.387719218,-1.21921625,-1.21921625
4.5,-1.392642215,-1.221912246,-1.221912246
4.51,-1.397344686,-1.224486054,-1.224486054
4.52,-1.401825774,-1.226937417,-1.226937417
4.53,-1.406084677,-1.229266088,-1.229266088
4.54,-1.410120646,-1.231471837,-1.231471837
4.55,-1.413932986,-1.233554441,-1.233554441
4.56,-1.417521059,-1.235513691,-1.235513691
4.57,-1.420884278,-1.237349392,-1.237349392
4.58,-1.424022112,-1.239061359,-1.239061359
4.59,-1.426934083,-1.240649418,-1.240649418
4.6,-1.429619768,-1.24211341,-1.24211341
4.61,-1.432077783,-1.24345319,-1.24345319
4.62,-1.434307973,-1.244668625,-1.244668625
4.63,-1.436310567,-1.245759592,-1.245759592
4.64,-1.438085133,-1.246725983,-1.246725983
4.65,-1.439631284,-1.247567701,-1.247567701
