time,dcpm.airGapDC.ia,dcpm.inertiaRotor.w,dcpm.friction.phi,dcpm.flange.tau,dcpm.la.i,loadInertia.w,loadInertia.phi
0.1230158709,18.8344508,152.5225932,19.26903303,-37.82519189,18.8344508,152.5225932,19.26903303
0.1279858063,26.27024192,151.7051995,20.02499677,-40.19207772,26.27024192,151.7051995,20.02499677
0.1336482557,35.43360543,150.8737808,20.88161386,-43.10886691,35.43360543,150.8737808,20.88161386
0.1401421925,46.40710082,150.0593653,21.85865239,-46.60183898,46.40710082,150.0593653,21.85865239
0.1477856504,59.34802275,149.2954753,23.00257164,-50.72106237,59.34802275,149.2954753,23.00257164
0.1585012779,76.4079686,148.5686076,24.59812508,-56.15141179,76.4079686,148.5686076,24.59812508
0.1671960975,88.54787543,148.2481618,25.88834682,-60.01566415,88.54787543,148.2481618,25.88834682
0.1769639829,99.80983551,148.1322037,27.33566146,-63.60045738,99.80983551,148.1322037,27.33566146
0.1867318684,108.310205,148.2212621,28.7828914,-66.30620901,108.310205,148.2212621,28.7828914
0.1967904313,114.1916235,148.4665096,30.27491256,-68.17832267,114.1916235,148.4665096,30.27491256
0.2070418268,117.4405755,148.8153264,31.79862915,-69.21249623,117.4405755,148.8153264,31.79862915
0.2176078593,118.3386804,149.2206626,33.37314058,-69.4983719,118.3386804,149.2206626,33.37314058
0.2285329577,117.2491721,149.6366078,35.00568636,-69.15157061,117.2491721,149.6366078,35.00568636
0.2399762842,114.6113195,150.0259068,36.72031571,-68.31191607,114.6113195,150.0259068,36.72031571
0.2521583663,110.8921573,150.3568655,38.55005742,-67.12806996,110.8921573,150.3568655,38.55005742
0.2656026751,106.5225073,150.6051498,40.57331059,-65.73716718,106.5225073,150.6051498,40.57331059
0.2833951387,101.4152337,150.7512242,43.25453348,-64.1114715,101.4152337,150.7512242,43.25453348
0.2971992959,98.4891414,150.7473952,45.3355993,-63.18006739,98.4891414,150.7473952,45.3355993
0.3123631314,96.47930246,150.6632053,47.62095133,-62.54031578,96.47930246,150.6632053,47.62095133
0.327526967,95.62032513,150.533412,49.90463406,-62.26689481,95.62032513,150.533412,49.90463406
0.3429461867,95.65436808,150.3887164,52.22462459,-62.27773102,95.65436808,150.3887164,52.22462459
0.3589773945,96.30177865,150.2507459,54.63440175,-62.4838082,96.30177865,150.2507459,54.63440175
0.3762017798,97.29872329,150.1335,57.22131614,-62.80114554,97.29872329,150.1335,57.22131614
0.3962362238,98.43245675,150.0435856,60.22817583,-63.16202411,98.43245675,150.0435856,60.22817583
0.4174059031,99.30298731,149.9944221,63.40396094,-63.43912259,99.30298731,149.9944221,63.40396094
0.4385755824,99.75126343,149.9748337,66.579052,-63.58181331,99.75126343,149.9748337,66.579052
0.4599560315,99.85328883,149.9670767,69.78549034,-63.614289,99.85328883,149.9670767,69.78549034
0.4825112412,99.73978965,149.9580533,73.1679379,-63.57816109,99.73978965,149.9580533,73.1679379
0.5074795238,99.53753537,149.9390785,76.91191862,-63.51378156,99.53753537,149.9390785,76.91191862
0.5478134129,99.33416918,149.8893717,82.95860122,-63.44904809,99.33416918,149.8893717,82.95860122
0.5722228977,99.32274813,149.8544399,86.61689837,-63.44541265,99.32274813,149.8544399,86.61689837
0.6056130077,99.38647774,149.8086113,91.61977664,-63.46569842,99.38647774,149.8086113,91.61977664
0.6392191682,99.46918876,149.7680938,96.65357141,-63.49202615,99.46918876,149.7680938,96.65357141
0.6830009687,99.54194191,149.7228161,103.2096724,-63.5151842,99.54194191,149.7228161,103.2096724
0.7267827692,99.57835806,149.6824088,109.7639102,-63.52677582,99.57835806,149.6824088,109.7639102
0.7799757221,99.61128593,149.6370097,117.7247357,-63.53725709,99.61128593,149.6370097,117.7247357
0.8343610727,99.64889243,149.5946473,125.8616252,-63.54922761,99.64889243,149.5946473,125.8616252
0.8955749221,99.69020761,149.5521796,135.0175622,-63.56237864,99.69020761,149.5521796,135.0175622
1.004717754,99.75021293,149.4883944,151.3365038,-63.58147892,99.75021293,149.4883944,151.3365038
1.113860587,99.79831573,149.4370231,167.6491859,-63.59679052,99.79831573,149.4370231,167.6491859
1.235057385,99.84093432,149.3916529,185.7576147,-63.61035644,99.84093432,149.3916529,185.7576147
1.384375247,99.88109834,149.3489122,208.0611078,-63.62314104,99.88109834,149.3489122,208.0611078
1.560170303,99.91536393,149.3124781,234.3125188,-63.63404812,99.91536393,149.3124781,234.3125188
1.762299597,99.94244123,149.283704,264.4898412,-63.64266709,99.94244123,149.283704,264.4898412
1.982707386,99.96183575,149.2631038,297.3906958,-63.64884056,99.96183575,149.2631038,297.3906958
2.228501244,99.97544016,149.2486576,334.0767297,-63.65317098,99.97544016,149.2486576,334.0767297
2.493826429,99.98426893,149.239286,373.6748044,-63.65598126,99.98426893,149.239286,373.6748044
2.788170451,99.98988243,149.2333283,417.6015337,-63.6577681,99.98988243,149.2333283,417.6015337
3,99.99230753,149.2307611,449.2132711,-63.65854003,99.99230753,149.2307611,449.2132711
